"","y","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"3805",1,304999,4,2.25,2270,9600,1,0,0,3,7,1290,980,1976,0,98023,47.3261,-122.355,1930,15000
"11955",1,185000,5,1.75,1990,27810,1,0,0,3,7,1990,0,1955,0,98023,47.3325,-122.35,2240,20000
"20727",1,635000,4,3.25,3420,6752,2,0,2,3,9,3030,390,2012,0,98065,47.517,-121.876,3010,5172
"9011",1,603500,3,1.75,2140,7280,1,0,0,3,7,1070,1070,1910,0,98117,47.6993,-122.377,2280,8400
"2478",1,1215000,4,2.25,2570,9600,2.5,0,0,4,9,2570,0,1962,0,98040,47.5791,-122.241,2570,13200
"15416",1,1650000,3,2.25,2750,6203,1,1,4,5,7,1620,1130,1959,0,98074,47.6163,-122.068,2570,7009
"5471",1,410000,4,1,1140,7208,1,0,0,3,7,900,240,1970,0,98072,47.742,-122.173,1300,7991
"996",1,291000,4,2.5,1860,6325,2,0,0,4,7,1860,0,1991,0,98038,47.3492,-122.03,1860,6449
"18740",1,325000,4,2.25,2130,8499,1,0,0,4,7,1600,530,1975,0,98030,47.3657,-122.21,1890,11368
"15677",1,346000,3,1.75,1590,9636,1.5,0,0,4,6,1590,0,1953,0,98155,47.754,-122.321,1800,9975
"16173",1,598000,4,2.5,3130,40918,2,0,0,3,9,3130,0,1994,0,98045,47.4761,-121.723,2760,35440
"15164",1,412000,4,1.5,1960,5000,1,0,0,3,7,980,980,1912,0,98106,47.5688,-122.363,1300,5000
"2336",1,510000,3,2,1600,4510,1,0,0,3,7,990,610,1978,0,98103,47.6939,-122.34,1580,4561
"10817",1,605000,5,2.75,2910,13332,2,0,0,4,8,2910,0,1940,1991,98146,47.4977,-122.359,1760,8900
"3813",1,750000,4,2.5,3290,7538,2,0,0,3,9,3290,0,2004,0,98075,47.598,-121.972,3450,7538
"18166",1,267000,1,1,800,2480,1,0,0,4,6,800,0,1919,0,98108,47.5581,-122.316,1490,4650
"4426",1,285000,4,1.75,1870,22072,1,0,0,3,7,1070,800,1959,0,98042,47.3775,-122.165,2100,10185
"12351",1,1650000,4,2.5,2780,11904,1,0,1,5,8,1730,1050,1951,0,98004,47.6209,-122.216,3590,13860
"18324",1,218250,3,1.5,1080,9774,1,0,0,3,7,1080,0,1968,0,98023,47.3155,-122.401,1190,9611
"10878",1,470000,3,3.5,1280,1257,2,0,0,3,8,1040,240,2000,0,98107,47.6721,-122.374,1280,1249
"11138",1,368000,4,2.75,2610,9426,1,0,0,3,7,1360,1250,1965,0,98188,47.4435,-122.279,1600,9426
"10915",1,463000,2,1,1150,4400,1,0,0,4,7,1150,0,1905,0,98112,47.6226,-122.292,1240,4400
"154",1,2250000,4,3.25,5180,19850,2,0,3,3,12,3540,1640,2006,0,98006,47.562,-122.162,3160,9750
"7790",1,245000,4,1.75,2020,8800,1,0,0,4,8,2020,0,1969,0,98023,47.3202,-122.384,2320,8000
"11183",1,525000,3,2.25,2110,2850,3,0,0,3,8,2110,0,2001,0,98103,47.6915,-122.339,1340,5001
"18838",1,202500,3,1,1120,8576,1,0,0,3,6,1120,0,1943,0,98178,47.4896,-122.248,1050,8812
"12359",1,324950,4,2.5,1770,5000,2,0,0,3,7,1770,0,2004,0,98038,47.3506,-122.006,2080,5100
"10771",1,92000,2,1,760,5500,1.5,0,0,3,5,760,0,1947,0,98168,47.5045,-122.329,1040,5515
"16392",1,355000,2,1,900,6656,1,0,0,3,7,900,0,1940,0,98126,47.5467,-122.377,1230,6400
"9519",1,264000,1,1,710,4725,1,0,0,3,6,710,0,1939,0,98133,47.7328,-122.34,900,5250
"13815",1,760000,4,2.25,3040,9690,1,0,0,4,9,1940,1100,1978,0,98005,47.5923,-122.169,2430,9690
"19298",1,1430800,4,2.5,2910,7364,2,0,0,3,10,2910,0,2003,0,98033,47.6906,-122.213,2480,8400
"13271",1,964000,3,2.5,3630,9475,2,0,0,3,11,3630,0,1999,0,98074,47.6544,-122.085,3250,11605
"5542",1,385500,3,2,1540,7947,1,0,0,3,7,1120,420,1961,0,98011,47.7605,-122.217,1910,7950
"1972",1,250000,1,0.75,940,87120,1,0,0,3,6,940,0,1944,0,98019,47.7182,-121.956,1930,165528
"16513",1,324900,3,2.25,2080,9740,2,0,0,3,8,2080,0,1988,0,98092,47.261,-122.219,2080,8705
"89",1,215000,2,2.25,1610,2040,2,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025
"7322",1,355000,3,1.75,2370,9750,1,0,0,4,7,1280,1090,1979,0,98045,47.4459,-121.773,1230,9775
"19154",1,567000,4,1.75,2630,11213,1,0,2,4,8,1430,1200,1948,0,98177,47.7158,-122.366,2240,15186
"3823",1,549950,4,2.5,3780,6800,2,0,0,3,8,3780,0,2004,0,98038,47.3526,-122.012,3640,7326
"20146",1,309000,5,2.75,2481,4045,2,0,0,3,8,2481,0,2014,0,98001,47.2602,-122.284,2363,4175
"7689",1,404600,3,1,1570,7727,1,0,2,4,8,1270,300,1958,0,98056,47.4821,-122.192,2440,7727
"8921",1,214000,3,2.5,1600,2231,2,0,0,3,7,1600,0,2003,0,98001,47.3314,-122.29,1600,2962
"12275",1,480000,3,2.25,1950,8892,2,0,0,3,8,1950,0,1983,0,98052,47.7213,-122.11,1900,8750
"6193",1,346000,2,1,1070,2196,1,0,0,4,7,880,190,1917,0,98144,47.5726,-122.308,1160,3600
"19774",1,399000,3,2.5,1430,1250,3,0,0,3,7,1430,0,2007,0,98103,47.6904,-122.342,1360,1269
"6746",1,247000,3,2.25,1580,7941,2,0,0,4,7,1580,0,1986,0,98023,47.2843,-122.357,1730,8051
"20000",1,649950,4,3.5,2440,3012,3,0,1,3,8,2440,0,2005,0,98117,47.6923,-122.392,1860,4650
"6539",1,567500,3,1.75,2570,14033,1,0,2,4,8,2570,0,1953,0,98166,47.4335,-122.338,2550,16100
"14315",1,337000,4,2.5,2610,5240,2,0,0,3,8,2610,0,2004,0,98038,47.345,-122.042,2480,5240
"11052",1,265000,3,1.75,1330,12618,1,0,3,3,7,1330,0,1983,0,98188,47.4403,-122.271,1870,8429
"12696",1,258500,3,2.5,1800,9000,2,0,0,3,7,1800,0,1983,0,98003,47.3186,-122.331,1670,8486
"16330",1,253500,3,1,1640,12384,1,0,0,4,7,1090,550,1954,0,98003,47.3256,-122.298,1550,11200
"9517",1,265000,3,1,1020,8610,1,0,0,5,7,1020,0,1959,0,98056,47.4974,-122.169,1070,5940
"20188",1,462550,2,1.75,1070,1276,3,0,0,3,8,1070,0,2006,0,98107,47.6719,-122.39,1290,2057
"14801",1,210000,2,1,970,8874,1,0,0,3,7,970,0,1968,0,98056,47.4943,-122.178,1340,8175
"1683",1,390000,3,1.5,1610,13500,1,0,0,3,7,1060,550,1970,0,98155,47.7674,-122.31,1540,11479
"9036",1,965000,5,2.75,3280,12673,1,0,0,4,9,2050,1230,1981,0,98006,47.5504,-122.146,3060,12847
"18853",1,296500,3,1,1280,5100,1,0,0,3,7,1280,0,1948,0,98126,47.5259,-122.38,1380,7140
"3626",1,356000,4,2,2020,48693,1.5,0,0,3,7,2020,0,1949,0,98045,47.4646,-121.759,1610,34900
"5396",1,299800,4,1.5,1530,9000,1,0,0,4,6,1530,0,1976,0,98014,47.6492,-121.908,1520,8500
"257",1,385000,4,1.75,2360,7620,1,0,0,4,7,1180,1180,1955,0,98106,47.5278,-122.345,1910,7620
"16942",1,160000,3,1,1140,3240,1.5,0,0,4,6,1140,0,1910,0,98014,47.7093,-121.364,1140,4700
"9294",1,327500,3,2.5,2090,12027,2,0,0,3,8,2090,0,1991,0,98031,47.4084,-122.213,2090,12666
"12002",1,225000,4,1.5,1950,12559,1.5,0,0,3,6,1950,0,1939,0,98188,47.4364,-122.282,1950,9178
"12885",1,1610000,4,2.75,4270,25807,2,0,0,3,11,4270,0,1996,0,98004,47.5951,-122.206,3860,20723
"11208",1,1381000,4,3.75,3160,9525,2.5,0,0,3,10,3160,0,1997,0,98040,47.5623,-122.221,2400,9525
"8660",1,355000,2,2.25,1330,10838,2,0,0,3,8,1330,0,1985,0,98028,47.7689,-122.241,1390,10310
"18447",1,270000,3,2,1820,7750,1,0,0,3,8,1820,0,1992,0,98023,47.3169,-122.352,2080,8084
"5072",1,625000,3,2.5,2600,10092,1,0,0,3,9,2600,0,1984,0,98074,47.6223,-122.032,2440,9298
"15807",1,336000,1,1,1160,5000,2,0,0,3,7,1160,0,2000,0,98144,47.5883,-122.311,2060,5000
"12903",1,374950,4,1.75,1660,8160,1,0,0,3,8,1660,0,1974,0,98058,47.4483,-122.129,1800,7684
"12694",1,640000,3,3,2270,5175,2,0,0,3,9,2130,140,2002,0,98056,47.516,-122.203,2850,5661
"7925",1,525000,3,1.75,1560,6000,1,0,0,3,6,780,780,1944,0,98199,47.6501,-122.384,1560,1734
"2424",1,575000,4,1.75,1280,6060,1,0,0,3,7,860,420,1926,0,98117,47.6805,-122.364,1490,4680
"8973",1,394999,3,1.5,1730,7800,1,0,0,3,7,1330,400,1958,0,98133,47.7365,-122.337,1780,8309
"13812",1,384000,3,2.5,1700,4000,2,0,0,3,7,1700,0,2003,0,98065,47.5327,-121.871,1700,4417
"19855",1,439000,3,2.5,1680,2801,2,0,0,3,7,1680,0,2011,0,98011,47.745,-122.181,1920,2723
"8144",1,930000,3,2.5,3100,20553,1,0,0,3,10,3100,0,1954,0,98177,47.7635,-122.377,3000,22302
"17568",1,316000,3,2.25,1900,7479,2,0,0,4,7,1900,0,1992,0,98038,47.3495,-122.037,1520,6559
"5148",1,235000,3,1,1050,7670,1.5,0,0,5,7,1050,0,1955,0,98022,47.2046,-121.996,1220,7670
"8509",1,299800,2,1,790,5240,1,0,0,4,6,790,0,1925,0,98118,47.5303,-122.288,1430,5320
"7616",1,285000,3,1.75,1100,1307,2,0,0,3,7,780,320,2008,0,98106,47.5601,-122.363,1170,4800
"17922",1,427500,4,2.5,2430,3249,2,0,0,3,8,2430,0,2010,0,98059,47.5048,-122.155,2650,3844
"6245",1,545000,3,2.25,1780,191228,2,0,2,3,8,1780,0,1988,0,98045,47.4575,-121.748,2440,87120
"1834",1,565000,5,3.5,2700,11675,1.5,0,2,4,6,1950,750,1948,0,98133,47.7172,-122.349,2160,8114
"4897",1,487275,4,2.5,2400,3986,2,0,0,3,8,2400,0,1999,0,98065,47.5344,-121.877,2070,3986
"19513",1,246500,2,1,940,6000,1,0,0,2,7,940,0,1954,0,98148,47.4631,-122.329,1890,8547
"4746",1,353000,4,2.75,1920,4627,1,0,0,3,8,1010,910,1998,0,98178,47.5003,-122.23,1910,7210
"5956",1,285000,4,2.5,1870,8190,1,0,0,3,7,1100,770,1977,0,98058,47.4521,-122.161,1590,9150
"5783",1,595000,3,2.5,2660,10637,2,0,0,3,9,2660,0,1991,0,98011,47.7383,-122.22,2590,8637
"4810",1,225000,5,1.5,1790,11656,2,0,0,3,7,1790,0,1963,0,98198,47.3961,-122.308,2040,9790
"10014",1,491000,3,1.75,1440,7800,1,0,0,4,7,1440,0,1958,0,98008,47.5996,-122.12,1440,7800
"7439",1,325000,3,2.25,2450,49658,1,0,0,3,7,1770,680,1978,0,98045,47.486,-121.726,1340,121097
"12050",1,270000,3,2.25,1420,7800,1,0,0,4,7,1130,290,1985,0,98042,47.3598,-122.157,1460,7800
"6634",1,782000,4,3.5,3780,7769,2,0,0,3,9,3110,670,2001,0,98052,47.691,-122.129,3310,7945
"20703",1,333700,3,2.5,2230,5050,2,0,0,3,7,2230,0,2006,0,98042,47.3359,-122.055,2260,5050
"21530",1,670000,3,2.5,3310,5300,2,0,2,3,8,2440,870,2008,0,98136,47.5178,-122.389,2140,7500
"17033",1,303000,4,1,2300,9583,1,0,0,3,6,1220,1080,1928,0,98024,47.5671,-121.89,1200,11325
"8550",1,409000,3,1.75,1440,9065,1,0,0,4,8,1440,0,1972,0,98133,47.7163,-122.333,1990,8812
"16328",1,1030000,4,3.5,2730,5607,1,0,0,5,9,1660,1070,1948,0,98199,47.6387,-122.396,1720,5400
"9183",1,4e+05,2,1,1140,5100,1,0,0,3,7,1140,0,1942,0,98136,47.5323,-122.383,1230,5100
"11517",1,880000,4,2.75,3220,4392,1.5,0,0,4,9,2320,900,1931,0,98105,47.6713,-122.276,2310,5795
"8056",1,450000,3,2.25,1420,13468,1,0,0,3,7,960,460,1976,0,98033,47.6693,-122.176,1480,10980
"1179",1,328000,4,3.25,3380,7500,2,0,3,3,7,2420,960,1990,0,98198,47.4092,-122.33,1920,7500
"17351",1,520000,4,3,2190,5085,2,0,0,4,8,2190,0,1992,0,98029,47.5693,-122.002,2130,5142
"18510",1,705640,3,2.25,2400,12350,1,0,0,4,8,1420,980,1968,0,98033,47.6533,-122.192,2615,12043
"16071",1,814842,3,2.5,3190,6899,2,0,0,3,9,3190,0,2014,0,98034,47.7153,-122.221,3190,6899
"9287",1,6e+05,3,2.5,2460,108900,1,0,0,4,9,1860,600,1977,0,98027,47.4824,-122,2870,102366
"13992",1,326250,3,1,1060,9663,1,0,0,3,7,1060,0,1967,0,98034,47.7244,-122.226,1320,10162
"16047",1,780000,3,2,2610,6000,1,0,0,5,7,1310,1300,1941,0,98115,47.675,-122.289,2330,4800
"12243",1,267000,3,2.5,1760,6477,2,0,0,4,8,1760,0,1986,0,98030,47.3731,-122.172,1890,6800
"18224",1,587100,2,1,1190,6967,1,0,0,3,7,1190,0,1946,0,98040,47.5896,-122.243,1700,6968
"3642",1,777000,4,4,2680,6000,1,0,0,3,7,1380,1300,1962,2014,98199,47.6557,-122.388,1930,6000
"12267",1,375000,4,1.75,1940,15909,1,0,0,3,8,970,970,1974,0,98072,47.7578,-122.094,1940,15120
"21313",1,490000,4,2.5,2510,4349,2,0,0,3,8,2510,0,2010,0,98059,47.4927,-122.147,2510,4314
"9664",1,496000,3,3.5,3090,27598,2,0,2,4,9,2020,1070,1995,0,98070,47.3541,-122.453,2180,17085
"19475",1,492650,4,1.75,2120,9786,1,0,0,3,8,1640,480,1967,0,98177,47.7753,-122.365,2310,8787
"20506",1,460000,3,3.5,1600,1431,2,0,0,3,8,1240,360,2006,0,98117,47.6865,-122.363,1500,4120
"21413",1,334950,5,3,2230,8642,1,0,0,3,7,1330,900,2014,0,98168,47.487,-122.32,2100,11056
"11827",1,397000,3,1.75,1340,5100,1,0,0,3,7,1340,0,1953,0,98103,47.694,-122.348,1550,5100
"14854",1,7e+05,3,2.5,3110,123710,2,0,0,3,8,2430,680,1995,0,98038,47.3879,-122.002,2420,92782
"9207",1,525000,3,2.5,2990,6725,2,0,0,3,9,2990,0,2003,0,98059,47.4928,-122.142,2790,6725
"16500",1,403950,2,1,710,1136,2,0,0,4,7,710,0,1943,0,98102,47.6414,-122.329,1370,1173
"10914",1,1769000,4,3.5,5440,38900,2,0,0,3,12,5440,0,1990,0,98053,47.6605,-122.069,4830,41313
"15910",1,431500,3,3.5,1900,1612,2,0,0,3,8,1430,470,2008,0,98136,47.544,-122.385,1780,1525
"6808",1,299500,3,1,1190,9600,1,0,0,3,7,1190,0,1981,0,98045,47.4805,-121.762,1360,10140
"14117",1,675000,3,1.75,2130,4400,1,0,0,3,7,1430,700,1922,0,98102,47.6417,-122.325,1710,3300
"8872",1,279000,4,2,2200,7700,1,0,0,3,7,1100,1100,1979,0,98058,47.464,-122.18,1790,7700
"9198",1,405000,3,1.75,1260,7373,1,0,0,4,7,1260,0,1979,0,98034,47.7296,-122.233,1360,7373
"12364",1,417000,3,2.75,1820,52889,2,0,0,3,8,1820,0,1991,0,98070,47.501,-122.463,1820,45528
"13009",1,270000,3,2.5,1350,1189,2,0,0,3,7,1080,270,2007,0,98106,47.5218,-122.358,1300,1182
"10453",1,655000,3,2,1820,4480,1,0,0,5,7,1120,700,1923,0,98105,47.6717,-122.295,1920,4480
"14026",1,449950,4,2.5,2470,3811,2,0,0,3,8,2470,0,1999,0,98065,47.5362,-121.877,2400,4266
"7535",1,622000,3,2.5,1950,7481,2,0,0,3,8,1950,0,1987,0,98027,47.564,-122.091,1980,8479
"8811",1,604000,3,2,1560,2589,1,0,0,3,7,790,770,1923,2001,98103,47.6587,-122.344,1450,3893
"18132",1,475000,3,1.5,1240,8738,1,0,0,3,7,1240,0,1959,0,98005,47.5849,-122.17,1440,9344
"11694",1,422500,4,2.5,2550,8824,2,0,0,3,9,2550,0,1990,0,98031,47.3979,-122.212,2630,11237
"13480",1,920000,3,2.25,3650,5353,2,0,4,4,7,2200,1450,1947,0,98144,47.5949,-122.291,1950,4970
"6066",1,525000,4,2.5,2740,12106,1,0,0,3,8,1980,760,1992,0,98133,47.7648,-122.355,2170,11156
"15535",1,503000,3,2,2590,108900,2,0,0,3,8,1980,610,1988,0,98038,47.4088,-122.055,3170,108900
"15748",1,447000,3,2.5,1800,3074,2,0,0,3,7,1800,0,2003,0,98072,47.7631,-122.149,1610,2929
"14608",1,1e+06,4,2,1780,15648,1.5,0,0,5,8,1780,0,1918,0,98004,47.5849,-122.198,2320,14963
"789",1,232500,3,1.5,1940,9887,1,0,0,4,7,1140,800,1969,0,98003,47.3289,-122.327,1410,9936
"1089",1,5e+05,3,2.75,3410,9360,1.5,0,0,4,8,3410,0,1967,0,98058,47.4497,-122.147,2260,10128
"96",1,905000,4,2.5,3300,10250,1,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045
"3705",1,385100,3,1,1060,8040,1,0,0,4,6,1060,0,1949,0,98125,47.7121,-122.287,1300,7620
"2460",1,674250,4,2.5,2780,35000,1,0,0,4,9,2780,0,1985,0,98072,47.7386,-122.091,2740,35072
"1399",1,465000,4,1.75,1810,21650,2,0,0,4,7,1810,0,1961,0,98077,47.7358,-122.076,2700,29680
"4776",1,248500,3,1.75,2090,12026,1,0,0,4,7,2090,0,1948,0,98002,47.3095,-122.217,1700,9496
"2265",1,618000,4,2.25,2530,8736,1,0,0,4,7,1210,1320,1958,0,98008,47.6049,-122.126,1720,8500
"17808",1,330000,2,1,720,7250,1,0,0,3,5,720,0,1943,0,98027,47.5267,-122.032,1760,7250
"7564",1,562000,5,3,2795,15101,2,0,0,3,8,2795,0,1996,0,98019,47.7301,-121.972,2750,14567
"2565",1,1620000,4,3,3900,9750,1,0,4,5,10,2520,1380,1972,0,98006,47.5605,-122.158,3410,9450
"5271",1,620000,4,2.5,2450,55387,2,0,0,3,9,2450,0,1994,0,98053,47.6323,-121.985,2730,38827
"1122",1,239000,3,1,940,8571,1,0,0,3,6,940,0,1950,0,98146,47.5006,-122.336,1100,8573
"11389",1,650000,3,2.5,2320,5284,2,0,0,3,8,2320,0,2004,0,98075,47.591,-122.017,2320,4383
"13296",1,162000,4,1,1460,16638,1,0,0,4,6,1460,0,1975,0,98010,47.3431,-122.048,1460,16638
"15691",1,407000,2,2.5,1700,6635,2,0,0,4,8,1700,0,1976,0,98052,47.6655,-122.13,1700,6635
"18068",1,435000,4,2,1880,3840,1,0,0,3,7,970,910,1904,0,98144,47.5929,-122.303,1670,1820
"13701",1,2340000,4,2.5,4500,35200,1,0,0,3,13,4500,0,1988,0,98006,47.5477,-122.126,4760,35200
"2994",1,604000,4,1.75,1490,4485,1,0,0,3,8,1350,140,1960,0,98199,47.6388,-122.399,1380,4846
"2133",1,250000,2,1,670,4640,1,0,0,3,6,670,0,1943,0,98106,47.53,-122.351,870,4501
"7026",1,378800,5,2.5,2740,5400,2,0,0,3,8,2740,0,2005,0,98031,47.4036,-122.205,2900,5476
"5064",1,1100000,4,3.75,5070,60123,2,0,0,3,11,5070,0,2000,0,98053,47.6567,-122.004,4920,101930
"6115",1,541125,5,2.75,2740,8426,1,0,0,4,8,1370,1370,1960,0,98006,47.5563,-122.184,2020,8783
"7743",1,305000,4,2.5,2230,6487,2,0,0,3,7,2230,0,2003,0,98092,47.3287,-122.169,2230,6882
"3576",1,525000,4,2.5,2520,7731,2,0,0,3,9,2520,0,1994,0,98155,47.7709,-122.297,2000,7704
"18871",1,450000,3,2.5,2910,17172,2,0,0,3,10,2910,0,1989,0,98003,47.2789,-122.331,2910,20048
"6863",1,685000,6,2.25,2770,5854,1.5,0,0,3,8,2120,650,1921,0,98112,47.6466,-122.304,2300,5450
"18554",1,339000,3,1.5,1740,21980,1,0,0,4,7,1740,0,1973,0,98042,47.3644,-122.132,1400,16100
"5892",1,345950,3,2.5,2110,4118,2,0,0,3,8,2110,0,1989,0,98042,47.3878,-122.153,2110,4044
