"","y","classes","cap.shape","cap.surface","cap.color","bruises","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.ring","stalk.surface.below.ring","stalk.color.above.ring","stalk.color.below.ring","veil.type","veil.color","ring.number","ring.type","spore.print.color","population","habitat"
"2658",1,"e","x","y","e","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","v","d"
"3486",1,"e","f","f","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","v","d"
"7647",1,"p","f","y","e","f","s","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","l"
"1150",1,"e","f","s","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","a","g"
"6643",1,"p","f","s","e","f","s","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","d"
"757",1,"e","f","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","g"
"7699",1,"e","k","f","w","f","n","f","w","b","w","e","?","s","k","w","w","p","w","t","p","w","n","g"
"459",1,"e","f","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","p"
"3206",1,"p","x","f","g","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","y","g"
"5514",1,"p","x","y","n","f","s","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","d"
"839",1,"e","x","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","g"
"2502",1,"e","x","f","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","a","g"
"3895",1,"p","x","f","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","g"
"3550",1,"e","f","f","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","y","d"
"6803",1,"p","x","y","e","f","y","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","p"
"4243",1,"p","x","f","y","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","y","d"
"2746",1,"e","x","f","e","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","y","d"
"2622",1,"e","x","y","e","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","n","v","d"
"1343",1,"p","f","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","u"
"1579",1,"e","f","f","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","g"
"5157",1,"p","x","s","b","t","f","f","c","b","w","t","b","s","s","w","w","p","w","o","p","h","s","g"
"1301",1,"e","x","s","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","g"
"6206",1,"p","x","s","e","f","f","f","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","p"
"3761",1,"e","f","y","e","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","v","d"
"873",1,"e","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"4598",1,"p","f","f","y","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","y","d"
"4654",1,"p","x","f","y","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","p"
"3537",1,"p","x","s","g","f","c","f","w","n","n","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3923",1,"e","f","f","e","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","k","v","d"
"3927",1,"p","x","y","y","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","g"
"2439",1,"e","f","y","n","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","y","d"
"6119",1,"p","x","s","e","f","f","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","l"
"99",1,"e","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"6692",1,"p","x","s","n","f","s","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","l"
"7492",1,"p","k","y","n","f","s","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","d"
"3089",1,"e","f","y","e","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","y","d"
"5705",1,"e","k","y","e","t","n","f","c","b","w","e","?","s","s","e","w","p","w","t","e","w","c","w"
"2814",1,"e","x","y","g","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","n","y","d"
"2290",1,"e","x","y","n","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","y","d"
"4038",1,"p","f","f","g","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","g"
"7852",1,"p","k","s","e","f","f","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","d"
"2015",1,"e","x","f","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","s","g"
"6439",1,"p","f","y","e","f","y","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"2768",1,"e","f","f","n","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","v","d"
"4398",1,"p","x","f","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","g"
"6482",1,"p","f","y","e","f","y","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"7823",1,"p","k","y","n","f","f","f","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p"
"5696",1,"e","f","s","n","t","n","f","c","b","e","e","?","s","s","e","w","p","w","t","e","w","c","w"
"3362",1,"e","f","y","e","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","v","d"
"6141",1,"p","f","s","e","f","s","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"5273",1,"p","f","s","w","t","f","f","c","b","w","t","b","f","s","w","w","p","w","o","p","h","s","u"
"755",1,"e","b","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","m"
"2729",1,"e","f","y","g","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","v","d"
"3330",1,"e","x","f","g","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","v","d"
"3172",1,"e","f","y","n","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","v","d"
"3532",1,"p","x","s","w","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","n","v","d"
"5415",1,"p","f","y","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","g"
"3082",1,"e","f","y","e","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","y","d"
"1444",1,"e","f","f","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","g"
"3566",1,"p","x","f","y","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","g"
"4600",1,"p","f","y","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","d"
"4536",1,"p","f","y","y","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","d"
"535",1,"p","f","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","g"
"6160",1,"p","x","s","e","f","s","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","d"
"1886",1,"e","f","f","w","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"3448",1,"p","x","f","g","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","y","d"
"267",1,"e","f","s","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1135",1,"e","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","g"
"7450",1,"e","k","y","n","f","n","f","c","b","w","e","b","y","y","n","n","p","w","t","p","w","y","p"
"4164",1,"p","x","y","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","d"
"7857",1,"p","k","s","e","f","y","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","p"
"7449",1,"p","k","y","e","f","y","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","l"
"5111",1,"p","x","y","g","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","y","g"
"7452",1,"p","k","s","n","f","f","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","p"
"3659",1,"p","f","f","y","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","d"
"1708",1,"p","f","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u"
"6822",1,"p","f","s","e","f","s","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","l"
"6394",1,"p","f","y","n","f","y","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","d"
"1389",1,"e","x","f","n","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","v","d"
"6088",1,"p","x","s","e","f","s","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","l"
"4117",1,"p","x","f","y","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","d"
"7669",1,"p","k","y","n","f","s","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p"
"7837",1,"e","f","s","n","f","n","a","c","b","y","e","?","s","s","o","o","p","o","o","p","n","c","l"
"1272",1,"e","x","s","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","g"
"8025",1,"p","k","y","n","f","f","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","d"
"640",1,"e","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m"
"7272",1,"e","k","f","w","f","n","f","w","b","p","e","?","s","s","w","w","p","w","t","p","w","s","g"
"7166",1,"p","f","s","e","f","y","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","d"
"6845",1,"p","f","s","n","f","s","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"6368",1,"p","x","s","n","f","f","f","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","p"
"6932",1,"p","f","s","n","f","s","f","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","l"
"2099",1,"p","x","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","g"
"966",1,"e","f","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","g"
"5461",1,"p","f","s","b","t","f","f","c","b","h","t","b","f","f","w","w","p","w","o","p","h","s","g"
"638",1,"e","x","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","m"
"1012",1,"e","x","s","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1198",1,"e","b","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m"
"2119",1,"e","x","f","g","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","v","d"
"2296",1,"e","f","s","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","g"
"3211",1,"e","f","f","e","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","v","d"
"6337",1,"p","f","y","n","f","f","f","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p"
"6785",1,"p","f","s","n","f","f","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","d"
"5799",1,"p","x","s","g","t","f","f","c","b","h","t","b","s","f","w","w","p","w","o","p","h","s","u"
"6354",1,"p","f","s","n","f","y","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","l"
"8061",1,"p","k","s","n","f","s","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","d"
"787",1,"e","x","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","u"
"7333",1,"p","k","s","e","f","f","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p"
"5755",1,"e","x","y","n","t","n","f","c","b","w","e","?","s","s","w","e","p","w","t","e","w","c","w"
"3202",1,"p","f","f","g","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","p"
"1857",1,"e","x","f","y","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"860",1,"p","x","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","g"
"7390",1,"p","k","s","e","f","f","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p"
"2561",1,"p","x","f","w","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","k","v","d"
"526",1,"e","b","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g"
"7357",1,"p","f","s","e","f","f","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"5350",1,"p","f","s","g","t","f","f","c","b","w","t","b","s","s","w","w","p","w","o","p","h","v","g"
"796",1,"p","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","u"
"91",1,"e","x","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","u"
"3461",1,"e","f","f","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","y","d"
"3071",1,"e","f","y","g","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","k","v","d"
"1311",1,"e","f","f","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","s","g"
"3568",1,"p","x","f","g","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","p"
"1741",1,"e","x","f","w","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","g"
"540",1,"e","f","s","w","t","a","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","d"
"4709",1,"p","f","s","p","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","r","v","g"
"2220",1,"e","x","y","n","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","v","d"
"5556",1,"p","x","s","w","t","f","f","c","b","p","t","b","s","s","w","w","p","w","o","p","h","v","u"
"4469",1,"p","x","f","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","y","d"
"325",1,"e","x","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","p"
"2468",1,"e","x","y","e","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","v","d"
"5851",1,"p","x","y","n","f","s","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","d"
"5950",1,"e","x","y","n","f","n","f","w","n","w","e","b","f","s","w","n","p","w","o","e","w","v","l"
"7455",1,"p","f","y","n","f","f","f","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","l"
"6164",1,"p","f","y","e","f","s","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","d"
"3619",1,"e","f","y","n","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","d"
"3040",1,"e","f","y","e","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","d"
"129",1,"e","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g"
"4060",1,"e","x","f","e","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","n","v","d"
"275",1,"e","f","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","p"
"8026",1,"e","x","s","n","f","n","a","c","b","y","e","?","s","s","o","o","p","n","o","p","y","c","l"
"6481",1,"p","x","y","e","f","s","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","d"
"5404",1,"p","f","s","w","t","f","f","c","b","h","t","b","s","s","w","w","p","w","o","p","h","s","g"
"2596",1,"e","x","f","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","y","d"
"4325",1,"p","f","y","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","g"
"7221",1,"e","x","s","g","f","n","f","w","b","w","e","?","s","k","w","w","p","w","t","p","w","n","g"
"4213",1,"p","f","f","y","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","g"
"6585",1,"p","f","s","n","f","s","f","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","l"
"6959",1,"e","k","f","w","f","n","f","w","b","g","e","?","s","s","w","w","p","w","t","p","w","s","g"
"7224",1,"p","x","s","e","f","s","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","p"
"488",1,"e","s","f","n","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","y","u"
"2146",1,"e","f","y","n","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","v","d"
"1009",1,"e","x","f","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"7967",1,"e","b","s","w","f","n","f","w","b","p","e","?","s","k","w","w","p","w","t","p","w","n","g"
"3877",1,"p","x","f","p","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","k","s","d"
"5438",1,"p","x","f","y","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","p"
"1611",1,"e","x","f","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","a","g"
"434",1,"e","b","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","g"
"6557",1,"p","f","y","e","f","s","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"1804",1,"e","x","y","n","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","v","d"
"4226",1,"p","f","f","y","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","d"
"7463",1,"p","k","y","n","f","f","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p"
"659",1,"e","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","p"
"2695",1,"e","f","f","g","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","v","d"
"3042",1,"p","f","f","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","d"
"4985",1,"e","f","y","u","f","n","f","c","n","w","e","?","s","f","w","w","p","w","o","f","h","y","d"
"5983",1,"p","f","s","p","t","n","f","c","b","r","e","b","s","s","w","w","p","w","t","p","r","v","g"
"7848",1,"e","x","f","g","f","n","f","w","b","w","e","?","k","k","w","w","p","w","t","p","w","n","g"
"3182",1,"p","x","f","p","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","k","v","d"
"1120",1,"e","x","s","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","g"
"4223",1,"p","x","y","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","p"
"4179",1,"p","x","f","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","p"
"1547",1,"p","f","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","u"
"5441",1,"p","x","y","n","f","y","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","d"
"5519",1,"p","x","f","y","f","f","f","c","b","g","e","b","k","k","p","n","p","w","o","l","h","y","d"
"7694",1,"p","k","s","n","f","y","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","d"
"398",1,"e","x","y","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","m"
"5017",1,"p","f","y","y","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","y","d"
"7512",1,"p","f","s","n","f","s","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","d"
"2311",1,"e","x","f","n","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","n","y","d"
"945",1,"e","f","f","g","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","v","d"
"7227",1,"e","x","s","g","f","n","f","w","b","p","e","?","k","s","w","w","p","w","t","p","w","s","g"
"5591",1,"p","x","y","n","f","f","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p"
"7770",1,"e","b","f","w","f","n","f","w","b","p","e","?","s","s","w","w","p","w","t","p","w","s","g"
"958",1,"e","x","y","n","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","v","d"
"7590",1,"p","k","y","e","f","y","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","d"
"7209",1,"e","k","f","g","f","n","f","w","b","g","e","?","k","k","w","w","p","w","t","p","w","n","g"
"5601",1,"p","x","y","n","f","y","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","l"
"7650",1,"e","b","s","w","f","n","f","w","b","p","e","?","k","s","w","w","p","w","t","p","w","s","g"
"466",1,"e","f","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","g"
"7703",1,"e","f","y","n","f","n","f","c","b","w","e","b","y","y","n","n","p","w","t","p","w","y","p"
"1285",1,"e","x","f","n","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","a","g"
"2709",1,"e","x","y","n","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","y","d"
"3273",1,"e","f","y","g","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","k","v","d"
"5836",1,"e","f","y","w","f","n","f","c","n","w","e","?","s","f","w","w","p","w","o","f","h","v","d"
"8047",1,"e","b","f","g","f","n","f","w","b","g","e","?","k","s","w","w","p","w","t","p","w","n","g"
"2225",1,"e","f","f","n","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","y","d"
"3430",1,"e","f","y","n","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","k","y","d"
"6388",1,"p","x","y","e","f","f","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","p"
"6695",1,"p","x","s","e","f","s","f","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","d"
"2432",1,"e","x","y","e","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","y","d"
"2436",1,"e","x","f","g","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","n","y","d"
"6894",1,"p","f","s","n","f","s","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","d"
"1472",1,"e","f","s","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","a","g"
"4782",1,"p","f","f","g","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","y","p"
"888",1,"e","f","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","g"
"5120",1,"p","x","s","w","t","f","f","c","b","h","t","b","s","f","w","w","p","w","o","p","h","v","g"
"7718",1,"e","b","y","n","f","n","f","c","b","w","e","b","y","y","n","n","p","w","t","p","w","y","d"
"4153",1,"p","f","y","g","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","g"
"400",1,"p","x","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","u"
"2608",1,"e","f","f","n","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","v","d"
"1379",1,"p","f","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","g"
"451",1,"e","x","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"2743",1,"e","x","f","e","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","k","y","d"
"4572",1,"p","x","y","y","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","y","d"
"3344",1,"e","x","f","e","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","d"
"7911",1,"p","f","y","n","f","m","a","c","b","y","e","c","k","y","c","c","p","w","n","n","w","c","d"
"5683",1,"p","x","y","n","f","y","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","l"
"1807",1,"e","f","s","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","g"
"7788",1,"p","f","y","n","f","f","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","d"
"5089",1,"p","f","f","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","v","p"
"4921",1,"p","f","f","g","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","g"
"2217",1,"e","x","f","g","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","y","d"
"1754",1,"e","x","f","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","g"
"6595",1,"p","f","s","e","f","s","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p"
"1874",1,"e","f","f","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","g"
"2251",1,"e","x","y","g","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","y","d"
"6407",1,"e","b","f","w","f","n","f","w","b","w","e","?","s","k","w","w","p","w","t","p","w","s","g"
"8006",1,"p","x","y","e","f","s","f","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","d"
"1461",1,"e","x","f","n","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","v","d"
"7944",1,"p","k","y","n","f","f","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","p"
"5353",1,"p","f","y","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","d"
"3565",1,"e","x","y","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","y","d"
"3841",1,"p","x","f","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","p"
"7358",1,"p","k","s","e","f","f","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","l"
