"","V1","V2","V3","V4","Class"
"666",1.8373,6.1292,0.84027,0.55257,1
"669",0.5706,-0.024841,1.2421,-0.56208,1
"677",0.29961,7.1328,-0.31475,-1.1828,1
"678",0.25035,9.3262,-3.6873,-6.2543,1
"685",-2.0759,10.8223,2.6439,-4.837,1
"693",3.9771,11.1513,-3.9272,-4.3444,1
"701",3.9262,6.0299,-2.0156,-0.065531,1
"710",3.2692,3.4184,0.20706,-0.066824,1
"711",2.4012,1.6223,3.0312,0.71679,1
"715",2.5559,3.3605,2.0321,0.26809,1
"717",0.5195,-3.2633,3.0895,-0.9849,1
"718",2.9856,7.2673,-0.409,-2.2431,1
"719",4.0932,5.4132,-1.8219,0.23576,1
"720",1.7748,-0.76978,5.5854,1.3039,1
"723",4.8451,8.1116,-2.9512,-1.4724,1
"735",2.7961,2.121,1.8385,0.38317,1
"743",0.66191,9.6594,-0.28819,-1.6638,1
"753",0.38478,6.5989,-0.3336,-0.56466,1
"765",-1.6677,-7.1535,7.8929,0.96765,2
"767",-3.5681,-8.213,10.083,0.96765,2
"768",-2.2804,-0.30626,1.3347,1.3763,2
"769",-1.7582,2.7397,-2.5323,-2.234,2
"776",-0.36506,2.8928,-3.6461,-3.0603,2
"780",-1.8187,-9.0366,9.0162,-0.12243,2
"785",-3.4083,4.8587,-0.76888,-4.8668,2
"790",1.0552,1.1857,-2.6411,0.11033,2
"792",-4.4779,7.3708,-0.31218,-6.7754,2
"797",1.6408,4.2503,-4.9023,-2.6621,2
"802",-0.91318,-2.0113,-0.19565,0.066365,2
"804",0.91315,3.3377,-4.0557,-1.6741,2
"808",-4.2932,3.3419,0.77258,-0.99785,2
"809",-3.0265,-0.062088,0.68604,-0.055186,2
"810",-1.7015,-0.010356,-0.99337,-0.53104,2
"814",-2.1333,1.5685,-0.084261,-1.7453,2
"815",-1.2568,-1.4733,2.8718,0.44653,2
"817",-4.8554,-5.9037,10.9818,-0.82199,2
"818",-2.588,3.8654,-0.3336,-1.2797,2
"819",0.24394,1.4733,-1.4192,-0.58535,2
"825",-0.4294,-0.14693,0.044265,-0.15605,2
"826",-2.234,-7.0314,7.4936,0.61334,2
"828",-3.8073,-8.0971,10.1772,0.65084,2
"833",-1.522,-6.6383,5.7491,-0.10691,2
"836",-0.94255,0.039307,-0.24192,0.31593,2
"839",-2.3211,3.166,-1.0002,-2.7151,2
"845",0.009661,3.5612,-4.407,-4.4103,2
"856",-1.8782,-6.5865,4.8486,-0.021566,2
"858",1.296,4.2855,-4.8457,-2.9013,2
"862",-2.3797,-1.4402,1.1273,0.16076,2
"876",-1.8629,-0.84841,2.5377,0.097399,2
"877",-3.5916,-6.2285,10.2389,-1.1543,2
"885",-1.0112,2.9984,-1.1664,-1.6185,2
"887",-1.6514,-8.4985,9.1122,1.2379,2
"895",-1.8391,-9.0883,9.2416,-0.10432,2
"900",-1.4446,2.1438,-0.47241,-1.6677,2
"901",-0.65767,-2.8018,3.7115,0.99739,2
"907",-2.9146,4.0537,-0.45699,-4.0327,2
"909",-1.786,-8.1157,7.0858,-1.2112,2
"916",-1.749,-6.332,6.0987,0.14266,2
"920",0.89512,4.7738,-4.8431,-5.5909,2
"928",-3.6227,3.9958,-0.35845,-3.9047,2
"942",-1.7279,-6.841,8.9494,0.68058,2
"954",-0.092194,0.39315,-0.32846,-0.13794,2
"958",-0.51003,-0.23591,0.020273,0.76334,2
"964",-3.3863,-12.9889,13.0545,-2.7202,2
"967",0.48797,3.5674,-4.3882,-3.8116,2
"968",-3.8167,5.1401,-0.65063,-5.4306,2
"974",1.2309,3.8923,-4.8277,-4.0069,2
"981",0.63655,5.2022,-5.2159,-6.1211,2
"983",-3.518,2.8763,0.1548,-1.2086,2
"984",-2.0336,-1.4092,1.1582,0.36507,2
"987",0.84546,3.4826,-3.6307,-1.3961,2
"990",-6.7526,8.8172,-0.061983,-3.725,2
"993",-1.4781,0.14277,-1.1622,-0.48579,2
"996",-2.1234,1.1815,-0.55552,-0.81165,2
"1004",-3.8203,-13.0551,16.9583,-2.3052,2
"1007",-0.98193,2.7956,-1.2341,-1.5668,2
"1014",-0.50816,2.868,-1.8108,-2.2612,2
"1015",0.14329,-1.0885,1.0039,0.48791,2
"1021",-4.8392,6.6755,-0.24278,-6.5775,2
"1022",-1.2792,2.1376,-0.47584,-1.3974,2
"1036",-3.9934,5.8333,0.54723,-4.9379,2
"1039",-0.70867,-5.5602,4.0483,0.903,2
"1052",-3.7747,2.5162,0.83341,-0.30993,2
"1055",-0.30432,2.6528,-2.7756,-0.65647,2
"1060",-3.2305,-7.2135,11.6433,-0.94613,2
"1063",-0.11716,0.60422,-0.38587,-0.059065,2
"1067",-2.6286,0.18002,1.7956,0.97282,2
"1074",-1.7064,3.3088,-2.2829,-2.1978,2
"1077",-0.55355,-7.9233,6.7156,0.74394,2
"1087",-0.62684,-6.301,4.7843,1.106,2
"1088",0.518,0.25865,-0.84085,0.96118,2
"1099",-1.8046,-6.8141,6.7019,1.1681,2
"1103",0.7376,4.8525,-4.7986,-5.6659,2
"1106",-1.6706,-2.09,1.584,0.71162,2
"1111",-3.8952,3.8157,-0.31304,-3.8194,2
"1123",-2.0285,3.8468,-0.63435,-1.175,2
"1128",-2.3629,-0.10554,1.9336,1.1358,2
"1130",-0.40951,-0.15521,0.060545,-0.088807,2
"1133",-3.3884,-8.215,10.3315,0.98187,2
"1138",-1.5877,-6.6072,5.8022,0.31593,2
"1140",-1.5228,-6.4789,5.7568,0.87325,2
"1147",-3.73,-12.9723,12.9817,-2.684,2
"1163",1.7331,3.9544,-4.7412,-2.5017,2
"1167",-2.1979,-2.1252,1.7151,0.45171,2
"1176",-1.7549,-0.080711,-0.75774,-0.3707,2
"1180",-3.2778,1.8023,0.1805,-2.3931,2
"1188",-4.0218,-8.304,12.555,-1.5099,2
"1190",-2.4941,3.5447,-1.3721,-2.8483,2
"1199",-1.7886,-6.3486,5.6154,0.42584,2
"1201",-1.8343,-6.5907,5.6429,0.54998,2
"1206",-1.6641,-1.3678,1.997,0.52283,2
"1213",-2.456,-0.24418,1.4041,-0.45863,2
"1215",-2.9662,-10.3257,8.784,-2.1138,2
"1216",-0.71494,-4.4448,2.2241,0.49826,2
"1217",0.6005,0.99945,-2.2126,0.097399,2
"1221",-2.7769,-5.6967,5.9179,0.37671,2
"1223",0.30081,0.17381,-1.7542,0.48921,2
"1225",0.26877,4.987,-5.1508,-6.3913,2
"1227",-4.0679,2.4955,0.79571,-1.1039,2
"1229",-1.3414,-1.9162,-0.15538,-0.11984,2
"1234",-7.0421,9.2,0.25933,-4.6832,2
"1235",-4.9462,3.5716,0.82742,-1.4957,2
"1237",-2.0662,0.16967,-1.0054,-0.82975,2
"1238",-0.88728,2.808,-3.1432,-1.2035,2
"1246",-1.1306,1.8458,-1.3575,-1.3806,2
"1252",-0.77688,0.13036,-0.031137,-0.35389,2
"1255",-3.8894,-7.8322,9.8208,0.47498,2
"1257",-2.1652,3.0211,-2.4132,-2.4241,2
"1279",0.53936,3.8944,-4.8166,-4.3418,2
"1293",-0.76794,3.4598,-3.4405,-3.4276,2
"1300",-1.0802,2.1996,-2.5862,-1.2759,2
"1301",-2.3277,1.4381,-0.82114,-1.2862,2
"1308",-2.6406,-4.4159,5.983,-0.13924,2
"1310",-4.2887,-7.8633,11.8387,-1.8978,2
"1341",-4.1479,7.1225,-0.083404,-6.4172,2
"1343",-1.7479,-5.823,5.8699,1.212,2
"1345",1.3451,0.23589,-1.8785,1.3258,2
"1349",-2.9786,2.3445,0.52667,-0.40173,2
"1351",-0.21888,-2.2038,-0.0954,0.56421,2
"1353",1.4896,3.4288,-4.0309,-1.4259,2
"1362",-1.5732,1.0636,-0.71232,-0.8388,2
"1363",-2.1668,1.5933,0.045122,-1.678,2
"1365",-2.8391,-6.63,10.4849,-0.42113,2
"1367",-2.41,3.7433,-0.40215,-1.2953,2
