"","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","SeriousDlqin2yrs"
"264",0.043526569,51,0,0.08056143,5200,8,1,0,0,0,0
"266",0.04283233,58,0,0.076276997,5833,7,0,0,0,0,0
"270",0.108244588,73,0,0.198960208,5000,6,0,0,0,0,0
"275",0.050030412,66,0,0.046288829,31000,11,0,1,0,0,0
"277",1.219560878,25,1,0.26982012,1500,3,3,0,1,2,0
"289",0.024525743,57,0,0.219180026,7048,11,0,2,0,0,0
"297",0,45,3,1.151927438,3968,7,1,4,3,2,0
"301",0.9999999,32,1,0.01065956,1500,1,0,0,0,1,0
"302",0.007889962,49,0,0.393970588,6799,11,0,2,0,6,0
"306",0.082117652,68,0,0.026394721,5000,6,0,0,0,1,0
"312",0.081433134,60,0,0.279243465,8300,13,0,2,0,1,0
"313",0.505875526,67,0,0.390093286,7610,11,0,2,0,1,0
"314",0.000888876,61,0,0.127987201,10000,9,0,1,0,0,0
"316",0.557113605,51,0,0.493726474,6375,10,0,1,0,1,0
"318",0.260772115,35,0,0.360303308,12000,12,0,2,0,5,0
"320",0,67,0,0.247801759,1250,12,0,1,0,0,0
"321",0.044246197,71,0,0.530940594,5655,8,0,1,0,0,0
"325",0.05404501,78,0,0.211438475,7500,14,0,1,0,0,0
"335",0,45,1,675,1,5,0,1,2,3,0
"343",0.07009554,65,0,0.153420105,3610,3,0,1,0,0,0
"346",0.576255693,58,0,0.158954675,19017,12,0,0,0,1,0
"349",0.02222509,68,0,0.264712565,4400,6,0,1,0,0,0
"353",0.331078785,82,0,0.70272042,3050,12,0,1,0,0,0
"354",0,41,0,0.233025566,30000,11,0,2,0,3,0
"364",0.238139232,40,0,0.069986003,5000,11,1,0,0,0,0
"371",0.874501071,79,0,0.493620899,3291,7,0,1,0,0,0
"378",0.257954201,58,0,0.294232411,8200,10,0,3,0,0,0
"381",0.223888056,23,1,0.014460512,898,2,0,0,0,0,0
"387",0.026026968,33,0,0.184294872,3119,11,0,0,0,0,0
"392",0.221471141,28,0,0.476601545,2200,9,0,0,0,0,0
"402",0,34,1,0.221769874,4666,4,0,0,0,0,0
"404",0.004738946,50,0,0.23345313,26711,18,0,2,0,1,0
"407",0,34,0,0.062897655,5500,2,0,0,0,0,0
"408",0.319523373,49,0,0.256431885,4741,8,0,0,0,1,0
"418",0.136053997,53,0,0.048260232,7500,4,0,0,0,1,0
"424",0,69,0,0.434260957,6000,9,0,1,0,0,0
"431",0.9999999,35,0,0.944587261,3500,5,0,1,0,0,0
"432",0.057351139,61,1,0.200799645,2250,5,0,0,0,0,0
"444",0.010136133,57,1,0.696340732,8334,21,0,3,1,0,0
"446",0.586703683,71,3,0.579684063,5000,14,0,1,0,0,0
"464",0.349494245,54,1,0.319180358,5416,6,0,2,0,1,0
"467",0.309921089,59,1,0.306444135,2156,8,0,2,0,0,0
"484",0.559136263,48,0,0.789696542,2833,13,0,1,0,1,0
"488",0.376335159,58,0,0.440322143,11050,25,0,0,0,0,0
"489",0.342007563,54,0,0.455314567,6500,10,0,1,0,0,0
"494",0.442968912,50,0,0.167196141,8498,11,0,0,0,1,0
"495",0.00038978,65,0,0,4166,6,0,0,0,0,0
"505",0.003796588,46,2,0.309448425,6000,7,0,1,0,2,0
"508",0.999000111,29,4,0.627832578,3750,9,0,2,0,0,0
"510",0.102877568,45,0,0.601637493,7083,15,0,2,0,1,0
"513",0.87367909,69,1,0.443901355,4500,11,0,0,0,0,0
"518",0.057806771,40,0,0.367644648,6100,14,0,2,0,2,0
"523",0.4527656,42,0,0.418805217,4753,8,0,1,0,3,0
"530",0.176194967,76,0,0.459166466,4150,11,0,1,0,0,0
"533",0.02135415,27,0,0.091969344,3000,6,0,0,0,0,0
"543",0.9999999,29,0,0,1167,1,0,0,0,1,0
"561",0.42595507,63,0,4.793301216,4358,18,0,2,0,0,0
"563",0,73,0,0.330266973,10000,6,0,2,0,1,0
"577",0.9999999,50,1,0.126116926,7833,4,1,1,0,0,0
"589",0.022154084,79,0,0.371116986,3025,12,0,1,0,0,0
"590",0.0349002,69,0,0.088151975,6000,9,0,0,0,0,0
"597",0.609466141,47,0,0.450719555,8268,5,0,2,0,2,0
"602",0.731570737,67,0,1.210263246,3000,6,0,1,0,0,0
"603",0.054302606,44,0,0.482233503,6500,13,0,3,0,1,0
"608",0.595099242,63,1,0.495503714,23018,18,0,4,0,2,0
"619",0.280904787,29,0,0.134511914,1300,4,1,0,0,0,0
"626",0.900309072,74,0,0.5193229,3130,7,0,1,0,0,0
"629",0.078933183,74,0,0.524047355,5405,18,0,1,0,0,0
"634",0.013589395,75,0,0.039245094,8000,6,0,0,0,0,0
"645",0.176488969,57,0,0.50499898,4900,10,0,1,0,0,0
"648",0.053837683,48,0,0.31725462,8333,7,0,1,0,3,0
"650",0.260655225,55,1,0.234642658,12550,20,0,1,0,1,0
"659",0.067248799,64,0,0.210924165,4100,6,0,0,0,1,0
"662",0.126045336,64,0,0.547924364,4600,10,0,2,0,0,0
"663",0.21086204,49,0,0.213049609,7800,10,0,0,0,2,0
"666",0.019344161,71,0,0.144454677,7600,5,0,1,0,0,0
"667",0.863641256,50,0,0.728263104,4864,11,0,1,0,2,0
"674",0.9999999,27,0,442,0,4,0,0,0,0,0
"677",0.285742024,75,0,0.960485599,4200,10,0,1,0,0,0
"678",0.415528157,27,0,19.5,1,1,0,0,0,0,0
"689",0.319254982,58,0,0.283449453,14065,31,0,3,0,0,0
"692",1.088473873,37,1,0.115959354,3345,7,0,0,1,0,0
"693",0.629852021,56,0,0.364786735,9166,13,0,1,0,1,0
"698",0.702353176,28,0,0.526745542,6000,6,0,1,0,1,0
"701",0.9999999,54,0,0.17884131,3175,1,0,0,0,1,0
"705",0.03620572,53,0,0.385069511,5250,14,0,2,0,0,0
"706",0.295909059,31,0,0.107284152,4296,3,0,0,0,0,0
"711",0.070046508,56,0,0.343689736,14000,8,0,1,0,0,0
"714",0.209333025,51,0,0.085833254,10566,8,0,0,0,2,0
"721",0.326997203,58,0,0.35588843,7743,19,0,1,0,0,0
"726",0.021779891,71,0,0.217524766,7166,7,0,1,0,0,0
"727",0.074962519,26,0,0.179822513,2140,4,0,0,0,0,0
"734",1.001885091,56,0,0.290053784,13200,9,0,2,0,2,0
"737",0.238968325,47,0,0.618176365,3333,15,0,2,0,2,0
"742",0,42,0,0.433441249,5250,5,0,2,0,2,0
"743",0.015678183,54,0,0.167979003,3047,11,0,1,0,0,0
"747",0.042525495,77,0,0.048983672,3000,11,0,0,0,0,0
"751",0.005817917,56,0,1.173572877,3450,5,0,2,0,3,0
"752",0.014579705,36,0,0.045465365,4200,9,0,0,0,0,0
"755",0.185725799,67,0,0.184110423,9200,6,0,1,0,1,0
"761",0.9999999,29,0,0.167191188,2541,3,0,0,0,2,0
"762",0.690629411,50,0,0.664094019,5700,19,0,2,0,0,0
"763",0.9999999,69,0,0.372444444,2249,3,0,0,0,0,0
"767",0.9999999,32,0,0.105964678,3000,2,2,0,0,1,0
"774",0.384608477,58,0,0.235127479,6000,9,0,0,0,5,0
"777",0.331180461,61,0,0.422610803,5775,13,0,2,0,0,0
"781",0.168289934,76,0,0.120208936,14166,10,0,2,0,0,0
"782",0.541807274,45,0,0.225478366,5800,6,0,1,0,2,0
"785",0.084612697,63,0,0.253147682,6750,13,0,2,0,0,0
"789",0.123590178,49,0,0.476502082,1680,9,0,0,0,1,0
"793",0,63,1,0.287806336,3345,11,0,2,0,1,0
"794",0.363963604,42,0,0.20769317,8916,4,0,1,0,0,0
"798",0,41,0,0.063005432,8284,5,0,0,0,0,0
"801",0.113777634,66,0,0.439331863,3172,11,0,1,0,0,0
"802",0.047072214,32,0,0.01849815,10000,8,0,0,0,0,0
"804",0.23029604,25,1,0.007248188,4000,2,0,0,0,0,0
"806",0.018101011,56,0,0.345948257,4676,13,0,1,0,0,0
"816",0.241793416,77,0,0.071984004,4500,8,0,0,0,1,0
"820",0.027507225,36,0,0.29434607,6437,9,0,2,0,2,0
"822",0.626267054,57,0,0.288285286,6000,9,0,2,0,1,0
"826",0.282404581,53,0,1.57042957,1000,6,0,1,0,2,0
"827",0.534599387,47,0,0.213891081,3800,5,0,0,0,1,0
"828",0.165524871,32,0,0.607826335,3500,11,0,2,0,0,0
"836",0.851489188,40,1,0.443268665,1700,5,2,0,0,0,0
"837",0.279558488,56,0,0.203618239,5416,18,0,0,0,0,0
"844",0.039849125,41,0,0.302261008,10083,10,0,1,0,2,0
"847",0.152805552,37,0,0.090990991,4439,8,0,1,0,3,0
"857",0.454230942,59,0,0.472206573,10649,9,0,3,0,1,0
"858",0.036942489,66,0,0.312869822,6759,13,0,1,0,0,0
"860",0.169962231,24,0,1,820,5,0,0,0,0,0
"866",0.071810643,54,0,0.106902519,5200,10,0,0,0,0,0
"872",0.95031257,60,1,1.200629426,2541,8,0,1,0,0,0
"873",0.9999999,76,0,0.422161172,1091,4,0,0,0,0,0
"877",0.162508566,32,0,0.354303358,2590,9,0,0,0,0,0
"883",0,54,0,0.271707917,7312,9,0,1,0,4,0
"885",0.058573536,51,0,0.653875138,17250,13,0,4,0,0,0
"900",0.9999999,27,0,0.1976008,3000,2,0,0,0,0,0
"907",0.844092705,61,1,0.430215942,12595,12,1,3,0,0,0
"908",0.050025193,61,0,0.105166052,1083,9,0,0,0,0,0
"909",0.063489418,73,0,0.98347548,1875,6,0,2,0,0,0
"910",0.37747685,32,0,0.273590801,8000,8,0,2,0,0,0
"913",0.66474682,27,0,0.095444238,4850,7,0,0,0,0,0
"914",0.205773208,38,0,0.194296897,3576,7,0,0,0,3,0
"920",0.873818535,35,0,0.707103186,3420,6,0,1,0,0,0
"922",0.262779267,65,0,0.424840633,9725,15,0,2,0,1,0
"933",0.07296215,49,0,0.259409221,10866,11,0,2,0,2,0
"935",0.9999999,37,0,0.377631696,11256,11,0,2,0,1,0
"942",0.9999999,24,0,0,0,0,0,0,0,0,0
"943",0.470559385,61,0,0.551908015,6000,13,0,2,0,2,0
"944",0,80,0,0,9314,8,0,0,0,0,0
"945",0,54,0,0.759056778,7590,5,0,2,0,0,0
"950",0.995215105,49,0,0.978013647,3956,7,0,2,0,2,0
"953",0.311474044,56,0,0.719363199,2700,9,0,1,0,0,0
"959",0.036225732,60,0,0.029857992,8238,5,0,1,0,0,0
"961",0,48,1,0.059623911,13081,7,0,0,0,1,0
"963",0.278206227,70,0,0.013175829,2200,2,0,0,0,0,0
"967",0.181280832,31,0,0.098906958,3750,8,0,0,0,0,0
"970",0.043477001,90,0,0.006284816,7000,13,0,0,0,0,0
"972",0.825436409,36,0,0.101151572,6425,2,1,0,0,0,0
"974",0.226487417,58,0,0.254094373,12333,6,0,2,0,0,0
"978",0.089527365,61,0,0.00949136,4108,3,0,0,0,0,0
"989",0.082600657,35,0,0.114268798,5066,8,0,0,0,0,0
"994",0.207036215,43,2,0.599680064,5000,7,0,2,0,0,0
"1011",0.406657206,30,0,0.089569601,7736,6,0,0,0,0,0
"1022",0.22923514,47,0,0.126803341,3950,8,0,0,0,0,0
"1039",0.596806387,50,0,0.005710207,1400,1,0,0,0,0,0
"1045",0.180748015,55,0,839,0,17,0,0,0,0,0
"1050",0.040254725,29,0,0.168369519,4697,11,0,0,0,0,0
"1052",0.515894979,52,0,0.717052632,4749,8,0,1,0,2,0
"1058",0.008854352,51,0,0.335425485,6850,12,0,1,0,4,0
"1070",0.064923377,65,0,0.10560899,10500,9,0,1,0,0,0
"1072",1.065389976,33,0,0.156691901,7000,5,0,0,0,0,0
"1074",0.576037721,65,0,0.416291854,2000,9,0,0,0,0,0
"1078",0.744426798,31,1,0.203918433,2500,5,0,0,0,3,0
"1081",0,45,0,0.438005511,11250,5,0,2,0,3,0
"1082",0.99960008,48,1,1568,0,6,0,0,0,0,0
"1089",0.156642168,46,0,0.043666667,14999,8,0,1,0,3,0
"1101",0.055349259,59,0,0.221682617,7000,6,0,1,0,1,0
"1105",0.034413794,54,0,0.23005789,13300,20,0,2,0,1,0
"1109",0,27,0,0.529525653,3098,3,0,1,0,1,0
"1115",0.002475199,52,0,0.466176122,4212,17,0,2,0,1,0
"1119",0.008301299,79,0,0.093581284,5000,10,0,0,0,0,0
"1135",0.280059161,36,0,0.458857082,9466,19,0,1,0,3,0
"1142",0.015982564,73,0,0.003907033,9981,9,0,0,0,0,0
"1143",0.9999999,41,0,0.013318535,2702,0,0,0,0,2,0
"1147",0.58931369,59,0,0.43381295,8339,9,0,2,0,0,0
"1150",0.85537021,45,1,0.414015304,4965,7,0,0,0,0,0
"1152",0.013092106,67,0,0.214111262,3684,6,0,1,0,0,0
"1165",0.002917378,32,0,0.00119976,3333,9,0,0,0,0,0
"1173",0.010060822,63,0,0.20499461,5565,11,0,1,0,0,0
"1181",0.115244997,75,0,0.538771806,19833,11,0,6,0,0,0
"1182",0.9999999,34,0,0.364528796,4583,3,0,1,0,0,0
"1188",0.9999999,52,0,0.165813715,18562,4,0,1,0,4,0
"1192",0.076421259,56,0,0.022035562,9166,9,0,0,0,5,0
"1195",0.003767027,61,0,0.440624238,4100,20,0,2,0,0,0
"1204",0.238995729,48,0,0.385138117,11330,18,0,1,0,2,0
"1212",0,68,0,0.072363421,11842,4,0,1,0,1,0
"1224",0.01623935,82,0,0.053407351,5223,3,0,0,0,0,0
"1226",0.430436164,60,0,0.628845841,6142,17,0,1,0,0,0
"1228",0.008985909,50,0,0.2003367,10097,9,0,2,0,0,0
"1234",0.182662331,53,1,0.256482,10721,11,0,1,0,4,0
"1237",0.03546916,62,0,0.191970466,6500,6,0,2,0,0,0
"1240",0,60,0,0.316685268,3583,18,0,2,0,0,0
"1245",0.08892922,46,0,0.048735462,5416,4,0,0,0,2,0
"1256",0.029406863,49,1,0.405351833,4035,11,0,1,0,2,0
"1264",0.796464744,31,0,0.330279232,4583,11,0,0,0,0,0
"1268",0,61,0,0.668807771,6382,7,0,4,0,0,0
"1271",0.039927783,49,0,2.901098901,1000,9,0,2,0,2,0
"1281",0.161463079,64,0,0.054236441,4000,5,0,0,0,1,0
"1288",0.006063257,56,1,0.404696606,5833,13,0,2,0,1,0
"1305",0.354259793,44,1,0.439216925,9500,10,0,2,0,1,0
"1321",0.213951442,42,0,0.495712996,4431,4,0,3,0,0,0
"1325",0.45234823,30,2,0.682632237,2400,10,0,1,0,0,0
"1327",0.183996427,30,1,0.149640041,5833,7,0,0,0,0,0
"1331",0.037233656,52,3,0.539812218,8200,9,0,3,0,2,0
"1334",0,80,0,0,100,3,0,0,0,0,0
"1336",0.042187035,49,0,0.24704706,16000,18,0,1,0,4,0
"1341",0,29,0,0.075754663,5200,2,2,0,0,3,0
"1342",0.000209874,79,0,0,10241,13,0,0,0,1,0
"1356",0.285871413,40,0,160.5,1,8,0,0,0,4,0
"1362",0.171189478,34,0,0.558110472,4000,12,0,1,0,0,0
"1367",0.635834735,48,0,0.55705432,2742,10,0,0,0,2,0
"1371",0.794311717,62,0,0.507859551,26400,26,0,6,0,2,0
"1372",0.014110999,62,1,1.035991002,4000,20,0,2,0,0,0
"1378",0.365457232,53,0,0.399847843,9200,8,0,1,0,2,0
"1379",0.309066201,27,0,0.257673091,1400,11,0,0,0,0,0
"1384",0.9999999,64,0,0.213626135,12886,11,0,2,0,1,0
"1385",0.041414122,49,1,0.423995103,4900,16,0,2,1,1,0
"1389",0.381783846,68,2,0.661394381,4804,11,0,2,0,0,0
"1395",0,36,0,0,2275,4,0,0,0,0,0
"1406",0.006212502,35,0,0.504338195,5416,9,0,2,0,3,0
"1407",0.400560964,31,0,0.200690783,5500,5,0,0,0,0,0
"1411",0.337115569,50,1,0.722074676,6400,8,0,2,0,0,0
"1417",0.080519481,57,0,0.17181972,6500,8,0,0,0,0,0
"1424",0.252491694,32,0,0.670665867,1666,8,0,1,0,0,0
"1433",0.786013374,48,0,0.258165665,3826,9,0,0,0,0,0
"1441",0.964601416,41,0,0.176054621,4100,5,0,0,0,1,0
"1446",0.034252881,52,0,0.169510808,3515,5,0,0,0,1,0
"1450",0.399198405,57,0,0.223815782,17500,16,0,2,0,0,0
"1452",1.013266451,30,0,0.531078154,6000,20,0,2,0,1,0
"1454",0.432555692,38,0,0.32266819,7000,6,0,3,0,0,0
"1456",0.450988302,62,0,0.512113617,8378,10,0,2,0,0,0
"1461",0.120147523,65,0,1996.5,1,15,0,4,0,0,0
"1466",0.415073116,44,0,0.170943019,3000,4,0,0,0,2,0
"1468",0.056476054,68,0,0.352172982,4670,7,0,1,0,1,0
"1471",0.103067519,86,0,0.275532377,2300,10,0,0,0,0,0
"1479",0.113670623,53,0,0.623365757,9560,9,0,2,0,0,0
"1482",0.048760343,66,0,0.164778714,7591,14,0,2,0,0,0
"1483",0.112144379,50,0,0.585934464,7720,13,0,2,0,0,0
"1502",0.005499725,63,1,0.000765892,3916,3,0,0,0,0,0
"1504",0.194669259,44,0,0.442101436,5500,7,0,1,0,1,0
"1514",0.049698287,58,0,0.700103413,2900,13,0,1,0,3,0
"1515",0.981638033,38,0,0.532429379,4424,9,0,1,0,4,0
"1531",0.379224831,45,0,0.244242396,21666,14,0,2,0,5,0
"1534",0.315715607,49,0,0.322932636,11088,13,0,1,0,2,0
"1536",0.556870261,36,0,0.4155974,6000,7,0,3,0,2,0
"1541",0,26,0,0.224882874,1920,3,1,0,0,2,0
"1547",0.433390166,51,0,0.428720809,5737,23,0,1,0,0,0
"1549",0.191636513,51,0,0.227128812,6000,9,0,0,0,0,0
"1553",0.623738408,49,0,0.346589647,4500,8,0,0,0,1,0
"1562",0.008557717,39,0,0.085229978,10500,9,0,1,0,0,0
"1569",0.037773459,45,0,0.227765474,8578,10,0,2,0,2,0
"1570",0.854458217,28,0,0.921634796,2666,4,0,1,0,0,0
"1571",0.648789453,54,0,0.969197514,3700,17,0,3,0,0,0
"1578",0.81207517,56,4,0.018283582,5359,8,0,0,0,0,0
"1579",0,35,0,0.08088033,3634,7,0,0,0,0,0
"1582",0.519028671,54,3,0.259727626,3083,8,0,1,2,0,0
"1586",0.611322322,43,0,0.360931126,4166,8,0,1,0,1,0
"1589",0.154175793,40,0,0.062782805,1767,3,0,0,0,3,0
"1590",0.378389916,69,1,0.222421027,16207,14,0,1,0,1,0
"1600",0.127713838,59,0,0.268538517,12500,20,1,3,0,0,0
"1602",0.377242097,58,0,0.563234941,4166,13,0,2,0,0,0
"1612",0.044530365,67,0,0.402313499,10200,8,0,3,0,1,0
"1613",0.59464782,38,0,0.747917823,1800,9,0,0,0,2,0
"1621",0.9999999,58,0,0.594127807,11000,7,0,3,0,1,0
"1622",0.001235258,78,0,0.000186916,5349,7,0,0,0,0,0
"1627",0.99806514,43,4,0.021941397,7200,12,2,0,1,0,0
"1631",0.033944111,27,1,0.041522491,2600,6,0,0,0,0,0
"1632",0.114106553,78,0,0.319386637,4564,7,0,2,0,0,0
"1635",0.077336606,42,0,0.269804645,6500,26,0,2,0,0,0
"1640",0.038177208,82,0,0.101323966,3700,3,0,1,0,0,0
"1645",0.90803395,43,0,0.123402556,2503,4,0,0,0,0,0
"1646",0.365721117,40,0,0.039230479,2650,5,0,0,0,1,0
"1651",0.052653171,43,0,0.572292191,1984,9,0,0,0,4,0
"1652",0.021710629,44,0,0.212718546,5833,8,0,1,0,1,0
"1661",0.051746568,73,0,0.199802339,6070,5,0,1,0,2,0
"1664",0.006671051,56,0,0.295139973,9608,16,0,2,0,1,0
"1665",0.199584093,65,0,0.174175645,6125,5,0,1,0,1,0
"1674",0.450643557,47,1,0.450509898,5000,16,0,2,1,0,0
"1675",0.9999999,24,0,0.104025939,3700,2,0,0,0,0,0
"1681",0.00837571,52,0,0.325535714,5599,8,0,1,0,0,0
"1684",0.177813028,50,0,0.343792633,6596,10,0,1,1,0,0
"1687",0.260387387,36,0,0.222129645,6000,8,0,0,0,2,0
"1692",0,57,1,0.202398801,2000,6,0,0,0,0,0
"1702",0.025535947,65,0,0.029492627,4000,18,0,0,0,0,0
"1706",0.275341383,42,0,0.2473616,5400,9,0,0,0,1,0
"1714",0.07372713,53,0,0.139694329,7000,16,0,0,0,0,0
"1716",0.834270716,30,0,0.216594469,3000,4,0,0,0,0,0
"1718",0.601457039,41,0,0.303826104,10166,10,0,1,0,4,0
"1721",0.366971386,62,0,0.642037632,4357,27,0,2,0,1,0
"1725",0,66,0,0.120907738,5375,5,0,1,0,0,0
"1726",0.003308375,46,1,0.189393939,3035,13,0,1,0,5,0
"1729",0.409921169,54,0,0.137650825,4060,9,0,0,0,0,0
"1732",0,29,0,444,0,4,0,0,0,0,0
"1734",0.510738197,46,0,0.239420935,3591,5,0,1,0,0,0
"1744",0.984979005,56,0,0.311471646,13066,9,0,2,0,1,0
"1752",0.012015038,66,0,0.309086364,8000,17,0,2,0,0,0
"1753",0.731683215,45,0,0.452635914,2427,6,0,0,0,1,0
"1754",0.334503343,46,0,1.001917546,3128,12,0,3,0,2,0
"1762",0.113073506,50,0,0.29776364,10373,10,0,1,0,0,0
"1767",0.003686276,59,1,0.003403531,4700,21,0,0,0,0,0
"1772",0.089911904,36,0,0.257773689,5434,9,0,0,0,2,0
"1783",0.476723717,61,0,0.31878089,4855,12,0,0,0,2,0
"1799",0.009999702,56,0,0.001241208,7250,2,0,0,0,0,0
"1802",0.168077587,64,0,0.496485623,6259,4,0,1,0,1,0
"1814",0.697907814,51,0,0.950451722,7083,17,0,3,0,1,0
"1817",0.726238081,37,0,0.316611453,2112,6,0,0,1,2,0
"1818",0,51,0,0.389423748,7166,6,0,2,0,2,0
"1828",0.099096614,37,0,0.010497376,4000,6,0,0,0,0,0
"1850",0.228756025,53,0,0.323507628,6750,19,0,1,0,0,0
"1852",0.417560842,62,0,0.315190225,3600,9,0,1,0,1,0
"1853",0.052060162,39,0,0.403839055,5417,9,0,1,0,2,0
"1858",0.116676791,31,0,0.343593791,3800,7,0,1,0,0,0
"1859",0.328303003,59,1,0.480057771,9000,9,0,2,0,0,0
"1862",0.874666212,48,0,0.632637992,5416,8,0,2,0,4,0
"1865",0.214893334,42,0,0.218840258,4500,8,0,1,0,1,0
"1890",0.119030299,49,0,0.747907064,10630,13,0,1,0,1,0
"1894",0.566866267,50,0,0.052995923,13000,4,0,0,0,2,0
"1896",0.018932175,75,0,0.688341544,3044,9,0,2,0,1,0
"1902",0.342610162,50,0,0.206226792,3500,5,0,0,0,0,0
"1912",0.195789705,49,0,0.296478745,5480,6,0,1,0,1,0
"1918",0.110011595,59,0,0.040071636,13400,10,0,0,0,1,0
"1924",0.053353311,65,0,0.028990337,3000,5,0,0,0,1,0
"1926",0.527959621,58,0,0.374182542,10550,5,0,1,0,0,0
"1928",0.742730291,44,0,0.081468915,28292,5,0,0,0,2,0
"1931",0.552558288,63,1,0.797040592,5000,12,0,3,0,4,0
"1932",0.380033065,39,0,0.394656276,3592,6,0,1,0,1,0
"1933",0.064811055,53,1,1.219945014,4000,17,0,2,0,0,0
"1934",0.609461274,28,1,0.207826547,1890,5,0,0,0,0,0
"1938",0.899010099,45,0,0.456622058,4333,4,0,1,0,0,0
"1940",0.016534326,56,0,0.501931212,5436,14,0,2,0,1,0
"1941",0,59,0,0.111305543,16000,5,0,2,0,0,0
"1943",0.25539007,51,0,0.483601874,8750,19,0,2,0,2,0
"1945",0.03240845,54,0,0.446123947,4630,12,0,2,0,3,0
"1962",0.766386555,55,0,0.4060808,2400,6,0,1,0,1,0
"1964",0.039878317,29,0,0.026086957,1494,3,0,0,0,0,0
"1965",0.83344437,80,0,0.00834461,4433,1,0,0,0,1,0
"1967",0.019370964,30,1,0.000887705,2252,2,0,0,0,0,0
"1969",0.28711917,65,0,0.242859397,19010,13,0,2,0,1,0
"1981",0.029445206,64,0,0.133955348,3000,5,0,1,0,0,0
