"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","Class"
"285",30,"blue-collar","single","secondary","no",0,"yes","no","unknown",5,"may",5,2,-1,0,"unknown",1
"295",34,"technician","married","secondary","no",19,"yes","no","unknown",5,"may",362,4,-1,0,"unknown",1
"297",31,"blue-collar","single","secondary","no",3,"yes","no","unknown",5,"may",200,2,-1,0,"unknown",1
"300",57,"technician","married","secondary","no",792,"yes","no","unknown",5,"may",65,2,-1,0,"unknown",1
"302",51,"admin.","married","secondary","no",531,"yes","no","unknown",5,"may",267,2,-1,0,"unknown",1
"307",54,"management","married","tertiary","no",313,"yes","no","unknown",5,"may",83,2,-1,0,"unknown",1
"308",55,"blue-collar","married","secondary","no",89,"yes","no","unknown",5,"may",106,3,-1,0,"unknown",1
"313",55,"services","divorced","primary","no",96,"yes","yes","unknown",5,"may",311,2,-1,0,"unknown",1
"316",46,"admin.","married","secondary","no",-358,"yes","no","unknown",5,"may",358,2,-1,0,"unknown",1
"325",31,"admin.","single","secondary","no",98,"yes","no","unknown",5,"may",196,2,-1,0,"unknown",1
"327",40,"blue-collar","single","secondary","no",436,"yes","no","unknown",5,"may",231,3,-1,0,"unknown",1
"330",41,"blue-collar","married","secondary","no",290,"yes","no","unknown",5,"may",240,2,-1,0,"unknown",1
"331",48,"blue-collar","married","secondary","no",1,"no","no","unknown",5,"may",669,3,-1,0,"unknown",1
"333",30,"blue-collar","single","secondary","no",-457,"yes","no","unknown",5,"may",143,2,-1,0,"unknown",1
"337",42,"admin.","single","secondary","no",1022,"yes","no","unknown",5,"may",146,2,-1,0,"unknown",1
"342",43,"management","divorced","secondary","no",693,"yes","no","unknown",5,"may",124,3,-1,0,"unknown",1
"352",45,"blue-collar","married","secondary","no",66,"yes","no","unknown",5,"may",808,2,-1,0,"unknown",1
"356",31,"admin.","single","secondary","no",12,"yes","no","unknown",5,"may",208,2,-1,0,"unknown",1
"357",44,"blue-collar","single","secondary","no",34,"yes","no","unknown",5,"may",404,4,-1,0,"unknown",1
"365",59,"admin.","married","secondary","no",230,"yes","no","unknown",6,"may",190,3,-1,0,"unknown",1
"367",38,"admin.","divorced","secondary","no",308,"yes","no","unknown",6,"may",102,1,-1,0,"unknown",1
"371",34,"services","married","secondary","no",22,"yes","no","unknown",6,"may",344,1,-1,0,"unknown",1
"375",48,"blue-collar","married","unknown","no",131,"yes","no","unknown",6,"may",189,1,-1,0,"unknown",1
"378",43,"blue-collar","married","primary","no",98,"yes","no","unknown",6,"may",235,1,-1,0,"unknown",1
"380",55,"blue-collar","married","secondary","no",224,"yes","no","unknown",6,"may",232,1,-1,0,"unknown",1
"383",40,"management","married","secondary","no",8486,"no","no","unknown",6,"may",260,3,-1,0,"unknown",1
"385",38,"blue-collar","married","secondary","no",20,"yes","no","unknown",6,"may",402,1,-1,0,"unknown",1
"403",29,"self-employed","single","tertiary","no",16,"yes","no","unknown",6,"may",43,1,-1,0,"unknown",1
"409",38,"technician","married","secondary","no",284,"yes","no","unknown",6,"may",483,1,-1,0,"unknown",1
"410",46,"blue-collar","married","secondary","no",1660,"yes","no","unknown",6,"may",259,1,-1,0,"unknown",1
"412",51,"blue-collar","married","primary","no",230,"yes","no","unknown",6,"may",673,1,-1,0,"unknown",1
"420",33,"technician","married","secondary","yes",72,"yes","no","unknown",6,"may",623,1,-1,0,"unknown",1
"422",32,"management","single","tertiary","no",151,"yes","no","unknown",6,"may",118,1,-1,0,"unknown",1
"424",40,"blue-collar","married","secondary","no",0,"yes","no","unknown",6,"may",225,1,-1,0,"unknown",1
"426",43,"management","married","secondary","no",375,"yes","no","unknown",6,"may",196,2,-1,0,"unknown",1
"428",54,"blue-collar","married","primary","no",2102,"yes","no","unknown",6,"may",76,1,-1,0,"unknown",1
"429",38,"technician","single","tertiary","no",4325,"yes","no","unknown",6,"may",87,1,-1,0,"unknown",1
"444",24,"self-employed","single","secondary","no",0,"yes","no","unknown",6,"may",278,1,-1,0,"unknown",1
"445",34,"technician","married","secondary","no",367,"yes","no","unknown",6,"may",140,1,-1,0,"unknown",1
"456",44,"blue-collar","married","secondary","no",274,"yes","yes","unknown",6,"may",409,1,-1,0,"unknown",1
"459",33,"blue-collar","single","secondary","yes",-60,"no","no","unknown",6,"may",243,1,-1,0,"unknown",1
"461",58,"blue-collar","divorced","secondary","no",-11,"no","no","unknown",6,"may",112,1,-1,0,"unknown",1
"467",36,"admin.","single","secondary","no",20,"yes","no","unknown",6,"may",186,1,-1,0,"unknown",1
"469",55,"blue-collar","married","secondary","no",52,"yes","no","unknown",6,"may",182,1,-1,0,"unknown",1
"474",39,"blue-collar","married","secondary","no",983,"yes","no","unknown",6,"may",97,1,-1,0,"unknown",1
"491",32,"technician","married","secondary","no",0,"yes","no","unknown",6,"may",176,2,-1,0,"unknown",1
"503",37,"management","single","tertiary","no",230,"yes","yes","unknown",6,"may",374,1,-1,0,"unknown",1
"507",57,"retired","divorced","secondary","no",-331,"yes","no","unknown",6,"may",531,1,-1,0,"unknown",1
"516",49,"entrepreneur","married","secondary","no",167,"yes","yes","unknown",6,"may",198,3,-1,0,"unknown",1
"522",42,"management","married","tertiary","no",744,"no","no","unknown",6,"may",157,1,-1,0,"unknown",1
"523",52,"admin.","married","secondary","no",484,"yes","no","unknown",6,"may",128,1,-1,0,"unknown",1
"524",29,"management","single","tertiary","no",0,"yes","no","unknown",6,"may",211,1,-1,0,"unknown",1
"525",53,"retired","married","primary","no",136,"yes","no","unknown",6,"may",267,2,-1,0,"unknown",1
"528",46,"management","married","tertiary","no",459,"yes","no","unknown",6,"may",221,1,-1,0,"unknown",1
"532",31,"housemaid","married","primary","no",203,"yes","no","unknown",6,"may",604,3,-1,0,"unknown",1
"533",42,"services","single","secondary","no",518,"yes","no","unknown",6,"may",198,1,-1,0,"unknown",1
"539",34,"blue-collar","married","unknown","no",245,"yes","no","unknown",6,"may",13,1,-1,0,"unknown",1
"541",46,"blue-collar","married","secondary","no",71,"yes","no","unknown",6,"may",416,1,-1,0,"unknown",1
"546",36,"admin.","married","secondary","no",639,"yes","no","unknown",6,"may",191,1,-1,0,"unknown",1
"552",30,"admin.","married","secondary","no",46,"yes","no","unknown",6,"may",114,2,-1,0,"unknown",1
"553",30,"student","single","tertiary","no",34,"yes","no","unknown",6,"may",289,1,-1,0,"unknown",1
"558",56,"admin.","divorced","secondary","no",778,"yes","no","unknown",6,"may",149,2,-1,0,"unknown",1
"564",47,"technician","married","secondary","no",83,"yes","no","unknown",6,"may",179,2,-1,0,"unknown",1
"574",52,"technician","married","unknown","no",0,"no","no","unknown",6,"may",195,1,-1,0,"unknown",1
"575",54,"services","married","secondary","no",193,"no","no","unknown",6,"may",179,1,-1,0,"unknown",1
"582",56,"technician","divorced","secondary","no",99,"yes","no","unknown",6,"may",155,2,-1,0,"unknown",1
"586",35,"blue-collar","married","primary","no",0,"yes","no","unknown",6,"may",154,2,-1,0,"unknown",1
"592",38,"technician","married","secondary","no",581,"yes","no","unknown",6,"may",79,1,-1,0,"unknown",1
"604",56,"blue-collar","married","primary","no",5,"yes","yes","unknown",6,"may",407,2,-1,0,"unknown",1
"605",51,"blue-collar","married","secondary","no",50,"yes","yes","unknown",6,"may",121,1,-1,0,"unknown",1
"614",53,"blue-collar","married","secondary","no",3397,"yes","no","unknown",6,"may",231,1,-1,0,"unknown",1
"625",30,"technician","married","secondary","no",484,"yes","no","unknown",6,"may",703,1,-1,0,"unknown",2
"634",33,"services","married","tertiary","no",85,"no","no","unknown",6,"may",262,3,-1,0,"unknown",1
"641",55,"management","single","secondary","no",220,"yes","no","unknown",6,"may",328,2,-1,0,"unknown",1
"642",33,"blue-collar","married","primary","no",332,"yes","no","unknown",6,"may",116,2,-1,0,"unknown",1
"644",42,"technician","single","secondary","no",0,"yes","no","unknown",6,"may",293,1,-1,0,"unknown",1
"645",43,"unemployed","married","secondary","no",0,"yes","no","unknown",6,"may",37,2,-1,0,"unknown",1
"650",41,"technician","married","secondary","no",-366,"yes","yes","unknown",6,"may",29,3,-1,0,"unknown",1
"653",44,"self-employed","divorced","tertiary","no",4,"yes","no","unknown",6,"may",312,3,-1,0,"unknown",1
"657",41,"services","married","unknown","no",4,"no","no","unknown",6,"may",284,2,-1,0,"unknown",1
"672",31,"blue-collar","single","secondary","no",0,"yes","no","unknown",6,"may",273,2,-1,0,"unknown",1
"679",31,"management","single","secondary","no",783,"yes","no","unknown",6,"may",320,1,-1,0,"unknown",1
"688",53,"admin.","married","secondary","no",244,"yes","yes","unknown",6,"may",197,2,-1,0,"unknown",1
"694",39,"services","married","secondary","no",1205,"yes","no","unknown",6,"may",118,2,-1,0,"unknown",1
"696",44,"entrepreneur","married","tertiary","no",1631,"yes","no","unknown",6,"may",346,2,-1,0,"unknown",1
"697",40,"admin.","married","secondary","no",6,"yes","no","unknown",6,"may",60,3,-1,0,"unknown",1
"698",49,"blue-collar","married","secondary","no",26,"yes","no","unknown",6,"may",276,2,-1,0,"unknown",1
"703",33,"admin.","married","secondary","no",21,"no","no","unknown",6,"may",189,3,-1,0,"unknown",1
"713",36,"entrepreneur","married","tertiary","no",125,"yes","no","unknown",6,"may",95,3,-1,0,"unknown",1
"726",60,"retired","married","primary","no",364,"yes","no","unknown",6,"may",631,2,-1,0,"unknown",1
"728",42,"admin.","married","secondary","no",101,"yes","no","unknown",6,"may",32,3,-1,0,"unknown",1
"730",51,"blue-collar","divorced","primary","no",325,"yes","no","unknown",6,"may",254,2,-1,0,"unknown",1
"732",47,"entrepreneur","married","unknown","no",209,"yes","no","unknown",6,"may",135,2,-1,0,"unknown",1
"734",34,"management","married","tertiary","no",105,"yes","no","unknown",6,"may",314,3,-1,0,"unknown",1
"735",35,"services","married","secondary","no",109,"yes","no","unknown",6,"may",597,3,-1,0,"unknown",1
"737",40,"blue-collar","married","primary","no",-7,"yes","no","unknown",6,"may",410,2,-1,0,"unknown",1
"747",56,"self-employed","married","unknown","no",7,"no","no","unknown",6,"may",305,2,-1,0,"unknown",1
"749",37,"blue-collar","single","secondary","no",88,"yes","no","unknown",6,"may",128,2,-1,0,"unknown",1
"752",54,"blue-collar","married","secondary","no",254,"yes","no","unknown",6,"may",66,2,-1,0,"unknown",1
"769",29,"student","single","secondary","no",110,"yes","no","unknown",7,"may",169,3,-1,0,"unknown",1
"772",50,"blue-collar","married","primary","no",156,"yes","no","unknown",7,"may",117,3,-1,0,"unknown",1
"774",39,"admin.","married","secondary","no",20,"yes","no","unknown",7,"may",124,2,-1,0,"unknown",1
"775",55,"technician","single","tertiary","no",92,"yes","no","unknown",7,"may",118,3,-1,0,"unknown",1
"787",32,"technician","divorced","secondary","no",210,"yes","yes","unknown",7,"may",188,2,-1,0,"unknown",1
"791",32,"blue-collar","single","secondary","no",301,"yes","no","unknown",7,"may",395,2,-1,0,"unknown",1
"810",57,"technician","married","secondary","no",197,"no","no","unknown",7,"may",32,1,-1,0,"unknown",1
"815",57,"services","married","secondary","no",1,"no","no","unknown",7,"may",852,1,-1,0,"unknown",1
"846",33,"blue-collar","married","primary","no",716,"yes","no","unknown",7,"may",83,3,-1,0,"unknown",1
"858",38,"services","married","secondary","no",208,"yes","no","unknown",7,"may",800,1,-1,0,"unknown",1
"860",33,"services","divorced","secondary","no",392,"yes","yes","unknown",7,"may",254,1,-1,0,"unknown",1
"861",33,"retired","married","secondary","no",165,"no","no","unknown",7,"may",111,1,-1,0,"unknown",1
"867",49,"blue-collar","married","primary","no",3659,"yes","no","unknown",7,"may",160,1,-1,0,"unknown",1
"872",31,"admin.","single","secondary","no",299,"yes","no","unknown",7,"may",492,2,-1,0,"unknown",1
"879",31,"technician","married","secondary","no",344,"yes","no","unknown",7,"may",123,1,-1,0,"unknown",1
"883",33,"housemaid","married","tertiary","no",98,"yes","yes","unknown",7,"may",109,1,-1,0,"unknown",1
"887",42,"management","married","tertiary","no",263,"yes","no","unknown",7,"may",254,1,-1,0,"unknown",1
"898",38,"admin.","single","secondary","no",100,"yes","no","unknown",7,"may",786,1,-1,0,"unknown",2
"899",49,"admin.","married","secondary","no",326,"yes","no","unknown",7,"may",99,2,-1,0,"unknown",1
"901",52,"admin.","single","secondary","no",545,"yes","no","unknown",7,"may",260,1,-1,0,"unknown",1
"905",33,"management","married","tertiary","no",442,"yes","no","unknown",7,"may",463,1,-1,0,"unknown",1
"917",40,"services","single","tertiary","no",8823,"yes","no","unknown",7,"may",378,1,-1,0,"unknown",1
"919",38,"blue-collar","married","unknown","no",5,"yes","no","unknown",7,"may",221,2,-1,0,"unknown",1
"920",37,"unemployed","divorced","secondary","no",74,"yes","no","unknown",7,"may",150,1,-1,0,"unknown",1
"925",32,"blue-collar","married","secondary","no",-205,"yes","no","unknown",7,"may",388,1,-1,0,"unknown",1
"926",30,"management","single","tertiary","no",112,"yes","no","unknown",7,"may",245,1,-1,0,"unknown",1
"927",35,"services","married","secondary","no",39,"no","no","unknown",7,"may",143,1,-1,0,"unknown",1
"932",33,"blue-collar","married","secondary","no",0,"no","no","unknown",7,"may",107,1,-1,0,"unknown",1
"933",40,"blue-collar","married","secondary","yes",-94,"yes","yes","unknown",7,"may",227,1,-1,0,"unknown",1
"935",54,"blue-collar","married","secondary","no",-932,"yes","no","unknown",7,"may",799,1,-1,0,"unknown",1
"936",39,"blue-collar","married","primary","no",20,"yes","no","unknown",7,"may",109,1,-1,0,"unknown",1
"938",52,"admin.","married","secondary","no",31,"yes","no","unknown",7,"may",120,1,-1,0,"unknown",1
"953",33,"blue-collar","married","primary","no",198,"yes","no","unknown",7,"may",121,2,-1,0,"unknown",1
"955",43,"admin.","single","unknown","no",87,"yes","no","unknown",7,"may",328,2,-1,0,"unknown",1
"958",57,"retired","married","secondary","no",502,"yes","no","unknown",7,"may",229,3,-1,0,"unknown",1
"964",48,"services","divorced","secondary","no",852,"yes","yes","unknown",7,"may",202,1,-1,0,"unknown",1
"965",46,"blue-collar","married","primary","no",143,"yes","no","unknown",7,"may",279,1,-1,0,"unknown",1
"980",52,"admin.","married","primary","no",270,"yes","no","unknown",7,"may",294,2,-1,0,"unknown",1
"984",46,"admin.","divorced","secondary","no",207,"yes","no","unknown",7,"may",485,4,-1,0,"unknown",1
"985",51,"blue-collar","married","primary","no",1466,"yes","no","unknown",7,"may",406,2,-1,0,"unknown",1
"987",50,"admin.","married","secondary","no",159,"yes","no","unknown",7,"may",216,2,-1,0,"unknown",1
"998",43,"blue-collar","married","primary","no",61,"yes","no","unknown",7,"may",261,1,-1,0,"unknown",1
"1000",33,"technician","single","secondary","no",56,"no","no","unknown",7,"may",236,2,-1,0,"unknown",1
"1002",50,"technician","married","secondary","no",73,"no","no","unknown",7,"may",93,1,-1,0,"unknown",1
"1011",35,"blue-collar","married","primary","no",624,"yes","no","unknown",7,"may",163,1,-1,0,"unknown",1
"1013",39,"admin.","single","secondary","no",573,"yes","no","unknown",7,"may",329,1,-1,0,"unknown",1
"1021",36,"entrepreneur","married","tertiary","no",1722,"yes","no","unknown",7,"may",349,2,-1,0,"unknown",1
"1024",43,"technician","divorced","tertiary","no",1026,"yes","yes","unknown",7,"may",224,5,-1,0,"unknown",1
"1033",37,"technician","married","tertiary","no",16,"yes","yes","unknown",7,"may",153,3,-1,0,"unknown",1
"1034",39,"blue-collar","married","primary","no",867,"yes","no","unknown",7,"may",481,1,-1,0,"unknown",1
"1035",41,"blue-collar","single","secondary","no",277,"yes","no","unknown",7,"may",2177,4,-1,0,"unknown",1
"1038",60,"blue-collar","divorced","secondary","no",1310,"no","no","unknown",7,"may",152,2,-1,0,"unknown",1
"1042",48,"admin.","married","secondary","no",359,"yes","no","unknown",7,"may",374,1,-1,0,"unknown",1
"1046",34,"blue-collar","married","secondary","no",42,"yes","no","unknown",7,"may",154,2,-1,0,"unknown",1
"1047",23,"management","single","tertiary","no",2605,"yes","no","unknown",7,"may",278,6,-1,0,"unknown",1
"1049",51,"management","married","primary","no",98,"yes","no","unknown",7,"may",114,2,-1,0,"unknown",1
"1066",41,"management","married","tertiary","no",72,"yes","no","unknown",7,"may",764,3,-1,0,"unknown",1
"1068",44,"services","divorced","secondary","no",396,"yes","yes","unknown",7,"may",396,4,-1,0,"unknown",1
"1074",39,"blue-collar","single","secondary","no",29,"yes","no","unknown",7,"may",214,2,-1,0,"unknown",1
"1091",39,"blue-collar","married","tertiary","no",-33,"yes","no","unknown",7,"may",62,5,-1,0,"unknown",1
"1094",46,"blue-collar","single","secondary","no",76,"yes","no","unknown",7,"may",245,2,-1,0,"unknown",1
"1104",52,"technician","married","unknown","no",133,"yes","no","unknown",7,"may",253,8,-1,0,"unknown",1
"1107",47,"technician","married","primary","no",145,"yes","no","unknown",7,"may",157,6,-1,0,"unknown",1
"1111",40,"admin.","single","secondary","no",-227,"yes","no","unknown",7,"may",161,3,-1,0,"unknown",1
"1116",59,"retired","divorced","primary","no",137,"yes","yes","unknown",7,"may",66,3,-1,0,"unknown",1
"1123",41,"blue-collar","married","primary","no",258,"yes","no","unknown",7,"may",252,1,-1,0,"unknown",1
"1124",43,"technician","married","primary","no",117,"yes","no","unknown",7,"may",84,2,-1,0,"unknown",1
"1131",43,"admin.","single","secondary","no",2527,"yes","no","unknown",7,"may",276,4,-1,0,"unknown",1
"1133",38,"blue-collar","single","primary","no",20,"yes","no","unknown",7,"may",81,2,-1,0,"unknown",1
"1142",34,"services","divorced","secondary","no",78,"yes","no","unknown",7,"may",35,3,-1,0,"unknown",1
"1143",32,"entrepreneur","married","secondary","no",135,"yes","no","unknown",7,"may",143,2,-1,0,"unknown",1
"1145",36,"services","single","secondary","no",248,"yes","no","unknown",7,"may",90,2,-1,0,"unknown",1
"1148",37,"technician","married","secondary","no",157,"yes","no","unknown",7,"may",238,2,-1,0,"unknown",1
"1151",44,"technician","married","secondary","no",-97,"yes","no","unknown",7,"may",408,3,-1,0,"unknown",1
"1162",50,"blue-collar","married","primary","no",362,"yes","no","unknown",8,"may",201,2,-1,0,"unknown",1
"1171",41,"blue-collar","married","primary","no",191,"yes","no","unknown",8,"may",67,1,-1,0,"unknown",1
"1181",27,"services","divorced","secondary","no",96,"yes","no","unknown",8,"may",31,1,-1,0,"unknown",1
"1183",29,"admin.","divorced","secondary","no",1320,"yes","yes","unknown",8,"may",489,1,-1,0,"unknown",1
"1188",57,"retired","married","primary","no",207,"yes","no","unknown",8,"may",193,1,-1,0,"unknown",1
"1190",56,"management","divorced","tertiary","no",177,"yes","no","unknown",8,"may",1040,1,-1,0,"unknown",1
"1191",33,"blue-collar","divorced","primary","no",176,"yes","no","unknown",8,"may",622,1,-1,0,"unknown",1
"1199",28,"housemaid","divorced","primary","no",1,"yes","no","unknown",8,"may",923,1,-1,0,"unknown",1
"1201",32,"blue-collar","single","primary","no",611,"yes","no","unknown",8,"may",541,3,-1,0,"unknown",2
"1204",39,"admin.","married","secondary","no",419,"yes","yes","unknown",8,"may",35,1,-1,0,"unknown",1
"1214",31,"management","single","tertiary","no",7444,"yes","yes","unknown",8,"may",20,1,-1,0,"unknown",1
"1215",30,"management","single","tertiary","no",59,"yes","yes","unknown",8,"may",202,1,-1,0,"unknown",1
"1216",46,"blue-collar","married","primary","no",45,"yes","no","unknown",8,"may",235,1,-1,0,"unknown",1
"1218",32,"blue-collar","single","secondary","no",5,"yes","yes","unknown",8,"may",134,1,-1,0,"unknown",1
"1224",26,"blue-collar","married","secondary","yes",20,"yes","no","unknown",8,"may",200,1,-1,0,"unknown",1
"1230",36,"technician","married","secondary","no",5611,"yes","no","unknown",8,"may",39,1,-1,0,"unknown",1
"1239",24,"services","married","secondary","no",620,"yes","no","unknown",8,"may",144,1,-1,0,"unknown",1
"1240",41,"technician","married","unknown","no",254,"yes","no","unknown",8,"may",690,1,-1,0,"unknown",1
"1248",49,"services","married","secondary","no",-8,"yes","no","unknown",8,"may",1119,1,-1,0,"unknown",2
"1260",33,"blue-collar","married","primary","yes",-744,"yes","no","unknown",8,"may",206,1,-1,0,"unknown",1
"1267",32,"technician","single","secondary","no",10,"yes","no","unknown",8,"may",107,1,-1,0,"unknown",1
"1276",35,"management","married","tertiary","no",1942,"yes","no","unknown",8,"may",249,1,-1,0,"unknown",1
"1280",35,"management","single","tertiary","no",797,"yes","no","unknown",8,"may",81,1,-1,0,"unknown",1
"1288",32,"services","married","secondary","no",442,"yes","no","unknown",8,"may",207,1,-1,0,"unknown",1
"1289",26,"student","single","secondary","no",85,"yes","no","unknown",8,"may",278,2,-1,0,"unknown",1
"1298",46,"services","married","secondary","no",397,"no","no","unknown",8,"may",93,1,-1,0,"unknown",1
"1300",24,"technician","single","tertiary","no",777,"yes","no","unknown",8,"may",131,1,-1,0,"unknown",1
"1301",41,"management","divorced","tertiary","no",47,"yes","no","unknown",8,"may",160,1,-1,0,"unknown",1
"1309",44,"blue-collar","married","secondary","no",-95,"yes","no","unknown",8,"may",110,1,-1,0,"unknown",1
"1315",36,"management","married","tertiary","no",1852,"no","no","unknown",8,"may",362,1,-1,0,"unknown",1
"1324",57,"management","married","tertiary","no",2261,"yes","no","unknown",8,"may",1007,1,-1,0,"unknown",1
"1331",31,"technician","single","tertiary","no",491,"yes","no","unknown",8,"may",237,1,-1,0,"unknown",1
"1333",34,"blue-collar","single","secondary","no",177,"yes","no","unknown",8,"may",500,1,-1,0,"unknown",1
"1334",51,"admin.","divorced","secondary","no",340,"yes","no","unknown",8,"may",186,1,-1,0,"unknown",1
"1340",43,"blue-collar","married","primary","no",186,"yes","no","unknown",8,"may",178,1,-1,0,"unknown",1
"1341",49,"admin.","divorced","secondary","no",168,"yes","yes","unknown",8,"may",513,1,-1,0,"unknown",2
"1344",49,"services","married","secondary","no",-22,"yes","no","unknown",8,"may",70,1,-1,0,"unknown",1
"1345",50,"technician","married","secondary","no",389,"yes","no","unknown",8,"may",110,1,-1,0,"unknown",1
