"","y","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
"9595",1,785,"France","Male",55,5,0,2,1,1,7008.65,0
"4052",1,793,"France","Female",63,9,116270.72,1,1,1,184243.25,0
"7984",1,774,"France","Female",36,9,114997.42,1,1,0,75304.09,0
"5228",1,701,"France","Male",23,3,0,2,1,0,38960.59,0
"131",1,758,"France","Female",34,3,0,2,1,1,124226.16,0
"1014",1,635,"Spain","Male",24,4,0,2,1,1,70668.77,0
"4836",1,561,"Spain","Male",34,4,85141.79,2,1,1,29217.37,0
"3912",1,782,"France","Female",35,4,0,1,1,1,119565.34,0
"298",1,687,"Spain","Female",44,7,0,3,1,0,155853.52,1
"258",1,671,"Germany","Female",34,6,37266.67,2,0,0,156917.12,0
"79",1,757,"Spain","Male",33,5,77253.22,1,0,1,194239.63,0
"6449",1,680,"Spain","Female",37,6,124140.57,2,1,0,92826.35,0
"7526",1,580,"Germany","Male",35,9,121355.19,1,0,1,35671.45,0
"2744",1,689,"France","Male",22,4,136444.25,1,1,0,51980.25,1
"4403",1,710,"Germany","Female",46,10,120530.34,1,1,0,166586.99,1
"902",1,643,"France","Male",36,7,161064.64,2,0,1,84294.82,0
"3808",1,470,"France","Male",30,3,101140.76,1,1,1,50906.65,0
"561",1,584,"Germany","Female",29,7,105204.01,1,0,1,138490.03,0
"3385",1,775,"France","Female",66,9,0,2,1,1,67622.34,0
"4232",1,628,"France","Male",36,3,0,2,1,1,8742.91,0
"7962",1,809,"France","Female",38,2,154763.21,2,1,1,174800.31,0
"9361",1,552,"Germany","Male",39,2,132906.88,1,0,1,149384.43,0
"959",1,531,"Spain","Male",27,8,132576.25,1,0,0,7222.92,0
"2171",1,554,"France","Male",40,4,0,1,0,1,168780.04,0
"5896",1,738,"Germany","Male",37,7,140950.92,2,1,0,195333.98,0
"1258",1,628,"France","Female",38,3,0,2,1,1,48924.73,0
"8800",1,454,"France","Male",34,4,0,2,1,0,198817.72,0
"4591",1,635,"France","Female",78,6,47536.4,1,1,1,119400.08,0
"4630",1,850,"Germany","Male",49,8,98649.55,1,1,0,119174.88,1
"9347",1,716,"France","Male",41,9,0,1,1,1,113267.48,0
"2902",1,498,"France","Male",73,2,170241.7,2,1,1,165407.96,0
"9738",1,710,"Spain","Male",22,8,0,3,1,0,107292.91,0
"9143",1,494,"France","Female",35,9,112727.06,2,1,0,183752.91,0
"3990",1,666,"France","Male",30,7,109805.3,1,0,1,163625.56,0
"9581",1,783,"France","Male",38,9,114135.17,1,1,0,153269.98,0
"9859",1,507,"Germany","Male",40,3,120105.43,1,1,0,92075.01,1
"8787",1,741,"Germany","Female",19,8,108711.57,2,1,0,24857.25,0
"8626",1,747,"France","Male",43,1,130788.71,1,0,1,101495,1
"6901",1,674,"Spain","Female",41,4,126605.14,1,1,1,166694.93,0
"760",1,664,"France","Male",58,5,98668.18,1,1,1,60887.58,0
"3290",1,773,"Spain","Female",23,8,0,2,1,0,56759.79,0
"1751",1,601,"Germany","Female",33,7,114430.18,2,1,1,153012.13,0
"3910",1,431,"France","Male",63,6,160982.89,1,1,1,168008.17,0
"2324",1,583,"France","Male",51,6,125268.03,2,1,0,165082.25,0
"4265",1,667,"Germany","Female",56,8,137464.04,1,1,0,130846.79,1
"1983",1,667,"France","Male",28,6,165798.1,1,1,0,147090.9,0
"8765",1,773,"Germany","Male",51,8,116197.65,2,1,1,86701.4,0
"4960",1,543,"Spain","Female",46,5,140355.6,1,1,1,85086.78,0
"8518",1,688,"France","Male",20,8,137624.4,2,1,1,197582.79,0
"2533",1,827,"France","Female",60,2,0,2,0,1,60615.83,0
"6604",1,554,"France","Female",35,10,74988.59,2,0,1,190155.13,0
"9970",1,609,"France","Male",41,6,0,1,0,1,112585.19,0
"1911",1,617,"Spain","Male",42,0,70105.87,1,1,1,120830.73,0
"8092",1,768,"France","Male",29,2,95984.69,2,1,1,73686.75,0
"3091",1,734,"Spain","Female",43,3,55853.33,2,0,1,94811.85,1
"2193",1,845,"France","Male",33,8,164385.53,1,1,0,150664.97,0
"102",1,623,"France","Female",44,6,0,2,0,0,167162.43,0
"214",1,676,"France","Female",34,1,63095.01,1,1,1,40645.81,0
"4486",1,751,"Germany","Male",34,9,108513.25,2,1,1,27097.82,0
"8789",1,743,"Germany","Female",35,1,146781.24,1,1,0,189307.7,0
"8352",1,585,"France","Female",30,6,0,2,1,1,137757.69,0
"6406",1,509,"Spain","Male",41,7,126683.8,1,0,1,114775.53,0
"8634",1,767,"France","Female",35,2,0,2,0,0,144251.38,0
"7810",1,579,"Spain","Male",43,2,145843.82,1,1,1,198402.37,1
"181",1,850,"Spain","Female",45,2,122311.21,1,1,1,19482.5,0
"4875",1,703,"France","Male",43,8,0,2,1,0,9704.66,0
"7012",1,697,"France","Female",25,1,0,2,0,0,87803.32,0
"8355",1,556,"Germany","Female",31,1,128663.81,2,1,0,125083.29,0
"4324",1,616,"Spain","Female",43,3,120867.18,1,1,0,18761.92,1
"5034",1,536,"France","Female",61,8,65190.29,1,1,1,64308.49,1
"5385",1,727,"Spain","Male",28,1,0,1,1,0,40357.39,0
"6571",1,685,"Spain","Male",38,4,0,2,1,1,35884.91,0
"6678",1,642,"Spain","Male",26,8,144238.7,1,1,1,184399.76,0
"8232",1,787,"Germany","Male",43,0,132217.45,1,1,0,20955.03,1
"3613",1,635,"Spain","Female",37,3,0,2,1,0,91086.73,0
"4973",1,643,"Germany","Male",41,2,127841.52,1,1,0,172363.41,0
"5570",1,709,"France","Male",36,0,0,2,1,0,46811.77,0
"8998",1,710,"France","Female",33,2,0,2,1,0,72945.32,0
"4766",1,630,"Spain","Female",49,1,0,2,0,1,162858.29,0
"3435",1,692,"France","Male",66,4,159732.02,1,1,1,118188.15,0
"4934",1,420,"Germany","Female",31,1,108377.75,2,1,1,9904.63,0
"478",1,611,"France","Female",40,8,100812.33,2,1,0,147358.27,0
"5523",1,817,"France","Female",37,6,81070.34,2,1,0,80985.88,0
"6133",1,687,"France","Female",34,9,125474.44,1,1,0,198929.84,0
"598",1,646,"Germany","Male",39,9,111574.41,1,1,1,30838.51,0
"3991",1,708,"France","Male",32,10,86614.06,2,1,1,172129.26,0
"7612",1,751,"Spain","Male",38,7,0,2,0,0,90839.61,0
"3475",1,720,"Spain","Male",33,6,97188.62,1,0,0,91881.29,0
"6215",1,458,"Germany","Male",35,9,146780.52,2,1,1,3476.38,0
"6601",1,505,"France","Female",36,2,79951.9,1,0,1,174123.16,1
"4987",1,684,"Spain","Female",36,4,0,1,1,0,117038.96,0
"1456",1,686,"Germany","Male",35,2,109342.82,2,0,1,86043.27,0
"6011",1,759,"Spain","Male",38,1,0,2,1,0,20778.39,0
"8680",1,791,"Germany","Male",35,5,129828.58,1,1,1,181918.26,1
"3939",1,483,"Germany","Male",41,1,118334.44,1,0,0,163147.99,1
"9104",1,671,"France","Female",29,3,0,2,1,0,158043.11,0
"8407",1,701,"Spain","Male",26,5,83600.24,1,0,1,59195.05,0
"8732",1,727,"Spain","Female",41,10,0,2,0,1,47468.56,0
"3938",1,761,"France","Female",26,1,0,2,1,1,199409.19,0
"4709",1,530,"Spain","Male",44,6,0,2,0,0,55893.37,0
"5552",1,583,"Germany","Female",26,10,72835.56,2,1,0,96792.15,0
"9123",1,689,"France","Female",29,1,77556.79,2,1,1,122998.26,0
"1859",1,705,"France","Male",61,4,0,2,1,1,191313.7,0
"4424",1,785,"France","Female",40,3,0,2,1,1,96832.82,0
"1171",1,699,"Spain","Male",26,6,79932.41,1,0,0,150242.44,0
"1725",1,627,"Germany","Male",29,5,139541.58,2,1,0,80607.33,0
"3780",1,624,"France","Male",37,0,0,2,0,0,112104.55,0
"4346",1,720,"Germany","Male",46,3,97042.6,1,1,1,133516.51,1
"1991",1,841,"Spain","Male",41,1,0,2,0,1,193093.77,0
"529",1,572,"Germany","Female",48,3,152827.99,1,1,0,38411.79,1
"4377",1,614,"France","Female",34,5,0,2,1,0,185561.89,0
"9090",1,608,"France","Female",34,4,88772.87,1,1,1,168822.01,0
"6575",1,785,"Germany","Female",38,9,107199.75,1,0,0,146398.51,0
"2058",1,743,"France","Male",32,9,0,2,1,0,175252.78,0
"534",1,543,"Spain","Male",35,10,59408.63,1,1,0,76773.53,0
"5561",1,564,"France","Male",35,4,0,1,1,0,158937.55,0
"8753",1,574,"Spain","Male",30,5,120355,1,1,0,137793.35,0
"3417",1,532,"France","Male",38,9,0,2,0,0,30583.95,0
"5712",1,617,"France","Female",35,2,104508.1,1,1,1,147636.46,0
"585",1,647,"Germany","Female",51,1,119741.77,2,0,0,54954.51,1
"3084",1,466,"France","Male",40,4,91592.06,1,1,0,141210.18,1
"4389",1,553,"Spain","Female",39,1,142876.98,2,1,0,44363.42,0
"6993",1,557,"France","Female",39,7,49572.73,1,1,0,115287.99,1
"3779",1,579,"Spain","Female",59,3,148021.12,1,1,1,74878.22,0
"4399",1,743,"France","Female",39,8,0,1,1,0,94263.44,0
"3750",1,427,"France","Male",33,8,0,1,1,1,13858.95,0
"1542",1,654,"Germany","Male",37,5,112146.12,1,1,0,75927.35,0
"4871",1,648,"Germany","Female",43,1,107963.38,1,0,0,186438.86,1
"3076",1,556,"France","Male",35,10,0,2,1,1,192751.18,0
"2091",1,667,"Spain","Male",39,9,0,2,1,0,68873.8,0
"6333",1,619,"France","Female",35,4,90413.12,1,1,1,20555.21,0
"911",1,604,"France","Male",36,6,116229.85,2,1,1,79633.38,0
"1937",1,728,"Germany","Female",33,9,150412.14,2,1,0,170764.08,0
"4267",1,536,"France","Female",35,8,0,1,1,0,171840.24,1
"4135",1,678,"France","Male",43,5,102338.19,1,1,1,79649.62,0
"810",1,657,"France","Female",37,6,95845.6,1,1,0,122218.23,0
"216",1,668,"Germany","Male",47,7,106854.21,1,0,1,157959.02,1
"5867",1,735,"France","Female",53,8,123845.36,2,0,1,170454.93,1
"1315",1,675,"France","Male",54,2,0,1,1,0,149583.67,1
"6202",1,612,"France","Male",41,5,0,3,0,0,151256.22,0
"1938",1,701,"France","Male",30,3,156660.72,2,1,0,45742.42,0
"6539",1,546,"France","Male",34,4,165363.31,2,1,1,25744.13,1
"1208",1,752,"Germany","Male",30,4,81523.38,1,1,1,36885.85,0
"7905",1,449,"Spain","Male",32,0,155619.36,1,1,1,166692.03,0
"6600",1,850,"France","Male",49,6,128663.9,1,1,0,65769.3,1
"1046",1,588,"Spain","Male",34,6,121132.26,2,1,0,86460.28,0
"3242",1,621,"Germany","Female",31,8,100375.39,1,1,1,90384.26,0
"7028",1,464,"Germany","Male",37,4,155994.15,1,0,0,143665.44,0
"588",1,725,"France","Male",44,5,0,1,1,1,117356.14,0
"8255",1,637,"Germany","Male",28,3,123675.69,1,1,1,166458.41,0
"9826",1,467,"Germany","Male",28,10,126315.26,1,1,0,32349.29,1
"1684",1,711,"France","Male",52,5,0,1,1,1,159808.95,0
"417",1,487,"Germany","Female",61,5,110368.03,1,0,0,11384.45,1
"4669",1,445,"France","Male",31,7,145056.59,1,1,1,175893.53,0
"2934",1,588,"Spain","Male",46,8,0,1,1,0,61931.21,0
"1094",1,651,"France","Male",40,4,0,2,1,1,147715.83,0
"6203",1,690,"Spain","Male",49,8,116622.73,1,0,1,51011.29,0
"7811",1,756,"Germany","Female",34,2,148200.72,1,0,0,194584.48,0
"2251",1,706,"Spain","Male",20,8,0,2,1,1,12368.11,0
"2017",1,696,"France","Male",28,4,172646.82,1,1,1,116471.43,0
"2461",1,660,"Germany","Male",41,1,129901.21,1,1,0,26025.6,1
"4638",1,758,"France","Female",30,3,141581.08,1,1,0,156249.06,0
"7123",1,527,"Spain","Female",46,10,131414.76,1,1,0,54947.51,0
"522",1,850,"France","Male",56,7,131317.48,1,1,1,119175.45,0
"7565",1,598,"Germany","Male",38,1,101487.18,1,1,1,75959.1,1
"8908",1,786,"France","Male",34,3,137361.96,1,0,0,183682.09,0
"3869",1,746,"France","Female",34,4,0,1,0,1,65166.6,0
"6751",1,618,"France","Female",42,2,0,4,0,0,111097.39,1
"2549",1,524,"France","Male",50,4,0,2,1,1,31840.59,1
"3176",1,586,"France","Female",35,7,164769.02,3,1,0,119814.25,1
"1234",1,667,"Germany","Female",39,4,83765.35,2,1,0,118358.54,0
"9574",1,652,"Germany","Male",35,7,104015.54,2,1,1,55207.88,0
"6438",1,623,"France","Female",37,4,140211.88,1,1,1,93832.33,0
"5541",1,737,"France","Male",43,0,80090.93,1,1,0,39920,1
"7328",1,650,"Spain","Male",42,4,194532.66,1,1,0,171045.31,1
"9646",1,695,"France","Female",31,5,106089.2,1,0,0,99537.68,0
"5852",1,576,"Spain","Male",33,3,0,2,0,1,190112.05,0
"7680",1,647,"Spain","Male",32,9,80958.36,1,1,1,128590.73,0
"8672",1,542,"Germany","Female",35,9,127543.11,2,1,0,468.94,1
"8917",1,499,"France","Female",46,6,0,2,1,0,73457.55,0
"8138",1,410,"France","Male",33,6,125789.69,1,0,0,66333.56,1
"1826",1,770,"Germany","Male",45,4,110765.68,1,1,0,26163.74,1
"1452",1,551,"France","Female",38,10,0,2,1,1,216.27,0
"1131",1,571,"Germany","Female",34,1,101736.66,1,0,1,195651.66,0
"7845",1,612,"France","Female",38,1,0,2,1,1,9209.21,0
"3961",1,535,"France","Male",47,0,160729.1,1,0,1,145986.35,0
"2242",1,681,"Germany","Male",42,3,118199.97,2,1,0,9452.88,1
"2949",1,620,"France","Female",29,1,138740.24,2,0,0,154700.61,0
"8557",1,629,"Spain","Male",41,10,150148.51,1,0,0,6936.27,0
"6089",1,661,"France","Female",30,7,0,2,1,0,72196.57,0
"1190",1,701,"France","Male",40,5,169742.64,1,1,1,153537.55,1
"207",1,608,"Spain","Female",41,3,89763.84,1,0,0,199304.74,1
"3798",1,839,"France","Female",51,3,0,1,1,1,69101.23,1
"5225",1,803,"Spain","Male",43,3,0,1,1,0,72051.44,0
"5602",1,704,"Spain","Female",44,9,153656.85,1,1,0,158742.81,0
"4536",1,727,"Germany","Male",37,9,101191.83,1,1,1,34551.35,1
"991",1,655,"France","Male",37,5,93147,2,1,0,66214.13,0
"8443",1,598,"France","Female",34,4,0,2,0,0,60894.26,0
"3636",1,740,"France","Female",37,5,0,2,1,1,27528.4,0
"9510",1,688,"France","Male",29,1,0,2,1,0,154695.57,0
"613",1,605,"France","Female",64,2,129555.7,1,1,1,13601.79,0
"6607",1,792,"France","Male",31,6,71269.89,2,0,1,125912.77,0
"2967",1,511,"France","Male",45,5,68375.27,1,1,0,193160.25,1
"141",1,756,"Germany","Male",44,10,137452.09,1,1,0,189543.9,0
"7068",1,746,"France","Female",24,4,0,1,0,1,94105,0
"7547",1,697,"France","Female",42,10,0,2,1,0,61312.15,0
"4234",1,705,"France","Male",32,3,0,2,0,0,129576.99,0
"2392",1,850,"France","Male",31,3,0,2,1,0,121866.87,0
"1235",1,771,"France","Female",66,7,143773.07,1,1,1,130827.88,0
"7629",1,850,"France","Male",28,8,99986.98,1,1,0,196582.55,0
"461",1,468,"Germany","Male",29,1,111681.98,2,1,1,195711.16,0
"1691",1,675,"Spain","Male",36,3,54098.18,2,0,1,54478.52,0
"4823",1,745,"France","Female",32,2,0,4,0,1,179705.13,1
"542",1,622,"France","Male",26,9,0,2,1,1,153237.59,0
"6075",1,811,"France","Female",45,5,0,2,1,1,146123.19,0
"8019",1,632,"Germany","Male",23,3,122478.51,1,1,0,147230.77,1
"1738",1,769,"Spain","Male",39,9,0,1,1,1,47722.79,0
"3789",1,660,"Germany","Male",28,2,170890.05,2,1,0,41758.9,0
"7669",1,526,"Germany","Male",61,6,133845.28,2,1,1,45180.8,0
"854",1,653,"France","Female",43,6,0,2,1,1,7330.59,0
"1635",1,705,"Spain","Female",23,5,0,2,1,1,73131.73,0
"8687",1,606,"France","Female",71,8,0,2,1,1,169741.96,0
"6193",1,551,"France","Male",43,7,0,2,1,0,178393.68,0
"6898",1,492,"France","Female",48,6,127253.98,1,1,1,92144.09,1
"3541",1,672,"France","Male",43,5,0,1,0,0,63833.09,0
"5820",1,546,"France","Male",29,5,0,1,1,1,94823.95,0
"1678",1,784,"Spain","Female",40,8,0,2,1,0,108891.3,0
"2222",1,767,"Germany","Female",35,6,132253.22,1,1,0,115566.57,1
"9881",1,584,"Germany","Male",42,3,137479.13,1,1,0,25669.1,0
"8539",1,731,"Spain","Female",33,5,137388.01,2,1,0,165000.68,0
"5905",1,692,"Germany","Male",45,6,142084.04,4,1,0,188305.85,1
"4238",1,498,"France","Female",29,9,0,1,1,0,190035.83,0
"8678",1,609,"Germany","Female",40,10,137389.77,2,1,0,170122.22,0
"118",1,506,"France","Female",41,1,0,2,1,0,31766.3,0
"3623",1,592,"Spain","Male",55,8,85845.43,2,1,1,128918.42,0
"8501",1,660,"France","Male",37,2,97324.91,1,1,0,23291.83,0
"8549",1,517,"Spain","Male",46,4,0,1,1,0,22372.78,0
"7420",1,748,"Germany","Female",40,3,103499.09,2,0,0,38153.19,0
"2203",1,850,"Spain","Male",28,9,97408.03,1,1,1,175853.64,0
"309",1,614,"France","Male",50,4,137104.47,1,1,0,127166.49,1
"1702",1,792,"France","Male",50,9,0,4,1,1,194700.81,1
"61",1,742,"Germany","Male",35,5,136857,1,0,0,84509.57,0
"6984",1,706,"France","Male",35,5,0,2,1,1,81718.37,0
"4848",1,534,"France","Female",23,5,104822.45,1,0,1,160176.47,0
"3251",1,611,"France","Male",58,8,0,2,0,1,107665.68,1
"8050",1,652,"France","Female",31,3,103696.97,3,0,0,155221.05,1
"9488",1,850,"Spain","Female",32,5,0,1,1,1,3830.59,0
"9292",1,636,"France","Male",36,5,117559.05,2,1,1,111573.3,0
"1111",1,713,"France","Female",52,0,185891.54,1,1,1,46369.57,1
"3048",1,784,"Spain","Male",48,7,0,2,1,1,182609.97,0
"9380",1,690,"Spain","Female",26,2,0,2,1,1,93255.85,0
"8205",1,724,"France","Female",34,3,132352.69,1,1,0,80320.3,0
"4733",1,638,"Germany","Female",53,1,123916.67,1,1,0,16657.68,1
"9216",1,584,"Germany","Female",37,10,134171.8,4,1,1,70927.11,1
"2574",1,689,"Spain","Male",40,2,0,2,1,1,164768.82,0
"41",1,472,"Spain","Male",40,4,0,1,1,0,70154.22,0
"772",1,717,"France","Male",31,4,129722.57,1,0,0,41176.6,0
"9311",1,651,"Spain","Male",47,2,0,2,1,1,119808.64,0
"1546",1,602,"Germany","Female",42,6,158414.85,1,1,1,131886.46,0
"3960",1,663,"Germany","Male",49,7,116150.65,3,1,1,84358.71,1
"8013",1,747,"France","Female",34,10,0,2,1,1,50759.8,0
"8923",1,550,"Germany","Male",35,9,129847.75,2,1,0,197325.4,0
"4842",1,587,"Germany","Female",44,5,125584.17,2,1,1,41852.24,1
"755",1,838,"Spain","Female",39,5,166733.92,2,1,0,14279.44,0
"9841",1,576,"Spain","Male",26,8,0,2,0,1,34101.06,0
"6511",1,619,"Spain","Male",46,8,62400.48,1,1,1,132498.39,1
"875",1,645,"France","Female",38,5,101430.3,2,0,1,4400.32,0
"3803",1,615,"Germany","Female",44,9,126104.98,2,0,1,110718.02,0
"5755",1,714,"Germany","Female",45,9,106431.97,2,1,1,164117.69,0
"6833",1,594,"Germany","Female",21,2,87096.82,2,1,0,168186.11,0
"5503",1,614,"Spain","Female",40,3,113348.5,1,1,1,77789.01,0
"6926",1,659,"Germany","Male",29,9,82916.48,1,1,1,84133.48,0
"6286",1,850,"Germany","Female",35,7,114285.2,1,0,1,129660.59,0
"3346",1,658,"France","Female",31,7,123974.96,1,1,0,102153.75,0
"6912",1,705,"Germany","Female",54,3,125889.3,3,1,0,96013.5,1
"3286",1,735,"Germany","Female",43,9,98807.45,1,0,0,184570.04,1
"6285",1,596,"France","Male",33,8,0,1,1,0,121189.3,1
"5215",1,740,"Germany","Female",57,3,113386.36,2,1,1,65121.63,1
"8383",1,599,"Spain","Male",25,3,0,2,1,1,120790.02,0
"2891",1,586,"Spain","Male",34,5,168094.01,1,0,0,20058.61,0
"6915",1,702,"France","Male",40,7,145536.9,1,0,1,135334.24,0
"6059",1,668,"Germany","Male",56,9,110993.79,1,1,0,134396.64,1
"7242",1,521,"France","Male",37,5,105843.26,2,1,1,84908.2,0
"2218",1,666,"Spain","Male",35,2,104832.49,1,1,0,175015.12,0
"6674",1,729,"France","Female",36,8,109106.8,1,0,0,121311.12,0
"5786",1,753,"France","Male",48,4,0,2,0,1,146821.42,0
"5380",1,627,"France","Female",21,7,98993.02,1,1,1,169156.64,0
"5599",1,616,"Germany","Female",57,7,116936.81,1,1,1,104379.36,0
"7445",1,742,"France","Female",29,4,0,2,1,1,180066.59,0
"4130",1,618,"France","Male",48,7,0,1,1,0,13921.82,1
"3727",1,749,"Germany","Female",29,7,137059.05,3,1,0,102975.72,1
"2552",1,537,"France","Female",53,3,0,1,1,1,91406.62,0
"2610",1,682,"France","Female",46,2,0,1,1,1,114442.66,0
"9751",1,708,"France","Female",51,8,70754.18,1,1,1,92920.04,1
"166",1,660,"Germany","Male",31,9,125189.75,2,1,1,139874.43,0
"8168",1,713,"Germany","Female",24,7,147687.24,1,1,1,121592.5,0
"3177",1,722,"Germany","Male",29,1,107233.85,2,1,0,24924.92,0
"7699",1,592,"France","Male",60,9,0,4,1,1,13614.01,1
"936",1,619,"France","Female",38,3,0,2,0,1,116467.35,0
"8542",1,647,"Spain","Male",47,5,105603.21,2,1,1,157360.9,0
"7295",1,653,"Germany","Male",31,2,154741.45,2,0,0,25183.01,0
"5151",1,515,"France","Female",37,0,196853.62,1,1,1,132770.11,0
"8739",1,627,"France","Male",43,8,71240.3,1,0,1,127734.16,0
"491",1,591,"Spain","Male",29,1,97541.24,1,1,1,196356.17,0
"2663",1,669,"France","Female",44,8,96418.09,1,0,0,131609.48,1
"5773",1,665,"France","Male",35,8,110934.54,1,1,0,169287.99,0
"2609",1,600,"France","Male",32,1,0,1,1,1,101986.16,0
"8203",1,589,"Spain","Female",27,4,0,2,1,0,144181.48,0
"5269",1,691,"France","Male",28,1,0,2,0,0,92865.41,0
"7517",1,644,"France","Male",40,8,93183.19,1,1,0,73882.49,0
"7378",1,691,"France","Female",40,0,115465.98,1,1,1,60622.61,0
"2759",1,624,"France","Male",36,6,0,2,0,0,84635.64,0
"7362",1,692,"France","Female",36,4,0,1,1,0,185580.89,1
"3894",1,543,"France","Female",42,5,0,2,0,0,101905.34,0
"8211",1,703,"Spain","Male",31,6,0,2,1,1,67667.19,0
"3535",1,677,"Germany","Female",44,4,148770.61,2,1,1,191057.76,0
"8976",1,567,"Germany","Male",41,0,134378.89,1,1,1,105746.94,0
"3948",1,682,"France","Male",61,10,73688.2,1,1,1,172141.33,0
"3349",1,825,"France","Male",40,6,132308.22,1,0,0,117122.5,0
"4331",1,781,"France","Female",19,3,0,2,1,1,124297.32,0
"5754",1,760,"Spain","Female",41,6,0,2,0,0,101491.23,0
"793",1,850,"Germany","Female",48,6,111962.99,1,1,0,111755.8,0
"4765",1,696,"Spain","Female",36,3,0,3,1,0,65039.9,0
"9954",1,550,"France","Male",47,2,0,2,1,1,97057.28,0
"2535",1,717,"Germany","Female",35,5,103214.71,1,1,0,172172.7,0
"7100",1,654,"France","Female",37,5,0,1,0,1,71492.28,0
"1144",1,630,"France","Male",43,9,0,2,1,1,34338.04,0
"7607",1,680,"Germany","Female",31,3,127331.46,3,1,1,176433.6,0
"8391",1,660,"France","Female",48,0,90044.32,2,0,1,187604.97,1
"7864",1,746,"France","Male",47,8,142382.03,1,1,1,62086.62,0
"6309",1,565,"Germany","Male",52,5,97720.35,2,1,0,175070.94,1
"7008",1,639,"France","Female",38,5,0,2,0,0,93716.38,0
"9057",1,765,"Germany","Female",46,8,119492.88,2,0,1,166896.01,1
"9721",1,803,"France","Female",40,6,165526.71,1,1,0,12328.08,0
"8010",1,574,"France","Male",34,1,112572.39,1,0,0,165626.6,0
"2030",1,520,"France","Male",33,4,156297.58,2,1,1,166102.61,0
"3968",1,602,"France","Male",32,10,0,2,1,1,116052.92,0
"9122",1,618,"France","Female",40,0,0,1,1,0,119059.13,0
"6142",1,572,"France","Male",24,1,0,2,1,1,151460.84,0
"618",1,612,"Germany","Female",62,8,140745.33,1,1,0,193437.89,1
"9501",1,739,"Spain","Female",27,8,98926.4,1,1,1,106969.98,0
"535",1,550,"France","Female",40,7,114354.95,1,1,0,54018.93,0
"3471",1,649,"France","Female",36,2,0,2,0,1,75035.48,0
"3736",1,447,"France","Female",32,10,0,1,1,1,151815.76,0
"5121",1,663,"France","Male",26,5,141462.13,1,1,0,440.2,0
"8433",1,479,"France","Male",47,6,121797.09,1,0,1,5811.9,1
"5076",1,792,"Spain","Male",25,8,142862.21,1,1,1,130639.01,0
"1791",1,697,"Germany","Female",74,3,108071.36,2,1,1,16445.79,0
"3270",1,664,"Germany","Male",33,7,97286.16,2,1,0,143433.33,0
"4949",1,772,"Spain","Female",39,4,122486.11,2,1,1,140709.25,0
"5677",1,749,"France","Female",26,6,0,2,0,1,34948.77,0
"4015",1,641,"Germany","Female",51,2,117306.69,4,1,1,26912.72,1
"6492",1,687,"France","Female",30,6,0,2,0,0,179206.92,0
"9190",1,607,"Germany","Male",32,9,144272.07,2,1,0,176580.63,0
"7037",1,540,"Germany","Male",37,3,129965.18,1,0,0,19374.08,0
"3937",1,707,"Spain","Female",32,4,132835.56,1,0,0,136877.24,0
"5539",1,717,"Germany","Female",28,9,82498.14,2,0,0,40437.67,0
"2438",1,581,"France","Male",41,8,0,2,0,0,29737.14,0
"6132",1,686,"France","Male",60,9,0,3,1,1,75246.21,1
"576",1,546,"France","Female",27,8,0,2,1,1,14858.1,0
