"","y","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","SeriousDlqin2yrs"
"6552",1,0.011768741,60,0,0.557814062,3000,7,0,1,0,0,0
"1027",1,0.187116433,59,1,1.071928072,1000,12,0,1,0,0,0
"3652",1,0.037273952,63,0,0.953488372,1805,8,0,1,0,0,0
"15354",1,0.500745115,53,1,0.41603811,5037,12,1,1,0,1,1
"16228",1,0.9999999,40,98,0.010938924,3290,0,98,0,98,3,1
"14877",1,0.465116279,47,5,0.245709502,7166,4,1,1,0,1,1
"769",1,0.015935154,60,0,0.640898183,5833,9,0,2,0,2,0
"6186",1,0.985368957,81,2,0.668311017,4256,11,0,3,0,1,0
"3290",1,0.149750347,42,0,0.162141893,20000,11,1,1,0,4,0
"7004",1,0.123325112,52,0,0.252872096,7833,4,0,1,0,0,0
"14951",1,1.114942529,51,4,0.174885207,10017,9,2,1,0,1,1
"5282",1,0.9999999,48,1,0.203686348,3200,2,3,0,1,3,0
"15963",1,1.171502257,51,2,0.295800646,4333,8,1,0,1,2,1
"7322",1,0.796165298,53,0,0.614919254,20000,27,0,4,0,4,0
"6566",1,0,63,0,1.678321678,1000,9,0,1,0,0,0
"2569",1,0.00982871,51,0,0.312819373,4500,7,0,2,0,0,0
"16652",1,1.027420737,42,0,0.213957209,5000,3,4,0,0,1,1
"14093",1,0.674584899,48,2,0.500514227,8750,9,0,2,0,2,1
"5506",1,0.028722206,82,0,0.019744483,2582,9,0,0,0,0,0
"367",1,0.010103634,32,0,0.013398295,820,5,0,0,0,0,0
"1937",1,0.375094956,47,0,0.32950801,8800,10,0,2,0,0,0
"2041",1,0.017636813,69,0,0.018691589,3958,11,0,0,0,0,0
"5757",1,0.275223045,90,0,0.119645337,9360,8,0,0,0,0,0
"6292",1,0.138134643,63,1,0.159773877,3360,6,0,0,0,0,0
"11949",1,0.435019209,48,0,0.575395915,4356,23,0,0,0,2,1
"1116",1,0.323449016,48,0,0.324907575,11630,17,0,1,0,1,0
"917",1,0,74,0,0.12201068,8613,7,0,1,0,0,0
"14641",1,0.9999999,38,0,0.110065535,5950,2,1,0,0,3,1
"2706",1,0.765418086,28,0,0.44486692,4733,8,0,1,0,0,0
"12838",1,0.503930131,30,0,0.174610556,4300,4,0,0,0,2,1
"15957",1,1.550759392,45,3,0.268878019,6541,6,13,0,1,0,1
"5957",1,0.532352884,59,0,0.445469957,5308,9,0,2,0,0,0
"10125",1,0.585804617,62,0,0.534616346,4000,11,0,0,1,0,1
"6898",1,0.145548205,68,0,0.211653813,3500,4,0,0,0,0,0
"13998",1,0.910738771,51,3,0.447592068,6000,13,0,0,0,0,1
"4871",1,0.11699904,35,0,0.217902568,8333,4,0,1,0,0,0
"7069",1,0.181204699,67,0,0.11059044,3200,3,0,1,0,0,0
"6369",1,0,43,0,0.36853633,10500,6,0,1,0,0,0
"7416",1,0.023747991,65,0,0.370902078,4666,6,0,1,0,0,0
"376",1,0.43032302,39,0,0.369438202,2224,7,0,0,0,0,0
"12201",1,0.9999999,65,98,0.026164462,3477,0,98,0,98,1,1
"3297",1,0.586470627,58,0,0.868852459,2500,10,0,2,0,1,0
"3748",1,0.04559544,65,0,0.294095454,5300,3,0,1,0,0,0
"7479",1,0,64,0,0.248011519,14583,7,0,2,0,0,0
"16469",1,0.830632561,43,1,0.835431518,6592,20,0,1,0,0,1
"3553",1,0.174505658,54,0,0.130486951,10000,12,0,1,0,2,0
"8649",1,0.538073669,53,0,0.406379681,20000,9,0,1,1,1,1
"11921",1,0.908687214,39,0,0.932186235,2963,14,0,1,0,0,1
"13510",1,2.658585354,36,0,0.262861904,4800,5,0,0,0,2,1
"14863",1,0.57753097,53,1,0.887293765,4666,30,5,1,0,1,1
"12308",1,0.9999999,26,0,0.003740648,801,0,1,0,0,0,1
"7701",1,0.11849209,31,0,0.593933127,2900,6,0,1,0,0,0
"9669",1,0.962681493,57,3,14969,0,15,1,8,2,3,1
"11701",1,0.759312034,63,1,0.244748611,7378,6,0,1,0,0,1
"13315",1,1.001272496,62,1,0.280813653,5800,7,4,0,1,2,1
"6739",1,0.575314156,59,0,0.653881071,4405,6,0,1,0,0,0
"13424",1,0,44,0,0.590437377,23800,16,0,8,0,2,1
"15773",1,1.34620506,74,1,0.124943208,2200,5,3,0,1,0,1
"9273",1,0.327707207,49,1,0.253484482,5380,13,0,0,0,2,1
"3444",1,0.931517121,39,0,0.08013141,7000,4,0,0,0,5,0
"13895",1,0.896123151,35,1,0.444711058,5000,10,0,1,0,4,1
"2934",1,0.925591362,49,0,0.852429514,3333,12,0,1,0,0,0
"12964",1,0.972585273,43,4,0.445900911,4500,6,0,1,1,0,1
"2261",1,0.251937146,53,0,0.022365869,7734,3,0,0,0,1,0
"2353",1,0.063645565,41,0,0.862779786,13000,14,0,2,0,2,0
"3217",1,0.078278434,55,0,0.490662761,5461,10,0,1,0,0,0
"11184",1,0.762486127,57,2,0.117965479,9790,16,0,0,0,0,1
"29",1,0.259730764,61,1,0.501488498,3694,11,0,3,0,0,0
"1176",1,0.403982406,44,0,1.426423466,4056,25,0,2,0,3,0
"7493",1,0.282341078,37,0,0.170753323,3384,3,0,0,0,0,0
"6998",1,1563,67,0,0.270837891,4570,8,0,0,0,0,0
"16592",1,0.9999999,48,0,0.191956124,4375,4,0,0,0,1,1
"7370",1,0.772768233,49,0,0.343838296,4600,10,0,0,0,1,0
"4382",1,0.451278422,47,1,1288,1,9,0,1,0,0,0
"8775",1,0.02369459,78,0,0.07295271,3467,14,0,0,0,0,1
"13083",1,1.677857714,51,0,1.058661417,2539,9,4,2,5,0,1
"5545",1,0.662553003,45,0,0.282976419,12000,6,0,2,0,2,0
"4379",1,0.17708286,40,0,0.080538133,11000,2,0,0,0,3,0
"5926",1,0.169902507,44,0,0.266531027,11795,18,0,4,0,2,0
"1509",1,0.000597818,46,0,0.278760369,19166,12,0,1,0,0,0
"10563",1,0.271818787,25,1,0.011994003,2000,1,1,0,1,0,1
"3506",1,0.004274893,34,0,0.155669443,1560,8,0,0,0,0,0
"8600",1,0.228858908,76,0,0.509541082,6340,14,0,6,0,0,1
"2430",1,0.019883529,39,0,0.45915986,3427,11,0,1,0,2,0
"10306",1,0.119851436,43,0,0.706151832,4583,9,0,4,0,0,1
"7354",1,0.758201608,46,0,0.292906178,7865,6,0,2,0,1,0
"9657",1,1.081836327,35,1,0.064733817,4000,2,3,0,1,2,1
"6340",1,0,50,0,0.264536406,13362,8,0,2,0,1,0
"4435",1,0.816565746,41,2,0.40434333,2900,10,0,0,0,2,0
"7406",1,0.272826837,63,0,0.322559147,3000,12,0,1,0,0,0
"375",1,0.010549824,54,0,0.002776064,6483,3,0,0,0,0,0
"1599",1,0.553482173,62,0,1.950248756,200,7,0,0,0,0,0
"3460",1,0.389826163,38,1,0.298280688,2500,4,0,0,0,0,0
"3145",1,0.237288136,45,0,0.046784174,10665,3,0,0,0,4,0
"14928",1,0.719416072,53,0,0.530313125,1500,15,0,0,0,0,1
"11964",1,0.9999999,58,0,0.003552972,3095,0,2,0,0,2,1
"5374",1,0.605656604,33,0,0.874098991,2080,3,0,1,0,0,0
"4816",1,0.505091931,42,0,0.777623487,5040,9,0,1,0,2,0
"13668",1,0.129965798,25,2,0.18293902,3000,4,0,0,2,0,1
"5301",1,0.097994933,31,0,0.366275716,5200,14,0,1,0,1,0
"11453",1,1.01173136,36,1,0.524147374,8033,10,0,1,3,1,1
"3829",1,0.038901971,63,0,0.194542804,4800,15,0,1,0,1,0
"3449",1,0.659567363,40,0,0.642590775,5094,14,0,2,0,2,0
"78",1,0.012196321,38,0,0.069912609,800,11,0,0,0,0,0
"14086",1,0.171354434,40,0,0.227179737,10264,15,0,2,0,2,1
"5332",1,0.136744236,68,0,0.45545441,6700,9,0,2,0,2,0
"13443",1,0.919246245,61,5,1.032653061,6124,16,0,8,5,0,1
"14331",1,0.583846866,41,1,1.079788457,4348,23,0,1,0,3,1
"13459",1,0.87995233,31,0,1.009553433,4500,13,0,1,0,2,1
"4528",1,0.106212768,62,0,0.210157968,5000,15,0,1,0,1,0
"6135",1,0.004555049,64,0,0.237271699,6186,7,0,1,0,1,0
"6103",1,0.021591074,24,0,0.097019071,5400,5,0,0,0,0,0
"14378",1,0.892674103,41,1,0.372704022,4300,8,0,0,4,4,1
"15683",1,0.287972001,52,0,0.418877483,7500,8,0,1,0,3,1
"14806",1,0.038247447,46,0,0.273454424,6000,11,0,1,1,2,1
"7309",1,0.012923455,43,0,0.367477366,5632,14,0,2,0,2,0
"14883",1,1.03307888,52,0,0.197564276,1477,7,0,0,0,0,1
"15421",1,0.9999999,44,98,0.037367158,2916,0,98,0,98,2,1
"3962",1,0.429076645,47,0,0.455773561,3108,4,0,0,0,0,0
"8838",1,0.534115602,31,0,0.126931233,3300,3,0,0,1,0,1
"10573",1,0.798571965,39,1,0.302016894,5800,8,1,0,1,2,1
"15378",1,0.9999999,69,1,0.230265426,2900,4,2,1,3,0,1
"9292",1,1.005831713,45,1,0.070896201,5500,5,0,0,1,1,1
"499",1,0.059526242,48,0,0.358910272,4000,10,0,1,0,0,0
"6488",1,0.430456017,52,0,0.251261269,12090,25,0,0,0,0,0
"558",1,0.191748171,62,0,0.523591264,7417,13,0,2,0,1,0
"6768",1,0.629397343,40,0,0.467869523,11250,12,0,1,0,2,0
"15726",1,0.917356663,39,0,1.197710718,1921,3,1,1,1,4,1
"7352",1,0,45,0,0.365016502,7574,10,0,2,0,1,0
"1543",1,0.120771815,27,0,0.162408354,4500,8,0,0,0,0,0
"10549",1,0.505797156,54,1,0.391555556,4499,8,0,0,0,1,1
"11595",1,0.9999999,32,2,0.193472508,3400,8,0,0,0,0,1
"16432",1,0.9999999,48,0,0.030780923,5262,1,3,0,0,0,1
"11192",1,0.3504802,49,0,0.278200391,4600,6,0,1,0,3,1
"1473",1,0.9999999,55,0,0.716827656,1966,4,0,1,0,1,0
"8488",1,1.094433952,40,4,0.315929793,4500,7,0,0,0,2,1
"1300",1,0.569553881,39,3,0.322425659,7700,8,0,1,0,5,0
"12539",1,0.974010396,63,0,0.902138691,1542,5,0,1,1,1,1
"12087",1,0.157820747,63,0,0.362563581,9829,17,0,1,0,0,1
"8770",1,0.446341876,47,1,0.458419528,4833,5,0,1,0,4,1
"1795",1,0.899820036,43,1,0.467135716,5400,5,0,2,0,0,0
"12942",1,0.808282756,41,1,0.135620915,1835,6,0,0,0,0,1
"3735",1,0.515468824,38,0,0.282490598,2392,4,0,0,0,2,0
"14366",1,1.081330513,48,0,0.636619718,8164,6,0,2,0,0,1
"14762",1,0.691623789,45,0,0.56922715,8500,17,0,4,0,1,1
"8914",1,0.434445061,51,2,0.004499875,36000,11,0,0,0,0,1
"4186",1,0.169751783,56,0,0.302715699,18300,6,0,1,0,0,0
"9278",1,0.9999999,23,0,0,1760,0,1,0,0,0,1
"12301",1,0.436886916,49,0,0.717134245,4312,15,0,1,0,0,1
"6423",1,0.695337911,41,0,0.418451871,3500,9,0,1,0,2,0
"7432",1,0.01353584,57,0,0.325910712,9250,8,1,3,0,0,0
"15324",1,0.429785107,39,3,0.334583244,9333,11,1,1,0,2,1
"3382",1,0.9999999,46,0,0.313737253,5000,4,0,2,0,1,0
"1132",1,0.649255487,55,0,0.190778239,4098,6,0,0,0,3,0
"3479",1,0.042866498,59,1,0.069540102,4500,9,0,0,0,0,0
"15414",1,1.256147541,56,3,0.193893948,5600,7,2,0,1,0,1
"13990",1,0.997313834,50,0,0.51169766,5000,8,0,1,1,1,1
"9217",1,0.678235034,41,6,0.506274997,7250,11,0,2,0,3,1
"15656",1,0.9999999,67,4,0.605428705,8583,6,0,1,0,0,1
"1332",1,0.001049948,75,0,0,6000,3,0,0,0,0,0
"15831",1,0.0950448,89,1,0.031737194,1795,10,1,0,1,1,1
"5189",1,0.9999999,70,0,0.429075512,4250,5,0,1,0,2,0
"15277",1,0.235309434,54,2,0.224577542,10000,12,0,1,0,0,1
"2105",1,0.024099197,88,0,0.006151142,3413,1,0,0,0,0,0
"7698",1,0.014409759,60,0,0.657528379,4668,11,0,2,0,0,0
"5229",1,0.440159954,37,1,0.438676266,7916,20,0,3,0,1,0
"14359",1,0.70643119,28,2,0.232255915,3000,4,0,0,1,0,1
"4740",1,0.039640004,63,0,0.233985376,16000,12,0,2,0,3,0
"5616",1,0.9999999,80,0,0.178210603,9600,4,0,1,0,0,0
"1309",1,0.047286134,60,0,0.251987401,6666,13,0,2,0,0,0
"81",1,0.042891325,73,0,0.013594562,2500,4,0,0,0,1,0
"1328",1,0.400755377,50,0,0.271345731,5000,9,0,0,0,2,0
"11726",1,0.742171885,54,3,0.320690191,6432,7,0,1,0,1,1
"330",1,0,58,0,0.243441267,4230,12,0,2,0,1,0
"8574",1,0.976804639,48,1,0.231628454,1700,2,3,0,0,0,1
"3956",1,0,75,0,0.732484076,2825,9,0,2,0,0,0
"8167",1,0.193795425,40,1,0.546981208,2500,10,0,1,0,0,0
"15950",1,0.558112716,68,0,0.44573985,14752,16,0,2,0,1,1
"137",1,0.015232204,41,0,0.146155245,5500,9,0,0,0,4,0
"14578",1,0.9999999,56,0,0.421491914,3833,2,7,0,1,0,1
"1911",1,0.786172232,50,0,0.635830445,3750,8,0,0,0,2,0
"3915",1,0.547524024,44,0,0.411921891,4864,9,0,1,0,1,0
"14527",1,0.973647598,49,0,0.544502618,4583,12,0,1,0,2,1
"13698",1,0.922077922,41,2,0.435560231,1900,4,0,1,1,2,1
"15077",1,0.9999999,39,1,0.034058449,4550,1,0,0,0,2,1
"8862",1,1.033611442,33,0,0.707085464,1368,5,4,0,3,2,1
"4114",1,0.585310076,42,0,0.139593002,2800,7,0,0,0,2,0
"8412",1,0.9999999,71,1,0.313816494,2800,2,0,1,1,0,1
"3244",1,0.015738788,52,0,0.321369055,7800,6,0,2,0,1,0
"14178",1,0.9999999,29,0,0.024991669,3000,2,0,0,0,3,1
"12721",1,0.610335593,44,3,0.119750618,8500,11,0,0,0,1,1
"4331",1,0,43,0,0.578071096,6666,11,0,2,0,3,0
"16667",1,1.007420662,38,1,1.781954887,664,8,3,0,0,2,1
"6106",1,0.9999999,31,0,0.384461554,10000,6,0,3,0,1,0
"5897",1,0,45,0,0.372876322,16833,12,0,3,0,4,0
"16290",1,0.782628334,49,0,0.234640249,21500,11,0,1,0,2,1
"2199",1,0.87494732,70,0,0.476037606,13082,6,0,1,0,0,0
"3233",1,0.020959162,32,0,0.404922248,8166,3,0,1,0,0,0
"232",1,0.12741035,38,0,0.894266567,2685,19,0,1,0,2,0
"15781",1,0.573339112,38,0,0.253286428,5400,10,1,0,0,0,1
"7050",1,0.035276258,65,0,0.024198087,1776,3,0,0,0,0,0
"4794",1,0.900398406,33,1,0.314195417,3796,4,1,1,0,2,0
"13449",1,0.238726369,58,0,0.332953683,7901,15,0,2,0,0,1
"3549",1,0.284077397,27,0,0.017902813,4300,2,0,0,0,0,0
"6721",1,0,44,0,1.003997335,1500,7,0,1,0,0,0
"11292",1,0.749910594,46,0,0.735257357,8800,14,0,2,0,3,1
"13645",1,0.9999999,50,0,0.458177278,800,0,0,0,0,0,1
"10864",1,0.920203735,60,0,0.698884758,2420,10,0,2,1,0,1
"12656",1,0.446267499,61,0,0.03583169,9125,3,0,0,0,0,1
"2623",1,0,57,0,0.005493298,4550,5,0,1,0,0,0
"1277",1,0.780679519,43,0,1.864003312,4830,7,0,4,0,0,0
"4717",1,0.049231886,65,0,0.870762053,6429,4,0,2,0,0,0
"7489",1,0.043261959,70,0,0.024718023,4166,3,0,0,0,0,0
"12258",1,0.9999999,55,0,0,1000,0,1,0,0,0,1
"1048",1,0.041197254,28,0,0.615353858,2500,14,0,1,0,1,0
"15392",1,1.139534884,25,2,0.048138056,1100,4,2,0,0,0,1
"8955",1,1.087091291,41,3,0.93760312,6666,12,0,3,0,0,1
"5749",1,0.9999999,80,0,0.40769779,4208,6,0,1,0,0,0
"14422",1,0.357761492,61,3,0.015805336,72000,8,1,1,0,1,1
"8479",1,0.9999999,46,1,0.673163418,2000,5,3,0,2,0,1
"15944",1,0.984030269,51,1,0.178564287,5000,8,0,0,0,0,1
"9951",1,8.599600266,26,2,0.418904959,1935,2,0,0,0,2,1
"9044",1,0.390361534,48,0,0.243559322,5899,27,0,0,0,1,1
"15101",1,0.003176408,53,0,0.241712857,9200,20,0,2,0,0,1
"5445",1,0.381160592,58,0,0.733180587,4800,10,0,1,0,1,0
"15655",1,0.513915249,61,1,0.906885567,4080,16,0,2,0,2,1
"3836",1,0,89,0,0,3333,4,0,0,0,0,0
"7007",1,0.138809964,36,0,0.31503363,5500,7,0,1,0,2,0
"271",1,0.105121485,64,0,0.836802664,1200,6,0,1,0,0,0
"6646",1,0.479594409,49,0,0.194161168,5000,7,0,0,0,1,0
"5401",1,0.988458927,41,0,0.105487073,9166,3,0,0,0,3,0
"2920",1,0.409493561,44,0,4.389221557,333,6,0,1,0,2,0
"15508",1,0.371207966,45,2,0.341180667,5606,12,0,1,0,1,1
"8373",1,0.220823719,46,1,0.637749121,1705,5,0,0,0,0,1
"14893",1,0.9999999,36,0,0,776,0,1,0,0,3,1
"14890",1,0.957735342,52,2,0.346141765,9550,19,0,1,2,2,1
"8163",1,0.221809949,31,0,0.073514997,5100,3,0,0,0,0,0
"4603",1,0.003859862,64,0,0.416757658,17400,16,0,3,0,0,0
"10041",1,0.922269433,42,1,0.174403005,3726,3,0,0,0,4,1
"6141",1,0,43,0,0.060997897,29000,6,0,1,0,1,0
"637",1,0.934393014,55,0,0.369404997,11125,21,0,2,0,2,0
"6225",1,0.096894824,53,0,0.352212618,7750,10,0,1,0,0,0
"10178",1,0.167290295,63,0,0.442327573,13541,24,0,4,0,1,1
"1701",1,0.043850769,35,0,0.01079784,5000,13,0,0,0,0,0
"14323",1,0.191473518,53,0,0.726372849,4242,12,0,2,0,0,1
"1880",1,0.094165097,41,0,0.360370023,7458,9,0,2,0,1,0
"11984",1,0.239388736,61,0,2.838053982,3000,13,0,5,0,0,1
"17",1,0.111652246,37,1,0.297612438,1800,6,0,0,0,2,0
"5772",1,0.128388272,70,0,0.123600973,4109,3,0,0,0,0,0
"6881",1,0.365184044,62,0,0.515598752,8333,21,0,3,0,0,0
"5756",1,0.010731192,55,0,1.878276322,2250,17,0,1,0,0,0
"15669",1,0.460512058,49,0,1.407615983,3728,8,0,1,0,0,1
"3075",1,0.325783924,51,1,0.251033196,7500,13,0,0,0,1,0
"16413",1,0.940443634,34,2,0.124204786,3300,6,1,0,0,0,1
"15835",1,0.316373262,71,0,0.549633578,1500,17,0,1,0,0,1
"5656",1,0.001024954,62,0,2.922077922,1000,10,0,2,0,0,0
"5830",1,0.330626226,41,0,0.267218623,8333,7,0,1,0,1,0
"11074",1,1.22713507,31,4,0.160144689,3040,8,0,0,0,2,1
"13715",1,1.027638894,54,4,1.055991041,6250,17,1,2,0,0,1
"7716",1,0.9999999,60,0,0.202386712,6200,3,0,0,0,1,0
"10301",1,0.9999999,38,0,0.031230481,1600,2,2,0,0,0,1
"8977",1,0.9999999,53,1,0.123888378,3260,1,0,0,0,0,1
"10427",1,0.583052397,46,0,0.410131082,4500,6,1,2,0,1,1
"6466",1,0.188420877,60,0,0.434156584,10000,15,0,3,0,0,0
"2849",1,0.9999999,53,0,0.632486388,1101,2,1,1,0,1,0
"11712",1,0.9999999,24,1,0.013539652,1550,0,3,0,0,1,1
"88",1,0.025173804,40,0,37.5,1,13,0,0,0,3,0
"2297",1,0.9999999,35,0,0.03098967,3000,1,0,0,0,0,0
"9498",1,0.9999999,58,0,0.135549872,2736,1,0,0,0,0,1
"5391",1,0.211991924,44,0,0.60259032,4400,8,0,3,0,1,0
"10914",1,0.07739613,37,0,0.225837169,6300,5,0,1,0,0,1
"7756",1,0.260734595,43,0,0.416320971,16150,14,0,2,0,1,0
"14293",1,0.859877044,52,2,0.506017604,5566,18,0,1,0,2,1
"14390",1,0.647847823,41,3,0.578016086,5594,5,1,1,0,3,1
"4624",1,0.635331086,52,0,0.471850485,4333,9,0,1,0,0,0
"10960",1,0.973421927,38,0,0.175682301,6118,3,1,1,1,3,1
"4738",1,0.108704355,63,0,0.283677437,10800,15,0,2,0,3,0
"11357",1,0.794800578,49,2,0.216048601,7900,10,1,1,0,2,1
"8923",1,0.9999999,27,0,0.002719565,6250,0,1,0,1,4,1
"8967",1,0,25,0,0.101092896,1463,4,0,0,0,1,1
"2065",1,0.032295344,77,0,0.15337309,5365,15,0,1,0,1,0
"9602",1,0.123306775,51,0,1.275601189,3700,13,0,1,0,1,1
"12023",1,0.985841133,49,4,1.349089921,3680,16,1,1,0,0,1
"10134",1,0.9999999,22,98,0,0,0,98,0,98,0,1
"2093",1,0.613535459,46,0,0.567541459,6210,9,0,1,0,3,0
"9853",1,0.9999999,39,0,0.246419817,7750,1,1,1,1,2,1
"8335",1,0.256373039,39,0,0.193465876,8600,13,0,0,0,0,0
"11144",1,0.978206203,54,3,0.592592593,3833,10,3,2,1,0,1
"5987",1,0.034031206,64,0,0.175116204,9250,7,0,2,0,1,0
"1887",1,0.398443359,91,0,0.499527856,4235,12,0,2,0,0,0
"1368",1,0.15090436,73,0,0.30794234,7075,6,0,2,0,0,0
"1121",1,0.061511974,63,0,0.245094363,8000,8,0,1,0,1,0
"13168",1,1.126961484,46,1,0.224846894,8000,3,4,1,1,2,1
"10845",1,0.106439714,33,0,0.348957165,4458,7,0,2,0,1,1
"4117",1,1.010619332,70,0,0.246186218,3801,12,0,0,0,0,0
"14961",1,0.145988543,42,0,0.270573758,6500,17,0,1,0,1,1
"13466",1,1.007872061,51,6,0.338923029,9600,12,0,1,0,2,1
"15256",1,0.859665382,59,1,0.324544744,8950,9,4,5,1,0,1
"8853",1,0.609385044,28,0,0.135157546,4823,4,0,0,0,0,1
"13974",1,0.511395442,30,0,0.205544287,1478,2,0,0,0,0,1
"11801",1,0,26,2,0.261010538,3700,6,0,0,1,0,1
"2662",1,0.936600374,28,2,0.357807653,2900,11,0,0,0,1,0
"13708",1,1.149501661,49,1,0.208391365,5743,6,0,1,2,2,1
"11460",1,0.713423619,47,0,0.414954896,9200,8,0,1,0,2,1
"5668",1,0.140357218,56,0,0.286235724,8492,7,0,2,0,2,0
"15876",1,0.071297251,78,0,0.679888543,6100,12,0,4,0,1,1
"165",1,0.068335636,39,0,0.517102263,5700,9,0,1,0,1,0
"4877",1,0.921635945,36,1,0.091901849,15200,3,0,0,0,2,0
"15787",1,0.9999999,46,0,0.463407134,3251,3,0,1,0,2,1
"11161",1,0.107407448,56,0,0.446539533,9333,22,0,1,0,2,1
"1421",1,0.086545673,54,0,0.316799054,11833,3,0,1,0,0,0
"2286",1,0.189325867,43,0,0.568725483,13000,8,0,2,0,3,0
"4560",1,0.607988762,45,0,0.341243917,15000,16,0,1,0,2,0
"9720",1,1.381546135,46,2,0.119017571,10300,7,1,1,0,2,1
"11363",1,0.9999999,26,0,0,864,1,0,0,0,0,1
"2209",1,0.9999999,34,0,0.046845721,1600,1,0,0,0,0,0
"4111",1,0.009524677,66,0,0.147067647,13333,10,0,1,0,0,0
"14348",1,0.9999999,44,0,0,2200,0,1,0,0,3,1
"5208",1,0.502685472,44,1,0.337270341,5333,7,0,1,0,2,0
"13446",1,1.383233533,33,1,0.194368756,1100,6,0,0,2,2,1
"5752",1,0.048190266,39,0,0.23673281,6500,9,0,2,0,3,0
"8307",1,0.9999999,50,1,0.119752237,4358,2,2,1,0,1,0
"15248",1,0.083967661,62,0,0.258471017,3570,15,1,1,0,1,1
"6922",1,0.236611138,48,0,0.267403104,10500,9,0,2,0,1,0
"8290",1,0,53,0,0.501287755,17083,8,0,3,0,2,0
"8888",1,0.99260074,39,8,0.961171438,9116,15,0,3,1,1,1
"11254",1,0.402840168,31,1,0.472853535,1583,6,0,0,1,0,1
"4329",1,0.9999999,37,0,0.401104052,9600,5,0,1,0,1,0
"1738",1,0,36,0,0.093591215,6100,3,0,0,0,4,0
"16245",1,0.102195584,30,2,0.600067785,5900,9,0,2,0,0,1
"13943",1,0.565790638,53,0,0.073571203,6333,15,0,0,0,2,1
"10520",1,0.82021071,75,1,1.120111378,7900,28,0,1,0,0,1
"9689",1,0.991856823,31,4,0.854458217,2500,12,1,2,0,2,1
"9280",1,0.008366493,26,0,0.120399818,2200,9,0,0,0,0,1
"7780",1,0.306923174,55,0,0.304141051,8620,7,0,1,0,1,0
"6550",1,0.9999999,23,0,15,0,1,0,0,0,0,0
"14734",1,0.528473804,33,0,0.265052427,9250,6,0,1,0,0,1
"8482",1,0.451376082,48,0,2.51196093,12080,29,0,17,0,2,1
"829",1,0.168521573,42,0,0.734480353,4300,16,0,2,0,2,0
"6751",1,0.92935422,42,1,0.090714362,9336,11,0,0,0,2,0
"13856",1,0.9999999,43,0,0.712599374,4150,3,0,2,0,0,1
"7360",1,0.056879398,69,0,0.248937766,4000,9,0,1,0,1,0
"11224",1,0.458799915,36,0,0.606829926,4450,7,0,2,1,2,1
"7428",1,0.024365339,53,0,0.378909493,10838,14,0,2,0,2,0
"2404",1,0.024600212,58,0,0.397268071,5270,13,0,1,0,0,0
"11541",1,0.604276775,42,1,0.678264347,5000,17,0,1,1,2,1
