"","X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area"
"147",5,4,"mar","mon",90.1,39.7,86.6,6.2,13.2,40,5.4,0,0.95
"154",5,4,"sep","fri",94.3,85.1,692.3,15.9,20.1,47,4.9,0,1.46
"157",2,4,"sep","sat",93.4,145.4,721.4,8.1,28.6,27,2.2,0,1.61
"158",2,2,"aug","wed",92.1,111.2,654.1,9.6,18.4,45,3.6,0,1.63
"159",2,4,"aug","wed",92.1,111.2,654.1,9.6,20.5,35,4,0,1.64
"161",7,4,"mar","mon",90.1,39.7,86.6,6.2,16.1,29,3.1,0,1.75
"163",6,3,"mar","sat",90.6,50.1,100.4,7.8,15.2,31,8.5,0,1.94
"167",6,5,"aug","wed",92.1,111.2,654.1,9.6,16.6,47,0.9,0,2.29
"168",6,5,"aug","wed",96,127.1,570.5,16.5,23.4,33,4.5,0,2.51
"169",6,5,"mar","fri",91.2,48.3,97.8,12.5,14.6,26,9.4,0,2.53
"173",7,4,"aug","sun",91.4,142.4,601.4,10.6,20.1,39,5.4,0,2.74
"174",4,4,"sep","mon",90.9,126.5,686.5,7,17.7,39,2.2,0,3.07
"184",7,4,"oct","mon",91.7,48.5,696.1,11.1,16.8,45,4.5,0,6.83
"190",7,4,"mar","sun",90.7,44,92.4,5.5,11.5,60,4,0,8.24
"194",4,5,"sep","wed",92.9,133.3,699.6,9.2,24.3,25,4,0,9.41
"206",4,5,"sep","thu",92.9,137,706.4,9.2,22.1,34,1.8,0,14.57
"209",6,5,"sep","fri",92.4,117.9,668,12.2,19.6,33,6.3,0,19.23
"211",4,4,"oct","sat",90.6,43.7,686.9,6.7,18.4,25,3.1,0,24.23
"214",7,3,"mar","mon",87.6,52.2,103.8,5,11,46,5.8,0,27.35
"220",6,5,"mar","mon",90.1,39.7,86.6,6.2,15.2,27,3.1,0,31.86
"223",4,3,"mar","mon",87.6,52.2,103.8,5,11,46,5.8,0,36.85
"233",6,4,"sep","tue",91,129.5,692.6,7,18.7,43,2.7,0,103.39
"234",9,4,"sep","tue",84.4,73.4,671.9,3.2,24.3,36,3.1,0,105.66
"235",4,5,"sep","sat",92.5,121.1,674.4,8.6,17.7,25,3.1,0,154.88
"243",2,4,"aug","sun",94.2,122.3,589.9,12.9,15.4,66,4,0,10.13
"248",2,4,"aug","wed",92.2,91.6,503.6,9.6,20.7,70,2.2,0,0.75
"253",6,5,"aug","wed",93.1,157.3,666.7,13.5,22.1,37,3.6,0,0.21
"254",7,4,"aug","thu",91.9,109.2,565.5,8,21.4,38,2.7,0,1.52
"267",6,5,"aug","tue",94.3,131.7,607.1,22.7,19.4,55,4,0,0.17
"271",2,2,"aug","tue",92.1,152.6,658.2,14.3,21.8,56,3.1,0,0.52
"277",4,4,"dec","mon",85.4,25.4,349.7,2.6,4.6,21,8.5,0,17.85
"282",6,5,"dec","tue",85.4,25.4,349.7,2.6,5.1,24,8.5,0,24.77
"283",6,3,"feb","sun",84.9,27.5,353.5,3.4,4.2,51,4,0,0
"287",7,6,"jul","wed",91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0
"303",3,6,"jun","fri",91.1,94.1,232.1,7.1,19.2,38,4.5,0,0
"304",3,6,"jun","fri",91.1,94.1,232.1,7.1,19.2,38,4.5,0,0
"305",6,5,"may","sat",85.1,28,113.8,3.5,11.3,94,4.9,0,0
"312",6,3,"sep","sun",92.4,105.8,758.1,9.9,24.8,28,1.8,0,14.29
"322",1,4,"sep","thu",92.8,119,783.5,7.5,16.8,28,4,0,7.21
"326",1,4,"sep","sat",92.2,102.3,751.5,8.4,24.2,27,3.1,0,0
"328",6,5,"sep","sat",92.2,102.3,751.5,8.4,21.2,32,2.2,0,0
"333",4,4,"sep","sat",91.2,124.4,795.3,8.5,17.1,41,2.2,0,11.22
"336",4,3,"sep","mon",91.6,108.4,764,6.2,9.8,86,1.8,0,0
"344",8,6,"sep","mon",91.5,130.1,807.1,7.5,15.9,51,4.5,0,2.18
"350",5,4,"sep","fri",92.1,99,745.3,9.6,12.8,64,3.6,0,1.64
"351",5,4,"sep","fri",92.1,99,745.3,9.6,10.1,75,3.6,0,3.71
"368",4,5,"sep","tue",91.1,132.3,812.1,12.5,16.4,27,3.6,0,0
"370",4,5,"sep","sun",91,276.3,825.1,7.1,13.8,77,7.6,0,0
"372",3,4,"jul","wed",91.9,133.6,520.5,8,14.2,58,4,0,0
"375",6,5,"sep","fri",90.3,290,855.3,7.4,10.3,78,4,0,18.3
"376",6,5,"sep","sat",91.2,94.3,744.4,8.4,15.4,57,4.9,0,39.35
"377",8,6,"aug","mon",92.1,207,672.6,8.2,21.1,54,2.2,0,0
"379",6,5,"mar","thu",90.9,18.9,30.6,8,8.7,51,5.8,0,0
"380",4,5,"jan","sun",18.7,1.1,171.4,0,5.2,100,0.9,0,0
"388",5,5,"mar","thu",90.9,18.9,30.6,8,11.6,48,5.4,0,0
"394",2,4,"mar","tue",93.4,15,25.6,11.4,15.2,19,7.6,0,0
"396",4,5,"feb","sun",85,9,56.9,3.5,10.1,62,1.8,0,51.78
"404",8,6,"aug","thu",90.7,194.1,643,6.8,21.3,41,3.6,0,0
"407",6,5,"sep","sat",87.1,291.3,860.6,4,17,67,4.9,0,3.95
"414",7,5,"aug","sat",93.7,231.1,715.1,8.4,26.4,33,3.6,0,0
"417",6,3,"jul","tue",92.7,164.1,575.8,8.9,26.3,39,3.1,0,7.02
"424",1,3,"sep","sat",91.2,94.3,744.4,8.4,22.3,48,4,0,0.72
"433",8,6,"aug","thu",94.8,222.4,698.6,13.9,23.9,38,6.7,0,0
"456",3,4,"jul","mon",94.6,160,567.2,16.7,17.9,48,2.7,0,0
"459",8,6,"aug","sat",93.7,231.1,715.1,8.4,18.9,64,4.9,0,3.32
"467",6,5,"mar","mon",87.2,15.1,36.9,7.1,10.2,45,5.8,0,3.18
"478",4,3,"jul","sun",93.7,101.3,423.4,14.7,26.1,45,4,0,7.36
"480",7,4,"jul","mon",89.2,103.9,431.6,6.4,22.6,57,4.9,0,278.53
"482",4,3,"jul","thu",93.2,114.4,560,9.5,30.2,22,4.9,0,0
"483",3,4,"aug","sun",94.9,130.3,587.1,14.1,23.4,40,5.8,0,1.29
"493",1,3,"aug","fri",95.9,158,633.6,11.3,32.4,27,2.2,0,0
"496",6,6,"aug","mon",96.2,175.5,661.8,16.8,23.9,42,2.2,0,0
"497",4,5,"aug","mon",96.2,175.5,661.8,16.8,32.6,26,3.1,0,2.77
"503",4,4,"aug","tue",96.1,181.1,671.2,14.3,20.7,69,4.9,0.4,0
"506",1,2,"aug","thu",91,163.2,744.4,10.1,26.7,35,1.8,0,5.8
