"","y","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"1247",1,6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11,6
"240",1,6.6,0.25,0.34,3,0.054,22,141,0.99338,3.26,0.47,10.4,6
"1999",1,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
"3244",1,7,0.16,0.36,2.6,0.029,28,98,0.99126,3.11,0.37,11.2,7
"784",1,6.6,0.23,0.37,8.5,0.036,46,153,0.99576,3.2,0.48,9.4,6
"710",1,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,7
"2274",1,6.4,0.34,0.44,8.2,0.043,54,201,0.99551,3.18,0.48,9.5,5
"2415",1,7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6
"1226",1,6.2,0.25,0.31,3.2,0.03,32,150,0.99014,3.18,0.31,12,6
"716",1,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
"2341",1,7.2,0.35,0.34,12.4,0.051,6,37,0.9944,3.13,0.39,11.5,6
"4846",1,6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5
"832",1,6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6
"4333",1,6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
"3808",1,6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,6
"3777",1,6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
"4812",1,6.7,0.31,0.33,2,0.033,12,74,0.99064,3.29,0.65,12.5,6
"975",1,7.4,0.2,0.28,9.1,0.047,29,95,0.99532,3.16,0.47,9.8,7
"4597",1,8.5,0.16,0.33,1,0.076,17,57,0.9921,3.14,0.46,10.6,6
"1011",1,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5
"3874",1,7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,5
"2305",1,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5
"4329",1,6.6,0.34,0.2,1,0.053,26,112,0.99336,3.32,0.55,9.1,5
"944",1,8,0.25,0.27,9.7,0.036,15,85,0.99406,2.99,0.36,11.2,6
"3023",1,7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,6
"2876",1,7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,5
"2572",1,5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6,4
"2747",1,7.9,0.2,0.39,1,0.041,37,154,0.99093,3.08,0.43,11.9,5
"4115",1,6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,5
"4497",1,6.9,0.33,0.62,7.5,0.038,46,132,0.99143,3.23,0.43,13.4,7
"1630",1,6.4,0.18,0.28,17.05,0.047,53,139,0.99724,3.25,0.35,10.5,6
"3616",1,7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6
"2527",1,6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,5
"4616",1,6.3,0.17,0.42,2.8,0.028,45,107,0.9908,3.27,0.43,11.8,6
"229",1,6.7,0.34,0.3,8.5,0.059,24,152,0.99615,3.46,0.64,11,7
"2046",1,7.1,0.25,0.28,1.2,0.04,31,111,0.99174,3.18,0.53,11.1,5
"2211",1,6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5
"4596",1,6.1,0.22,0.46,1.8,0.16,34,74,0.9884,3.19,0.33,13.4,6
"3406",1,6.2,0.19,0.29,4.3,0.045,33,126,0.99658,3.18,0.42,9.3,6
"2793",1,7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,6
"2833",1,7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
"4206",1,7.3,0.25,0.42,14.2,0.041,57,182,0.9996,3.29,0.75,9.1,7
"2701",1,7,0.24,0.32,1.3,0.037,39,123,0.992,3.17,0.42,11.2,8
"3102",1,7.3,0.155,0.49,1.3,0.039,34,136,0.9926,3.14,0.77,10.5,6
"3944",1,7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5
"272",1,7.1,0.13,0.29,15.5,0.064,56,115.5,0.99737,3.16,0.41,9.7,7
"1278",1,6.3,0.37,0.37,1.5,0.024,12,76,0.98876,2.94,0.39,12.3,6
"3197",1,7.6,0.31,0.26,1.7,0.073,40,157,0.9938,3.1,0.46,9.8,5
"3597",1,6.6,0.12,0.25,1.4,0.039,21,131,0.99114,3.2,0.45,11.2,7
"1726",1,6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,6
"4698",1,6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7,7
"1412",1,6.8,0.45,0.36,5,0.033,28,156,0.991,3.11,0.4,12.4,7
"2800",1,8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6
"1230",1,6.6,0.3,0.45,8,0.038,54,200,0.9956,3.18,0.48,9.5,5
"4770",1,6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4
"3677",1,6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,5
"1375",1,7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8,5
"1579",1,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5
"3702",1,5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,5
"1197",1,5.9,0.25,0.19,12.4,0.047,50,162,0.9973,3.35,0.38,9.5,5
"4775",1,7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,4
"2357",1,7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,5
"2284",1,5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7
"4019",1,6.9,0.18,0.33,1,0.054,24,164,0.9926,3.42,0.51,10.5,5
"4227",1,6.8,0.15,0.33,4.7,0.059,31,118,0.9956,3.43,0.39,9,7
"4320",1,6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7
"1273",1,6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,6
"2001",1,6.7,0.13,0.45,4.2,0.043,52,131,0.99162,3.06,0.54,11.3,6
"2798",1,7.4,0.3,0.22,1.4,0.046,16,135,0.9928,3.08,0.77,10.4,7
"1734",1,6.6,0.21,0.31,11.4,0.039,46,165,0.99795,3.41,0.44,9.8,7
"2858",1,7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7
"4830",1,5.7,0.31,0.29,7.3,0.05,33,143,0.99332,3.31,0.5,11.0666666666667,6
"3314",1,6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8,4
"4706",1,6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6
"451",1,5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5
"1240",1,8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5
"1680",1,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5
"4182",1,7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6
"4100",1,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6
"4883",1,6.1,0.3,0.32,2.2,0.042,41,142,0.98952,3.31,0.44,12.7,7
"2395",1,9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,5
"1175",1,6.7,0.3,0.49,4.8,0.034,36,158,0.9945,3.12,0.45,9.9,6
"2750",1,6.4,0.31,0.53,8.8,0.057,36,221,0.99642,3.17,0.44,9.1,5
"4581",1,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6
"2971",1,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
"856",1,8.2,0.2,0.36,8.1,0.035,60,163,0.9952,3.05,0.3,10.3,6
"3016",1,7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
"31",1,7.5,0.22,0.29,4.8,0.05,33,87,0.994,3.14,0.42,9.9,5
"1420",1,7.1,0.38,0.29,13.6,0.041,30,137,0.99461,3.02,0.96,12.1,6
"4091",1,6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,7
"2437",1,7.4,0.18,0.29,1.4,0.042,34,101,0.99384,3.54,0.6,10.5,7
"4135",1,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6
"564",1,7.5,0.16,0.38,12.7,0.043,70.5,163,0.99706,3.15,0.82,10.4,7
"2189",1,6.9,0.12,0.36,2.2,0.037,18,111,0.9919,3.41,0.82,11.9,8
"3744",1,6.6,0.25,0.42,11.3,0.049,77,231,0.9966,3.24,0.52,9.5,6
"2132",1,5.7,0.14,0.3,5.4,0.045,26,105,0.99469,3.32,0.45,9.3,5
"2027",1,6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,6
"4602",1,7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,7
"1495",1,7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6
"2569",1,7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,6
"1472",1,5.8,0.345,0.15,10.8,0.033,26,120,0.99494,3.25,0.49,10,6
"4847",1,4.8,0.225,0.38,1.2,0.074,47,130,0.99132,3.31,0.4,10.3,6
"1233",1,6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6
"873",1,6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5
"2111",1,8.5,0.2,0.4,1.1,0.046,31,106,0.99194,3,0.35,10.5,4
"4250",1,6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,6
"2836",1,6.7,0.62,0.24,1.1,0.039,6,62,0.9934,3.41,0.32,10.4,5
"2980",1,7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,5
"443",1,7.3,0.25,0.28,1.5,0.043,19,113,0.99338,3.38,0.56,10.1,6
"4039",1,6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5
"2010",1,5.8,0.23,0.27,1.8,0.043,24,69,0.9933,3.38,0.31,9.4,6
"4290",1,6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5
"576",1,6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,5
"2054",1,6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5
"3163",1,6.5,0.21,0.51,17.6,0.045,34,125,0.99966,3.2,0.47,8.8,6
"1906",1,5.8,0.38,0.26,1.1,0.058,20,140,0.99271,3.27,0.43,9.7,6
"1016",1,7.5,0.21,0.29,1.5,0.046,35,107,0.99123,3.15,0.45,11.3,6
"4134",1,6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.7333333333333,6
"1026",1,6.1,0.36,0.27,2.1,0.035,16,100,0.9917,3.4,0.71,11.5,7
"1431",1,7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6
"1299",1,8.8,0.27,0.25,5,0.024,52,99,0.9925,2.87,0.49,11.4,5
"4302",1,7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5,5
"4604",1,6.5,0.19,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,6
"3110",1,5.9,0.21,0.23,7.9,0.033,22,130,0.9944,3.38,0.59,10.9,6
"216",1,5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,5
"4654",1,6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5
"4433",1,7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6
"4267",1,8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5
"4357",1,8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7
"1443",1,7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6
"2451",1,6.8,0.45,0.28,26.05,0.031,27,122,1.00295,3.06,0.42,10.6,6
"4701",1,7.1,0.44,0.23,5.8,0.035,24,100,0.99062,3.15,0.57,13.2,7
"273",1,5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,6
"1994",1,6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6
"4035",1,6.8,0.23,0.31,2.8,0.047,40,122,0.99126,3.06,0.64,10.9,7
"2057",1,5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,5
"4769",1,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,7
"4281",1,7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,5
"3800",1,5.9,0.27,0.32,2,0.034,31,102,0.98952,3.16,0.56,12.3,6
"2623",1,7.2,0.34,0.2,5.8,0.062,52,203,0.99461,3.17,0.44,9.8,6
"726",1,6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2,5
"3763",1,7.3,0.28,0.54,12.9,0.049,62,162.5,0.9984,3.06,0.45,9.1,6
"435",1,6.2,0.41,0.22,1.9,0.023,5,56,0.98928,3.04,0.79,13,7
"3781",1,5.9,0.22,0.3,1.3,0.052,42,86,0.99069,3.31,0.47,11.55,6
"1732",1,6.6,0.41,0.31,1.6,0.042,18,101,0.99195,3.13,0.41,10.5,5
"1946",1,7.3,0.35,0.67,8.3,0.053,10,100,0.9959,3.19,0.5,10.9,5
"3595",1,7.4,0.2,0.35,2.1,0.038,30,116,0.9949,3.49,0.77,10.3,7
"1683",1,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
"2922",1,7.4,0.23,0.43,1.4,0.044,22,113,0.9938,3.22,0.62,10.6,6
"2736",1,7.6,0.36,0.44,8.3,0.255,28,142,0.9958,3.12,0.43,10.2,6
"3386",1,8.3,0.21,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5,5
"398",1,6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,5
"1500",1,6.8,0.21,0.49,14.5,0.06,50,170,0.9991,3.55,0.44,9.8,6
"4127",1,7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5
"891",1,8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,6
"3407",1,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
"816",1,6.8,0.28,0.44,11.5,0.04,58,223,0.9969,3.22,0.56,9.5,5
"708",1,5.8,0.32,0.23,1.5,0.033,39,121,0.9887,2.96,0.35,12,5
"131",1,7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
"487",1,6.8,0.24,0.4,1.8,0.047,34,105,0.99,3.13,0.49,12.8,8
"550",1,6.3,0.18,0.22,1.5,0.043,45,155,0.99238,3.19,0.48,10.2,5
"4492",1,9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10,4
"3898",1,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8
"447",1,5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6
"2442",1,6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,7
"2330",1,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
"114",1,7.4,0.35,0.24,6,0.042,28,123,0.99304,3.14,0.44,11.3,5
"3544",1,6.9,0.33,0.31,4.2,0.04,21,93,0.9896,3.18,0.48,13.4,7
"3424",1,7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5
"3036",1,6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5
"4012",1,6.3,0.41,0.33,4.7,0.023,28,110,0.991,3.3,0.38,12.5,7
"2061",1,6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,4
"2519",1,6.6,0.34,0.18,6.4,0.082,47,240,0.9971,3.42,0.48,9.2,5
"4275",1,6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5
"572",1,7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,5
"2644",1,6.5,0.32,0.34,5.7,0.044,27,91,0.99184,3.28,0.6,12,7
"4411",1,6.3,0.28,0.22,11.5,0.036,27,150,0.99445,3,0.33,10.6,6
"1523",1,7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,8
"4795",1,7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6
"831",1,4.2,0.17,0.36,1.8,0.029,93,161,0.98999,3.65,0.89,12,7
"4624",1,6.3,0.31,0.3,10,0.046,49,212,0.9962,3.74,0.55,11.9,6
"2397",1,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
"3176",1,7,0.36,0.25,5.7,0.015,14,73,0.98963,2.82,0.59,13.2,6
"178",1,7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8
"627",1,6.2,0.15,0.27,1.4,0.041,51,117,0.9909,3.28,0.38,11.2,6
"3001",1,6.9,0.38,0.28,8.3,0.062,22,166,0.99506,3.16,0.72,10.6,5
"1364",1,6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,6
"3293",1,7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6
"551",1,6.6,0.78,0.5,1.5,0.045,30,133,0.99104,3.25,0.48,11.7,5
"129",1,6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,5
"604",1,5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,4
"414",1,5.6,0.26,0.18,1.4,0.034,18,135,0.99174,3.32,0.35,10.2,6
"4352",1,6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,6
"3013",1,6.4,0.3,0.33,5.2,0.05,30,137,0.99304,3.26,0.58,11.1,5
"4482",1,8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9,7
"2369",1,6.7,0.25,0.74,19.4,0.054,44,169,1.0004,3.51,0.45,9.8,6
"1280",1,6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,6
"1626",1,6.6,0.15,0.34,1,0.037,45,79,0.98949,2.96,0.5,11.7,6
"2187",1,7.1,0.13,0.4,1.2,0.047,54,134,0.9932,3.3,0.97,9.8,7
"845",1,7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6
"2353",1,6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,6
"176",1,6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,6
"2592",1,6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,5
"4042",1,7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4,5
"4011",1,7.7,0.16,0.49,2,0.056,20,124,0.9948,3.32,0.49,10.7,6
"1925",1,6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,7
"1915",1,6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6
"4632",1,6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,5
"1750",1,6,0.34,0.24,5.4,0.06,23,126,0.9951,3.25,0.44,9,7
"165",1,6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,6
"969",1,7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
"2603",1,6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7
"4811",1,6.3,0.22,0.3,2,0.05,23,120,0.99204,3.24,0.47,10.4,6
"4715",1,6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8,5
"4714",1,8.1,0.36,0.59,13.6,0.051,60,134,0.99886,2.96,0.39,8.7,5
"1282",1,5.6,0.2,0.66,10.2,0.043,78,175,0.9945,2.98,0.43,10.4,7
"2273",1,6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,5
"2478",1,7.1,0.14,0.33,1,0.104,20,54,0.99057,3.19,0.64,11.5,6
"527",1,7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
"4451",1,6.6,0.31,0.28,1.4,0.035,28,107,0.98836,3,0.4,13.2,6
"2151",1,6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,5
"18",1,8.3,0.28,0.45,7.8,0.059,32,139,0.9972,3.33,0.77,11.2,6
"2944",1,6.1,0.33,0.3,3,0.036,30,124,0.98922,3.31,0.4,13.1,7
"1621",1,8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6
"2785",1,8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,6
"2525",1,5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
"1948",1,6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11,6
"833",1,6,0.27,0.27,1.6,0.046,32,113,0.9924,3.41,0.51,10.5,7
"1552",1,5.1,0.3,0.3,2.3,0.048,40,150,0.98944,3.29,0.46,12.2,6
"835",1,7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,5
"3428",1,6.8,0.25,0.3,11.8,0.043,53,133,0.99524,3.03,0.58,10.4,6
"2460",1,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6
"4252",1,7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6
"4164",1,7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,6
"1775",1,10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,4
"1675",1,7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4
"1250",1,8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,5
"3869",1,7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5
"4150",1,8.1,0.31,0.36,8.2,0.028,29,142,0.9925,3.01,0.34,13,7
