age,workclass,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,label
31, Private,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
54, Private,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,20, United-States, <=50K
35, Private,7, Separated, Transport-moving, Not-in-family, Black, Male,3674,0,40, United-States, <=50K
41, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Iran, >50K
23, Private,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
38, Private,10, Divorced, Craft-repair, Not-in-family, White, Male,0,1741,40, United-States, <=50K
58, Private,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, >50K
41, Private,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
19, Local-gov,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private,9, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
19, ?,10, Never-married, ?, Own-child, White, Male,0,0,24, Canada, <=50K
33, Private,9, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States, >50K
43, Private,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K
35, Private,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Private,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, <=50K
55, Private,9, Married-civ-spouse, Sales, Husband, White, Male,4386,0,40, United-States, >50K
41, Self-emp-inc,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, United-States, >50K
29, Private,10, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
62, Private,9, Widowed, Other-service, Not-in-family, White, Female,0,0,24, United-States, <=50K
29, Private,7, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, ?,11, Never-married, ?, Own-child, Black, Female,0,0,15, United-States, <=50K
58, Self-emp-not-inc,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
33, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
59, ?,13, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, >50K
65, Private,7, Widowed, Other-service, Unmarried, Other, Male,0,0,40, United-States, <=50K
40, Private,11, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
22, Private,9, Married-spouse-absent, Sales, Not-in-family, White, Male,0,0,55, United-States, <=50K
56, Self-emp-not-inc,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
26, Federal-gov,10, Never-married, Adm-clerical, Unmarried, White, Female,0,0,15, United-States, <=50K
17, Private,7, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
46, Private,3, Divorced, Craft-repair, Not-in-family, White, Female,0,2339,45, United-States, <=50K
46, Private,10, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Private,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,2415,6, United-States, >50K
34, State-gov,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,45, ?, >50K
34, Private,9, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K
44, Private,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
46, Private,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
17, Private,7, Never-married, Handlers-cleaners, Own-child, White, Male,2176,0,18, United-States, <=50K
30, Private,12, Married-civ-spouse, Other-service, Wife, White, Female,0,0,25, United-States, >50K
34, Local-gov,9, Never-married, Farming-fishing, Not-in-family, Black, Male,594,0,60, United-States, <=50K
23, Private,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
17, ?,7, Never-married, ?, Own-child, White, Female,0,0,5, United-States, <=50K
54, Local-gov,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
50, Private,2, Married-spouse-absent, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
27, Private,6, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Local-gov,13, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Federal-gov,9, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private,13, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private,9, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
49, Private,11, Married-spouse-absent, Handlers-cleaners, Unmarried, White, Male,0,1380,42, United-States, <=50K
28, Private,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
25, Private,10, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
38, Self-emp-inc,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,80, United-States, >50K
37, Local-gov,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
28, Private,10, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, <=50K
26, Private,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Self-emp-inc,13, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,45, United-States, <=50K
34, ?,9, Never-married, ?, Unmarried, Black, Female,0,0,40, United-States, <=50K
35, Local-gov,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc,10, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
31, Private,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,20, ?, <=50K
30, Private,7, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico, <=50K
28, Private,13, Never-married, Transport-moving, Not-in-family, White, Male,0,0,55, United-States, <=50K
24, Private,9, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,40, United-States, <=50K
43, Self-emp-inc,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,5013,0,45, United-States, <=50K
47, Private,14, Divorced, Exec-managerial, Unmarried, White, Male,0,0,42, United-States, <=50K
21, Private,10, Never-married, Sales, Own-child, White, Female,0,0,24, United-States, <=50K
25, Private,10, Never-married, Tech-support, Not-in-family, White, Male,2174,0,40, United-States, <=50K
17, Private,6, Never-married, Other-service, Own-child, White, Female,0,0,21, United-States, <=50K
46, Private,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,45, United-States, >50K
23, Private,13, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
65, Private,5, Widowed, Priv-house-serv, Unmarried, Black, Female,0,0,24, United-States, <=50K
30, Private,9, Never-married, Farming-fishing, Own-child, Black, Male,0,0,60, United-States, <=50K
34, Private,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
38, Self-emp-not-inc,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,64, United-States, <=50K
47, Self-emp-not-inc,10, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
21, Private,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Private,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
43, Private,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
27, Private,10, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private,10, Never-married, Sales, Not-in-family, White, Female,0,0,25, United-States, <=50K
42, Private,12, Divorced, Prof-specialty, Unmarried, White, Female,8614,0,40, United-States, >50K
27, State-gov,10, Married-civ-spouse, Transport-moving, Husband, White, Male,3411,0,40, United-States, <=50K
48, Federal-gov,10, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Self-emp-not-inc,7, Never-married, Farming-fishing, Own-child, White, Male,0,0,10, United-States, <=50K
33, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
17, Private,8, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States, <=50K
45, Local-gov,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,55, United-States, <=50K
40, Private,8, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, Jamaica, <=50K
45, Private,10, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
55, Private,10, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
26, Private,11, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,2377,45, United-States, <=50K
25, Private,11, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
35, Private,10, Married-civ-spouse, Craft-repair, Husband, White, Male,2407,0,40, United-States, <=50K
43, State-gov,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
55, Self-emp-not-inc,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,72, United-States, <=50K
29, Private,7, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Haiti, <=50K
46, State-gov,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,37, United-States, <=50K
22, Private,13, Never-married, Prof-specialty, Unmarried, White, Male,0,0,20, United-States, <=50K
23, Private,9, Never-married, Transport-moving, Unmarried, White, Male,0,0,50, United-States, <=50K
33, Local-gov,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
46, Federal-gov,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
36, Private,9, Never-married, Other-service, Not-in-family, White, Female,0,0,18, United-States, <=50K
53, Self-emp-inc,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
26, Private,10, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,38, United-States, <=50K
37, Private,3, Separated, Farming-fishing, Not-in-family, White, Male,0,0,32, Guatemala, <=50K
31, Private,9, Divorced, Craft-repair, Unmarried, White, Male,0,0,55, United-States, <=50K
36, Private,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
61, Self-emp-not-inc,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,2352,50, United-States, <=50K
18, Private,8, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30, United-States, <=50K
48, Private,11, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, >50K
18, ?,10, Never-married, ?, Own-child, White, Male,0,0,33, United-States, <=50K
46, Private,14, Never-married, Tech-support, Not-in-family, White, Male,0,0,35, United-States, >50K
68, Self-emp-not-inc,7, Never-married, Farming-fishing, Unmarried, White, Male,0,0,20, United-States, <=50K
33, Private,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,3103,0,47, United-States, >50K
64, Private,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
62, Private,9, Widowed, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private,9, Separated, Machine-op-inspct, Unmarried, White, Female,0,0,24, United-States, <=50K
63, Private,9, Widowed, Farming-fishing, Not-in-family, White, Male,0,0,6, United-States, <=50K
51, Private,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
62, Local-gov,13, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,48, United-States, <=50K
26, Private,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Private,7, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
28, Self-emp-inc,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
51, Self-emp-not-inc,13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,2415,40, China, >50K
23, Private,9, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,7, United-States, <=50K
39, Private,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
27, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, <=50K
23, Private,13, Never-married, Exec-managerial, Own-child, White, Male,0,0,28, United-States, <=50K
54, Self-emp-not-inc,9, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private,11, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, India, <=50K
47, Private,10, Divorced, Sales, Own-child, White, Male,0,0,55, United-States, <=50K
30, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
27, ?,12, Married-civ-spouse, ?, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
64, ?,9, Married-civ-spouse, ?, Husband, White, Male,0,0,5, United-States, <=50K
32, Private,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
51, Local-gov,1, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
37, Private,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3103,0,44, United-States, >50K
18, Private,9, Never-married, Other-service, Not-in-family, White, Female,0,0,45, United-States, <=50K
20, Private,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
43, Private,10, Divorced, Craft-repair, Unmarried, White, Male,0,0,35, United-States, <=50K
44, Self-emp-not-inc,10, Divorced, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
28, Private,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
20, Private,9, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
48, Private,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
34, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, >50K
44, Private,9, Never-married, Transport-moving, Unmarried, White, Male,0,0,70, United-States, <=50K
40, State-gov,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
47, Private,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
45, Private,14, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
39, Self-emp-inc,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
20, Private,10, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
26, Private,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Germany, <=50K
50, Private,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3103,0,40, United-States, >50K
33, Private,11, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,40, United-States, >50K
23, Private,9, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
56, Private,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, Yugoslavia, <=50K
31, Private,11, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private,10, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private,9, Never-married, Other-service, Not-in-family, White, Male,0,0,75, United-States, <=50K
34, Private,9, Divorced, Priv-house-serv, Unmarried, Black, Female,0,0,30, United-States, <=50K
64, ?,12, Never-married, ?, Not-in-family, White, Female,0,0,20, United-States, <=50K
30, Private,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,7298,0,40, United-States, >50K
32, Private,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
61, Private,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3471,0,40, United-States, <=50K
49, Private,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States, >50K
17, Private,7, Never-married, Adm-clerical, Own-child, White, Male,0,0,15, United-States, <=50K
49, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
41, Local-gov,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
30, Private,11, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
29, Self-emp-inc,9, Married-civ-spouse, Sales, Wife, White, Female,0,1977,25, United-States, >50K
41, Private,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, United-States, <=50K
41, Private,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
53, Private,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
45, Federal-gov,9, Divorced, Tech-support, Not-in-family, White, Female,4865,0,40, United-States, <=50K
20, Private,11, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
41, Self-emp-not-inc,10, Divorced, Other-service, Unmarried, White, Male,0,0,45, United-States, <=50K
30, Private,10, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K
37, Private,11, Never-married, Adm-clerical, Own-child, White, Female,0,0,38, United-States, <=50K
27, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,53, United-States, <=50K
40, Private,13, Never-married, Other-service, Not-in-family, White, Male,0,0,37, United-States, <=50K
30, Self-emp-inc,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
25, Private,9, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
40, Private,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,39, United-States, <=50K
24, ?,10, Never-married, ?, Not-in-family, White, Male,0,0,40, ?, <=50K
33, Private,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
22, ?,10, Never-married, ?, Own-child, White, Female,0,0,8, United-States, <=50K
40, Private,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Private,7, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
25, Private,14, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,99, United-States, >50K
20, Private,11, Never-married, Other-service, Not-in-family, White, Male,0,0,30, United-States, <=50K
50, State-gov,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, >50K
50, ?,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, >50K
32, Private,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
61, Self-emp-inc,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
38, Private,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,42, United-States, >50K
37, Private,10, Separated, Adm-clerical, Own-child, White, Male,0,0,62, United-States, <=50K
54, Private,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,45, United-States, >50K
31, Private,13, Divorced, Exec-managerial, Not-in-family, White, Male,4650,0,45, United-States, <=50K
38, Private,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
53, Private,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private,14, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,72, ?, >50K
42, Self-emp-not-inc,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
46, Private,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, United-States, >50K
41, Self-emp-not-inc,9, Married-civ-spouse, Sales, Other-relative, White, Female,0,0,40, Cuba, <=50K
42, Private,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
36, State-gov,9, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
57, Private,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
30, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
47, Private,13, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,45, United-States, <=50K
25, Private,9, Never-married, Tech-support, Not-in-family, Black, Female,0,0,40, United-States, <=50K
46, Private,13, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40, United-States, >50K
42, Private,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
21, Private,10, Never-married, Farming-fishing, Own-child, Black, Male,0,0,10, United-States, <=50K
46, Private,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
58, ?,8, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
44, Local-gov,10, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
29, Private,9, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Japan, <=50K
30, Private,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
43, Private,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
20, ?,10, Never-married, ?, Not-in-family, White, Female,0,0,25, United-States, <=50K
20, Private,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, United-States, <=50K
27, Private,9, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, >50K
39, Private,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
52, Private,9, Widowed, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, India, >50K
24, Private,9, Never-married, Sales, Own-child, Black, Female,0,0,20, United-States, <=50K
29, Private,7, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
20, Private,10, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
57, Private,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
40, Private,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
71, Private,13, Divorced, Tech-support, Own-child, White, Female,2329,0,16, United-States, <=50K
38, State-gov,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
26, Private,9, Never-married, Sales, Not-in-family, Other, Male,0,0,40, United-States, <=50K
36, Private,9, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
23, Private,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
52, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
51, Private,10, Divorced, Sales, Unmarried, White, Female,0,0,40, Italy, <=50K
49, Self-emp-inc,9, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
53, Federal-gov,10, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
20, Private,6, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
26, Private,12, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
