"","y","buying","maint","doors","persons","lug_boot","safety","class"
"676",1,"med","low","2","more","med","high","good"
"1026",1,"high","med","5more","more","big","med","acc"
"1314",1,"vhigh","high","5more","more","small","low","unacc"
"405",1,"high","low","3","2","small","med","unacc"
"843",1,"high","vhigh","2","2","big","low","unacc"
"141",1,"vhigh","vhigh","5more","more","small","med","unacc"
"1478",1,"low","high","3","more","med","high","vgood"
"117",1,"vhigh","low","4","2","big","med","unacc"
"1",1,"med","high","5more","4","med","med","acc"
"406",1,"low","vhigh","3","4","big","high","acc"
"460",1,"med","vhigh","5more","4","med","med","acc"
"1146",1,"high","vhigh","3","2","big","high","unacc"
"519",1,"vhigh","med","4","2","big","high","unacc"
"1474",1,"med","med","4","more","big","low","unacc"
"918",1,"low","med","4","more","med","low","unacc"
"937",1,"low","low","2","4","big","low","unacc"
"1190",1,"low","vhigh","3","2","med","med","unacc"
"978",1,"med","med","4","4","med","med","acc"
"590",1,"high","high","5more","2","small","high","unacc"
"1546",1,"vhigh","low","3","2","med","med","unacc"
"115",1,"vhigh","high","3","more","small","med","unacc"
"1597",1,"med","low","4","2","big","med","unacc"
"1643",1,"low","high","4","more","small","med","acc"
"286",1,"low","low","4","2","small","med","unacc"
"1128",1,"high","med","2","more","big","med","acc"
"487",1,"med","med","2","4","small","med","acc"
"1172",1,"low","low","2","2","small","low","unacc"
"259",1,"high","vhigh","3","4","big","med","unacc"
"982",1,"med","high","3","more","small","low","unacc"
"658",1,"vhigh","low","5more","2","small","med","unacc"
"1574",1,"med","low","2","2","med","high","unacc"
"1433",1,"med","high","3","4","small","low","unacc"
"154",1,"vhigh","vhigh","3","more","med","med","unacc"
"293",1,"med","high","2","4","small","high","acc"
"1509",1,"low","high","5more","2","med","low","unacc"
"1496",1,"high","med","3","more","small","high","acc"
"289",1,"vhigh","high","4","4","small","high","unacc"
"486",1,"vhigh","med","4","more","small","med","unacc"
"1157",1,"high","low","4","4","big","med","acc"
"243",1,"high","low","2","2","med","high","unacc"
"807",1,"vhigh","low","2","2","big","low","unacc"
"934",1,"high","med","2","2","big","low","unacc"
"146",1,"vhigh","vhigh","4","4","med","med","unacc"
"420",1,"vhigh","low","4","more","med","med","acc"
"1681",1,"high","low","3","4","med","high","acc"
"928",1,"low","high","5more","2","big","low","unacc"
"17",1,"vhigh","high","3","more","small","high","unacc"
"1372",1,"high","high","2","2","small","med","unacc"
"883",1,"vhigh","low","5more","2","big","high","unacc"
"1039",1,"low","high","4","2","med","high","unacc"
"1391",1,"med","med","4","2","big","high","unacc"
"602",1,"vhigh","med","5more","4","small","high","acc"
"1236",1,"low","med","4","more","small","high","good"
"661",1,"med","low","4","4","med","high","vgood"
"72",1,"vhigh","high","5more","more","med","low","unacc"
"357",1,"high","vhigh","5more","4","small","high","unacc"
"587",1,"high","low","3","2","small","high","unacc"
"480",1,"med","vhigh","2","2","big","high","unacc"
"640",1,"vhigh","med","5more","2","small","med","unacc"
"1440",1,"low","high","3","more","big","med","acc"
"1269",1,"low","vhigh","4","more","big","med","acc"
"708",1,"med","high","2","more","small","med","unacc"
"755",1,"med","high","5more","4","small","high","acc"
"1493",1,"med","high","2","4","med","high","acc"
"1347",1,"vhigh","vhigh","5more","4","med","low","unacc"
"247",1,"high","med","5more","2","med","low","unacc"
"1499",1,"high","vhigh","2","more","small","med","unacc"
"312",1,"high","high","4","2","big","low","unacc"
"390",1,"med","high","4","more","small","high","acc"
"535",1,"med","high","4","4","med","high","acc"
"1482",1,"vhigh","high","5more","2","small","low","unacc"
"1583",1,"low","low","3","2","med","low","unacc"
"89",1,"vhigh","low","2","4","big","low","unacc"
"1542",1,"high","vhigh","2","more","big","med","unacc"
"1687",1,"low","vhigh","3","2","small","med","unacc"
"381",1,"vhigh","vhigh","3","2","small","low","unacc"
"935",1,"vhigh","high","4","4","big","med","unacc"
"638",1,"high","med","5more","more","small","med","unacc"
"857",1,"vhigh","med","2","2","small","low","unacc"
"680",1,"high","high","4","2","med","med","unacc"
"1563",1,"med","med","2","2","med","low","unacc"
"997",1,"high","vhigh","2","more","small","high","unacc"
"324",1,"vhigh","low","2","2","small","high","unacc"
"784",1,"low","med","2","2","big","high","unacc"
"965",1,"low","med","5more","more","big","med","good"
"233",1,"med","vhigh","5more","more","med","high","acc"
"1037",1,"med","high","4","more","big","low","unacc"
"1118",1,"high","low","2","4","big","low","unacc"
"962",1,"high","med","4","4","med","low","unacc"
"1406",1,"high","high","3","more","med","high","acc"
"1114",1,"med","med","4","2","med","high","unacc"
"1399",1,"low","low","5more","2","small","low","unacc"
"386",1,"vhigh","vhigh","3","4","med","high","unacc"
"644",1,"vhigh","high","3","4","med","med","unacc"
"189",1,"vhigh","vhigh","3","4","big","high","unacc"
"1728",1,"low","vhigh","5more","4","med","high","acc"
"709",1,"med","high","3","2","med","med","unacc"
"580",1,"vhigh","high","5more","2","big","med","unacc"
"139",1,"low","vhigh","4","4","big","high","acc"
"929",1,"vhigh","med","5more","2","med","high","unacc"
"452",1,"vhigh","med","4","2","small","low","unacc"
"218",1,"low","high","5more","2","med","high","unacc"
"24",1,"high","low","4","2","med","high","unacc"
"156",1,"low","med","3","2","med","med","unacc"
"1028",1,"low","med","4","more","med","high","vgood"
"998",1,"high","low","2","2","med","low","unacc"
"1315",1,"low","high","2","4","small","low","unacc"
"1332",1,"high","low","4","4","med","low","unacc"
"563",1,"med","low","5more","more","med","med","good"
"1001",1,"low","low","5more","4","med","med","good"
"509",1,"vhigh","low","4","2","med","low","unacc"
"104",1,"low","vhigh","2","2","small","high","unacc"
"1610",1,"med","high","5more","2","big","med","unacc"
"1649",1,"low","low","4","4","big","med","good"
"1548",1,"med","vhigh","4","more","med","high","acc"
"193",1,"high","med","4","2","small","high","unacc"
"966",1,"med","low","3","more","small","high","good"
"1234",1,"low","vhigh","3","more","small","med","unacc"
"685",1,"low","vhigh","5more","2","med","med","unacc"
"97",1,"high","vhigh","5more","more","small","med","unacc"
"446",1,"high","vhigh","5more","4","big","low","unacc"
"1270",1,"vhigh","low","3","2","big","med","unacc"
"1475",1,"low","med","4","4","med","high","vgood"
"738",1,"high","high","2","more","big","high","acc"
"54",1,"high","vhigh","3","2","small","med","unacc"
"559",1,"vhigh","med","3","2","small","high","unacc"
"412",1,"high","high","5more","more","small","low","unacc"
"370",1,"low","vhigh","2","2","small","low","unacc"
"872",1,"vhigh","vhigh","3","more","small","high","unacc"
"1479",1,"vhigh","high","5more","2","med","low","unacc"
"116",1,"med","med","4","more","small","med","acc"
"18",1,"low","low","3","2","med","med","unacc"
"1326",1,"high","vhigh","2","4","big","med","unacc"
"551",1,"vhigh","med","4","more","big","low","unacc"
"173",1,"low","vhigh","3","more","med","med","acc"
"1635",1,"vhigh","high","4","more","med","high","unacc"
"411",1,"vhigh","low","3","more","med","low","unacc"
"273",1,"med","high","5more","2","small","med","unacc"
"305",1,"med","med","5more","4","small","low","unacc"
"1133",1,"low","high","3","4","med","high","acc"
"300",1,"low","med","5more","more","small","med","acc"
"954",1,"low","med","2","2","med","med","unacc"
"462",1,"med","med","4","4","small","high","acc"
"1241",1,"med","low","5more","more","small","high","good"
"1677",1,"low","low","4","4","small","med","acc"
"526",1,"med","vhigh","4","4","med","high","acc"
"1595",1,"med","vhigh","3","more","small","high","acc"
"464",1,"vhigh","med","5more","2","med","med","unacc"
"108",1,"high","low","2","4","small","med","unacc"
"1229",1,"high","med","2","4","med","low","unacc"
"533",1,"vhigh","high","3","4","med","low","unacc"
"91",1,"med","high","3","2","med","high","unacc"
"267",1,"high","low","2","2","big","high","unacc"
"1339",1,"med","vhigh","3","2","med","med","unacc"
"1203",1,"high","high","4","more","med","low","unacc"
"1076",1,"vhigh","high","4","more","med","low","unacc"
"1002",1,"vhigh","low","4","4","small","med","unacc"
"642",1,"high","vhigh","5more","more","med","med","unacc"
"765",1,"med","vhigh","2","2","med","low","unacc"
"1116",1,"med","low","2","more","med","med","acc"
"995",1,"vhigh","low","5more","4","big","low","unacc"
"1060",1,"high","high","3","4","small","low","unacc"
"1415",1,"vhigh","med","3","2","med","med","unacc"
"839",1,"med","low","4","more","med","med","good"
"98",1,"vhigh","med","4","4","med","low","unacc"
"792",1,"vhigh","low","2","4","small","high","acc"
"553",1,"vhigh","high","4","more","big","low","unacc"
"402",1,"low","vhigh","3","4","med","high","acc"
"891",1,"vhigh","vhigh","3","2","small","med","unacc"
"310",1,"vhigh","med","5more","more","med","med","acc"
"500",1,"low","low","2","2","small","med","unacc"
"766",1,"high","high","4","more","small","high","acc"
"122",1,"low","vhigh","3","2","small","low","unacc"
"136",1,"med","vhigh","2","4","med","high","acc"
"111",1,"high","low","2","more","med","low","unacc"
"594",1,"low","high","4","2","med","low","unacc"
"572",1,"vhigh","high","5more","more","small","high","unacc"
"847",1,"high","vhigh","5more","more","big","high","unacc"
"38",1,"med","vhigh","2","more","med","high","acc"
"867",1,"med","high","5more","more","small","high","acc"
"771",1,"high","vhigh","2","more","big","high","unacc"
"1663",1,"low","vhigh","4","2","big","med","unacc"
"1611",1,"low","med","4","4","small","med","acc"
"1263",1,"high","high","5more","2","small","med","unacc"
"581",1,"low","vhigh","3","4","med","low","unacc"
"1265",1,"low","med","2","4","big","high","vgood"
"1079",1,"med","high","3","2","small","med","unacc"
"394",1,"med","med","4","more","med","high","vgood"
"880",1,"low","high","4","2","big","med","unacc"
"1346",1,"vhigh","med","5more","more","small","high","acc"
"1557",1,"high","vhigh","2","4","med","low","unacc"
"1309",1,"vhigh","med","5more","2","med","low","unacc"
"469",1,"vhigh","med","2","4","big","med","acc"
"119",1,"high","med","2","2","small","high","unacc"
"1100",1,"low","high","4","4","big","low","unacc"
"1659",1,"med","low","5more","2","small","high","unacc"
"611",1,"high","vhigh","5more","2","small","low","unacc"
"199",1,"high","high","3","more","small","high","acc"
"575",1,"med","low","4","more","small","high","good"
"1330",1,"vhigh","high","3","more","small","low","unacc"
"1357",1,"vhigh","vhigh","2","4","small","low","unacc"
"27",1,"low","med","3","2","big","low","unacc"
"478",1,"high","low","4","more","med","med","acc"
"366",1,"high","vhigh","2","more","med","high","unacc"
"1009",1,"high","med","3","2","med","med","unacc"
"1388",1,"high","low","4","2","small","med","unacc"
"1111",1,"med","high","5more","more","big","low","unacc"
"1151",1,"low","high","2","4","big","low","unacc"
"26",1,"low","high","2","2","big","high","unacc"
"1689",1,"vhigh","med","3","2","big","med","unacc"
"781",1,"med","med","5more","more","small","med","acc"
"987",1,"high","med","5more","more","med","low","unacc"
"1421",1,"low","vhigh","5more","2","small","med","unacc"
"1277",1,"med","med","5more","2","med","high","unacc"
"1616",1,"low","vhigh","2","2","med","high","unacc"
"743",1,"high","high","5more","4","small","high","acc"
"799",1,"low","low","4","2","med","med","unacc"
"1109",1,"med","low","3","4","small","high","good"
"657",1,"high","med","2","2","small","low","unacc"
"321",1,"high","low","2","4","big","high","acc"
"1614",1,"high","low","5more","2","big","med","unacc"
"1349",1,"med","low","2","2","big","med","unacc"
"444",1,"low","med","3","more","small","med","acc"
"360",1,"vhigh","low","5more","4","small","low","unacc"
"1184",1,"high","vhigh","5more","4","med","high","unacc"
"653",1,"vhigh","med","3","more","small","high","acc"
"1593",1,"high","high","2","2","med","low","unacc"
"16",1,"low","vhigh","2","more","big","high","acc"
"224",1,"low","high","3","4","small","high","acc"
"1556",1,"high","vhigh","2","4","big","high","unacc"
"1214",1,"med","vhigh","4","more","med","low","unacc"
"1031",1,"high","low","4","4","med","med","acc"
"307",1,"med","low","5more","2","big","med","unacc"
"1197",1,"vhigh","high","4","4","small","low","unacc"
"288",1,"high","low","5more","2","small","low","unacc"
"1200",1,"high","vhigh","5more","4","med","med","unacc"
"127",1,"vhigh","high","2","more","big","low","unacc"
"1521",1,"low","vhigh","5more","4","big","med","acc"
"1110",1,"high","vhigh","5more","2","big","med","unacc"
"650",1,"high","low","3","2","big","high","unacc"
"1188",1,"vhigh","low","5more","4","med","high","acc"
"214",1,"med","vhigh","2","4","small","low","unacc"
"265",1,"med","med","3","4","small","high","acc"
"172",1,"med","low","4","4","big","med","good"
"492",1,"vhigh","high","4","more","med","med","unacc"
"161",1,"med","low","3","more","med","low","unacc"
"579",1,"low","low","5more","4","small","med","acc"
"620",1,"high","med","3","more","med","low","unacc"
"313",1,"vhigh","med","4","4","big","low","unacc"
"1199",1,"high","low","3","4","big","high","acc"
"1629",1,"vhigh","high","2","more","med","high","unacc"
"220",1,"vhigh","med","5more","more","small","low","unacc"
"358",1,"high","low","3","more","big","low","unacc"
"277",1,"vhigh","vhigh","5more","2","med","high","unacc"
"1333",1,"high","high","2","2","med","med","unacc"
"996",1,"high","med","3","4","med","high","acc"
"501",1,"vhigh","med","3","4","med","med","unacc"
"1074",1,"low","med","4","4","med","med","good"
"833",1,"med","med","5more","4","small","med","acc"
"318",1,"med","vhigh","4","more","small","high","acc"
"177",1,"high","vhigh","5more","2","med","med","unacc"
"949",1,"low","vhigh","2","4","big","low","unacc"
"915",1,"vhigh","vhigh","2","more","small","high","unacc"
"1710",1,"low","med","5more","2","med","med","unacc"
"989",1,"high","med","4","more","small","low","unacc"
"1278",1,"vhigh","med","4","4","small","med","unacc"
"1407",1,"vhigh","low","5more","more","med","med","acc"
"1244",1,"low","low","3","2","small","high","unacc"
"1576",1,"high","high","3","more","big","med","acc"
"555",1,"vhigh","high","4","2","small","med","unacc"
"1469",1,"vhigh","med","4","2","big","med","unacc"
"1171",1,"low","vhigh","5more","2","small","high","unacc"
"913",1,"low","med","4","2","med","high","unacc"
"433",1,"med","med","3","4","small","med","acc"
"1657",1,"vhigh","med","5more","more","med","high","acc"
"1077",1,"high","high","4","more","med","med","acc"
"77",1,"low","high","2","2","med","med","unacc"
"1096",1,"low","high","5more","4","small","med","acc"
"378",1,"low","low","3","4","med","med","acc"
"450",1,"vhigh","low","3","more","med","med","acc"
"609",1,"high","med","2","more","med","med","unacc"
"874",1,"vhigh","low","4","more","big","med","acc"
"1668",1,"med","low","4","more","med","high","vgood"
"151",1,"vhigh","low","4","4","big","med","acc"
"1711",1,"med","low","3","4","big","high","vgood"
"155",1,"med","med","5more","more","big","med","acc"
"1084",1,"low","vhigh","5more","more","big","med","acc"
"739",1,"low","med","2","2","small","med","unacc"
"1457",1,"high","vhigh","5more","more","med","low","unacc"
"1323",1,"low","med","3","more","big","low","unacc"
"1145",1,"high","low","3","2","med","high","unacc"
"1354",1,"low","high","4","2","small","high","unacc"
"1582",1,"low","low","5more","2","med","high","unacc"
"1619",1,"vhigh","high","2","more","big","high","unacc"
"552",1,"vhigh","high","5more","4","small","med","unacc"
"1575",1,"high","high","2","2","small","low","unacc"
"1665",1,"low","low","5more","2","med","low","unacc"
"917",1,"high","low","4","more","med","high","acc"
"208",1,"med","vhigh","5more","more","small","high","acc"
"437",1,"low","med","3","more","small","low","unacc"
"1459",1,"vhigh","low","3","4","small","high","acc"
"735",1,"vhigh","vhigh","5more","4","med","med","unacc"
"671",1,"med","med","5more","2","small","med","unacc"
"1640",1,"med","low","5more","4","small","med","acc"
"796",1,"vhigh","med","5more","more","med","low","unacc"
"1213",1,"med","med","4","2","big","low","unacc"
"120",1,"low","high","3","2","small","med","unacc"
"1186",1,"high","med","3","4","big","low","unacc"
"29",1,"high","low","4","more","big","med","acc"
"633",1,"med","vhigh","2","4","small","high","acc"
"1615",1,"high","high","5more","4","big","low","unacc"
"545",1,"vhigh","high","5more","more","med","high","unacc"
"1476",1,"high","vhigh","4","more","med","med","unacc"
"1238",1,"high","low","5more","more","small","med","unacc"
"683",1,"vhigh","low","4","4","small","low","unacc"
"338",1,"high","vhigh","4","2","big","med","unacc"
"810",1,"med","vhigh","4","more","big","low","unacc"
"1644",1,"low","vhigh","5more","2","big","low","unacc"
"936",1,"low","med","5more","more","big","low","unacc"
"1264",1,"med","vhigh","5more","2","med","med","unacc"
"1180",1,"high","high","5more","2","med","med","unacc"
"204",1,"high","vhigh","4","2","med","med","unacc"
"206",1,"med","high","4","2","med","high","unacc"
"354",1,"med","med","5more","2","big","low","unacc"
"682",1,"vhigh","high","5more","4","med","med","unacc"
"890",1,"high","med","5more","more","big","high","acc"
"561",1,"vhigh","low","5more","4","small","high","acc"
"824",1,"high","med","5more","more","small","high","acc"
"51",1,"vhigh","low","3","2","small","med","unacc"
"210",1,"med","high","3","2","med","low","unacc"
"55",1,"high","med","5more","2","small","low","unacc"
"391",1,"low","vhigh","5more","2","big","med","unacc"
"422",1,"vhigh","low","2","4","big","med","acc"
"166",1,"low","vhigh","3","more","med","low","unacc"
"1052",1,"vhigh","low","5more","4","big","high","acc"
"1291",1,"high","high","4","4","big","low","unacc"
"1429",1,"med","vhigh","5more","more","big","high","acc"
"1676",1,"vhigh","med","5more","more","big","low","unacc"
"376",1,"low","vhigh","4","4","small","low","unacc"
"884",1,"vhigh","low","3","more","big","med","acc"
"1356",1,"low","high","2","more","big","low","unacc"
"499",1,"high","med","4","2","med","high","unacc"
"1467",1,"low","med","4","2","med","med","unacc"
"916",1,"high","med","3","more","med","high","acc"
"342",1,"vhigh","vhigh","2","2","small","low","unacc"
"751",1,"med","low","2","4","med","low","unacc"
"1182",1,"low","high","4","4","small","med","acc"
"538",1,"vhigh","low","4","more","big","high","acc"
"817",1,"med","vhigh","3","2","med","low","unacc"
"431",1,"vhigh","vhigh","2","more","med","low","unacc"
"165",1,"vhigh","med","2","2","big","low","unacc"
"1480",1,"med","low","2","4","big","med","good"
"48",1,"med","high","3","2","small","low","unacc"
"698",1,"low","high","3","4","med","med","acc"
"1287",1,"med","vhigh","5more","4","med","high","acc"
"1016",1,"vhigh","vhigh","4","more","med","low","unacc"
"1392",1,"low","low","2","more","small","low","unacc"
"389",1,"vhigh","vhigh","4","2","med","med","unacc"
"71",1,"vhigh","high","3","4","big","low","unacc"
"430",1,"high","high","4","2","med","high","unacc"
"866",1,"high","high","3","2","big","low","unacc"
"1378",1,"vhigh","vhigh","2","4","med","low","unacc"
"1727",1,"med","low","3","2","small","high","unacc"
"1113",1,"med","high","4","4","med","low","unacc"
"635",1,"med","high","4","4","big","high","acc"
"256",1,"vhigh","vhigh","3","2","med","high","unacc"
"1531",1,"vhigh","high","4","more","small","high","unacc"
"691",1,"low","high","4","more","big","low","unacc"
"731",1,"med","low","5more","more","big","med","good"
"1366",1,"low","high","3","more","big","low","unacc"
"571",1,"high","low","4","more","small","high","acc"
"144",1,"high","high","2","4","big","high","acc"
"1675",1,"med","low","5more","4","small","low","unacc"
"889",1,"low","low","2","more","big","med","good"
"1204",1,"low","high","4","4","med","med","acc"
"1047",1,"med","low","4","2","med","low","unacc"
"311",1,"low","vhigh","2","2","med","low","unacc"
"1385",1,"med","high","5more","4","big","low","unacc"
"541",1,"low","med","3","4","med","low","unacc"
"1170",1,"vhigh","low","4","2","med","med","unacc"
"1417",1,"vhigh","vhigh","4","2","small","low","unacc"
"674",1,"high","low","5more","more","med","low","unacc"
"239",1,"low","high","2","4","big","high","vgood"
"95",1,"med","vhigh","2","more","big","med","acc"
"331",1,"vhigh","med","5more","4","small","low","unacc"
"507",1,"med","vhigh","2","4","big","med","acc"
"1462",1,"med","high","4","more","small","low","unacc"
"385",1,"med","med","2","4","med","med","acc"
"1319",1,"med","high","3","4","med","low","unacc"
"49",1,"low","med","2","4","small","high","good"
"1609",1,"med","vhigh","5more","2","small","low","unacc"
"107",1,"low","low","5more","2","big","med","unacc"
"183",1,"low","med","2","2","big","med","unacc"
"434",1,"med","low","2","2","big","low","unacc"
"105",1,"med","vhigh","4","2","big","low","unacc"
"1435",1,"high","high","2","2","small","high","unacc"
"163",1,"med","med","3","2","big","high","unacc"
"870",1,"med","vhigh","4","more","small","med","unacc"
"1065",1,"med","high","3","more","small","med","unacc"
"1393",1,"low","med","3","4","big","high","vgood"
"212",1,"low","med","4","4","big","med","good"
"770",1,"vhigh","med","2","more","med","high","acc"
"1358",1,"low","med","5more","more","big","high","vgood"
"1416",1,"med","high","2","more","small","high","unacc"
"1068",1,"high","med","4","4","big","low","unacc"
"673",1,"med","med","2","more","big","med","acc"
"1256",1,"high","low","4","more","big","high","acc"
"578",1,"high","vhigh","3","4","med","high","unacc"
"801",1,"low","high","5more","4","big","low","unacc"
"1601",1,"low","vhigh","4","more","big","low","unacc"
"1252",1,"low","high","3","2","small","low","unacc"
"20",1,"med","low","3","2","med","med","unacc"
"977",1,"high","high","2","more","small","low","unacc"
"1446",1,"high","high","3","2","med","med","unacc"
"804",1,"high","high","4","2","big","med","unacc"
"272",1,"vhigh","low","3","more","small","med","unacc"
"1106",1,"med","high","4","4","big","low","unacc"
"178",1,"med","med","3","more","big","med","acc"
"598",1,"low","low","2","4","med","low","unacc"
"1280",1,"low","high","3","2","big","med","unacc"
"281",1,"vhigh","low","2","2","med","med","unacc"
"1723",1,"med","high","3","2","big","high","unacc"
"1658",1,"med","med","5more","4","med","med","acc"
"536",1,"high","high","3","more","small","med","unacc"
"855",1,"vhigh","low","5more","2","med","high","unacc"
"1454",1,"med","med","2","2","small","low","unacc"
"21",1,"vhigh","vhigh","3","2","big","med","unacc"
"616",1,"low","med","4","more","small","med","acc"
"317",1,"high","low","5more","more","big","low","unacc"
"615",1,"low","low","5more","more","small","med","acc"
"1119",1,"high","high","3","4","med","low","unacc"
"858",1,"low","low","2","2","med","low","unacc"
"470",1,"med","vhigh","5more","4","small","low","unacc"
"353",1,"high","vhigh","4","4","small","high","unacc"
"975",1,"low","med","4","2","big","high","unacc"
"1678",1,"med","low","2","4","small","low","unacc"
"169",1,"med","low","2","4","big","low","unacc"
"1140",1,"med","vhigh","4","2","med","high","unacc"
"1220",1,"low","low","3","2","small","med","unacc"
"1132",1,"vhigh","med","3","2","small","med","unacc"
"1115",1,"high","vhigh","3","more","med","high","unacc"
"367",1,"vhigh","med","3","4","big","low","unacc"
"1502",1,"low","vhigh","4","more","med","high","acc"
"1664",1,"med","vhigh","5more","2","big","med","unacc"
"1517",1,"low","vhigh","3","2","small","high","unacc"
"729",1,"med","vhigh","2","2","big","med","unacc"
"830",1,"med","high","4","2","med","med","unacc"
"1136",1,"vhigh","vhigh","4","more","big","med","unacc"
"558",1,"vhigh","med","2","more","small","high","unacc"
"591",1,"vhigh","vhigh","3","more","big","med","unacc"
"1149",1,"low","low","3","more","big","low","unacc"
"1212",1,"med","high","2","2","med","med","unacc"
"1364",1,"high","vhigh","4","4","big","high","unacc"
"346",1,"high","low","3","4","small","low","unacc"
"678",1,"vhigh","low","4","2","small","med","unacc"
"1716",1,"med","med","2","more","big","low","unacc"
"1107",1,"vhigh","low","2","more","small","med","unacc"
"853",1,"low","med","4","2","small","med","unacc"
"1620",1,"med","vhigh","5more","2","med","low","unacc"
"1449",1,"med","med","2","2","big","low","unacc"
"1057",1,"med","high","2","2","small","high","unacc"
"1380",1,"med","med","4","2","small","med","unacc"
"668",1,"low","med","5more","4","small","low","unacc"
"361",1,"med","vhigh","3","more","big","high","acc"
"319",1,"vhigh","med","3","4","med","high","acc"
"1101",1,"high","vhigh","3","4","small","high","unacc"
"284",1,"vhigh","high","4","2","med","low","unacc"
"1064",1,"vhigh","med","2","more","big","low","unacc"
"505",1,"med","high","3","more","med","high","acc"
"734",1,"med","high","5more","more","med","med","acc"
"397",1,"med","low","4","more","big","med","good"
"1062",1,"vhigh","high","5more","2","small","med","unacc"
"1003",1,"low","low","4","more","big","med","good"
"1375",1,"low","vhigh","5more","more","med","high","acc"
"47",1,"low","med","2","4","med","med","acc"
"1489",1,"med","low","5more","4","big","med","good"
"418",1,"low","vhigh","5more","more","med","low","unacc"
"350",1,"med","vhigh","3","4","med","low","unacc"
"447",1,"med","low","4","2","med","high","unacc"
"756",1,"med","vhigh","2","4","big","low","unacc"
"1192",1,"vhigh","vhigh","5more","2","med","low","unacc"
"1143",1,"high","vhigh","2","4","med","high","unacc"
"1585",1,"high","med","2","more","small","low","unacc"
"894",1,"high","low","5more","4","small","low","unacc"
"1092",1,"vhigh","low","2","2","small","med","unacc"
"1032",1,"high","vhigh","3","2","med","high","unacc"
"893",1,"med","high","4","2","big","high","unacc"
"1506",1,"vhigh","low","2","4","med","med","unacc"
"576",1,"med","vhigh","3","2","small","low","unacc"
"251",1,"low","low","3","4","big","high","vgood"
"1408",1,"vhigh","high","2","2","big","low","unacc"
"12",1,"med","med","5more","4","med","high","vgood"
"846",1,"high","low","2","more","small","med","unacc"
"991",1,"med","high","3","4","big","low","unacc"
"859",1,"high","high","4","2","big","high","unacc"
"651",1,"high","med","4","4","big","med","acc"
"976",1,"vhigh","low","5more","more","big","low","unacc"
"150",1,"med","high","5more","2","med","med","unacc"
"181",1,"med","low","3","4","med","med","acc"
"448",1,"low","high","3","2","big","high","unacc"
"1179",1,"high","med","3","more","small","med","unacc"
"1137",1,"high","vhigh","5more","more","med","high","unacc"
"1519",1,"high","low","2","4","med","low","unacc"
"472",1,"high","vhigh","2","2","small","high","unacc"
"1608",1,"low","vhigh","4","4","small","high","acc"
"1451",1,"vhigh","med","3","2","big","high","unacc"
"1024",1,"high","high","3","4","med","med","unacc"
"592",1,"high","med","2","4","big","med","acc"
