"","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
"293",583,"France","Male",27,7,0,2,1,0,51285.49,0
"299",511,"France","Male",58,0,149117.31,1,1,1,162599.51,0
"307",731,"France","Male",43,2,0,1,1,1,170034.95,1
"308",629,"Germany","Male",35,7,156847.29,2,1,0,31824.29,0
"311",652,"France","Female",80,4,0,2,1,1,188603.07,0
"320",429,"France","Male",24,4,95741.75,1,1,0,46170.75,0
"326",716,"France","Male",35,4,144428.87,1,1,0,134132.65,0
"328",644,"France","Female",46,9,95441.27,1,1,0,108761.05,1
"335",626,"Spain","Female",37,6,108269.37,1,1,0,5597.94,0
"338",649,"France","Male",33,2,0,2,1,0,2010.98,0
"342",659,"France","Male",31,4,118342.26,1,0,0,161574.19,0
"346",840,"France","Female",43,7,0,2,1,0,90908.95,0
"349",654,"Germany","Female",32,1,114510.85,1,1,1,126143.23,0
"358",522,"Spain","Male",34,9,126436.29,1,1,0,174248.52,1
"359",737,"France","Male",41,1,101960.74,1,1,1,123547.28,0
"362",643,"Germany","Female",45,2,150842.93,1,0,1,2319.96,1
"363",648,"France","Female",50,9,102535.57,1,1,1,189543.19,0
"364",443,"Germany","Female",29,9,99027.61,2,1,0,10940.4,0
"375",717,"Germany","Male",35,7,58469.37,2,1,1,172459.39,0
"376",769,"France","Female",39,8,0,1,0,1,21016,0
"386",560,"France","Female",66,9,0,1,1,1,15928.49,0
"401",605,"France","Male",52,1,63349.75,1,1,0,108887.44,0
"408",611,"Spain","Female",37,4,0,2,1,0,125696.26,0
"409",668,"Germany","Male",37,10,152958.29,2,1,1,159585.61,0
"411",709,"Spain","Male",23,10,0,2,0,0,129590.18,0
"421",756,"Germany","Female",60,3,115924.89,1,1,0,93524.19,1
"435",683,"France","Male",33,8,0,1,0,0,73564.44,0
"436",762,"France","Female",51,3,99286.98,1,0,1,85578.63,0
"438",516,"France","Male",35,10,104088.59,2,0,0,119666,0
"440",464,"Germany","Female",42,3,85679.25,1,1,1,164104.74,0
"448",501,"France","Male",40,4,125832.2,1,1,1,100433.83,0
"455",758,"France","Female",39,6,127357.76,1,0,1,56577,0
"459",514,"Germany","Male",43,1,95556.31,1,0,1,199273.98,1
"462",539,"France","Male",39,3,0,2,1,0,36692.17,0
"465",818,"Spain","Male",26,4,0,2,1,1,167036.94,0
"475",571,"France","Female",33,1,0,2,1,0,102750.7,0
"481",788,"Spain","Male",34,6,156478.62,1,0,1,181196.76,0
"483",798,"France","Male",37,8,0,3,0,0,110783.28,0
"484",486,"Germany","Male",37,9,115217.99,2,1,0,144995.33,0
"487",641,"France","Male",37,7,0,2,1,0,75248.3,0
"495",673,"France","Female",38,2,170061.92,2,0,0,134901.34,1
"496",765,"Germany","Male",36,8,92310.54,2,1,1,72924.56,0
"499",757,"Germany","Male",26,8,121581.56,2,1,1,127059.04,0
"504",638,"Spain","Male",44,9,77637.35,2,1,1,111346.22,0
"516",793,"Spain","Male",38,9,0,2,1,0,88225.02,0
"527",701,"France","Male",43,2,0,2,1,1,165303.79,0
"532",702,"Spain","Female",26,4,135219.57,1,0,1,59747.63,0
"533",729,"France","Male",32,6,93694.42,1,1,1,79919.13,0
"536",608,"France","Male",59,1,0,1,1,0,70649.64,1
"537",639,"Germany","Male",35,10,128173.9,2,1,0,59093.39,0
"547",587,"France","Male",38,0,0,2,1,0,47414.15,0
"556",590,"Spain","Female",51,3,154962.99,3,0,1,191932.27,1
"558",598,"Germany","Male",41,3,91536.93,1,1,0,191468.78,1
"562",650,"Spain","Male",61,1,152968.73,1,0,1,82970.69,0
"565",689,"Spain","Female",38,6,121021.05,1,1,1,12182.15,0
"569",737,"Germany","Male",31,5,121192.22,2,1,1,74890.58,0
"573",745,"France","Male",35,9,92566.53,2,1,0,161519.77,0
"581",701,"Spain","Male",36,8,0,2,1,0,169161.46,0
"589",526,"France","Male",36,1,0,1,1,0,160696.72,0
"593",666,"France","Female",34,9,115897.12,1,1,1,25095.03,0
"595",779,"Spain","Female",26,4,174318.13,2,0,1,38296.21,0
"596",611,"Germany","Female",41,2,114206.84,1,1,0,164061.6,0
"597",685,"Spain","Male",43,9,0,2,1,0,107811.28,0
"607",699,"France","Male",53,4,0,2,0,1,111307.98,0
"615",688,"Germany","Male",26,8,146133.39,1,1,1,175296.76,0
"617",754,"Spain","Male",39,6,170184.99,2,1,0,89593.26,0
"619",546,"Spain","Male",42,7,139070.51,1,1,1,86945,0
"622",656,"Spain","Female",40,10,167878.5,1,0,1,151887.16,0
"635",850,"France","Male",31,6,67996.23,2,0,0,50129.87,1
"636",696,"Spain","Female",51,5,0,2,1,0,55022.43,0
"638",682,"France","Male",48,1,138778.15,1,0,1,168840.23,0
"641",752,"Spain","Male",48,5,116060.08,1,1,0,156618.38,1
"643",583,"France","Female",27,1,125406.58,1,1,1,110784.42,0
"649",438,"France","Female",36,4,0,2,1,0,64420.5,0
"651",629,"France","Female",49,4,0,2,1,1,196335.48,0
"653",668,"France","Male",42,3,150461.07,1,1,0,108139.23,0
"655",729,"Spain","Male",31,8,164870.81,2,1,1,9567.39,0
"657",549,"Spain","Male",25,6,193858.2,1,0,1,21600.11,0
"659",544,"France","Male",64,9,113829.45,1,1,1,124341.49,0
"660",751,"France","Female",30,6,0,2,1,0,15766.1,0
"663",678,"France","Male",31,2,0,2,1,1,58803.28,0
"666",661,"France","Male",33,9,0,2,1,1,84174.81,0
"667",559,"France","Female",31,3,127070.73,1,0,1,160941.78,0
"669",695,"Spain","Male",46,3,122549.64,1,1,1,56297.85,0
"670",640,"France","Female",42,5,176099.13,1,1,1,8404.73,0
"675",529,"Spain","Male",35,5,0,2,1,1,187288.5,0
"692",767,"France","Male",43,1,76408.85,2,1,0,77837.63,0
"696",664,"France","Male",57,6,0,2,1,1,15304.08,0
"707",626,"Germany","Male",35,4,88109.81,1,1,1,32825.5,0
"708",620,"France","Male",42,4,0,2,1,0,6232.31,0
"711",540,"France","Male",48,0,148116.48,1,0,0,116973.48,0
"712",634,"Germany","Male",35,6,116269.01,1,1,0,129964.94,0
"718",701,"Spain","Female",42,5,0,2,0,0,24210.56,0
"720",621,"France","Female",43,5,0,1,1,1,47578.45,0
"724",776,"France","Female",38,2,169824.46,1,1,0,169291.7,0
"728",711,"France","Female",25,7,0,3,1,1,9679.28,0
"729",673,"France","Female",40,5,137494.28,1,1,0,81753.92,0
"730",499,"France","Female",57,1,0,1,0,0,131372.38,1
"735",545,"Germany","Female",60,7,128981.07,1,0,1,176924.21,1
"737",816,"Spain","Male",67,6,151858.98,1,1,1,72814.31,0
"739",725,"France","Male",46,6,0,2,1,0,161767.38,0
"743",635,"France","Male",29,7,105405.97,1,1,1,149853.89,0
"745",650,"France","Male",60,8,0,2,1,1,102925.76,0
"748",450,"Spain","Female",46,5,177619.71,1,1,0,54227.06,0
"749",727,"Spain","Male",38,2,62276.99,1,1,1,59280.79,0
"764",742,"Germany","Female",21,1,114292.48,1,1,0,31520.4,0
"765",710,"Germany","Male",43,2,140080.32,3,1,1,157908.19,1
"766",710,"Spain","Female",27,2,135277.96,1,1,0,142200.15,0
"768",720,"Germany","Male",60,9,115920.62,2,0,0,157552.08,1
"779",754,"France","Male",28,8,0,2,1,1,52615.62,0
"784",571,"France","Female",35,8,0,2,0,0,84569.13,0
"795",654,"France","Male",29,1,0,1,1,0,180345.44,0
"803",614,"Germany","Female",31,7,120599.38,2,1,1,46163.44,0
"804",511,"Spain","Female",29,9,0,2,0,1,140676.98,0
"809",598,"Germany","Male",53,10,167772.96,1,1,1,136886.86,0
"818",580,"Germany","Female",42,2,123331.36,1,0,0,103516.08,1
"821",659,"Germany","Male",36,4,132578.92,2,1,0,84320.94,0
"826",464,"Germany","Male",33,8,164284.72,2,1,1,3710.34,0
"828",758,"Spain","Male",56,1,0,2,1,1,10643.38,0
"830",577,"France","Female",39,10,0,2,1,0,10553.31,0
"831",684,"France","Female",34,6,0,2,1,1,130928.22,0
"833",732,"Germany","Female",29,1,154333.82,1,1,1,138527.56,0
"843",660,"Germany","Male",35,8,58641.43,1,0,1,198674.08,0
"847",714,"Germany","Male",21,6,86402.52,2,0,0,27330.59,0
"858",741,"Spain","Male",39,7,143637.58,2,0,1,174227.66,0
"874",561,"France","Male",28,7,0,2,1,0,7797.01,0
"892",435,"Germany","Male",32,2,57017.06,2,1,1,5907.11,0
"905",599,"France","Male",58,4,0,1,0,0,176407.15,1
"914",756,"Germany","Male",27,1,131899,1,1,0,93302.29,0
"916",596,"France","Male",47,6,0,1,1,0,74835.65,0
"919",784,"Spain","Male",35,3,0,2,0,0,81483.64,0
"922",609,"Spain","Male",61,1,0,1,1,0,22447.85,1
"923",555,"France","Male",51,5,0,3,1,0,189122.89,1
"929",520,"Germany","Male",61,8,133802.29,2,1,1,90304.01,0
"931",661,"Spain","Male",39,6,132628.98,1,0,0,38812.67,0
"932",564,"Germany","Male",41,9,103522.75,2,1,1,34338.21,0
"955",665,"Spain","Female",42,2,156371.61,2,0,1,156774.94,1
"956",706,"France","Female",44,4,129605.99,1,0,0,69865.49,0
"958",771,"Spain","Female",67,8,0,2,1,1,51219.8,0
"963",642,"Spain","Male",32,7,100433.8,1,1,1,39768.59,0
"969",544,"France","Male",37,3,84496.71,1,0,0,79972.09,0
"972",723,"France","Male",25,3,0,2,1,1,134509.47,0
"973",635,"Germany","Male",43,5,78992.75,2,0,0,153265.31,0
"977",586,"France","Female",43,8,132558.26,1,1,0,67046.83,1
"986",551,"Germany","Male",31,9,82293.82,2,1,1,91565.25,0
"987",566,"France","Male",36,1,142120.91,1,1,0,79616.37,0
"988",569,"Spain","Male",34,0,151839.26,1,1,0,102299.81,1
"992",615,"France","Female",35,2,97440.02,2,1,1,139816.1,0
"1000",759,"France","Female",38,1,104091.29,1,0,0,91561.91,0
"1005",601,"Germany","Female",26,7,105514.69,2,1,0,50070.59,0
"1019",850,"Germany","Female",45,5,103909.86,1,1,0,60083.11,1
"1024",642,"France","Male",32,3,0,2,1,1,88698.83,0
"1051",682,"France","Male",30,4,0,1,0,1,161465.31,0
"1053",607,"Germany","Male",38,3,98205.77,1,1,0,176318.27,0
"1058",581,"France","Female",47,1,122949.14,1,0,0,180251.68,1
"1061",490,"Spain","Female",48,8,155413.06,1,1,0,187921.3,0
"1063",613,"Germany","Male",38,9,67111.65,1,1,0,78566.64,1
"1070",844,"France","Male",40,7,113348.14,1,1,0,31904.31,1
"1079",677,"Germany","Female",41,8,146720.98,2,1,1,4195.84,0
"1081",766,"Germany","Female",38,7,130933.74,1,0,1,2035.94,0
"1091",539,"Germany","Female",34,4,91622.42,1,1,1,136603.42,0
"1096",692,"France","Male",29,4,0,1,1,0,76755.99,1
"1115",608,"France","Female",62,8,144976.5,1,0,0,175836.03,1
"1118",731,"France","Female",47,1,115414.19,3,0,0,191734.67,1
"1119",617,"Spain","Male",61,7,91070.43,1,1,1,101839.77,0
"1120",756,"Spain","Male",29,2,117412.19,2,1,0,4888.91,0
"1121",848,"Germany","Male",31,4,90018.45,2,1,0,193132.98,0
"1137",750,"France","Male",22,5,0,2,0,1,105125.65,0
"1151",700,"France","Female",27,6,137963.07,1,0,0,8996.79,0
"1153",652,"Germany","Male",45,2,151421.44,1,0,1,115333.43,0
"1156",729,"France","Male",34,3,152303.8,1,1,0,12128.69,0
"1160",729,"Spain","Male",37,10,0,2,1,0,100862.54,0
"1162",755,"France","Male",41,6,104817.41,1,1,0,126013.58,1
"1164",747,"Germany","Female",32,5,67495.04,2,0,1,77370.37,0
"1168",548,"France","Female",35,10,0,1,1,1,31299.71,0
"1173",647,"Germany","Female",43,3,122717.53,2,1,1,87000.39,0
"1174",478,"Spain","Female",36,3,92363.3,2,1,0,44912.7,0
"1181",621,"France","Male",34,6,0,2,1,1,99128.13,0
"1182",651,"Germany","Female",24,7,40224.7,1,1,1,178341.33,0
"1201",772,"Germany","Male",30,6,99785.28,2,0,0,197238.03,0
"1202",399,"Germany","Male",46,2,127655.22,1,1,0,139994.68,1
"1203",529,"France","Male",22,5,0,1,1,0,151169.83,0
"1204",463,"France","Male",35,2,101257.16,1,1,1,118113.64,0
"1210",850,"France","Female",32,7,0,2,0,0,155227,0
"1212",452,"France","Female",32,5,0,2,0,1,75279.39,0
"1214",694,"France","Female",22,4,0,2,1,1,11525.72,0
"1223",536,"France","Male",46,1,65733.41,1,1,0,61094.53,0
"1228",557,"France","Female",28,7,146445.24,2,1,0,184317.74,0
"1230",575,"Spain","Female",31,6,0,2,1,1,95686.42,0
"1236",523,"Germany","Male",63,6,116227.27,1,1,1,119404.63,0
"1238",717,"France","Male",42,5,0,2,1,0,172665.21,0
"1240",569,"France","Male",28,7,0,2,1,0,73977.23,0
"1244",693,"Germany","Male",25,6,146580.69,1,0,1,14633.35,0
"1247",666,"France","Female",66,7,0,2,1,1,99792.82,0
"1249",689,"Spain","Female",28,3,0,2,1,1,192449.02,0
"1257",733,"France","Male",42,9,120094.93,1,1,0,184056.45,0
"1259",633,"France","Female",33,3,0,2,1,0,191111.02,0
"1261",704,"Germany","Male",27,5,147004.34,1,1,0,64381.33,1
"1262",744,"Germany","Male",38,6,73023.17,2,1,0,78770.86,0
"1267",548,"France","Female",36,3,0,1,1,0,65996.9,0
"1273",585,"Germany","Female",39,7,165610.41,2,0,0,131852.01,0
"1280",521,"France","Female",39,6,0,2,0,1,27375.15,0
"1283",622,"France","Male",35,8,0,2,1,1,131772.51,0
"1292",734,"Spain","Female",37,2,130404.92,1,0,0,34548.74,0
"1297",653,"Spain","Male",55,2,70263.83,1,0,1,62347.71,0
"1313",542,"France","Male",38,8,65942.26,1,1,1,68093.23,1
"1316",607,"Spain","Female",27,5,100912.19,1,0,0,7631.27,0
"1350",575,"Spain","Male",43,3,0,1,1,0,83594.51,0
"1354",626,"Spain","Male",29,7,0,2,1,0,49361.84,0
"1356",734,"Spain","Male",39,6,0,1,1,1,95135.27,0
"1361",647,"Germany","Female",22,3,97975.82,2,0,1,62083,0
"1364",775,"Spain","Male",30,4,0,2,0,1,57461.13,0
"1365",850,"Germany","Male",39,3,124548.99,2,1,1,120380.12,0
"1369",689,"Spain","Female",31,4,0,2,1,1,136610.02,0
"1370",652,"Germany","Male",50,8,125437.64,1,1,1,17160.94,1
"1376",429,"France","Female",27,6,117307.44,2,1,1,24020.49,0
"1383",661,"Spain","Female",42,3,0,2,1,0,35989.41,0
"1387",758,"France","Female",42,7,0,2,0,1,76209.56,0
"1393",794,"Spain","Male",45,8,88656.37,2,1,0,116547.31,0
"1408",721,"France","Male",69,2,108424.19,1,1,1,178418.35,0
"1417",585,"Spain","Female",33,8,0,2,1,0,114182.07,0
"1437",576,"Germany","Male",28,1,119336.29,2,0,1,58976.85,0
"1444",556,"France","Female",43,6,0,3,0,0,125154.57,1
"1453",687,"France","Female",35,3,99587.43,1,1,1,1713.1,1
"1461",578,"France","Male",23,10,88980.32,1,1,1,125222.36,0
"1467",633,"France","Female",29,7,169988.35,1,1,0,4272,0
"1470",819,"Germany","Female",49,1,120656.86,4,0,0,166164.3,1
"1476",634,"France","Male",26,8,0,1,1,0,21760.96,0
"1478",776,"France","Male",37,2,0,1,0,1,8065,0
"1479",649,"France","Female",45,5,92786.66,1,1,0,173365.9,1
"1503",796,"Germany","Male",39,5,86350.87,2,0,0,105080.53,0
"1509",576,"France","Male",36,6,0,2,1,1,48314,0
"1514",440,"France","Male",42,2,0,2,1,0,49826.68,0
"1517",646,"France","Female",37,7,96558.66,1,0,0,163427.18,0
"1518",744,"France","Male",54,6,93806.31,2,0,1,140068.77,0
"1519",710,"Spain","Female",36,8,0,2,0,0,83206.19,0
"1541",530,"Germany","Male",23,1,137060.88,2,1,1,165227.23,0
"1547",701,"Germany","Female",48,1,92072.68,1,1,1,133992.36,0
"1548",653,"Spain","Female",30,2,88243.29,2,1,1,96658.26,0
"1556",658,"France","Female",40,7,140596.95,1,0,1,135459.02,1
"1567",524,"Germany","Female",37,9,127480.58,2,1,0,179634.69,0
"1571",717,"Spain","Female",49,1,110864.38,2,1,1,124532.9,1
"1577",613,"France","Female",40,9,95624.36,2,1,1,60706.33,0
"1592",621,"France","Male",39,6,0,2,1,1,58883.91,0
"1593",521,"Spain","Male",29,3,60280.62,1,1,0,154271.41,0
"1595",706,"Germany","Female",28,6,124923.35,2,1,1,50299.14,0
"1599",601,"Germany","Female",48,8,120782.7,1,1,0,63940.68,1
"1603",571,"France","Female",42,4,108825.34,3,1,0,55558.51,1
"1609",574,"France","Female",39,2,122524.61,2,1,0,88463.63,0
"1611",588,"France","Female",24,0,0,2,1,1,140586.08,0
"1616",685,"Germany","Female",21,6,97956.5,1,1,1,164966.27,0
"1624",589,"France","Male",38,2,0,1,1,0,79915.28,0
"1630",736,"Germany","Male",46,5,130812.91,1,1,1,77981.54,1
"1632",350,"Spain","Male",54,1,152677.48,1,1,1,191973.49,1
"1637",573,"France","Female",37,6,0,2,1,0,193995.37,0
"1638",538,"Spain","Female",31,0,0,2,0,0,179453.66,0
"1639",699,"France","Male",39,9,0,1,1,0,80963.92,0
"1642",712,"Spain","Male",53,2,111061.01,2,0,0,26542.17,0
"1648",703,"France","Female",45,7,0,2,1,1,68831.72,0
"1656",669,"France","Female",47,9,61196.54,1,1,0,58170.24,0
"1660",680,"Spain","Female",31,9,119825.75,2,1,1,101139.3,0
"1665",773,"France","Male",52,4,0,1,0,1,144113.42,0
"1670",567,"France","Female",37,7,0,2,1,1,28690.9,0
"1682",681,"Spain","Female",32,3,0,2,1,1,59679.9,0
"1692",591,"Spain","Male",31,8,0,1,1,1,141677.33,0
"1693",602,"France","Male",23,7,113758.48,2,0,0,84077.6,0
"1696",506,"France","Male",34,7,0,2,0,0,115842.1,0
"1707",719,"Spain","Male",38,0,0,1,1,0,126876.47,0
"1714",634,"France","Male",44,9,149961.11,1,1,0,57121.51,0
"1722",585,"France","Female",39,7,0,2,1,0,2401.26,0
"1723",595,"Spain","Female",30,5,100683.54,1,1,1,178361.04,0
"1724",630,"France","Male",42,6,0,2,1,0,162697.93,0
"1733",735,"France","Male",49,5,121973.28,1,1,0,148804.36,0
"1734",614,"Germany","Male",32,7,99462.8,2,1,1,51117.06,0
"1742",747,"France","Female",25,4,0,2,0,1,42039.67,0
"1744",476,"France","Male",40,6,0,1,1,1,22735.45,0
"1748",586,"Germany","Male",34,9,74309.81,1,1,0,15034.93,0
"1755",724,"Germany","Male",33,5,103564.83,2,1,0,121085.72,0
"1758",523,"Germany","Female",39,1,143903.11,1,1,1,118711.75,1
"1760",584,"France","Male",35,9,0,2,1,0,192381.21,0
"1770",607,"Germany","Male",39,2,84468.67,2,1,1,121945.42,0
"1772",600,"France","Male",37,1,142663.46,1,0,1,88669.89,0
"1777",622,"France","Male",38,5,0,2,0,0,105295.77,0
"1781",802,"France","Male",33,8,0,2,1,0,143706.18,0
"1795",823,"France","Male",38,1,0,2,1,0,156603.7,0
"1802",452,"France","Male",30,7,112935.87,1,1,1,99017.34,0
"1810",639,"France","Female",50,6,115335.32,2,1,1,53130.41,0
"1812",779,"France","Female",26,0,0,2,0,1,111906,0
"1813",850,"Germany","Female",33,7,134678.13,1,1,0,113177.95,0
"1814",829,"France","Male",38,9,0,2,1,0,30529.88,0
"1817",531,"France","Male",29,3,114590.58,1,0,0,75585.48,0
"1821",604,"Spain","Male",23,9,124577.33,1,1,1,7267.25,0
"1823",850,"Spain","Female",31,4,91292.7,1,1,1,162149.07,0
"1827",569,"Germany","Male",25,9,173459.45,2,1,1,44381.06,0
"1828",425,"Spain","Female",22,7,169649.73,2,0,1,136365,1
"1830",725,"Germany","Male",45,8,116917.07,1,0,0,173464.43,1
"1831",506,"France","Male",37,5,0,2,1,1,127543.81,0
"1835",700,"Spain","Female",46,5,56580.95,2,0,1,45424.13,0
"1841",464,"Spain","Female",34,5,76001.57,1,1,1,158668.87,0
"1846",737,"France","Male",36,9,0,1,0,1,188670.9,1
"1851",785,"Germany","Female",33,5,136624.6,2,1,1,169117.74,0
"1853",698,"Spain","Male",38,10,95010.92,1,1,1,105227.86,0
"1854",730,"France","Female",41,4,167545.32,1,1,0,128246.81,0
"1855",740,"Germany","Female",36,4,109044.6,1,0,0,94554.74,1
"1860",684,"France","Male",34,9,0,2,1,1,65257.57,0
"1862",565,"Germany","Female",38,2,158651.29,2,1,1,179445.28,0
"1868",715,"France","Female",33,3,85227.84,1,1,1,68087.15,0
"1869",656,"France","Male",36,8,97786.08,2,0,1,21478.36,0
"1874",659,"Germany","Female",39,1,104502.11,1,1,0,20652.69,0
"1875",529,"Spain","Male",35,5,95772.97,1,1,1,112781.5,0
"1876",572,"Spain","Male",31,5,98108.79,1,0,1,119996.95,0
"1878",770,"Spain","Male",55,9,63127.41,2,1,0,185211.28,1
"1882",530,"Spain","Female",36,2,0,2,1,1,14721.8,0
"1883",831,"France","Male",30,2,0,2,0,1,3430.38,0
"1889",429,"France","Male",60,7,0,2,1,1,163691.48,0
"1890",665,"France","Female",23,9,143672.9,1,1,1,115147.33,0
"1892",584,"France","Female",37,1,0,2,1,1,180363.56,0
"1895",535,"Spain","Female",49,7,115309.75,1,1,0,111421.77,0
"1899",850,"Germany","Female",45,5,127258.79,1,1,1,192744.23,1
"1904",752,"Spain","Male",36,2,0,2,1,1,45570.84,0
"1905",625,"Spain","Female",69,1,107569.96,1,1,1,182336.45,0
"1907",786,"France","Female",29,4,0,2,1,0,103372.79,0
"1910",670,"Spain","Female",32,3,0,2,1,0,46175.7,0
"1913",687,"Germany","Female",29,4,78939.15,1,1,0,122134.56,1
"1919",768,"France","Female",28,3,109118.05,2,0,1,50911.41,0
"1921",591,"France","Female",31,7,0,2,0,1,48778.46,0
"1926",804,"France","Male",24,3,0,2,1,0,173195.33,0
"1928",729,"Germany","Male",36,8,152899.24,2,1,0,177130.33,0
"1931",536,"Germany","Male",23,6,92366.72,2,1,0,120661.71,0
"1934",666,"Germany","Male",74,7,105102.5,1,1,1,46172.47,0
"1942",452,"Spain","Male",44,3,88915.85,1,1,0,69697.74,0
"1947",648,"Germany","Male",34,3,95039.73,2,1,1,147055.87,0
"1960",707,"France","Male",33,8,136678.52,1,1,0,54290.62,0
"1961",655,"Spain","Female",36,1,135515.76,1,1,0,86013.96,0
"1964",578,"Germany","Male",34,8,147487.23,2,1,0,66680.77,0
"1966",612,"France","Female",33,9,0,1,0,0,142797.5,1
"1978",717,"Spain","Male",35,1,0,3,0,0,174770.14,1
"1986",719,"Spain","Female",47,9,116393.59,1,1,0,63051.32,1
"1990",695,"Spain","Male",28,0,96020.86,1,1,1,57992.49,0
"1994",824,"Germany","Male",60,8,134250.17,3,0,0,153046.16,1
"1996",584,"France","Female",44,5,95671.75,2,1,1,106564.88,0
"1997",534,"France","Male",62,2,0,2,0,0,42763.12,1
"2003",601,"France","Male",74,2,0,2,0,1,51554.58,0
"2006",785,"Germany","Female",32,3,124493.03,2,0,1,52583.79,1
"2007",687,"France","Male",39,7,0,2,1,0,26848.25,0
"2009",639,"France","Male",43,6,99610.92,2,1,0,187296.78,0
"2011",556,"Spain","Female",48,8,168522.37,1,1,1,151310.16,0
"2015",553,"France","Male",32,3,116324.53,1,1,0,77304.49,0
"2019",691,"Germany","Male",27,3,160358.68,2,1,0,142367.72,0
"2021",627,"Germany","Female",30,6,57809.32,1,1,0,188258.49,0
"2027",451,"Spain","Female",23,9,0,2,0,1,48021.71,0
"2031",624,"Spain","Female",28,2,0,2,0,1,104353.26,0
"2035",709,"Germany","Male",34,4,148375.19,2,1,1,21521.38,0
"2048",549,"France","Male",37,2,112541.54,2,0,0,47432.43,0
