"","classes","cap.shape","cap.surface","cap.color","bruises","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.ring","stalk.surface.below.ring","stalk.color.above.ring","stalk.color.below.ring","veil.type","veil.color","ring.number","ring.type","spore.print.color","population","habitat"
"231","e","x","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","y","u"
"237","e","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","g"
"249","e","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","p"
"252","p","x","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","g"
"256","e","b","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","m"
"261","e","f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","g"
"283","e","s","f","n","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","u"
"286","e","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","g"
"297","e","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","m"
"307","e","b","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"308","e","x","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"309","e","f","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","y","g"
"311","e","x","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","g"
"320","e","f","s","w","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"322","e","f","f","y","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","d"
"329","e","b","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","g"
"334","e","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","g"
"335","e","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g"
"350","e","x","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","y","u"
"354","e","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","m"
"377","e","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","y","u"
"378","e","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m"
"381","p","x","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","u"
"383","e","x","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","m"
"388","e","x","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","a","g"
"391","e","b","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m"
"393","e","b","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","g"
"404","e","b","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","m"
"432","e","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","g"
"442","e","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m"
"443","e","x","y","y","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","y","p"
"445","e","x","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","m"
"448","e","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","g"
"449","e","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","m"
"454","e","x","f","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"458","e","b","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","m"
"463","e","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","g"
"469","e","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","g"
"480","e","b","y","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","m"
"484","e","f","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","u"
"491","e","f","f","y","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d"
"501","e","x","s","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","g"
"505","e","b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","g"
"509","e","x","f","w","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","d"
"513","e","x","f","w","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d"
"517","e","x","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","p"
"525","e","f","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","y","u"
"527","e","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","p"
"528","e","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"534","e","f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","p"
"547","e","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"555","e","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","g"
"567","e","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g"
"577","e","x","f","n","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","u"
"581","e","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"587","e","s","f","g","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","v","u"
"590","e","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","m"
"595","e","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m"
"610","e","f","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","u"
"614","p","x","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u"
"615","e","x","y","y","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","g"
"633","e","x","f","n","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","v","d"
"644","e","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","g"
"655","p","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","v","u"
"665","e","b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"672","e","f","f","n","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","u"
"676","e","f","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","u"
"681","e","x","s","w","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","d"
"682","e","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m"
"686","e","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m"
"690","e","x","s","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","g"
"694","e","f","s","g","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","a","g"
"699","p","x","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","u"
"718","e","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","p"
"723","e","f","s","y","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"738","p","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","u"
"742","e","b","s","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","m"
"751","e","x","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","p"
"753","e","f","s","w","t","a","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d"
"761","e","b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g"
"764","e","x","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","n","v","u"
"770","e","b","s","w","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","m"
"772","e","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m"
"777","p","x","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u"
"790","e","x","y","y","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","y","p"
"792","e","f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","y","p"
"802","e","x","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","g"
"803","p","x","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u"
"804","e","b","y","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","g"
"806","e","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","g"
"814","p","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","g"
"815","p","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","u"
"818","e","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","g"
"820","e","b","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","g"
"828","e","f","f","w","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","u","v","d"
"830","e","f","s","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","d"
"843","e","b","s","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"848","e","b","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"857","e","f","s","y","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d"
"864","e","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g"
"870","e","x","s","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","g"
"874","e","x","f","n","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","k","v","d"
"875","e","x","s","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m"
"880","e","b","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","g"
"892","e","f","y","y","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","y","g"
"900","e","x","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","g"
"904","e","x","s","w","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","g"
"908","e","x","f","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","g"
"909","p","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","u"
"915","e","x","s","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","g"
"922","e","x","s","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","g"
"927","e","x","s","g","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","a","g"
"932","e","f","f","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","s","g"
"933","p","f","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","g"
"936","e","f","s","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","g"
"943","p","x","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","g"
"946","e","f","f","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","a","g"
"948","e","b","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","g"
"955","e","f","f","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","g"
"957","p","x","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","v","u"
"973","e","f","f","n","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","v","d"
"975","e","f","f","n","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","y","d"
"977","e","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g"
"980","e","f","f","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","a","g"
"981","e","f","f","n","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","y","d"
"982","e","x","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m"
"985","p","x","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","u"
"989","e","x","s","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","a","g"
"992","e","x","s","g","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","a","g"
"995","e","f","s","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1000","p","f","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","u"
"1008","e","f","f","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1011","e","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"1015","e","f","f","g","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1018","e","x","f","n","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","y","d"
"1021","e","f","f","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1027","e","x","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u"
"1032","p","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1035","e","x","s","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1042","e","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","p"
"1043","e","x","f","w","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1051","e","x","f","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","v","d"
"1058","e","f","s","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1060","e","x","f","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1074","e","x","f","g","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","y","d"
"1075","e","f","y","y","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","p"
"1084","e","f","f","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1087","e","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m"
"1089","p","f","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1094","e","f","f","y","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d"
"1099","e","x","f","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1106","e","f","s","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1107","p","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","u"
"1110","e","x","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1114","e","f","f","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1122","e","f","f","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1130","e","x","f","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1133","p","x","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","g"
"1137","e","x","f","n","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","n","y","d"
"1140","e","x","s","n","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1142","e","x","f","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","n","v","d"
"1146","e","x","f","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1148","e","x","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1154","e","f","s","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1155","p","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1157","e","x","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1160","e","f","s","g","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1167","p","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1170","e","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"1179","e","x","f","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1184","e","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g"
"1185","e","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","g"
"1188","p","f","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","u"
"1191","e","x","f","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1192","e","x","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","m"
"1195","e","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","g"
"1201","e","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","g"
"1203","e","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","g"
"1205","p","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","g"
"1210","e","x","f","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1218","e","f","f","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1219","e","f","f","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1220","e","f","f","w","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1266","e","f","s","w","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1267","e","f","f","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1269","e","x","s","w","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1273","p","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","g"
"1274","e","f","f","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1280","e","f","s","w","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1286","e","f","f","g","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1320","e","x","s","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1326","e","f","s","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1334","e","f","f","g","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1338","e","x","f","e","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","y","d"
"1345","e","f","s","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1349","e","x","f","n","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","n","y","d"
"1359","e","f","f","n","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1369","e","x","f","g","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","v","d"
"1372","e","x","s","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1376","p","f","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1386","e","x","f","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1387","e","f","f","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1390","e","x","f","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1392","e","x","s","w","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1398","e","x","s","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1401","e","f","s","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1404","e","f","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1406","p","f","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","u"
"1407","e","x","s","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1411","e","x","f","n","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1417","e","x","y","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"1439","e","f","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1445","p","f","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","s","u"
"1446","p","f","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1448","e","f","f","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1450","e","f","s","g","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1456","e","f","f","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1470","e","x","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1477","e","f","s","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1479","p","f","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","g"
"1496","e","f","f","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1499","e","x","f","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1501","e","f","f","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1506","e","x","f","n","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","y","d"
"1510","e","x","f","n","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","y","d"
"1512","e","f","s","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1513","e","f","s","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1521","e","x","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"1522","e","f","s","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1523","e","x","s","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1530","e","x","s","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1532","e","f","s","w","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","g"
