"","Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"423","F",0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,13
"425","I",0.26,0.2,0.07,0.092,0.037,0.02,0.03,6
"441","I",0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,10
"442","I",0.335,0.26,0.1,0.192,0.0785,0.0585,0.07,8
"445","F",0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10
"451","M",0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,16
"467","F",0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,12
"477","F",0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,9
"480","M",0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,16
"481","F",0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29
"482","M",0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17
"483","M",0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,15
"488","F",0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,15
"489","M",0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11
"491","M",0.59,0.455,0.145,1.073,0.475,0.19,0.285,14
"492","M",0.58,0.46,0.13,0.921,0.357,0.181,0.29,13
"496","F",0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,15
"508","M",0.585,0.455,0.225,1.055,0.3815,0.221,0.365,15
"510","I",0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,16
"522","F",0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5
"524","M",0.2,0.14,0.055,0.035,0.0145,0.008,0.01,5
"525","M",0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,4
"526","M",0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4
"529","F",0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,12
"532","F",0.46,0.355,0.13,0.458,0.192,0.1055,0.13,13
"535","I",0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,10
"538","M",0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,7
"549","F",0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,12
"550","I",0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,11
"558","F",0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12
"566","M",0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,10
"567","I",0.485,0.355,0.13,0.581,0.245,0.132,0.168,12
"572","I",0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,14
"573","F",0.59,0.455,0.155,1.066,0.382,0.2275,0.415,20
"582","I",0.55,0.425,0.15,0.806,0.376,0.171,0.245,14
"585","F",0.41,0.305,0.1,0.363,0.1735,0.065,0.11,11
"601","I",0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17
"608","I",0.485,0.37,0.13,0.458,0.181,0.113,0.136,10
"614","I",0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18
"615","I",0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15
"625","I",0.465,0.36,0.105,0.498,0.214,0.116,0.14,15
"626","F",0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,12
"628","F",0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8
"632","F",0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7
"652","I",0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6
"653","I",0.47,0.35,0.13,0.466,0.1845,0.099,0.145,11
"663","F",0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10
"666","F",0.395,0.295,0.095,0.2245,0.078,0.054,0.08,10
"677","M",0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12
"685","M",0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,10
"686","M",0.565,0.44,0.185,0.909,0.344,0.2325,0.255,15
"694","M",0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,9
"698","M",0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5
"702","F",0.48,0.385,0.135,0.536,0.1895,0.142,0.173,14
"704","M",0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,12
"711","I",0.325,0.25,0.08,0.176,0.0595,0.0355,0.063,7
"712","M",0.375,0.3,0.1,0.2465,0.104,0.0475,0.083,11
"716","I",0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03,7
"717","I",0.29,0.205,0.07,0.0975,0.036,0.019,0.035,8
"718","I",0.25,0.19,0.06,0.0765,0.036,0.0115,0.0245,6
"720","I",0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2
"736","M",0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10
"741","M",0.53,0.44,0.205,0.835,0.32,0.2175,0.245,14
"759","M",0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,13
"762","F",0.55,0.44,0.155,0.946,0.313,0.1825,0.335,16
"763","F",0.54,0.44,0.135,0.959,0.2385,0.221,0.3,17
"772","I",0.485,0.375,0.14,0.521,0.2,0.123,0.17,8
"775","M",0.49,0.38,0.14,0.7605,0.245,0.167,0.185,10
"784","I",0.385,0.28,0.125,0.244,0.102,0.038,0.085,6
"785","I",0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,5
"789","F",0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,9
"790","F",0.6,0.465,0.165,0.8875,0.309,0.246,0.262,12
"800","F",0.425,0.345,0.11,0.3665,0.125,0.081,0.117,11
"802","M",0.45,0.335,0.125,0.349,0.119,0.1055,0.115,10
"807","I",0.28,0.205,0.07,0.1015,0.041,0.03,0.03,6
"814","I",0.255,0.185,0.06,0.088,0.0365,0.021,0.023,5
"816","I",0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,7
"819","I",0.35,0.25,0.07,0.18,0.0655,0.048,0.054,6
"821","I",0.365,0.275,0.135,0.24,0.108,0.0445,0.0735,7
"825","I",0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,7
"827","I",0.395,0.29,0.095,0.304,0.127,0.084,0.077,6
"828","I",0.4,0.31,0.1,0.306,0.13,0.06,0.094,6
"837","M",0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,8
"838","I",0.475,0.365,0.125,0.5465,0.229,0.1185,0.172,9
"840","I",0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,9
"844","M",0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8
"858","M",0.59,0.46,0.13,1.102,0.455,0.2055,0.33,12
"864","F",0.6,0.475,0.155,1.21,0.653,0.1695,0.3205,10
"871","M",0.615,0.505,0.165,1.34,0.5315,0.2815,0.41,12
"892","M",0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,17
"898","I",0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,6
"902","I",0.3,0.23,0.095,0.1385,0.056,0.0365,0.037,6
"903","I",0.305,0.22,0.07,0.141,0.062,0.031,0.037,5
"909","I",0.335,0.25,0.075,0.1825,0.0705,0.044,0.055,7
"913","I",0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,7
"914","I",0.37,0.29,0.095,0.249,0.1045,0.058,0.067,6
"925","I",0.425,0.315,0.1,0.377,0.1645,0.072,0.105,6
"926","I",0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7
"931","I",0.44,0.325,0.09,0.35,0.148,0.067,0.105,7
"933","I",0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7
"935","I",0.45,0.355,0.105,0.4445,0.197,0.093,0.1335,8
"939","I",0.455,0.375,0.12,0.497,0.2355,0.1055,0.1295,6
"940","I",0.46,0.36,0.1,0.4635,0.2325,0.093,0.115,7
"956","M",0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
"958","M",0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6
"963","I",0.505,0.39,0.15,0.685,0.362,0.131,0.156,8
"972","M",0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,7
"973","F",0.525,0.415,0.14,0.724,0.3475,0.173,0.175,8
"974","M",0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,11
"981","F",0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9
"992","F",0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7
"998","M",0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8
"999","F",0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8
"1008","M",0.61,0.47,0.15,1.1625,0.565,0.258,0.3085,11
"1025","F",0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,10
"1027","M",0.645,0.52,0.175,1.561,0.709,0.3555,0.4,8
"1030","F",0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10
"1035","F",0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,9
"1038","M",0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9
"1041","M",0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11
"1048","F",0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12
"1073","I",0.4,0.32,0.095,0.348,0.194,0.053,0.087,6
"1075","I",0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7
"1077","I",0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7
"1085","I",0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7
"1086","I",0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7
"1098","I",0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8
"1099","M",0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7
"1102","I",0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,8
"1105","I",0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8
"1115","I",0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,9
"1120","I",0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895,10
"1122","M",0.545,0.41,0.12,0.793,0.434,0.1405,0.19,9
"1124","F",0.55,0.415,0.135,0.8145,0.427,0.1855,0.175,8
"1130","M",0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8
"1131","M",0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,9
"1137","F",0.575,0.46,0.145,0.9945,0.466,0.229,0.265,7
"1143","M",0.575,0.445,0.17,1.0225,0.549,0.2175,0.228,9
"1158","F",0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9
"1165","M",0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10
"1171","F",0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9
"1199","M",0.715,0.535,0.19,1.6755,0.889,0.313,0.42,10
"1201","F",0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10
"1205","M",0.735,0.585,0.185,2.124,0.952,0.55,0.5,11
"1207","F",0.75,0.57,0.21,2.236,1.109,0.5195,0.545,11
"1212","I",0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4
"1215","I",0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6
"1217","I",0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5
"1221","I",0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,7
"1222","I",0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5
"1224","I",0.34,0.25,0.09,0.179,0.0775,0.033,0.055,6
"1226","I",0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5
"1230","I",0.365,0.27,0.085,0.1875,0.081,0.042,0.058,6
"1232","I",0.365,0.265,0.085,0.213,0.0945,0.049,0.06,7
"1240","I",0.375,0.27,0.085,0.218,0.0945,0.039,0.07,7
"1243","I",0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,9
"1244","I",0.385,0.28,0.085,0.2175,0.097,0.038,0.067,8
"1246","I",0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5
"1248","I",0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,8
"1255","I",0.425,0.325,0.11,0.3335,0.173,0.045,0.1,7
"1266","I",0.46,0.36,0.105,0.466,0.2225,0.099,0.11,7
"1270","I",0.47,0.365,0.1,0.411,0.175,0.0855,0.135,8
"1282","I",0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,9
"1286","I",0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7
"1292","I",0.515,0.42,0.135,0.711,0.337,0.144,0.205,13
"1301","I",0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9
"1303","I",0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,8
"1305","M",0.535,0.435,0.15,0.717,0.3475,0.1445,0.194,9
"1307","I",0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229,9
"1308","I",0.545,0.435,0.135,0.7715,0.372,0.148,0.227,8
"1314","M",0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,9
"1317","M",0.555,0.44,0.14,0.8705,0.407,0.156,0.255,9
"1320","I",0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,9
"1324","I",0.56,0.455,0.145,0.974,0.547,0.1615,0.235,9
"1335","F",0.575,0.42,0.135,0.857,0.461,0.147,0.2125,10
"1353","M",0.6,0.475,0.17,1.1315,0.508,0.272,0.309,10
"1356","F",0.6,0.465,0.155,1.04,0.4755,0.25,0.28,11
"1366","M",0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,10
"1367","I",0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286,9
"1370","F",0.615,0.475,0.155,1.004,0.4475,0.193,0.2895,10
"1374","M",0.615,0.475,0.17,1.129,0.4795,0.302,0.3,10
"1375","M",0.615,0.48,0.175,1.118,0.446,0.3195,0.3,9
"1379","F",0.62,0.5,0.15,1.293,0.596,0.3135,0.354,10
"1380","F",0.62,0.475,0.16,1.1295,0.463,0.2685,0.33,10
"1387","M",0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,12
"1401","F",0.65,0.59,0.22,1.662,0.77,0.378,0.435,11
"1403","M",0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,9
"1404","F",0.65,0.51,0.17,1.567,0.7245,0.349,0.391,10
"1433","I",0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053,5
"1443","I",0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5
"1447","I",0.44,0.34,0.105,0.369,0.164,0.08,0.1015,5
"1453","I",0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,9
"1454","I",0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6
"1456","M",0.475,0.37,0.125,0.649,0.347,0.136,0.142,8
"1463","F",0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,7
"1467","M",0.515,0.425,0.145,0.9365,0.497,0.181,0.2185,8
"1470","M",0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8
"1486","F",0.59,0.46,0.145,0.9905,0.453,0.2205,0.275,8
"1491","F",0.605,0.485,0.16,1.201,0.417,0.2875,0.38,9
"1494","I",0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,8
"1497","M",0.62,0.48,0.165,1.0725,0.4815,0.235,0.312,9
"1498","M",0.625,0.52,0.175,1.4105,0.691,0.322,0.3465,10
"1500","M",0.63,0.47,0.145,1.1005,0.52,0.26,0.276,9
"1505","F",0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,10
"1510","F",0.645,0.505,0.165,1.318,0.55,0.3015,0.335,11
"1511","F",0.65,0.545,0.175,1.5245,0.59,0.326,0.495,10
"1512","M",0.65,0.515,0.175,1.466,0.677,0.3045,0.4,10
"1520","M",0.67,0.51,0.175,1.5265,0.651,0.4475,0.345,10
"1526","M",0.7,0.555,0.2,1.858,0.73,0.3665,0.595,11
"1528","M",0.72,0.565,0.2,2.1055,1.017,0.363,0.494,12
"1534","I",0.295,0.215,0.07,0.121,0.047,0.0155,0.0405,6
"1549","I",0.385,0.29,0.09,0.2365,0.1,0.0505,0.076,8
"1561","I",0.435,0.325,0.11,0.367,0.1595,0.08,0.105,6
"1567","I",0.465,0.37,0.12,0.4365,0.188,0.0815,0.147,9
"1572","I",0.475,0.36,0.125,0.4905,0.205,0.1305,0.125,8
"1573","I",0.48,0.37,0.125,0.474,0.179,0.1035,0.175,9
"1575","M",0.48,0.355,0.16,0.464,0.221,0.106,0.239,8
"1579","I",0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,8
"1580","I",0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,8
"1583","I",0.5,0.375,0.14,0.559,0.2375,0.135,0.169,9
"1585","F",0.515,0.375,0.11,0.6065,0.3005,0.131,0.15,6
"1595","I",0.525,0.4,0.14,0.654,0.305,0.16,0.169,7
"1596","M",0.525,0.4,0.155,0.707,0.282,0.1605,0.225,9
"1597","I",0.53,0.42,0.12,0.5965,0.2555,0.141,0.177,7
"1598","I",0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135,10
"1606","I",0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,9
"1608","I",0.54,0.425,0.135,0.686,0.3475,0.1545,0.213,8
"1612","M",0.55,0.435,0.14,0.7625,0.327,0.1685,0.259,10
"1615","I",0.55,0.415,0.145,0.7815,0.373,0.16,0.2215,8
"1624","F",0.565,0.44,0.15,0.863,0.435,0.149,0.27,9
"1632","I",0.57,0.445,0.145,0.7405,0.306,0.172,0.1825,12
"1634","I",0.575,0.425,0.135,0.7965,0.364,0.196,0.239,10
"1636","I",0.575,0.45,0.125,0.78,0.3275,0.188,0.235,9
"1647","I",0.58,0.445,0.125,0.7095,0.303,0.1405,0.235,9
"1651","I",0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,11
"1654","M",0.595,0.45,0.145,0.959,0.463,0.2065,0.2535,10
"1655","I",0.595,0.46,0.15,0.8335,0.377,0.1925,0.235,8
"1657","F",0.6,0.475,0.15,1.13,0.575,0.196,0.305,9
"1660","F",0.6,0.48,0.18,1.0645,0.4495,0.2455,0.325,10
"1664","M",0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8
"1671","F",0.61,0.485,0.15,1.2405,0.6025,0.2915,0.3085,12
"1672","M",0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,9
"1673","F",0.61,0.475,0.16,1.1155,0.3835,0.223,0.379,10
"1678","M",0.615,0.475,0.175,1.224,0.6035,0.261,0.311,9
"1689","M",0.625,0.49,0.165,1.1165,0.4895,0.2615,0.3325,11
"1693","F",0.625,0.485,0.175,1.362,0.6765,0.2615,0.3705,10
"1704","F",0.64,0.505,0.165,1.2235,0.5215,0.2695,0.36,10
"1707","M",0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,10
"1709","M",0.645,0.5,0.19,1.5595,0.741,0.3715,0.3845,14
"1710","M",0.645,0.51,0.19,1.4745,0.605,0.345,0.48,9
"1712","M",0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9
"1718","F",0.65,0.495,0.155,1.337,0.615,0.3195,0.335,9
"1719","M",0.65,0.505,0.19,1.274,0.59,0.23,0.391,11
"1730","M",0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,11
"1755","M",0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,13
"1757","F",0.725,0.565,0.21,2.1425,1.03,0.487,0.503,14
"1767","F",0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7
"1768","M",0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,7
"1771","I",0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6
"1779","F",0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,8
"1782","M",0.515,0.395,0.135,1.007,0.472,0.2495,0.252,8
"1783","M",0.525,0.365,0.17,0.9605,0.438,0.2225,0.276,10
"1784","M",0.525,0.38,0.125,0.65,0.303,0.155,0.159,7
"1785","M",0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105,8
"1791","F",0.55,0.38,0.165,1.205,0.543,0.294,0.3345,10
"1797","M",0.585,0.455,0.145,0.953,0.3945,0.2685,0.258,10
"1812","M",0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965,11
"1813","M",0.65,0.485,0.16,1.7395,0.5715,0.2785,0.3075,10
"1817","F",0.675,0.53,0.175,1.4465,0.6775,0.33,0.389,10
"1820","M",0.695,0.53,0.19,1.726,0.7625,0.436,0.455,11
"1821","F",0.705,0.545,0.18,1.5395,0.6075,0.3675,0.4645,13
"1828","I",0.34,0.26,0.085,0.1885,0.0815,0.0335,0.06,6
"1835","I",0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,7
"1839","I",0.415,0.31,0.095,0.311,0.1125,0.0625,0.115,8
"1841","I",0.43,0.34,0.1,0.3405,0.1395,0.0665,0.12,8
"1844","I",0.435,0.33,0.105,0.335,0.156,0.0555,0.105,8
"1850","I",0.485,0.385,0.13,0.568,0.2505,0.178,0.154,7
"1859","F",0.51,0.4,0.12,0.7005,0.347,0.1105,0.195,10
"1861","I",0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235,10
"1862","M",0.515,0.385,0.11,0.5785,0.253,0.16,0.14,8
"1874","I",0.53,0.405,0.12,0.632,0.2715,0.148,0.1875,9
"1875","I",0.535,0.455,0.14,1.0015,0.53,0.1765,0.244,9
"1886","I",0.555,0.45,0.175,0.738,0.304,0.1755,0.22,9
"1893","M",0.565,0.45,0.16,0.895,0.415,0.195,0.246,9
"1894","I",0.565,0.46,0.155,0.8715,0.3755,0.215,0.25,10
"1900","M",0.575,0.45,0.13,0.785,0.318,0.193,0.2265,9
"1901","M",0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,9
"1906","I",0.575,0.45,0.135,0.8715,0.45,0.162,0.225,10
