"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"156",215000,3,1,1180,7669,1,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,1190,7669
"157",650000,5,3.5,3960,25245,2,0,0,3,9,2500,1460,1996,0,98056,47.525,-122.172,2640,13675
"167",269950,2,1.75,1340,7250,1,0,0,5,5,700,640,1949,0,98198,47.408,-122.327,1830,9750
"175",673000,4,2.25,2590,8190,2,0,0,4,8,2590,0,1980,0,98006,47.5619,-122.125,2260,8335
"189",615000,4,1,1330,2400,1.5,0,0,4,6,1330,0,1901,0,98103,47.65,-122.34,1330,4400
"190",585188,3,2.25,2230,10026,1,0,0,3,8,1430,800,1975,0,98052,47.6647,-122.153,2230,9340
"195",230000,3,1,1060,10228,1,0,0,3,7,1060,0,1948,0,98155,47.7481,-122.3,1570,10228
"197",423000,4,2,1970,6480,1.5,0,0,5,7,1130,840,1920,0,98108,47.5511,-122.312,1500,6480
"204",226500,3,1.5,1300,7370,1,0,0,4,7,900,400,1976,0,98023,47.3025,-122.37,1430,7500
"205",274250,3,1,910,8450,1,0,0,4,6,910,0,1962,0,98059,47.4787,-122.158,1400,8040
"207",677900,3,2.5,2440,4587,2,0,0,3,8,2440,0,2010,0,98052,47.7073,-122.114,2750,4587
"213",592500,4,2.5,2240,12032,1,0,0,3,9,2240,0,1983,0,98074,47.6143,-122.017,2520,12368
"223",527000,4,2.25,2330,19436,2,0,0,3,8,2330,0,1987,0,98011,47.7663,-122.215,1910,10055
"225",328000,3,2.25,2020,8379,2,0,0,3,7,2020,0,1994,0,98038,47.3828,-122.023,2020,8031
"235",475000,3,1.5,2480,5280,1.5,0,0,5,7,1620,860,1947,0,98108,47.5575,-122.303,2090,4800
"240",472000,6,2.5,4410,14034,1,0,2,4,9,2350,2060,1965,0,98003,47.3376,-122.324,2600,13988
"244",225000,3,1,1300,8316,1,0,0,4,6,1300,0,1954,0,98002,47.3221,-122.216,1260,8316
"248",181000,2,1.5,720,5120,1,0,0,3,6,720,0,1954,0,98106,47.5218,-122.357,1150,2566
"252",455000,4,2.5,3360,7685,2,0,0,3,9,3360,0,2001,0,98058,47.4369,-122.111,3060,6567
"259",255000,3,1,1230,10170,1,0,0,3,7,1230,0,1979,0,98045,47.4437,-121.772,1380,10098
"264",425000,2,1,770,5040,1,0,0,3,5,770,0,1930,0,98144,47.5964,-122.299,1330,2580
"265",369900,1,0.75,760,10079,1,1,4,5,5,760,0,1936,0,98070,47.4683,-122.438,1230,14267
"274",236000,3,1,1300,5898,1,0,0,3,7,1300,0,1961,0,98178,47.5053,-122.255,1320,7619
"275",331000,3,1.75,1080,1306,1,0,0,3,7,580,500,1954,2003,98199,47.6601,-122.4,1440,2225
"276",365000,3,2.5,2653,4510,2,0,0,3,8,2653,0,2006,0,98031,47.4145,-122.166,2653,4927
"280",405000,3,1.75,2390,6000,1,0,0,3,6,1240,1150,1908,0,98118,47.5362,-122.268,2020,6000
"282",170000,2,1,860,5265,1,0,0,3,6,860,0,1931,0,98178,47.5048,-122.272,1650,8775
"284",780000,4,2.5,3500,7048,2,0,0,3,9,3500,0,2005,0,98053,47.6811,-122.025,3920,7864
"286",370000,4,2.5,2720,8666,2,0,0,3,9,2720,0,1992,0,98030,47.3846,-122.169,2410,8100
"288",405000,3,1.75,1670,6720,1,0,0,3,7,1140,530,1980,0,98034,47.7198,-122.193,1670,7320
"297",265000,3,2,1320,8959,1,0,0,3,7,1320,0,1993,0,98042,47.3536,-122.144,1740,7316
"314",1384000,4,3.25,4290,12103,1,0,3,3,11,2690,1600,1997,0,98006,47.5503,-122.102,3860,11244
"324",240000,3,1.75,1510,10248,1,0,0,3,7,1510,0,1969,0,98023,47.2929,-122.371,1510,9753
"326",240500,2,1,1240,12092,1,0,0,3,6,960,280,1922,1984,98146,47.4957,-122.352,1820,7460
"328",740000,4,2,2050,4400,1.5,0,0,4,9,2050,0,1922,0,98102,47.644,-122.319,2320,5500
"338",791500,4,2,1510,3500,1.5,0,0,5,7,1510,0,1911,0,98103,47.6794,-122.357,1820,3750
"344",309600,4,1.75,1275,20000,1,0,0,4,6,1275,0,1991,0,98070,47.3796,-122.49,1660,20000
"345",552250,4,2.5,2580,5823,2,0,0,3,8,2580,0,2002,0,98065,47.5374,-121.875,2380,5823
"346",165000,4,1,1000,7134,1,0,0,3,6,1000,0,1943,0,98178,47.4897,-122.24,1020,7138
"353",315000,3,1,1900,14400,1,0,0,4,7,1300,600,1954,0,98166,47.4147,-122.337,1940,14400
"359",9e+05,3,1,1330,77972,1,0,0,3,7,1330,0,1928,1954,98033,47.6891,-122.159,1340,17689
"362",380000,5,2.5,2760,11340,2,0,0,4,9,2760,0,1978,0,98059,47.4769,-122.141,2470,11340
"369",785000,4,2.75,2440,69415,1,0,0,4,8,1910,530,1989,0,98075,47.5944,-122.042,2770,24361
"377",450000,3,1.75,1640,13500,1,0,0,3,7,1110,530,1940,0,98125,47.7164,-122.304,1770,12600
"380",435000,3,1.5,1300,3348,1.5,0,0,3,7,1300,0,1904,2014,98144,47.592,-122.307,1590,2577
"390",385000,4,1.5,2040,10726,1,0,0,3,7,1380,660,1954,0,98177,47.772,-122.358,1610,10020
"401",557000,3,3.5,1710,2096,2,0,0,3,8,1290,420,2008,0,98122,47.6055,-122.305,1630,1543
"402",360000,4,1.75,3730,16980,1,0,0,4,7,2150,1580,1974,0,98022,47.1775,-122.022,1880,16963
"404",437000,3,2.5,1750,22357,2,0,0,3,8,1750,0,1994,0,98045,47.4807,-121.779,2430,22357
"407",450000,3,2,1290,1213,3,0,0,3,8,1290,0,2001,0,98103,47.6609,-122.344,1290,3235
"412",517534,2,1,833,143947,1,0,0,3,5,833,0,2006,0,98070,47.3889,-122.482,1380,143947
"413",632925,3,2.5,2990,32239,2,0,0,4,8,2990,0,1978,0,98077,47.7718,-122.095,2990,36497
"414",577500,3,2.5,2000,7251,2,0,0,3,9,2000,0,1995,0,98034,47.7067,-122.2,2450,8118
"421",482000,2,1,950,3960,1,0,0,3,7,950,0,1941,0,98103,47.6885,-122.337,1320,4050
"427",310000,5,1.75,2190,27260,1,0,0,4,7,2190,0,1947,1974,98166,47.4546,-122.337,1620,39480
"428",1300000,3,2,2350,15021,1,0,0,4,8,1770,580,1976,0,98004,47.6408,-122.219,3530,15715
"431",328500,4,3,2290,8250,2,0,0,3,9,2290,0,1990,0,98042,47.3739,-122.156,2290,8250
"435",525000,4,2.5,2450,5280,2,0,0,3,8,2450,0,2003,0,98011,47.7734,-122.224,2300,4674
"445",205000,3,1,940,7980,1,0,0,4,7,940,0,1960,0,98032,47.3838,-122.289,1150,8050
"451",1450000,3,4.5,3970,24920,2,0,2,3,10,3260,710,1977,1999,98034,47.7183,-122.258,2610,13838
"454",691100,3,2.75,2360,16117,1,0,0,4,8,1710,650,1983,0,98006,47.5698,-122.121,2120,16117
"467",465000,3,1.75,1480,6360,1,0,0,3,7,1480,0,1954,0,98133,47.7311,-122.353,1480,6360
"475",859900,4,2.75,3390,6298,2,0,0,3,9,3390,0,2011,0,98074,47.5906,-122.062,3390,7111
"483",849950,3,3,2990,9773,2,0,0,4,8,2990,0,1973,0,98005,47.6344,-122.174,2230,11553
"487",1067000,6,3.5,4860,11793,2,0,0,3,11,3860,1000,1998,0,98006,47.5521,-122.137,3600,11793
"488",207950,2,2,890,5000,1,0,0,3,6,890,0,1917,0,98118,47.5158,-122.264,1860,5000
"498",299000,3,2.75,3080,19635,1,0,2,4,7,1610,1470,1958,0,98032,47.3841,-122.284,2424,12410
"499",625000,2,1.5,1490,5750,1.5,0,0,4,7,1190,300,1900,0,98116,47.5872,-122.39,1590,4025
"500",437500,3,2.5,2120,4500,2,0,0,3,7,2120,0,2000,0,98065,47.5322,-121.88,2530,4816
"502",475000,2,1,1490,3825,1,0,0,3,7,860,630,1929,0,98117,47.6799,-122.381,1460,3825
"509",615000,2,1,1540,6872,1,0,0,4,7,820,720,1946,0,98119,47.6454,-122.373,1420,5538
"510",1485000,4,3.75,4030,10800,2,0,0,3,10,4030,0,2006,0,98033,47.6821,-122.196,2160,7200
"516",3e+05,2,1,1100,7680,1,0,0,4,7,1100,0,1950,0,98133,47.7439,-122.339,1460,7680
"522",190000,2,1,630,6000,1,0,0,3,6,630,0,1943,2005,98178,47.4973,-122.221,1470,6840
"528",1600000,6,5,6050,230652,2,0,3,3,11,6050,0,2001,0,98024,47.6033,-121.943,4210,233971
"531",270500,3,2.5,1780,7848,1,0,0,3,7,1320,460,1978,0,98038,47.3608,-122.056,1680,7848
"532",2e+05,2,1.5,1360,1898,2,0,0,3,7,1360,0,1978,0,98092,47.2852,-122.19,1360,1898
"536",358000,3,2.25,1610,6655,2,0,0,4,7,1610,0,1985,0,98058,47.4296,-122.161,1780,7529
"541",2125000,3,2.5,5403,24069,2,1,4,4,12,5403,0,1976,0,98166,47.4169,-122.348,3980,104374
"544",530000,3,2.25,2120,40518,1,0,0,3,8,2120,0,1967,0,98075,47.5896,-122.009,2480,13492
"549",315000,4,2.75,2300,18360,1,0,0,4,7,1560,740,1979,0,98058,47.4518,-122.16,1870,9588
"552",1450000,3,3,4380,6320,2,0,3,5,10,3580,800,1952,0,98199,47.6452,-122.411,3080,7680
"556",725000,4,2.5,2990,29170,2,0,3,3,9,2990,0,1999,0,98059,47.5146,-122.117,3715,29170
"559",750000,6,1.75,2750,9563,2,0,0,4,8,2750,0,1973,0,98052,47.6368,-122.097,2040,9563
"566",435000,3,2.5,1840,5680,2,0,0,3,7,1840,0,2008,0,98053,47.6969,-122.026,1600,4697
"572",720000,4,4,3200,7708,2,0,0,3,10,3200,0,2004,0,98075,47.5816,-121.97,3480,7944
"573",442000,5,3,2560,5445,1.5,0,0,4,7,1760,800,1927,0,98108,47.5502,-122.311,1080,5445
"583",730000,2,2.25,2130,4920,1.5,0,4,4,7,1530,600,1941,0,98116,47.573,-122.409,2130,4920
"584",439000,4,2.25,2060,10070,2,0,0,3,7,2060,0,1975,0,98034,47.7258,-122.177,2060,8155
"588",9e+05,3,2.5,3180,12600,2,0,0,4,11,3180,0,1978,0,98074,47.6366,-122.058,3030,12835
"590",685000,3,2,2060,2900,1.5,0,0,5,8,1330,730,1931,0,98144,47.5897,-122.292,1910,3900
"598",595000,3,2.5,3370,14402,2,0,2,3,9,3370,0,2004,0,98045,47.5008,-121.776,3330,9691
"602",399950,4,2,2420,31465,1,0,0,3,9,2420,0,1984,0,98092,47.3131,-122.115,2560,32186
"603",185000,3,1.75,1430,10816,2,0,0,3,7,1430,0,1994,0,98010,47.3122,-121.996,1560,10816
"605",435500,3,2.25,1450,4789,2,0,0,3,7,1450,0,1985,0,98029,47.5665,-122.018,1560,4490
"607",531000,2,3,1270,1175,2,0,0,3,8,1110,160,2000,0,98103,47.6634,-122.34,1290,1800
"610",590000,4,3.5,3100,15842,2,0,0,3,8,2400,700,1996,0,98028,47.7466,-122.242,2200,19400
"625",325000,3,1,990,6750,1,0,0,4,6,990,0,1947,0,98133,47.7125,-122.331,1440,6860
"629",543500,3,2.25,1270,2790,1,0,0,3,7,990,280,1970,0,98199,47.6581,-122.396,1920,4000
"630",480000,4,2.25,3250,34293,2,0,0,4,9,3250,0,1983,0,98042,47.3496,-122.094,3110,35982
"639",314500,3,2,2050,13303,1,0,0,3,8,2050,0,1993,0,98003,47.2681,-122.31,2180,11590
"647",545000,3,1.75,1680,6200,1.5,0,0,3,7,1680,0,1916,0,98136,47.5338,-122.384,1680,5100
"655",337000,3,2.5,1470,3976,2,0,0,3,7,1470,0,1999,0,98065,47.526,-121.826,1490,4400
"656",1e+06,3,2.5,3180,10492,2,0,2,3,10,3180,0,1991,0,98052,47.655,-122.124,3000,9812
"661",269900,3,1.75,1140,22267,1,0,0,3,7,1140,0,1986,0,98045,47.4761,-121.758,1150,15625
"670",1250000,4,3.25,3160,5000,2,0,0,5,9,2360,800,1965,0,98105,47.6597,-122.274,2220,4000
"671",460000,3,1.75,1550,4708,1,0,0,4,7,860,690,1949,0,98115,47.6759,-122.286,1880,5600
"680",1145000,4,3.5,4370,18361,2,0,0,3,11,4370,0,2001,0,98065,47.544,-121.872,4190,13641
"684",413000,4,3.5,2380,5809,2,0,0,4,7,1750,630,1995,0,98106,47.5536,-122.359,1620,5775
"687",320000,3,2.5,2680,7757,2,0,0,3,8,2680,0,1990,0,98023,47.2918,-122.346,2430,8231
"690",396000,3,1,1500,12616,1,0,0,3,7,1500,0,1967,0,98072,47.7415,-122.101,1820,13950
"695",690000,4,2.5,2900,23488,2,0,0,3,9,2900,0,1992,0,98053,47.6726,-122.03,2900,34589
"699",225000,3,1.75,1760,26055,1,0,0,3,7,920,840,1979,0,98042,47.3664,-122.1,1350,13475
"701",795000,2,1,1380,5000,1.5,0,2,3,5,1380,0,1905,0,98106,47.5708,-122.359,1500,5000
"717",405500,3,1.5,1010,8108,1,0,0,5,7,1010,0,1954,0,98155,47.7359,-122.309,1300,8108
"721",289950,3,2.5,1670,6186,2,0,0,3,7,1670,0,2002,0,98038,47.3668,-122.031,2390,6924
"725",350000,5,3,2520,5500,1,0,0,3,8,1550,970,2004,0,98178,47.4938,-122.255,1700,8000
"727",210000,2,1.75,1440,5680,1,0,0,4,8,1440,0,1978,0,98198,47.3825,-122.319,1320,3547
"740",233000,3,2,1400,9177,1,0,0,3,7,1400,0,1974,0,98001,47.3415,-122.272,2020,8547
"744",305000,3,1,1160,9750,1,0,0,3,7,1160,0,1967,0,98077,47.7422,-122.073,1160,9650
"746",560000,4,2.5,2940,6000,2,0,0,3,8,2940,0,2000,0,98011,47.7533,-122.198,2510,6600
"747",650000,4,1.75,2010,5070,1,0,1,4,7,1300,710,1963,0,98116,47.5793,-122.402,2180,5400
"754",699800,2,2.5,2380,6600,1,0,0,3,8,2380,0,2010,0,98053,47.717,-122.02,1870,6600
"759",856600,4,2.25,2400,13430,1,0,0,4,9,2400,0,1964,0,98005,47.5987,-122.178,2580,10077
"766",560000,3,2.25,2060,31400,2,0,0,3,8,2060,0,1984,0,98074,47.6216,-122.056,2160,34500
"775",390000,3,1,1200,10800,1,0,0,4,7,1200,0,1955,0,98006,47.5771,-122.144,1370,9950
"776",420000,3,2.25,2000,8030,1,0,0,4,8,1000,1000,1963,0,98008,47.6188,-122.114,2070,8250
"786",218000,5,1.75,1930,8040,1,0,0,4,8,1930,0,1966,0,98023,47.3109,-122.376,2370,8000
"794",249950,4,1,1330,7980,1.5,0,0,3,6,1330,0,1952,0,98168,47.492,-122.333,1570,8588
"799",470000,3,2.5,2100,4700,2,0,0,3,8,2100,0,1999,0,98065,47.5341,-121.867,2100,4700
"802",1216000,4,2.5,3190,8684,1,0,3,5,9,1680,1510,1967,0,98006,47.5619,-122.162,3160,8684
"807",308000,4,2.25,1960,12243,2,0,0,3,8,1960,0,1989,0,98042,47.3405,-122.058,1910,12230
"810",361000,3,2,1950,8698,1,0,0,3,8,1950,0,1999,0,98042,47.39,-122.153,2330,7212
"811",345000,3,1,1250,7210,1,0,0,4,7,1250,0,1964,0,98008,47.6329,-122.121,1530,8800
"815",2400000,4,4.25,4890,15188,2,0,2,3,11,3090,1800,1999,0,98040,47.5602,-122.227,3470,16201
"816",379000,3,3.25,2660,17852,2.5,0,0,3,8,2660,0,2014,0,98010,47.3077,-122.011,1320,11876
"824",287500,3,1,1810,7200,1,0,0,4,7,1130,680,1954,0,98133,47.7493,-122.351,1810,8100
"825",431000,3,1,1810,7200,1,0,0,4,7,1130,680,1954,0,98133,47.7493,-122.351,1810,8100
"826",226000,3,1,970,5000,1,0,0,3,6,970,0,1968,0,98118,47.5282,-122.279,1290,5875
"831",595000,3,1.75,1910,5753,1,0,3,3,8,1110,800,1941,0,98115,47.6898,-122.327,1630,5580
"838",419950,2,1.75,1350,4003,1,0,0,3,8,1350,0,2004,0,98053,47.7176,-122.033,1350,4479
"841",282000,4,1.75,1660,10725,1,0,0,3,7,960,700,1956,0,98168,47.5033,-122.3,1340,9023
"848",628000,3,1.75,4000,11894,1,0,0,3,9,2190,1810,1987,0,98011,47.7738,-122.203,2530,8650
"853",438000,3,2.5,1520,1304,2,0,0,3,8,1180,340,2006,0,98136,47.5446,-122.385,1270,1718
"856",370500,4,2.5,1790,6120,2,0,0,3,7,1790,0,2005,0,98059,47.4829,-122.128,1950,5660
"860",166600,3,1.75,1150,8690,1,0,0,4,7,1150,0,1977,0,98042,47.3729,-122.115,1330,7040
"868",457500,3,2.5,1500,4445,2,0,0,3,8,1500,0,1996,0,98029,47.5682,-122.005,1730,4408
"872",469950,3,2.25,1620,8701,1,0,0,3,7,1220,400,1962,0,98007,47.6071,-122.137,1600,7910
"873",795000,3,2,2920,13650,1,0,2,5,8,1460,1460,1975,0,98033,47.6652,-122.188,2920,10988
"875",860000,3,2.25,3060,12095,2,0,0,3,10,3060,0,1983,0,98006,47.5611,-122.106,3060,11455
"888",466000,2,1.5,1140,1058,3,0,0,3,7,1140,0,2005,0,98103,47.6608,-122.333,1170,1116
"891",740000,3,2.5,3000,25341,2,0,0,3,9,3000,0,1995,0,98053,47.6724,-122.013,3000,32417
"902",8e+05,4,2.5,2570,50308,1.5,0,0,3,10,2570,0,1993,0,98077,47.7418,-122.039,3420,37891
"912",615000,4,2.25,2500,10062,1,0,0,3,8,1600,900,1975,0,98052,47.639,-122.1,2500,9750
"918",324000,3,2.5,1920,5322,2,0,0,3,8,1920,0,1999,0,98031,47.4095,-122.195,1920,5000
"923",255000,3,1.5,1340,8450,1,0,0,4,7,1340,0,1958,0,98188,47.4405,-122.28,1340,8920
"926",990000,4,2.5,2780,10480,1,0,3,3,7,1390,1390,1967,0,98033,47.6597,-122.204,2860,10506
"928",420000,3,1.5,2390,4600,2,0,0,3,8,1750,640,1920,1995,98118,47.5383,-122.268,1690,5220
"932",545000,5,2.5,2520,7863,1,0,0,3,7,1500,1020,1981,0,98034,47.7096,-122.199,2030,8580
"935",891000,4,2,2330,5000,1.5,0,0,5,7,1720,610,1925,0,98117,47.6804,-122.358,2090,5000
"938",299995,2,1,1060,7200,1,0,0,4,6,1060,0,1951,0,98155,47.7463,-122.315,1850,8291
"944",971000,5,3.5,4390,10140,2,0,0,3,9,3350,1040,2005,0,98125,47.7174,-122.282,2010,8400
"946",419000,4,1.5,2150,23568,1,0,0,4,7,2150,0,1950,0,98166,47.4522,-122.355,2150,10125
"950",1029900,3,2.5,3680,13384,2,0,0,3,10,3680,0,1994,0,98006,47.5484,-122.119,3600,11306
"962",385000,3,2,1010,7380,1,0,0,3,7,1010,0,1982,0,98074,47.6273,-122.062,1650,9030
"971",532500,3,1.75,1330,5000,2,0,0,4,7,1210,120,1909,0,98116,47.5724,-122.384,1500,4000
"972",265000,3,1,1070,9000,1,0,0,4,7,1070,0,1950,0,98198,47.4061,-122.33,1840,12000
"976",648000,4,2.5,2620,5450,2,0,0,3,9,2620,0,2001,0,98074,47.6301,-122.019,2590,5371
"977",469500,5,2.5,2970,24759,1,0,0,4,8,1670,1300,1969,0,98031,47.3908,-122.173,2100,21803
"984",379000,2,1,930,5400,1,0,0,3,7,930,0,1952,0,98117,47.6971,-122.372,1050,5400
"985",326100,2,1,880,7683,1,0,0,3,6,880,0,1942,0,98177,47.7145,-122.361,1370,7695
"987",283000,4,2.75,2130,8560,1,0,0,3,7,1560,570,1992,0,98022,47.1949,-122.01,2130,8560
"992",585000,4,2.5,2160,8158,1,0,0,4,8,1660,500,1952,0,98115,47.6948,-122.328,1520,7208
"999",189950,2,1,1030,4188,1,0,0,3,8,1030,0,1981,0,98038,47.3738,-122.057,1450,3376
"1005",245000,3,2.25,1422,3677,2,0,0,3,7,1422,0,2012,0,98092,47.3204,-122.178,1677,3677
"1008",325000,4,2.5,2610,7091,2,0,0,3,9,2610,0,1987,0,98023,47.3017,-122.349,2610,7773
"1009",540000,3,2.25,2000,217800,2,0,0,3,8,2000,0,1996,0,98024,47.5599,-121.911,2220,217800
"1020",321500,4,2.5,1930,6228,2,0,0,3,8,1930,0,2000,0,98030,47.3572,-122.191,1930,6168
"1030",543115,2,1,1380,5484,1,0,0,3,8,1030,350,1947,0,98199,47.6382,-122.399,1380,5347
"1037",395000,5,2.5,2070,9600,1,0,0,3,7,1270,800,1962,0,98146,47.4997,-122.364,1950,7800
"1040",566000,3,2.5,1560,5259,2,0,0,3,8,1560,0,1999,0,98075,47.5985,-122.016,2170,5461
"1047",465000,4,2.25,2210,8862,1,0,0,4,8,1270,940,1977,0,98011,47.7725,-122.198,2030,8862
"1048",499000,2,1.75,2040,114562,1,0,0,4,7,2040,0,1968,0,98027,47.4985,-122.092,1850,94960
"1054",648000,4,2.5,2380,13435,2,0,0,3,10,2380,0,1992,0,98075,47.5833,-122.028,2730,9677
"1056",935000,4,4.5,5670,84267,2,0,2,3,11,5670,0,2008,0,98010,47.323,-122.044,4100,83729
"1057",379000,3,1,1140,10320,1,0,0,4,7,1140,0,1963,0,98034,47.7168,-122.196,1140,10412
"1059",528000,4,2.25,1910,8005,1,0,0,3,8,1280,630,1960,0,98125,47.7259,-122.298,1860,8010
"1062",1035480,5,3.25,4475,6642,2,0,0,3,9,4475,0,2014,0,98053,47.6849,-122.018,3720,6633
"1069",318000,3,2.25,1410,8909,2,0,2,3,7,1410,0,1988,0,98198,47.3983,-122.31,2050,8909
"1070",505000,2,1,1240,57000,1,0,0,3,7,1240,0,1962,0,98075,47.597,-122.059,3050,25545
"1074",986000,3,2.5,2380,16080,1,0,2,4,9,1340,1040,1964,0,98136,47.5262,-122.386,2560,10070
"1078",356700,2,1,1090,5000,1,0,0,4,7,730,360,1942,0,98126,47.5258,-122.378,990,5250
"1080",325000,3,1,1040,7541,1,0,0,3,6,1040,0,1951,0,98133,47.7565,-122.339,1140,6100
"1085",675000,4,3,2690,28300,1,0,0,3,8,2690,0,1954,1999,98166,47.4458,-122.343,2820,27100
"1086",360000,4,2.5,2080,4080,1,0,0,5,7,1040,1040,1962,0,98144,47.572,-122.29,1340,4080
"1096",435000,3,2.5,1560,3987,2,0,0,3,7,1560,0,2002,0,98053,47.687,-122.043,1600,3152
"1100",151000,2,1,720,4222,1,0,0,4,5,720,0,1942,0,98056,47.4965,-122.186,860,4785
"1105",817500,4,2.5,2910,35679,2,0,0,4,9,2910,0,1987,0,98075,47.5859,-121.991,2720,36728
"1113",350900,4,2.5,2540,12843,2,0,0,3,9,2540,0,1992,0,98030,47.3866,-122.169,2410,9383
"1119",353000,3,1,1350,7740,1,0,0,4,6,860,490,1947,0,98125,47.7098,-122.291,1130,7740
"1130",369000,5,1.5,2550,6300,1,0,0,4,7,1560,990,1959,0,98056,47.5014,-122.172,1380,6300
"1132",515000,3,2.5,3000,8250,1,0,0,4,8,1760,1240,1963,0,98008,47.6191,-122.112,2040,8250
"1133",269000,3,1,1690,4250,1,0,0,3,7,1020,670,1967,0,98178,47.4945,-122.258,1820,8865
"1136",420000,7,3,2940,8624,1,0,0,3,8,1690,1250,1977,0,98155,47.7555,-122.307,1850,8031
"1140",605000,3,2.5,2570,9487,2,0,3,3,9,2570,0,1989,0,98011,47.7408,-122.216,2490,9898
"1143",620000,4,2,1770,7700,1.5,0,0,4,7,1770,0,1962,0,98007,47.5916,-122.146,1710,7700
"1145",225500,4,2,1440,7950,1,0,0,5,6,1440,0,1962,0,98058,47.4517,-122.082,1530,20037
"1155",699000,4,2.5,3230,40319,2,0,0,4,10,3230,0,1987,0,98027,47.4856,-122.069,2990,40234
"1157",350000,3,1.75,1010,8580,1,0,0,3,7,1010,0,1961,0,98033,47.6703,-122.174,1500,8580
"1167",460000,3,3,1520,7500,1,0,0,3,7,1180,340,1967,0,98034,47.7276,-122.181,2080,8000
"1173",605000,3,2.5,2010,3667,2,0,0,3,9,2010,0,2008,0,98027,47.545,-122.015,2350,3600
"1180",749950,4,2.75,2910,18700,1,0,0,3,9,2210,700,1957,1995,98177,47.7557,-122.368,2420,26140
"1185",902000,4,2.25,2530,9200,1,0,0,5,9,1570,960,1976,0,98006,47.5612,-122.152,3030,9400
"1186",423000,3,1,1830,13900,1,0,0,3,7,1830,0,1951,0,98133,47.7654,-122.352,1840,10667
"1187",235000,3,1,1170,11100,1,0,0,4,6,1170,0,1968,0,98059,47.4954,-122.164,2080,8481
"1190",334950,3,2.5,1620,2930,2,0,0,3,8,1620,0,2002,0,98058,47.4491,-122.12,1900,2943
"1197",357000,5,2.75,1540,4000,1,0,0,3,7,1140,400,1990,0,98106,47.533,-122.354,1630,4000
