"","y","Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"1039",1,"M",0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10
"1391",1,"F",0.635,0.5,0.165,1.4595,0.705,0.2645,0.39,9
"3891",1,"M",0.515,0.4,0.14,0.7365,0.2955,0.184,0.185,16
"602",1,"F",0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,10
"661",1,"I",0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18
"2635",1,"I",0.425,0.34,0.1,0.3515,0.1625,0.082,0.094,7
"1440",1,"I",0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,8
"1269",1,"I",0.465,0.34,0.11,0.346,0.1425,0.073,0.113,11
"708",1,"F",0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,10
"755",1,"M",0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20
"247",1,"I",0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13
"1843",1,"I",0.435,0.33,0.11,0.38,0.1515,0.0945,0.11,7
"3547",1,"I",0.475,0.35,0.115,0.498,0.2375,0.099,0.14,7
"312",1,"M",0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14
"2438",1,"I",0.335,0.24,0.095,0.17,0.062,0.039,0.055,9
"3530",1,"I",0.36,0.265,0.075,0.1785,0.0785,0.035,0.054,6
"3631",1,"I",0.285,0.225,0.07,0.1005,0.0425,0.0185,0.035,7
"89",1,"F",0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9
"1542",1,"I",0.36,0.275,0.075,0.2205,0.0985,0.044,0.066,7
"4157",1,"M",0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,8
"857",1,"M",0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,9
"1853",1,"I",0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,8
"2728",1,"I",0.405,0.305,0.1,0.271,0.0965,0.061,0.091,7
"965",1,"I",0.505,0.355,0.125,0.601,0.25,0.1205,0.185,8
"1037",1,"F",0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11
"1692",1,"I",0.625,0.47,0.155,1.1955,0.643,0.2055,0.3145,12
"1118",1,"I",0.53,0.4,0.125,0.617,0.279,0.127,0.19,8
"3010",1,"I",0.255,0.185,0.065,0.074,0.0305,0.0165,0.02,4
"1406",1,"M",0.655,0.535,0.205,1.6445,0.7305,0.3595,0.46,13
"3162",1,"F",0.335,0.22,0.07,0.17,0.076,0.0365,0.05,6
"1399",1,"M",0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325,11
"386",1,"F",0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,9
"644",1,"M",0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7
"2237",1,"F",0.56,0.435,0.185,1.106,0.422,0.2435,0.33,15
"2645",1,"I",0.49,0.375,0.125,0.5445,0.279,0.115,0.13,8
"709",1,"M",0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,10
"2628",1,"I",0.275,0.205,0.07,0.1055,0.495,0.019,0.0315,5
"2187",1,"F",0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9
"929",1,"I",0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6
"1662",1,"M",0.6,0.47,0.16,1.194,0.5625,0.3045,0.2635,10
"452",1,"F",0.675,0.535,0.16,1.41,0.592,0.3175,0.42,16
"218",1,"I",0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7
"2072",1,"F",0.565,0.44,0.135,0.83,0.393,0.1735,0.238,9
"2204",1,"M",0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,18
"4069",1,"I",0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7
"1028",1,"F",0.645,0.505,0.165,1.4325,0.684,0.308,0.336,8
"3046",1,"F",0.58,0.435,0.155,0.8785,0.425,0.1685,0.2425,10
"1315",1,"I",0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,10
"3380",1,"I",0.295,0.21,0.08,0.1,0.038,0.026,0.031,8
"2611",1,"F",0.63,0.495,0.145,1.147,0.5455,0.266,0.2885,9
"3049",1,"I",0.59,0.47,0.145,0.974,0.453,0.236,0.289,8
"3626",1,"F",0.67,0.525,0.195,1.42,0.573,0.368,0.3905,10
"509",1,"M",0.56,0.435,0.18,0.889,0.36,0.204,0.25,11
"2152",1,"F",0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,18
"3395",1,"M",0.62,0.48,0.16,1.0765,0.412,0.253,0.3,13
"487",1,"M",0.55,0.45,0.13,0.92,0.378,0.2385,0.29,11
"3596",1,"M",0.66,0.515,0.2,1.6465,0.749,0.422,0.401,11
"193",1,"M",0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14
"966",1,"M",0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
"3867",1,"F",0.525,0.43,0.165,0.717,0.289,0.1745,0.195,10
"1889",1,"F",0.565,0.445,0.125,0.8305,0.3135,0.1785,0.23,11
"3282",1,"M",0.55,0.45,0.17,0.81,0.317,0.157,0.22,11
"2733",1,"I",0.41,0.325,0.11,0.326,0.1325,0.075,0.101,8
"97",1,"M",0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9
"446",1,"F",0.56,0.455,0.19,0.714,0.283,0.129,0.275,9
"3318",1,"M",0.265,0.2,0.065,0.084,0.034,0.0105,0.03,7
"1475",1,"M",0.55,0.425,0.16,0.793,0.343,0.2035,0.215,9
"1891",1,"M",0.565,0.455,0.155,0.9355,0.421,0.183,0.26,11
"738",1,"F",0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12
"1764",1,"M",0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12
"1928",1,"M",0.615,0.47,0.15,1.0875,0.4975,0.283,0.2685,9
"2102",1,"M",0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,19
"1994",1,"I",0.29,0.21,0.06,0.1195,0.056,0.0235,0.03,6
"559",1,"F",0.66,0.53,0.17,1.326,0.519,0.2625,0.44,13
"2460",1,"F",0.585,0.47,0.17,1.099,0.3975,0.2325,0.358,20
"370",1,"F",0.69,0.56,0.215,1.719,0.68,0.299,0.47,17
"872",1,"F",0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11
"3527",1,"I",0.335,0.26,0.085,0.192,0.097,0.03,0.054,6
"2164",1,"F",0.55,0.47,0.15,0.897,0.377,0.184,0.29,9
"1737",1,"F",0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,13
"18",1,"F",0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
"1326",1,"F",0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8
"2599",1,"M",0.6,0.46,0.15,1.247,0.5335,0.2735,0.29,9
"2221",1,"F",0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,8
"2291",1,"I",0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6
"2459",1,"I",0.2,0.145,0.05,0.036,0.0125,0.008,0.011,4
"273",1,"M",0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,14
"305",1,"F",0.47,0.36,0.13,0.472,0.182,0.114,0.15,10
"3690",1,"F",0.63,0.505,0.195,1.306,0.516,0.3305,0.375,9
"1133",1,"F",0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9
"2348",1,"M",0.505,0.4,0.13,0.764,0.3035,0.189,0.2175,11
"3002",1,"M",0.64,0.495,0.165,1.307,0.678,0.292,0.266,11
"1831",1,"I",0.365,0.275,0.085,0.223,0.098,0.0375,0.075,7
"2510",1,"I",0.415,0.315,0.09,0.3625,0.175,0.0835,0.093,6
"3289",1,"F",0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,15
"4153",1,"I",0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,7
"2574",1,"I",0.475,0.355,0.105,0.468,0.201,0.1115,0.12,8
"680",1,"F",0.37,0.275,0.1,0.2225,0.093,0.026,0.08,8
"2512",1,"I",0.425,0.31,0.105,0.365,0.159,0.0825,0.105,6
"2156",1,"M",0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,16
"3277",1,"M",0.485,0.385,0.125,0.4775,0.2,0.0785,0.17,12
"3616",1,"M",0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,9
"2581",1,"M",0.525,0.425,0.125,0.812,0.4035,0.1705,0.195,8
"91",1,"M",0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15
"1778",1,"I",0.485,0.345,0.16,0.869,0.3085,0.185,0.319,9
"267",1,"M",0.52,0.45,0.15,0.895,0.3615,0.186,0.235,14
"1339",1,"M",0.58,0.455,0.135,0.7955,0.405,0.167,0.204,10
"1203",1,"M",0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,12
"1076",1,"I",0.41,0.325,0.1,0.3245,0.132,0.072,0.106,6
"3050",1,"M",0.59,0.405,0.15,0.853,0.326,0.2615,0.245,9
"642",1,"I",0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,13
"765",1,"F",0.61,0.47,0.145,1.153,0.403,0.296,0.32,14
"1116",1,"M",0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9
"3905",1,"M",0.575,0.47,0.165,0.853,0.292,0.179,0.35,16
"3043",1,"I",0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22,8
"1060",1,"I",0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5
"1415",1,"M",0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,9
"839",1,"F",0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8
"98",1,"M",0.47,0.375,0.13,0.523,0.214,0.132,0.145,8
"1533",1,"I",0.285,0.21,0.055,0.101,0.0415,0.017,0.0335,5
"792",1,"F",0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10
"2601",1,"F",0.615,0.485,0.16,1.1575,0.5005,0.2495,0.315,10
"402",1,"M",0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9
"2939",1,"F",0.625,0.5,0.16,1.217,0.5725,0.207,0.355,11
"2358",1,"M",0.585,0.455,0.125,1.027,0.391,0.212,0.25,17
"2548",1,"I",0.23,0.18,0.05,0.064,0.0215,0.0135,0.02,5
"3668",1,"F",0.585,0.42,0.155,1.034,0.437,0.2225,0.32,11
"766",1,"M",0.545,0.45,0.15,0.978,0.3365,0.1905,0.3,11
"2170",1,"I",0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,4
"2184",1,"M",0.495,0.4,0.155,0.8085,0.2345,0.1155,0.35,6
"2159",1,"M",0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,14
"594",1,"F",0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19
"2620",1,"M",0.69,0.54,0.185,1.71,0.7725,0.3855,0.4325,8
"1825",1,"I",0.185,0.135,0.04,0.027,0.0105,0.0055,0.009,5
"1787",1,"I",0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304,8
"2895",1,"I",0.54,0.425,0.13,0.8155,0.3675,0.1365,0.246,11
"38",1,"F",0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
"867",1,"M",0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,9
"2819",1,"I",0.36,0.27,0.09,0.232,0.12,0.0435,0.056,8
"1819",1,"F",0.695,0.55,0.185,1.679,0.805,0.4015,0.3965,10
"1146",1,"M",0.58,0.455,0.195,1.859,0.945,0.426,0.441,9
"1515",1,"F",0.655,0.54,0.215,1.5555,0.695,0.296,0.444,11
"3982",1,"M",0.565,0.455,0.15,0.9795,0.444,0.205,0.275,8
"3311",1,"F",0.62,0.485,0.165,1.166,0.483,0.238,0.355,13
"2629",1,"I",0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,5
"1731",1,"M",0.665,0.505,0.16,1.289,0.6145,0.253,0.3665,11
"3313",1,"F",0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,17
"3127",1,"M",0.615,0.495,0.155,1.2865,0.435,0.293,0.3245,11
"3609",1,"M",0.545,0.43,0.155,0.8035,0.409,0.144,0.228,7
"394",1,"I",0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9
"3766",1,"I",0.535,0.45,0.135,0.728,0.2845,0.1845,0.265,9
"880",1,"F",0.64,0.51,0.165,1.486,0.7595,0.332,0.321,8
"3669",1,"F",0.585,0.465,0.145,0.9855,0.4325,0.2145,0.2845,10
"1346",1,"M",0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,10
"1234",1,"I",0.37,0.28,0.085,0.217,0.1095,0.035,0.062,6
"1309",1,"F",0.545,0.445,0.15,0.8,0.3535,0.163,0.207,9
"469",1,"F",0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,17
"2167",1,"I",0.38,0.28,0.085,0.2735,0.115,0.061,0.085,6
"3148",1,"F",0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,13
"937",1,"I",0.45,0.335,0.105,0.447,0.2335,0.153,0.119,7
"611",1,"F",0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12
"199",1,"M",0.56,0.45,0.16,0.922,0.432,0.178,0.26,15
"3798",1,"M",0.695,0.58,0.2,1.8995,0.675,0.478,0.5295,13
"2623",1,"F",0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,13
"3378",1,"I",0.255,0.19,0.07,0.0815,0.028,0.016,0.031,5
"3405",1,"M",0.37,0.28,0.105,0.224,0.0815,0.0575,0.075,8
"3823",1,"F",0.605,0.48,0.175,1.1685,0.4815,0.2305,0.356,9
"2075",1,"F",0.585,0.485,0.15,1.079,0.4145,0.2115,0.356,11
"2526",1,"M",0.59,0.455,0.16,1.09,0.5,0.2215,0.292,9
"366",1,"M",0.63,0.515,0.16,1.016,0.4215,0.244,0.355,19
"1009",1,"M",0.61,0.475,0.155,1.168,0.554,0.239,0.3295,10
"3436",1,"I",0.375,0.285,0.09,0.257,0.1045,0.062,0.075,7
"1487",1,"F",0.595,0.455,0.16,1.04,0.452,0.2655,0.288,9
"1111",1,"I",0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,8
"3199",1,"M",0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
"2074",1,"F",0.58,0.435,0.15,0.839,0.3485,0.207,0.192,7
"3938",1,"M",0.53,0.425,0.11,0.739,0.237,0.161,0.295,13
"1619",1,"I",0.555,0.46,0.145,0.9005,0.3845,0.158,0.2765,11
"106",1,"F",0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12
"4106",1,"F",0.715,0.565,0.18,1.79,0.844,0.3535,0.5385,9
"1702",1,"F",0.635,0.49,0.175,1.2435,0.5805,0.313,0.305,10
"2829",1,"M",0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985,9
"1600",1,"I",0.53,0.42,0.13,0.8365,0.3745,0.167,0.249,11
"987",1,"F",0.57,0.455,0.15,1.107,0.54,0.255,0.27,8
"1421",1,"F",0.71,0.55,0.17,1.614,0.743,0.345,0.45,11
"3738",1,"M",0.625,0.47,0.15,1.124,0.556,0.2315,0.287,9
"1569",1,"I",0.47,0.355,0.125,0.499,0.21,0.0985,0.155,8
"1479",1,"M",0.575,0.465,0.15,1.08,0.595,0.2065,0.238,9
"1277",1,"I",0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,8
"640",1,"F",0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13
"2791",1,"F",0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,10
"1720",1,"M",0.65,0.525,0.185,1.488,0.665,0.337,0.378,11
"799",1,"M",0.52,0.42,0.16,0.745,0.255,0.157,0.2885,11
"1550",1,"I",0.385,0.28,0.095,0.257,0.119,0.059,0.07,7
"1109",1,"I",0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8
"1968",1,"M",0.665,0.515,0.2,1.2695,0.5115,0.2675,0.436,12
"2705",1,"M",0.7,0.525,0.175,1.7585,0.8745,0.3615,0.47,10
"321",1,"I",0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,5
"1562",1,"I",0.45,0.34,0.095,0.3245,0.1385,0.064,0.105,8
"4115",1,"F",0.57,0.45,0.15,0.9645,0.531,0.189,0.209,9
"1349",1,"M",0.59,0.47,0.18,1.187,0.5985,0.227,0.31,9
"3666",1,"I",0.575,0.45,0.145,0.872,0.4675,0.18,0.217,9
"444",1,"I",0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10
"360",1,"F",0.685,0.545,0.18,1.768,0.7495,0.392,0.485,16
"1804",1,"F",0.615,0.455,0.145,1.1155,0.5045,0.238,0.315,10
"2032",1,"F",0.6,0.45,0.14,0.837,0.37,0.177,0.2425,10
"1184",1,"M",0.665,0.525,0.16,1.363,0.629,0.279,0.34,8
"2701",1,"M",0.67,0.51,0.18,1.68,0.926,0.2975,0.3935,13
"3045",1,"I",0.575,0.445,0.16,0.9175,0.45,0.1935,0.24,9
"2064",1,"M",0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455,8
"224",1,"F",0.445,0.355,0.15,0.485,0.181,0.125,0.155,11
"4060",1,"M",0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8
"1214",1,"I",0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5
"1031",1,"F",0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10
"3528",1,"I",0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,7
"307",1,"I",0.165,0.12,0.03,0.0215,0.007,0.005,0.005,3
"1197",1,"F",0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11
"2336",1,"M",0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23
"3747",1,"I",0.36,0.265,0.085,0.1865,0.0675,0.037,0.0615,7
"1200",1,"F",0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,10
"127",1,"I",0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6
"4016",1,"M",0.635,0.48,0.145,1.181,0.665,0.229,0.225,10
"3158",1,"F",0.43,0.35,0.09,0.397,0.1575,0.089,0.12,9
"650",1,"F",0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9
"1188",1,"M",0.685,0.52,0.165,1.519,0.699,0.3685,0.4,10
"2262",1,"M",0.585,0.43,0.16,0.955,0.3625,0.176,0.27,11
"265",1,"M",0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,6
"172",1,"F",0.53,0.395,0.145,0.775,0.308,0.169,0.255,7
"2540",1,"F",0.675,0.555,0.205,1.925,0.713,0.358,0.4535,13
"161",1,"M",0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13
"2627",1,"I",0.22,0.16,0.05,0.049,0.0215,0.01,0.015,4
"620",1,"M",0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,7
"2361",1,"F",0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,11
"3247",1,"M",0.55,0.435,0.16,0.906,0.342,0.219,0.295,13
"2976",1,"I",0.32,0.215,0.095,0.305,0.14,0.067,0.0885,6
"220",1,"F",0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8
"358",1,"F",0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18
"2325",1,"F",0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,17
"1996",1,"I",0.32,0.24,0.07,0.133,0.0585,0.0255,0.041,6
"1333",1,"I",0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,10
"996",1,"M",0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9
"2549",1,"I",0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255,4
"1074",1,"I",0.405,0.3,0.11,0.32,0.172,0.044,0.093,7
"833",1,"I",0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,9
"318",1,"M",0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10
"177",1,"I",0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5
"949",1,"F",0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6
"915",1,"I",0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,7
"4171",1,"M",0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405,10
"3560",1,"F",0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,10
"989",1,"M",0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7
"3326",1,"M",0.345,0.265,0.09,0.163,0.0615,0.037,0.0485,10
"3455",1,"F",0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,8
"3292",1,"M",0.53,0.405,0.13,0.738,0.2845,0.17,0.193,9
"1863",1,"I",0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184,8
"139",1,"F",0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9
"1482",1,"F",0.58,0.435,0.14,0.953,0.475,0.2165,0.2095,9
"1464",1,"M",0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,9
"555",1,"I",0.485,0.39,0.125,0.591,0.287,0.141,0.12,9
"1388",1,"I",0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,10
"3219",1,"F",0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365,14
"2961",1,"F",0.66,0.525,0.18,1.5965,0.7765,0.397,0.3605,10
"1686",1,"I",0.62,0.45,0.135,0.924,0.358,0.2265,0.2965,10
"2481",1,"F",0.52,0.425,0.145,0.7,0.207,0.1905,0.24,13
"4141",1,"F",0.645,0.535,0.19,1.2395,0.468,0.2385,0.424,10
"3125",1,"F",0.575,0.45,0.135,0.8285,0.362,0.1655,0.236,10
"3535",1,"I",0.4,0.315,0.09,0.33,0.151,0.068,0.08,6
"2125",1,"M",0.385,0.295,0.095,0.335,0.147,0.094,0.09,7
"3144",1,"I",0.2,0.15,0.04,0.046,0.021,0.007,0.0065,4
"3584",1,"F",0.625,0.5,0.175,1.273,0.564,0.302,0.374,9
"4104",1,"M",0.7,0.545,0.215,1.9125,0.8825,0.4385,0.506,10
"378",1,"F",0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10
"450",1,"F",0.565,0.455,0.15,0.8205,0.365,0.159,0.26,18
"609",1,"M",0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,10
"2042",1,"I",0.325,0.24,0.07,0.152,0.0565,0.0305,0.054,8
"1740",1,"M",0.675,0.525,0.16,1.2835,0.572,0.2755,0.3545,13
"874",1,"F",0.625,0.49,0.155,1.2085,0.465,0.162,0.411,11
"3962",1,"M",0.695,0.55,0.205,2.173,1.133,0.4665,0.496,10
"151",1,"M",0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15
"2181",1,"F",0.625,0.42,0.165,1.0595,0.358,0.165,0.445,21
"2203",1,"M",0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,19
"3132",1,"M",0.675,0.505,0.16,1.532,0.74,0.357,0.3815,11
"739",1,"M",0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,14
"3157",1,"M",0.535,0.44,0.165,0.875,0.279,0.18,0.3,10
"1323",1,"F",0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,10
"1450",1,"M",0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,6
"3479",1,"I",0.435,0.335,0.11,0.411,0.2025,0.0945,0.1,7
"3193",1,"F",0.525,0.405,0.115,0.72,0.3105,0.1915,0.2,14
