"","buying","maint","doors","persons","lug_boot","safety","class"
"95","vhigh","med","3","more","big","high","acc"
"96","vhigh","high","2","4","big","high","unacc"
"97","high","low","5more","more","small","high","acc"
"98","vhigh","vhigh","3","2","small","high","unacc"
"99","vhigh","vhigh","4","4","big","low","unacc"
"100","med","high","3","more","med","low","unacc"
"101","med","high","4","more","med","med","acc"
"102","med","vhigh","5more","4","small","med","unacc"
"103","med","med","3","more","big","low","unacc"
"104","vhigh","vhigh","2","2","big","low","unacc"
"105","low","low","2","4","med","med","acc"
"106","low","med","5more","2","big","low","unacc"
"107","vhigh","low","2","4","med","high","acc"
"108","high","med","4","2","big","med","unacc"
"109","low","vhigh","5more","more","med","med","acc"
"110","high","vhigh","3","2","big","med","unacc"
"111","high","med","3","more","med","med","acc"
"112","low","vhigh","4","4","med","high","acc"
"113","vhigh","med","2","4","med","med","unacc"
"114","high","med","2","2","big","med","unacc"
"115","vhigh","vhigh","4","more","small","med","unacc"
"116","high","high","5more","more","big","med","acc"
"117","low","low","5more","2","small","high","unacc"
"118","high","vhigh","2","2","small","low","unacc"
"119","low","low","4","more","small","low","unacc"
"120","med","low","2","4","small","med","acc"
"121","high","low","3","more","med","med","acc"
"122","high","low","3","more","small","high","acc"
"123","vhigh","high","4","more","big","high","unacc"
"124","high","med","4","4","small","med","unacc"
"125","high","low","2","2","small","med","unacc"
"126","med","high","2","more","small","low","unacc"
"127","low","vhigh","4","more","small","high","acc"
"128","high","vhigh","4","2","big","low","unacc"
"129","vhigh","low","4","2","small","high","unacc"
"130","vhigh","vhigh","3","2","big","low","unacc"
"131","vhigh","med","5more","4","big","med","acc"
"132","med","low","3","2","big","med","unacc"
"133","low","high","2","2","big","low","unacc"
"134","med","low","4","4","small","med","acc"
"135","low","low","4","more","big","high","vgood"
"136","vhigh","vhigh","4","2","big","low","unacc"
"137","vhigh","med","2","2","big","med","unacc"
"138","high","vhigh","3","2","big","low","unacc"
"139","high","low","2","4","med","high","acc"
"140","med","med","5more","2","small","high","unacc"
"141","med","high","4","2","med","low","unacc"
"142","high","med","2","more","big","high","acc"
"143","med","vhigh","4","4","med","med","acc"
"144","vhigh","med","4","more","med","high","acc"
"145","high","vhigh","5more","more","small","low","unacc"
"146","med","med","4","4","small","low","unacc"
"147","high","high","2","4","med","low","unacc"
"148","med","med","2","4","big","low","unacc"
"149","low","high","4","2","small","med","unacc"
"150","vhigh","med","4","2","med","low","unacc"
"151","med","high","4","4","small","high","acc"
"152","high","vhigh","3","2","small","low","unacc"
"153","med","med","2","2","big","high","unacc"
"154","vhigh","low","4","more","small","med","unacc"
"155","vhigh","low","3","2","small","low","unacc"
"156","low","vhigh","2","4","med","low","unacc"
"157","high","vhigh","3","more","big","med","unacc"
"158","low","vhigh","2","2","big","low","unacc"
"159","low","med","4","4","small","high","good"
"160","low","low","5more","more","med","high","vgood"
"161","vhigh","low","5more","2","big","med","unacc"
"162","low","vhigh","2","4","med","med","unacc"
"163","vhigh","med","4","2","med","high","unacc"
"164","vhigh","low","2","more","small","high","unacc"
"165","low","high","3","more","small","low","unacc"
"166","vhigh","high","5more","4","big","low","unacc"
"167","low","high","2","2","med","low","unacc"
"168","high","high","4","4","small","med","unacc"
"169","low","low","2","2","big","med","unacc"
"170","high","med","5more","2","big","med","unacc"
"171","vhigh","vhigh","2","2","med","high","unacc"
"172","low","low","5more","4","small","low","unacc"
"173","low","vhigh","3","more","big","low","unacc"
"174","med","high","4","2","small","high","unacc"
"175","med","med","4","4","big","low","unacc"
"176","high","med","5more","4","med","low","unacc"
"177","vhigh","med","4","more","big","high","acc"
"178","med","low","2","more","big","low","unacc"
"179","vhigh","low","4","2","big","low","unacc"
"180","high","low","3","2","big","med","unacc"
"181","med","low","2","4","med","med","acc"
"182","high","high","2","4","small","low","unacc"
"183","high","low","5more","4","big","high","acc"
"184","vhigh","vhigh","5more","more","big","high","unacc"
"185","med","med","2","4","big","high","vgood"
"186","low","vhigh","3","2","big","med","unacc"
"187","vhigh","vhigh","2","2","med","med","unacc"
"188","low","med","4","more","big","high","vgood"
"189","med","med","5more","2","med","low","unacc"
"190","med","med","3","more","med","med","acc"
"191","low","med","3","2","big","med","unacc"
"192","med","high","3","more","med","med","acc"
"193","low","med","4","more","small","low","unacc"
"194","low","low","3","4","small","high","good"
"195","med","low","4","4","big","low","unacc"
"196","high","high","2","4","small","high","acc"
"197","vhigh","high","3","more","med","low","unacc"
"198","high","low","2","4","small","high","acc"
"199","high","med","4","more","big","med","acc"
"200","med","vhigh","4","4","big","low","unacc"
"201","low","high","3","2","med","med","unacc"
"202","med","med","5more","more","med","low","unacc"
"203","med","vhigh","4","more","big","med","acc"
"204","vhigh","low","4","4","big","high","acc"
"205","low","med","2","more","small","high","unacc"
"206","med","high","2","more","med","high","acc"
"207","high","vhigh","4","more","big","high","unacc"
"208","high","low","3","2","small","low","unacc"
"209","med","low","4","more","small","low","unacc"
"210","low","high","2","4","med","med","acc"
"211","med","high","5more","2","big","high","unacc"
"212","high","med","5more","4","med","high","acc"
"213","vhigh","med","5more","more","big","med","acc"
"214","med","low","3","more","small","med","acc"
"215","high","vhigh","2","more","med","med","unacc"
"216","high","med","2","2","small","med","unacc"
"217","med","low","4","4","med","med","good"
"218","low","vhigh","2","more","med","med","unacc"
"219","vhigh","low","5more","2","small","low","unacc"
"220","high","low","2","more","big","med","acc"
"221","high","low","4","2","small","low","unacc"
"222","low","high","4","4","small","high","acc"
"223","med","high","3","2","small","high","unacc"
"224","high","vhigh","4","more","small","med","unacc"
"225","med","high","4","more","med","high","acc"
"226","high","high","5more","2","big","med","unacc"
"227","vhigh","vhigh","3","4","small","high","unacc"
"228","vhigh","high","4","2","small","high","unacc"
"229","low","high","4","2","big","low","unacc"
"230","high","vhigh","5more","4","small","med","unacc"
"231","low","med","5more","2","med","low","unacc"
"232","high","low","2","4","med","med","unacc"
"233","low","low","3","4","med","high","good"
"234","high","med","4","4","small","high","acc"
"235","vhigh","high","2","4","med","med","unacc"
"236","low","high","4","4","med","low","unacc"
"237","vhigh","vhigh","4","2","med","high","unacc"
"238","med","med","5more","2","med","med","unacc"
"239","low","med","2","2","small","high","unacc"
"240","low","med","2","2","small","low","unacc"
"241","vhigh","vhigh","4","4","small","high","unacc"
"242","low","vhigh","3","more","big","med","acc"
"243","high","vhigh","3","more","big","low","unacc"
"244","med","low","3","4","small","low","unacc"
"245","high","med","3","more","big","med","acc"
"246","vhigh","vhigh","4","4","small","low","unacc"
"247","high","med","4","more","med","med","acc"
"248","low","vhigh","4","2","med","low","unacc"
"249","vhigh","vhigh","5more","4","small","high","unacc"
"250","high","high","4","2","small","med","unacc"
"251","high","med","3","4","small","med","unacc"
"252","vhigh","med","2","more","small","low","unacc"
"253","vhigh","vhigh","5more","2","big","med","unacc"
"254","low","high","2","more","big","high","vgood"
"255","med","high","2","4","big","high","acc"
"256","low","low","2","2","med","med","unacc"
"257","high","high","5more","more","med","med","acc"
"258","high","vhigh","5more","4","med","low","unacc"
"259","vhigh","vhigh","5more","more","med","low","unacc"
"260","low","low","2","more","med","low","unacc"
"261","med","high","2","2","med","low","unacc"
"262","med","low","4","2","big","high","unacc"
"263","vhigh","low","4","4","big","low","unacc"
"264","vhigh","low","4","more","big","low","unacc"
"265","med","med","3","2","small","high","unacc"
"266","med","vhigh","4","2","small","low","unacc"
"267","vhigh","low","5more","2","med","low","unacc"
"268","high","med","4","2","med","low","unacc"
"269","vhigh","high","3","2","small","med","unacc"
"270","med","low","5more","4","med","med","good"
"271","high","med","5more","2","med","med","unacc"
"272","high","low","5more","4","big","low","unacc"
"273","low","vhigh","2","4","big","med","acc"
"274","vhigh","low","5more","4","med","low","unacc"
"275","vhigh","high","5more","more","big","med","unacc"
"276","low","low","3","4","med","low","unacc"
"277","vhigh","med","4","4","med","high","acc"
"278","low","vhigh","3","4","med","med","unacc"
"279","low","med","2","more","big","high","vgood"
"280","med","high","5more","2","small","low","unacc"
"281","high","high","5more","4","big","high","acc"
"282","vhigh","low","2","2","big","high","unacc"
"283","med","med","2","2","med","high","unacc"
"284","high","low","4","more","small","low","unacc"
"285","high","vhigh","3","4","small","low","unacc"
"286","low","vhigh","3","4","small","low","unacc"
"287","high","med","5more","more","med","med","acc"
"288","low","high","5more","2","small","low","unacc"
"289","high","low","3","2","med","med","unacc"
"290","high","vhigh","5more","4","small","low","unacc"
"291","med","med","2","4","big","med","acc"
"292","high","low","5more","4","big","med","acc"
"293","low","low","3","more","small","low","unacc"
"294","high","low","5more","more","med","med","acc"
"295","med","high","5more","4","med","low","unacc"
"296","low","med","5more","more","med","high","vgood"
"297","low","high","5more","4","med","high","vgood"
"298","high","high","4","2","small","low","unacc"
"299","med","low","3","2","big","low","unacc"
"300","vhigh","low","4","2","small","low","unacc"
"301","low","high","4","4","small","low","unacc"
"302","low","med","5more","2","big","med","unacc"
"303","high","med","3","4","small","high","acc"
"304","high","med","5more","more","med","high","acc"
"305","vhigh","low","5more","2","small","high","unacc"
"306","med","vhigh","2","4","big","high","acc"
"307","med","low","3","2","small","med","unacc"
"308","high","high","5more","2","med","low","unacc"
"309","high","low","5more","2","med","med","unacc"
"310","vhigh","vhigh","5more","more","big","low","unacc"
"311","med","low","3","4","big","med","good"
"312","high","high","2","more","big","low","unacc"
"313","high","low","5more","4","med","med","acc"
"314","low","med","4","more","big","med","good"
"315","low","high","4","more","med","low","unacc"
"316","low","low","5more","2","med","med","unacc"
"317","high","low","2","4","big","med","acc"
"318","high","low","5more","4","med","high","acc"
"319","high","med","4","4","med","high","acc"
"320","low","med","4","4","med","low","unacc"
"321","high","low","4","2","big","med","unacc"
"322","vhigh","med","3","more","small","med","unacc"
"323","high","vhigh","4","more","small","high","unacc"
"324","low","high","3","more","med","low","unacc"
"325","low","low","4","2","small","high","unacc"
"326","vhigh","med","2","more","big","high","acc"
"327","low","vhigh","4","2","big","high","unacc"
"328","med","high","2","more","big","high","acc"
"329","med","vhigh","3","2","big","high","unacc"
"330","med","high","3","more","big","high","acc"
"331","low","vhigh","2","more","big","med","acc"
"332","low","high","4","2","med","med","unacc"
"333","low","high","2","more","med","low","unacc"
"334","low","high","3","4","big","high","vgood"
"335","med","vhigh","5more","more","med","low","unacc"
"336","low","vhigh","5more","4","med","med","acc"
"337","low","low","4","more","big","low","unacc"
"338","vhigh","vhigh","4","4","small","med","unacc"
"339","low","med","2","4","big","med","good"
"340","med","high","4","2","small","med","unacc"
"341","low","med","2","more","med","med","acc"
"342","med","vhigh","3","2","small","med","unacc"
"343","vhigh","vhigh","5more","more","med","med","unacc"
"344","low","med","5more","more","med","med","good"
"345","med","med","2","4","small","high","acc"
"346","low","high","5more","2","big","high","unacc"
