"","X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area"
"94",3,4,"nov","sun",90.2,239,732.2,7.3,17,60,5.2,0,3.2
"95",6,4,"feb","sat",84.3,8.6,81.8,2.7,4.7,30,2.9,0,0
"96",8,4,"jul","fri",94.7,141.3,601.4,15.5,26.5,26,3.8,0,1.56
"97",2,4,"nov","fri",89.7,275,855,6.8,16.1,60,3,0.1,0
"98",5,4,"nov","fri",95.3,154.9,640.9,14.9,31.7,37,4.7,0,1.12
"99",6,4,"nov","mon",95.1,138.6,648.4,12.2,29.1,31,5.2,0,0
"100",8,4,"nov","sat",95.1,209.4,649.8,14.8,29.1,28,4.2,0,11.06
"101",8,6,"nov","fri",94.5,137.6,585.7,13.8,23.1,32,4.2,0,1.9
"102",2,4,"nov","wed",95.8,145,676.1,16.1,28.5,26,5.9,0.1,0.9
"103",2,4,"nov","wed",94.2,141.7,512,16.2,28.5,32,3.8,0,2.44
"104",4,4,"mar","fri",92.2,115.3,751.5,8.9,22.2,36,2.5,0.1,0.43
