"","buying","maint","doors","persons","lug_boot","safety","class"
"56","med","low","3","2","small","med","good"
"57","low","low","3","4","small","low","unacc"
"58","vhigh","vhigh","3","2","small","low","good"
"59","med","low","3","4","small","high","unacc"
"60","low","low","3","2","small","low","acc"
"61","low","vhigh","3","2","small","med","unacc"
"62","med","vhigh","3","more","small","med","unacc"
"63","vhigh","vhigh","3","2","small","med","unacc"
"64","low","low","2","2","small","med","acc"
"65","med","low","2","2","small","low","unacc"
"66","med","vhigh","3","2","small","med","unacc"
"67","med","low","3","4","small","high","unacc"
"68","low","low","2","2","small","low","unacc"
"69","vhigh","vhigh","3","2","small","low","unacc"
"70","med","low","3","4","small","high","acc"
"71","low","vhigh","2","4","med","low","vgood"
"72","low","vhigh","5more","2","small","med","unacc"
"73","med","low","3","more","small","med","unacc"
"74","high","low","3","2","small","med","unacc"
"75","med","low","3","4","small","high","vgood"
"76","low","low","3","more","small","med","vgood"
"77","low","low","3","2","small","low","unacc"
"78","med","low","3","2","small","med","unacc"
"79","low","high","2","4","small","low","acc"
"80","high","vhigh","4","4","med","low","good"
"81","med","low","3","4","small","high","acc"
"82","low","low","3","4","small","high","good"
"83","low","vhigh","3","2","small","high","unacc"
"84","low","vhigh","3","2","small","med","vgood"
"85","vhigh","low","3","4","small","low","unacc"
"86","med","vhigh","3","2","small","med","unacc"
"87","vhigh","vhigh","5more","2","small","med","unacc"
"88","med","high","3","4","small","high","acc"
"89","med","low","3","more","small","med","acc"
"90","low","low","3","4","small","low","unacc"
"91","med","vhigh","3","2","small","med","acc"
"92","med","low","3","4","small","high","acc"
"93","low","low","3","2","small","low","unacc"
"94","med","low","5more","more","big","med","unacc"
"95","low","low","3","4","small","high","unacc"
"96","low","low","4","4","small","low","good"
"97","med","low","5more","4","big","med","good"
"98","low","vhigh","5more","2","small","med","acc"
"99","low","low","3","4","small","low","good"
"100","med","vhigh","3","more","small","low","unacc"
"101","low","low","3","more","small","med","acc"
"102","med","low","3","more","small","med","acc"
"103","high","vhigh","2","4","med","low","unacc"
"104","low","low","4","2","small","low","acc"
"105","low","low","3","more","small","med","acc"
"106","med","low","2","2","small","low","good"
"107","low","low","3","4","small","high","vgood"
"108","low","vhigh","3","2","small","high","good"
"109","med","vhigh","3","4","med","high","acc"
"110","vhigh","vhigh","5more","2","small","med","unacc"
"111","low","low","3","4","small","med","good"
"112","med","low","3","4","small","high","unacc"
"113","med","low","3","more","small","med","unacc"
"114","low","vhigh","3","2","small","med","unacc"
"115","med","low","3","2","small","med","unacc"
"116","med","low","5more","more","small","med","good"
"117","low","vhigh","5more","2","small","med","acc"
"118","low","vhigh","3","2","small","low","unacc"
"119","med","vhigh","4","4","med","low","acc"
"120","med","low","3","4","small","high","unacc"
"121","med","low","5more","more","small","med","acc"
"122","low","low","3","more","big","med","good"
"123","low","low","3","4","small","low","acc"
"124","med","low","3","more","small","med","unacc"
"125","low","vhigh","3","2","small","med","unacc"
"126","med","vhigh","3","more","small","low","good"
"127","low","low","5more","more","small","med","good"
"128","low","low","2","2","small","low","acc"
"129","med","vhigh","3","2","small","med","unacc"
"130","low","low","3","2","small","low","unacc"
"131","low","low","3","more","small","med","acc"
"132","vhigh","vhigh","5more","2","small","med","unacc"
"133","low","low","3","2","small","low","good"
"134","med","low","5more","4","med","high","vgood"
"135","low","low","3","4","small","high","unacc"
"136","low","vhigh","3","2","small","low","acc"
"137","med","vhigh","3","2","small","med","unacc"
"138","low","vhigh","3","2","small","low","unacc"
"139","low","low","3","4","big","med","acc"
"140","low","vhigh","3","2","small","med","unacc"
"141","low","low","3","2","small","low","unacc"
"142","med","low","3","4","small","high","unacc"
"143","med","low","5more","4","small","high","good"
"144","med","low","3","4","small","high","acc"
"145","low","low","2","4","small","low","acc"
"146","low","low","3","4","small","low","acc"
"147","med","vhigh","2","4","med","low","unacc"
"148","vhigh","low","3","4","small","low","vgood"
"149","low","vhigh","5more","2","small","med","acc"
"150","low","vhigh","3","2","small","low","unacc"
"151","med","low","5more","4","small","high","acc"
"152","low","vhigh","3","2","small","low","unacc"
"153","low","vhigh","3","2","small","med","unacc"
"154","med","low","3","more","small","med","good"
"155","low","low","3","2","small","low","unacc"
"156","low","vhigh","2","4","med","low","acc"
"157","med","low","3","2","small","med","unacc"
"158","med","vhigh","3","2","big","low","acc"
"159","low","low","3","4","small","high","unacc"
"160","low","low","3","4","small","med","unacc"
"161","low","vhigh","3","2","small","med","unacc"
"162","med","low","3","more","small","med","vgood"
"163","med","vhigh","3","2","small","med","unacc"
"164","med","vhigh","3","2","small","med","unacc"
"165","med","vhigh","3","more","small","low","acc"
"166","low","low","3","more","med","low","unacc"
"167","low","low","4","2","small","low","acc"
"168","med","low","3","more","small","med","unacc"
"169","med","vhigh","3","2","small","med","unacc"
"170","med","vhigh","3","2","small","med","unacc"
"171","med","vhigh","3","2","small","med","unacc"
"172","low","low","3","4","big","low","unacc"
"173","vhigh","low","3","4","small","low","unacc"
"174","low","vhigh","3","2","small","med","unacc"
"175","med","vhigh","4","4","med","low","good"
"176","low","low","4","4","big","low","unacc"
"177","med","low","3","4","big","med","unacc"
"178","med","med","3","4","small","low","acc"
"179","low","low","3","2","small","low","unacc"
"180","low","vhigh","3","2","small","med","unacc"
"181","med","low","3","4","small","high","good"
"182","vhigh","low","3","more","small","low","unacc"
"183","med","low","3","4","small","high","acc"
"184","med","low","3","more","small","med","acc"
"185","med","low","3","4","small","high","vgood"
"186","low","vhigh","5more","2","small","med","unacc"
"187","med","vhigh","3","2","big","med","acc"
"188","low","low","3","4","small","high","good"
"189","med","low","2","2","small","low","unacc"
"190","low","low","3","more","small","med","unacc"
"191","vhigh","vhigh","3","2","small","med","unacc"
"192","med","low","3","more","big","high","acc"
"193","vhigh","high","3","more","small","low","acc"
"194","med","low","5more","4","med","high","acc"
"195","med","vhigh","3","4","small","low","unacc"
"196","med","low","3","4","big","med","unacc"
"197","low","low","3","4","small","low","acc"
"198","low","low","3","more","big","high","acc"
"199","med","low","3","4","small","high","unacc"
"200","low","low","2","4","big","low","good"
"201","low","vhigh","5more","2","small","med","unacc"
"202","med","vhigh","4","4","small","low","unacc"
"203","low","vhigh","3","more","small","med","good"
"204","med","low","3","4","small","high","acc"
"205","med","low","3","more","small","med","acc"
"206","med","low","3","4","small","med","unacc"
"207","med","low","3","more","small","med","unacc"
"208","low","vhigh","3","2","small","low","unacc"
"209","med","med","5more","more","small","low","unacc"
"210","low","low","3","4","med","med","unacc"
"211","low","vhigh","3","2","med","med","unacc"
"212","low","low","4","4","small","med","acc"
"213","med","low","3","more","big","high","acc"
"214","med","low","3","more","big","med","unacc"
"215","med","vhigh","3","2","small","med","unacc"
"216","low","vhigh","3","2","small","med","unacc"
"217","med","low","5more","4","small","high","acc"
"218","med","vhigh","3","2","small","med","acc"
"219","med","low","3","2","small","low","acc"
"220","med","low","3","more","small","med","acc"
"221","low","high","2","2","small","low","acc"
"222","low","low","4","4","small","high","acc"
"223","low","vhigh","5more","2","small","med","unacc"
"224","med","low","3","2","small","med","acc"
"225","low","low","3","4","small","med","unacc"
"226","med","vhigh","3","2","small","med","acc"
"227","low","low","3","more","small","med","acc"
"228","low","vhigh","3","2","med","high","good"
"229","low","low","3","2","small","low","unacc"
"230","med","low","3","more","small","med","acc"
"231","med","low","2","2","small","low","good"
"232","med","low","3","more","small","med","unacc"
"233","med","low","5more","more","big","med","vgood"
"234","low","low","4","4","big","med","unacc"
"235","med","low","3","more","small","med","unacc"
"236","med","vhigh","4","4","med","low","vgood"
"237","med","low","3","2","small","med","unacc"
"238","low","vhigh","5more","2","small","med","good"
"239","low","vhigh","3","2","small","med","unacc"
"240","low","low","3","2","small","low","unacc"
"241","med","low","3","4","small","high","unacc"
"242","med","vhigh","5more","4","small","high","unacc"
"243","low","vhigh","3","4","med","low","good"
"244","low","low","4","more","small","low","acc"
"245","med","low","5more","more","big","med","unacc"
"246","low","low","3","4","small","low","unacc"
"247","low","low","3","more","small","med","acc"
"248","low","low","3","2","small","low","unacc"
"249","med","low","3","more","small","med","acc"
"250","med","vhigh","3","2","small","med","unacc"
"251","med","low","3","more","small","med","vgood"
"252","med","med","2","4","med","low","unacc"
"253","low","vhigh","3","2","small","med","acc"
"254","low","low","3","4","small","high","acc"
"255","med","low","3","4","small","high","acc"
"256","med","vhigh","3","2","small","med","unacc"
"257","low","low","5more","more","small","med","acc"
"258","low","high","2","4","small","low","unacc"
"259","low","vhigh","3","4","small","low","unacc"
"260","med","low","2","4","med","low","good"
"261","low","low","3","2","small","low","unacc"
"262","low","vhigh","5more","2","small","med","unacc"
"263","med","low","3","4","big","low","vgood"
"264","high","vhigh","4","4","small","low","unacc"
"265","med","low","3","2","small","med","unacc"
"266","low","low","3","2","small","low","good"
"267","med","high","2","2","small","low","unacc"
"268","vhigh","vhigh","3","2","small","low","acc"
"269","low","vhigh","3","2","small","med","acc"
"270","low","low","5more","4","small","high","acc"
"271","low","vhigh","3","2","small","high","acc"
"272","low","low","4","4","small","low","acc"
"273","low","low","5more","more","small","med","acc"
"274","low","low","3","4","big","low","acc"
"275","med","low","3","more","small","med","good"
"276","low","vhigh","4","more","small","low","acc"
"277","med","low","3","4","small","high","good"
"278","med","low","3","more","small","med","unacc"
"279","low","low","3","4","small","high","unacc"
"280","low","vhigh","3","2","small","low","acc"
"281","low","low","3","4","small","high","good"
"282","med","vhigh","3","2","small","med","unacc"
"283","med","vhigh","3","2","small","med","unacc"
"284","low","low","3","4","small","low","acc"
"285","low","vhigh","2","4","med","low","unacc"
"286","low","low","2","4","big","low","acc"
"287","low","low","4","4","small","med","acc"
"288","low","low","3","2","small","low","unacc"
"289","med","vhigh","3","2","small","med","unacc"
"290","low","low","2","4","small","low","acc"
"291","low","low","3","more","small","med","unacc"
"292","med","vhigh","5more","4","small","high","good"
"293","med","vhigh","3","more","small","low","acc"
"294","low","low","3","4","small","high","unacc"
"295","med","vhigh","4","4","med","low","acc"
"296","low","low","3","more","small","med","acc"
"297","low","low","3","4","small","high","unacc"
"298","low","low","3","2","small","low","unacc"
"299","vhigh","vhigh","3","2","small","low","acc"
"300","low","vhigh","3","2","small","low","unacc"
"301","med","vhigh","4","more","small","low","good"
"302","med","vhigh","3","2","small","med","unacc"
"303","low","low","3","4","small","high","unacc"
"304","med","low","3","4","big","med","acc"
"305","low","vhigh","3","2","small","med","unacc"
"306","low","low","3","4","small","high","unacc"
"307","low","vhigh","5more","2","small","high","unacc"
"308","med","low","2","2","small","low","unacc"
"309","low","vhigh","3","2","small","med","unacc"
"310","vhigh","low","2","4","small","low","vgood"
"311","med","low","4","more","small","high","good"
"312","low","low","4","4","small","low","unacc"
"313","low","low","4","4","big","med","acc"
"314","med","low","5more","4","small","high","good"
"315","vhigh","high","3","4","small","low","good"
"316","med","vhigh","3","2","med","med","unacc"
"317","low","low","3","more","small","med","acc"
"318","med","vhigh","5more","4","small","high","unacc"
"319","med","low","3","4","small","med","unacc"
"320","low","low","3","more","big","low","unacc"
"321","low","vhigh","5more","2","small","med","acc"
"322","med","low","3","more","small","med","acc"
"323","med","low","3","2","small","med","unacc"
"324","low","low","3","4","small","low","vgood"
"325","low","vhigh","3","2","small","high","acc"
"326","med","low","3","4","big","med","acc"
"327","low","vhigh","5more","2","small","med","unacc"
"328","med","low","5more","4","small","high","acc"
"329","low","vhigh","5more","2","small","med","unacc"
"330","med","low","3","4","small","high","acc"
"331","low","vhigh","3","more","small","high","acc"
"332","low","vhigh","3","2","small","high","unacc"
"333","med","med","5more","more","small","low","acc"
"334","low","low","3","4","small","high","good"
"335","vhigh","high","3","4","small","low","unacc"
"336","low","low","3","more","small","med","vgood"
"337","vhigh","low","3","4","small","low","acc"
"338","med","low","3","more","small","med","unacc"
"339","low","low","3","more","small","med","acc"
"340","low","vhigh","5more","2","small","high","unacc"
"341","low","low","3","4","small","med","good"
"342","low","vhigh","5more","2","small","med","acc"
"343","med","low","3","more","small","med","unacc"
"344","med","low","3","4","small","high","unacc"
"345","low","low","3","4","small","med","unacc"
"346","med","vhigh","3","2","small","med","unacc"
