"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"47","GP","F",16,"U","GT3","T","3","3","health","services","reputation","other","1","2","0","no","yes","no","no","yes","yes","yes","no","2","2","2","1","1","2",2,14,17,14
"48","GP","F",17,"U","GT3","A","1","1","at_home","services","home","other","1","2","0","no","no","no","no","yes","yes","yes","yes","4","2","4","2","2","2",16,12,12,13
"49","GP","M",15,"U","GT3","T","3","3","teacher","teacher","course","other","1","2","0","no","yes","no","yes","yes","yes","yes","no","4","2","2","1","2","4",1,10,10,11
"50","MS","F",16,"U","GT3","T","1","0","at_home","services","course","other","2","2","1","no","yes","no","no","yes","yes","no","yes","1","2","1","1","2","2",9,6,7,8
"51","GP","M",15,"U","GT3","T","3","3","teacher","teacher","reputation","other","1","2","0","no","yes","no","yes","yes","yes","yes","no","4","4","2","1","2","4",4,14,14,12
"52","GP","F",16,"U","LE3","T","3","2","at_home","teacher","home","other","1","2","0","no","no","no","no","yes","yes","yes","no","4","2","4","2","2","1",0,14,15,13
"53","GP","F",16,"U","GT3","T","1","1","at_home","teacher","course","other","1","2","0","yes","no","no","no","no","yes","yes","yes","2","2","2","1","1","4",4,10,8,10
"54","GP","F",16,"U","GT3","T","1","2","at_home","services","course","father","1","1","2","no","yes","yes","no","no","yes","yes","yes","1","2","2","1","2","2",21,8,6,10
"55","GP","F",18,"U","GT3","T","3","1","at_home","services","course","other","1","1","2","no","yes","no","no","no","no","yes","yes","2","2","2","2","4","4",19,6,8,8
"56","GP","F",16,"U","GT3","T","3","3","at_home","teacher","other","other","1","2","0","yes","yes","no","no","yes","yes","yes","yes","4","2","1","1","1","4",3,10,8,8
"57","GP","F",16,"U","LE3","T","1","1","at_home","teacher","reputation","other","2","4","0","no","no","no","yes","yes","yes","yes","no","4","2","2","1","1","4",1,14,14,15
"58","GP","M",18,"U","GT3","T","1","1","services","services","course","other","1","1","1","no","no","no","no","yes","no","yes","no","4","4","4","2","4","4",7,6,8,0
"59","GP","F",18,"U","GT3","T","1","0","at_home","teacher","course","other","1","1","2","no","no","no","no","no","no","yes","no","2","2","3","1","2","4",11,6,7,11
"60","GP","F",18,"U","GT3","T","1","1","at_home","teacher","home","other","1","2","0","no","no","no","no","yes","yes","yes","yes","4","2","2","1","2","1",0,14,14,14
"61","GP","F",18,"U","GT3","T","1","3","at_home","services","home","other","1","2","1","no","no","no","no","yes","yes","yes","no","2","2","4","2","4","4",13,10,8,11
"62","GP","F",15,"U","GT3","T","1","1","at_home","teacher","course","other","1","2","0","yes","yes","no","no","yes","yes","yes","no","4","2","2","1","1","4",1,10,8,17
"63","GP","F",18,"U","GT3","T","3","2","at_home","services","reputation","other","2","2","0","no","no","no","no","yes","yes","yes","no","4","2","2","1","2","2",0,14,16,14
"64","GP","F",16,"U","GT3","T","1","1","at_home","services","home","other","1","2","0","no","yes","no","no","yes","yes","yes","yes","4","2","4","2","2","2",19,12,12,14
"65","GP","F",16,"U","GT3","A","1","2","at_home","services","home","other","1","2","0","no","yes","no","no","yes","yes","yes","no","4","2","4","2","2","4",2,12,12,13
"66","GP","F",18,"U","LE3","T","3","1","teacher","health","reputation","other","1","2","0","no","yes","no","no","yes","yes","yes","no","2","2","2","1","2","2",1,15,15,15
"67","GP","F",18,"U","GT3","T","3","1","other","teacher","reputation","other","2","3","0","no","no","no","no","yes","yes","yes","no","4","2","2","1","2","2",1,14,16,15
"68","GP","M",16,"U","GT3","T","3","3","health","teacher","reputation","other","1","2","0","no","yes","no","yes","yes","yes","yes","no","4","4","2","1","2","4",0,15,17,18
"69","GP","M",15,"U","LE3","T","3","3","teacher","teacher","course","other","1","2","0","no","yes","yes","yes","yes","yes","yes","no","4","2","4","1","2","2",4,12,12,13
"70","GP","M",16,"U","GT3","T","3","0","services","services","home","other","1","1","1","no","no","no","no","no","no","yes","no","4","4","4","3","4","4",3,8,6,8
"71","GP","M",16,"U","LE3","T","3","3","teacher","health","reputation","other","1","2","0","no","yes","no","yes","yes","yes","yes","no","4","4","2","2","2","4",0,16,16,14
"72","GP","F",18,"R","LE3","T","1","1","at_home","teacher","reputation","other","2","2","0","no","yes","no","no","yes","yes","yes","no","4","2","2","1","2","2",3,15,18,15
"73","MS","F",16,"U","GT3","A","1","1","at_home","teacher","course","other","2","2","1","no","no","no","no","no","yes","no","yes","1","2","1","1","1","2",2,6,8,16
"74","GP","F",16,"U","GT3","T","1","1","at_home","teacher","home","other","1","2","0","no","no","no","no","yes","yes","yes","yes","4","2","2","1","2","2",2,12,14,13
"75","GP","F",17,"U","GT3","T","3","3","at_home","teacher","reputation","other","2","2","0","no","yes","no","yes","yes","yes","yes","no","4","2","2","1","1","4",0,16,16,13
"76","GP","F",17,"U","LE3","T","3","2","at_home","teacher","reputation","other","2","2","0","no","yes","no","no","yes","yes","yes","no","4","2","2","1","1","4",1,14,17,15
"77","GP","F",16,"U","GT3","T","1","1","at_home","services","reputation","other","2","4","0","no","yes","no","no","yes","yes","yes","no","4","2","2","1","1","2",0,15,16,15
"78","GP","M",16,"U","GT3","T","1","1","at_home","teacher","course","other","2","1","0","no","no","yes","yes","no","yes","yes","no","4","4","4","2","4","4",4,10,10,7
"79","MS","F",16,"U","GT3","T","3","3","teacher","teacher","reputation","other","2","2","0","no","yes","no","yes","yes","yes","yes","no","4","2","2","1","2","2",2,14,17,14
"80","GP","F",17,"U","GT3","T","1","1","other","teacher","home","other","1","2","0","no","yes","no","no","yes","yes","yes","yes","4","2","2","1","1","4",4,12,12,14
"81","GP","F",15,"U","GT3","T","3","3","at_home","teacher","course","other","1","2","0","yes","yes","no","yes","yes","yes","yes","no","4","2","2","1","1","4",3,10,10,11
"82","GP","M",16,"U","GT3","T","1","1","at_home","services","course","other","2","1","1","no","no","no","no","yes","no","yes","no","4","4","4","2","4","4",11,6,8,11
"83","GP","F",17,"U","GT3","T","3","3","health","services","home","other","1","2","0","no","no","no","no","yes","yes","yes","no","4","2","2","2","2","2",3,16,17,13
"84","MS","M",18,"U","GT3","T","1","2","at_home","teacher","course","father","1","1","2","no","yes","no","no","yes","no","yes","yes","4","4","4","2","4","2",11,6,7,12
"85","GP","F",16,"U","GT3","T","3","3","teacher","teacher","reputation","other","1","2","0","no","yes","no","yes","yes","yes","yes","no","4","2","2","1","1","2",2,14,17,12
"86","GP","F",16,"U","GT3","T","3","1","at_home","services","reputation","other","2","2","0","no","yes","no","no","yes","yes","yes","no","4","2","2","1","1","4",0,15,16,15
"87","MS","F",16,"R","GT3","T","1","1","at_home","services","course","other","2","2","1","no","no","no","no","yes","yes","no","yes","1","2","2","1","1","2",2,8,6,10
"88","GP","F",16,"U","GT3","T","3","2","at_home","services","reputation","other","1","2","0","no","yes","no","no","yes","yes","no","no","4","2","2","1","2","2",0,17,16,10
"89","MS","F",18,"R","GT3","T","1","1","at_home","teacher","course","other","2","1","1","no","yes","no","no","yes","no","yes","yes","4","4","2","1","2","2",3,8,6,11
"90","GP","M",16,"U","GT3","T","3","3","teacher","teacher","reputation","other","1","2","0","no","yes","no","yes","yes","yes","yes","no","4","4","4","1","2","4",0,16,17,17
"91","MS","F",18,"R","GT3","T","1","1","at_home","teacher","course","other","2","2","1","no","yes","no","no","yes","yes","no","yes","4","2","1","1","2","2",3,6,6,9
"92","MS","M",16,"R","LE3","T","1","1","at_home","teacher","course","other","2","1","1","no","yes","no","yes","yes","yes","yes","no","4","2","4","2","4","4",8,10,10,8
"93","MS","F",16,"R","GT3","T","1","1","at_home","teacher","course","mother","2","2","0","no","yes","no","no","yes","yes","no","no","4","2","2","1","2","1",2,15,16,13
"94","MS","M",16,"U","LE3","T","0","1","at_home","teacher","course","other","2","1","0","no","no","no","yes","yes","no","yes","no","4","4","4","2","4","4",4,10,10,11
"95","MS","F",18,"U","GT3","T","1","1","at_home","services","course","other","1","1","2","no","no","no","no","yes","no","no","yes","1","2","1","2","2","2",11,6,7,0
"96","MS","F",16,"R","GT3","T","1","1","at_home","teacher","course","other","2","2","0","no","yes","no","no","yes","yes","no","no","4","4","4","1","2","4",2,6,8,12
"97","MS","F",16,"R","GT3","T","1","0","at_home","teacher","home","other","2","2","0","no","yes","no","no","yes","yes","yes","no","4","2","4","1","1","2",0,12,12,0
"98","GP","F",16,"U","GT3","T","1","1","at_home","services","reputation","other","2","4","0","no","yes","no","no","yes","yes","no","no","4","2","2","1","2","2",0,15,15,11
"99","MS","F",18,"R","LE3","T","1","0","at_home","teacher","course","father","2","1","1","no","yes","no","no","yes","no","yes","yes","4","4","2","1","2","4",1,6,6,10
"100","MS","F",18,"R","LE3","T","1","1","at_home","services","course","other","2","1","1","no","yes","no","yes","yes","no","yes","yes","1","2","2","2","1","4",3,8,6,0
"101","MS","F",18,"U","GT3","A","1","1","at_home","services","course","other","2","2","1","no","yes","no","no","yes","yes","no","yes","1","2","2","1","2","4",3,6,6,9
"102","MS","F",18,"R","GT3","T","1","0","at_home","teacher","course","other","2","2","1","no","yes","no","no","no","yes","yes","yes","4","2","2","1","1","4",3,6,6,9
"103","GP","F",16,"U","GT3","T","3","3","teacher","teacher","home","other","1","2","0","no","no","no","yes","yes","yes","yes","no","4","4","4","1","2","4",0,14,14,18
"104","GP","M",16,"U","LE3","T","3","3","teacher","teacher","home","other","1","2","0","no","yes","no","no","yes","yes","yes","no","4","4","4","1","4","4",2,12,12,11
"105","MS","F",16,"R","GT3","A","1","1","at_home","teacher","course","other","2","2","1","no","yes","no","no","yes","yes","no","yes","4","2","2","1","1","2",3,6,6,9
"106","MS","M",18,"U","GT3","T","3","3","at_home","services","course","other","2","2","1","no","yes","no","yes","yes","yes","yes","yes","4","2","2","2","4","2",9,6,8,8
"107","GP","M",16,"U","LE3","T","3","3","teacher","teacher","course","mother","1","2","0","no","yes","yes","yes","yes","yes","yes","yes","4","4","4","2","4","4",0,12,12,16
"108","MS","M",16,"R","LE3","T","1","1","at_home","services","course","other","2","1","0","no","yes","no","no","yes","yes","no","no","4","4","4","2","4","5",1,10,10,10
"109","MS","F",16,"R","GT3","T","1","1","at_home","teacher","course","other","2","2","0","yes","yes","no","no","yes","yes","no","no","1","2","2","1","2","2",1,10,10,9
"110","GP","M",18,"U","LE3","T","3","3","teacher","teacher","reputation","other","1","2","0","no","yes","no","yes","yes","yes","yes","no","4","4","2","1","2","2",1,16,16,17
"111","GP","F",16,"U","GT3","T","1","1","at_home","teacher","home","other","1","2","0","no","no","no","no","yes","yes","yes","yes","4","2","4","1","1","2",2,12,12,11
"112","MS","F",16,"U","GT3","T","1","1","at_home","services","course","other","2","2","0","no","yes","no","no","yes","yes","no","no","2","3","2","1","1","2",3,6,7,11
"113","GP","M",18,"R","LE3","T","2","1","services","teacher","course","mother","2","1","2","no","yes","no","no","no","no","yes","no","4","4","2","2","4","4",9,6,6,7
"114","MS","M",18,"R","LE3","T","1","1","at_home","teacher","course","other","2","1","1","no","yes","no","yes","yes","no","yes","yes","4","4","4","1","2","2",4,4,6,7
"115","MS","F",16,"R","LE3","T","1","1","at_home","teacher","course","other","2","1","0","no","yes","no","no","yes","yes","yes","no","4","4","4","1","2","4",2,10,10,9
"116","MS","F",16,"U","GT3","T","1","1","at_home","services","course","other","2","2","0","no","yes","no","no","yes","yes","yes","no","1","2","2","1","1","2",3,6,7,8
"117","MS","F",18,"U","GT3","T","1","1","at_home","teacher","course","father","1","1","3","no","yes","yes","yes","no","no","yes","yes","4","2","2","1","1","2",11,6,6,11
"118","GP","M",15,"U","LE3","T","3","3","teacher","teacher","reputation","other","1","2","0","no","yes","no","yes","yes","yes","yes","no","4","4","4","1","1","4",4,12,12,15
"119","GP","F",16,"R","LE3","T","3","1","at_home","services","reputation","other","1","2","0","no","yes","no","yes","yes","yes","yes","no","4","2","2","1","1","2",1,17,17,18
"120","MS","F",16,"R","GT3","T","1","0","at_home","services","course","other","2","2","1","no","yes","no","no","yes","no","yes","no","4","2","2","1","2","4",1,8,10,9
"121","GP","F",16,"R","GT3","T","1","1","services","services","reputation","other","2","2","0","no","yes","no","no","yes","yes","yes","no","4","2","2","1","2","4",0,14,16,16
"122","GP","F",16,"U","GT3","T","1","1","at_home","teacher","home","other","1","2","0","no","no","no","no","yes","yes","yes","yes","4","2","2","1","2","2",0,14,14,12
"123","MS","F",16,"U","GT3","T","1","1","at_home","services","reputation","other","2","2","0","no","yes","no","yes","yes","yes","yes","yes","4","2","2","1","2","2",0,16,16,16
"124","MS","F",16,"R","GT3","T","1","0","at_home","teacher","course","other","2","2","0","no","yes","no","no","yes","yes","yes","no","4","2","2","1","2","1",0,12,16,15
"125","MS","M",17,"R","LE3","T","1","1","at_home","teacher","course","other","2","1","0","no","yes","no","yes","yes","yes","yes","no","4","4","4","2","4","4",3,10,10,8
"126","MS","F",18,"U","GT3","T","1","1","at_home","services","course","other","2","2","1","no","yes","no","no","yes","yes","no","yes","4","2","1","1","2","4",2,6,6,8
"127","GP","F",18,"R","LE3","T","3","3","teacher","teacher","reputation","other","1","2","0","no","yes","no","yes","yes","yes","yes","no","4","2","2","1","2","1",2,18,18,18
"128","MS","F",18,"R","GT3","T","1","1","at_home","teacher","course","other","2","2","3","no","yes","no","no","yes","no","yes","yes","4","4","2","1","2","2",2,6,8,10
"129","MS","F",16,"U","GT3","T","1","1","at_home","services","course","other","2","2","0","no","yes","no","no","yes","yes","no","yes","2","2","1","1","1","2",4,10,8,10
"130","GP","M",16,"R","GT3","T","1","1","at_home","teacher","course","other","1","1","0","no","no","no","no","no","yes","yes","no","4","4","4","2","4","4",1,10,10,10
