Method,x,mean,se,dataset
ae,1.42857142857143,0.85098278338638,0.0492145623922835,bc
vae,1.42857142857143,0.203714528095811,0.0303131332317295,bc
tvae,1.42857142857143,0.401543795403014,0.0193725749505867,bc
ttvae,1.42857142857143,0.611423735356045,0.0480599013941407,bc
aurf,1.25,0.698809593661992,0.00994731402547416,bc
pca,1.25,0,0,bc
ae,1.25,0.884771034017325,0.0449528075803575,bc
vae,1.25,0.205834668860187,0.0282838210988264,bc
tvae,1.25,0.396523256260799,0.0223936381185877,bc
ttvae,1.25,0.617850756218162,0.0293038938962997,bc
aurf,1.11111111111111,0.690690371767262,0.0112207258251591,bc
pca,1.11111111111111,0.0361542148576303,0,bc
ae,1.11111111111111,0.895808416461657,0.0443888782533677,bc
vae,1.11111111111111,0.215177360290402,0.0266206299838628,bc
tvae,1.11111111111111,0.399333295129184,0.0197625027773234,bc
ttvae,1.11111111111111,0.624084634938035,0.03578598874716,bc
aurf,1,0.693923971568459,0.0109750359488145,bc
pca,1,0.0914304866308779,0,bc
ae,1,0.891833937969503,0.0468267293824268,bc
vae,1,0.19710115522054,0.0402221679680569,bc
tvae,1,0.387762896398286,0.0209628732330553,bc
ttvae,1,0.631871171415755,0.0224983422096796,bc
aurf,10,0.556239917460058,0.00679673096613502,student
pca,10,0.394405594405594,0,student
ae,10,0.407240797890097,0.00343404594063507,student
vae,10,0.351755366222031,0.00217462262047453,student
tvae,10,0.565625932234187,0.0128638621077637,student
ttvae,10,0.552474491540803,0.0274734731029627,student
aurf,5,0.593286032198149,0.0051025009922352,student
pca,5,0.474581336579087,0,student
ae,5,0.415194127572934,0.0023436887887703,student
vae,5,0.351627365022438,0.00188613994015549,student
tvae,5,0.551153055440031,0.00696213142453327,student
ttvae,5,0.550008991006062,0.0257159506717834,student
aurf,3.33333333333333,0.611296701119267,0.00616946817934248,student
pca,3.33333333333333,0.522029729974416,0,student
ae,3.33333333333333,0.447888923449736,0.00323254781238998,student
vae,3.33333333333333,0.351087552018915,0.000867261021568759,student
tvae,3.33333333333333,0.555181064014531,0.00460866636504534,student
ttvae,3.33333333333333,0.527317004636383,0.025957271399859,student
aurf,2.5,0.619379133391082,0.00436718780773074,student
pca,2.5,0.541143949088635,0,student
ae,2.5,0.455886983816146,0.00661482609527362,student
vae,2.5,0.35031379222209,0.00116834577634867,student
tvae,2.5,0.550692993533005,0.00857966644731707,student
ttvae,2.5,0.539980142699094,0.0325296716048636,student
aurf,2,0.626386961619141,0.00494604050428927,student
pca,2,0.564453972398658,0,student
ae,2,0.481715044523323,0.00772611930426383,student
vae,2,0.351004616800383,0.00124140889076613,student
tvae,2,0.549630083111884,0.00884482920536951,student
ttvae,2,0.548935010291235,0.0290618435919416,student
aurf,1.66666666666667,0.633915500395212,0.00670691210248766,student
pca,1.66666666666667,0.598737051414104,0,student
ae,1.66666666666667,0.498731441621024,0.00839946789766564,student
vae,1.66666666666667,0.351328228248809,0.00105386754476278,student
tvae,1.66666666666667,0.545528342312787,0.00468272382174246,student
ttvae,1.66666666666667,0.520047919615973,0.0238072296570041,student
aurf,1.42857142857143,0.643721722619711,0.00487655592030774,student
pca,1.42857142857143,0.609692762369815,0,student
ae,1.42857142857143,0.508436546903953,0.00782496860113576,student
vae,1.42857142857143,0.350743523336797,0.00134906454209289,student
tvae,1.42857142857143,0.545042778106813,0.00528828702902847,student
ttvae,1.42857142857143,0.541882129570116,0.0277434737216038,student
aurf,1.25,0.648281085090798,0.00423204282888868,student
pca,1.25,0.628064358822721,0,student
ae,1.25,0.502560200630862,0.00810403402809213,student
vae,1.25,0.350748803661659,0.000684910765605974,student
tvae,1.25,0.546376136462607,0.00557342420296454,student
ttvae,1.25,0.52411207255019,0.025019796141004,student
aurf,1.11111111111111,0.648172037861665,0.00505861950933505,student
pca,1.11111111111111,0.642064210707829,0,student
ae,1.11111111111111,0.506732857617776,0.00947501628481244,student
vae,1.11111111111111,0.351148237985089,0.00131784790952771,student
tvae,1.11111111111111,0.543210508909855,0.00600552355939825,student
ttvae,1.11111111111111,0.527092476236384,0.0278125023656431,student
aurf,1,0.652601900315194,0.00378085070355684,student
pca,1,0.656516425160043,0,student
ae,1,0.528560982905755,0.0207486211705301,student
vae,1,0.350631070090487,0.000519470211219042,student
tvae,1,0.539531092902788,0.00581028419959745,student
ttvae,1,0.521996474503459,0.0271089948514087,student
