V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1467,707,437,1706,619,1514,1269,1312,1096,232
599,427,1001,666,1682,398,183,1530,824,1538
754,221,1232,883,807,1521,487,151,260,1038
1593,443,489,1432,855,1620,597,1150,293,1096
1665,1660,686,991,3,1530,1570,24,1508,782
425,61,173,723,343,1110,32,883,1559,1549
20,770,1443,107,1264,753,1432,392,896,490
570,641,1263,603,1635,594,801,235,726,293
371,1009,741,338,495,867,1317,1323,479,1336
1640,1333,340,309,784,30,875,1728,1065,924
216,1528,1500,893,193,910,108,496,548,945
573,57,1169,627,1169,1048,29,468,1006,841
1048,1715,811,1423,303,745,618,466,754,396
338,897,124,117,567,308,32,1121,528,989
1562,1087,25,260,1536,801,1582,1630,1210,847
883,421,1144,1027,509,1436,1264,1401,795,110
1522,1554,717,144,1144,391,1359,1231,480,566
218,63,345,1646,1454,877,171,603,63,46
1358,1046,715,277,1458,370,254,1409,1307,1213
1247,610,1353,777,511,1436,1221,1048,1283,504
909,683,1380,127,357,862,705,712,685,1678
785,37,892,1251,1140,891,770,558,295,1688
1687,956,806,1366,277,1197,474,615,1571,503
1465,912,1467,808,891,1498,1382,1714,1667,1304
1172,466,82,712,1512,727,586,283,499,337
1293,1219,691,489,1544,359,991,619,660,881
1036,1330,1285,645,715,1669,845,1528,1334,873
1644,1280,272,1422,1111,1225,1564,715,400,1098
1648,352,93,302,1436,1503,809,1304,397,1427
555,1508,687,252,1694,568,1333,965,532,942
17,512,323,523,680,738,42,212,665,305
1571,1370,355,1149,710,1565,470,943,1330,609
1122,1641,126,914,1220,1317,1314,1294,839,1695
8,380,595,1433,1654,798,125,983,988,213
848,446,1423,788,322,1343,1031,418,1517,1546
84,547,1137,727,1684,1273,537,563,967,1602
1569,918,1632,1592,1506,446,1311,540,683,1109
74,227,991,1715,646,273,1276,1089,30,834
775,1236,638,869,585,146,416,1297,1392,19
971,256,449,409,1633,952,1675,568,425,1567
1548,1250,931,1456,637,831,996,788,1369,1222
992,1355,736,417,155,516,715,1090,1632,330
659,1722,387,618,56,1045,287,1047,1728,1254
1250,116,1239,1452,1458,1091,746,1018,1458,699
190,978,343,1214,527,1255,70,859,1008,1677
1110,998,1063,340,221,1272,655,626,862,905
310,21,598,1300,863,1619,1673,1230,825,1212
415,685,791,58,1085,1565,881,148,210,306
743,1099,310,674,1557,1662,1070,1047,491,712
30,402,566,1381,1479,842,287,1098,225,291
824,447,923,1095,625,347,1013,434,140,527
1143,1207,1308,936,1664,603,1228,1112,1600,298
1255,1,1313,1671,756,381,1251,967,1146,95
417,594,1134,244,1281,1629,1187,1301,451,1182
807,1298,933,101,868,430,1255,1345,1475,178
1538,1461,1685,417,657,1583,1019,3,117,835
694,1680,1718,1396,1599,1656,1624,661,82,630
392,169,782,1338,1120,640,1069,875,485,499
979,323,746,660,1193,1240,1338,1598,43,406
1434,913,1138,900,190,1518,399,836,1350,817
1388,1431,1510,1183,1485,1506,397,340,294,1379
1090,190,1658,216,348,1539,1503,716,891,1318
838,1241,1031,597,102,1411,1011,497,522,1612
969,1219,79,225,1625,1181,613,1038,569,442
1035,586,845,698,1369,1630,1011,560,585,1528
620,90,1527,690,1002,1618,877,1039,472,606
633,1650,404,1396,1527,687,1093,1081,1104,580
1426,200,395,83,1567,279,688,1233,532,1179
1507,1381,342,470,747,1206,448,108,714,220
995,537,574,121,1540,57,896,1658,538,596
1243,1715,56,195,913,651,698,1213,1040,320
960,1448,599,938,1144,243,1713,895,1612,1182
419,675,1202,484,1292,754,603,866,902,1025
1283,1361,1619,800,771,880,492,449,823,1551
1258,488,1247,458,1586,217,1126,1402,1537,746
111,412,757,512,1468,692,526,1453,669,607
114,1123,1222,1627,1394,154,1653,962,804,1601
1634,969,593,542,1534,121,680,596,690,468
258,1484,1306,911,1366,464,1704,1294,1220,1458
774,672,561,875,1251,950,727,296,959,307
57,974,1329,1562,1092,473,1237,1565,1397,872
360,311,1028,933,769,1144,1167,695,1297,1416
487,886,282,342,886,1457,475,1447,748,1179
797,780,864,1629,1717,305,318,956,283,345
264,279,621,189,608,1053,245,1456,381,923
1691,110,713,863,1215,188,858,653,869,1664
1362,1643,796,11,482,1401,1236,248,570,1030
768,18,785,915,188,1010,1231,618,1273,830
911,875,1688,1019,1541,1112,97,1671,873,1368
1036,1541,1564,906,582,1555,1551,998,107,1038
1372,984,58,1645,306,1705,185,172,53,809
1288,1494,1504,595,1726,1527,779,1432,1696,151
600,912,346,1395,714,74,1101,1226,885,1150
1398,517,1694,1252,605,1061,244,1196,1120,84
723,140,1182,1540,438,540,1035,555,500,1085
476,612,533,675,75,946,58,1313,635,496
889,1586,1284,567,915,1031,822,335,867,1383
1529,1014,149,1475,1103,1069,21,1344,69,255
222,333,1528,75,260,971,1162,188,1353,716
1191,737,355,1521,524,289,1703,957,709,21
1172,1274,646,997,207,1582,225,93,1687,106
528,546,1346,691,806,1465,1709,1211,325,918
69,399,1369,79,1221,1311,438,1675,645,1389
1622,494,1343,904,308,1320,1137,304,766,1048
220,10,616,945,742,488,150,242,1673,1638
1004,674,321,1145,47,41,516,116,417,885
248,1602,123,656,226,120,970,1117,917,375
1383,278,1192,1317,80,1642,804,12,58,588
690,997,1469,1353,1363,1210,451,1141,670,1499
468,1467,336,381,1459,295,1128,622,1483,1594
129,444,749,1056,1281,353,972,787,130,231
612,1343,1056,1442,892,1527,1402,513,919,1451
1123,561,54,822,1511,772,1200,789,528,1392
1240,371,888,431,112,1537,359,705,573,1423
1463,1607,407,1384,401,1673,374,343,1159,403
398,1053,903,311,1708,606,197,1263,1215,1112
1485,368,1595,289,1482,394,607,267,961,77
1199,114,1657,1209,971,1337,839,1698,635,839
472,889,1185,921,1457,2,1444,926,1382,1010
304,1065,470,1369,571,1308,1476,58,356,1146
610,811,164,1039,620,1178,130,368,1563,1386
1049,243,697,1602,1113,284,1677,35,980,141
127,765,754,1668,1689,1674,1537,336,950,563
969,1188,961,678,1115,1460,824,210,841,1077
1294,1438,37,1723,1679,1063,63,1195,938,471
983,1426,1608,1503,49,408,1654,841,474,1470
339,581,900,1380,850,1340,1209,1216,874,1168
1607,1151,919,848,1405,285,558,28,1570,241
1073,522,1062,1716,1404,186,399,787,885,255
26,1114,621,1104,349,1641,1656,216,41,897
513,5,332,991,1564,1690,1141,1482,381,1351
394,1258,135,544,1387,1517,202,59,1372,524
224,622,653,187,142,46,1327,1085,1351,446
1387,1228,98,716,1222,681,358,1528,921,997
967,1696,512,1277,710,1551,325,1699,94,941
331,969,937,369,1145,1054,874,1646,1004,533
1135,410,1522,288,232,1521,565,1574,123,107
519,438,1344,385,205,1273,529,683,601,514
31,575,1566,1177,977,499,671,1008,1255,534
697,1067,163,681,371,1616,1588,853,1599,458
909,425,113,808,591,818,414,1158,433,773
960,717,1612,1019,1468,1069,1602,1051,255,317
856,1455,1432,1007,1362,1354,414,528,1670,299
897,866,241,767,864,172,785,397,310,702
1007,718,1509,772,298,1412,1034,657,1664,962
265,599,1000,334,78,62,1465,1536,114,521
1085,1305,144,613,1370,175,904,1095,1002,1066
1197,975,1592,1219,1611,1383,1265,968,1119,1660
588,1553,569,513,615,834,348,1207,499,1063
1111,1634,826,1250,385,1433,950,937,162,537
1351,524,134,554,1280,1582,1161,1694,510,275
432,311,1498,1390,1370,1003,1642,339,1019,943
674,274,1445,1451,1666,813,1074,1172,1561,799
1155,1003,396,1256,287,361,640,1366,673,1126
627,564,382,527,466,49,1588,718,1084,1059
1626,958,900,1666,1661,683,1123,742,407,1614
418,1672,1097,784,87,385,788,1342,1654,770
877,22,1661,200,555,148,1484,944,1444,1151
1179,214,1439,635,520,1721,16,841,273,1521
1209,706,967,1060,1410,633,255,632,855,1222
248,1048,1026,917,1593,1030,749,1651,45,768
1330,1428,1662,640,182,397,526,1292,1472,450
433,124,690,1469,738,27,1298,1398,1215,1590
1434,690,631,1137,1062,15,818,213,531,524
80,1496,783,42,1353,1504,478,195,1350,569
558,1256,812,838,19,1049,1244,788,1151,1101
1666,1693,469,349,1116,1576,1050,480,788,407
599,436,556,762,79,107,848,819,923,338
1377,491,312,147,838,916,1635,286,524,1710
1266,1633,1504,181,902,554,1316,1287,312,1459
442,1524,1332,425,658,191,711,552,1080,187
1458,88,340,756,1602,470,124,1530,432,1403
1709,1392,510,1273,1086,1033,703,351,622,1635
1195,958,877,197,1277,7,1143,1150,530,1381
1655,573,1126,293,850,708,213,58,532,84
1159,1290,218,550,61,475,610,326,1481,1073
749,1436,237,130,347,1171,642,1523,1382,1470
886,923,986,1019,750,913,1015,350,1449,1097
271,461,615,965,500,718,847,1716,1659,1478
1458,615,1445,1547,764,485,216,470,664,838
372,694,937,274,355,1592,946,1675,564,139
952,372,1659,542,1124,456,710,1329,1030,4
1352,41,533,1378,1515,1009,1658,868,498,1389
1021,499,242,887,954,238,997,323,1548,1619
1039,491,1025,1549,1247,584,622,278,1188,1086
234,100,426,231,1700,418,560,93,1282,1333
389,1107,1207,701,1406,1670,1401,1475,1084,197
1344,927,1664,1725,1378,854,1656,761,276,1482
645,1716,1452,1596,459,741,346,1,196,1289
277,874,286,1662,1006,1514,802,9,436,1674
1569,1235,395,362,1132,1400,930,1007,427,1301
1197,1126,166,1518,525,534,238,1491,1614,456
594,954,1108,401,750,503,485,121,1135,1100
1527,977,476,1561,760,692,861,433,1047,1584
439,1378,1271,39,1398,1227,718,979,1056,1047
897,1142,32,306,1450,369,840,370,1270,350
902,833,423,24,1470,403,96,233,993,845
1492,1573,190,1446,65,935,849,1253,1398,1590
1222,252,1705,448,44,1361,1054,279,653,115
796,1093,484,592,59,835,380,347,1383,415
1151,1148,101,233,1014,186,1611,406,1699,387
1118,1033,1184,1281,914,1488,1572,850,120,775
236,1454,972,1562,482,968,1368,390,100,1122
463,1356,683,445,558,1014,1064,996,629,979
1220,1601,388,1147,613,1724,1050,586,964,1522
306,238,1071,741,280,375,454,1124,814,1196
370,190,841,409,270,1705,923,469,77,50
923,1698,1223,1487,688,727,1487,1378,729,1624
35,1602,1683,1435,55,314,140,76,766,202
395,125,1113,412,134,1292,1327,103,38,1204
817,749,1688,1584,1369,143,1530,1718,490,1026
727,902,764,186,1303,503,106,1129,655,237
740,478,1118,678,316,128,59,965,1619,1634
880,1217,1691,922,267,699,1680,860,476,649
240,324,925,1413,1053,1236,668,1643,1222,578
1677,476,1461,290,1343,1454,197,1345,1144,923
1176,736,48,467,97,1079,586,909,703,815
738,1441,361,903,1198,1478,1431,923,534,395
599,1216,121,306,1086,384,418,992,1009,422
695,1348,446,827,1697,1562,1472,289,1588,1616
561,47,717,907,477,9,1362,662,1613,1237
711,295,1525,367,845,1417,699,131,727,1640
1213,1661,534,1364,1374,861,708,1487,180,722
199,1070,1534,313,363,339,412,303,2,483
922,850,391,1136,1164,996,551,313,1501,1303
578,1484,1616,1178,1248,1651,634,1186,210,596
623,1432,415,12,295,1314,581,409,534,1206
1666,1703,705,89,1677,910,1250,1085,1156,523
1573,201,1256,12,708,1597,1242,271,622,1000
196,1332,647,111,1254,1147,385,256,510,281
327,317,198,1659,462,313,389,117,1710,1202
1287,506,1161,147,874,613,65,1093,625,581
180,700,206,951,331,580,799,401,202,410
454,336,747,1300,917,961,678,280,177,1104
961,753,923,1614,772,466,1252,1383,1398,1196
314,1085,1712,1572,438,498,1540,676,1671,1232
250,1287,672,297,888,604,56,614,1427,1559
1428,1289,758,1194,1208,1198,370,1470,1315,1293
964,804,870,682,1267,1161,1185,1316,38,1020
1393,1080,625,773,1400,1131,1639,729,711,1079
133,1467,781,13,1316,1340,933,1455,287,1690
222,1467,472,393,308,721,1645,1126,19,1253
903,1645,992,32,1066,14,95,425,611,1024
1608,1261,1443,168,329,660,1475,508,248,1281
743,1630,8,5,541,127,458,324,1248,246
520,1485,938,325,1524,28,743,1510,1190,136
1205,1526,178,1147,991,556,837,1293,266,192
210,844,359,1646,720,1014,917,1508,263,1585
857,634,77,1304,1277,1513,1440,657,605,255
192,1728,620,326,759,1425,341,706,948,1364
367,1530,931,63,1552,1211,1088,758,859,1620
915,1242,1073,712,563,333,1197,1543,547,1009
394,1601,680,951,861,1188,1426,1508,225,1381
1506,988,1570,402,1424,806,751,399,623,775
1618,1639,1288,140,1225,1384,716,1366,332,497
33,1391,951,313,309,1049,1064,184,914,1376
950,836,434,1554,806,1237,1573,550,266,147
1179,1344,554,1544,80,1347,195,1147,424,1172
1654,328,1113,843,775,565,1091,1424,439,1193
983,483,520,241,738,1447,878,1014,198,319
707,596,1566,755,1030,812,271,739,1092,546
1177,579,1520,1600,1276,822,207,1212,953,10
1071,1143,1688,1194,277,1027,1726,1576,1036,503
78,658,1699,252,879,386,1709,134,1449,1445
1242,832,752,195,807,1075,149,1518,519,1198
895,243,1182,1021,1101,613,669,1268,522,1096
1616,59,961,125,1403,1505,640,469,830,1636
652,310,703,1668,854,86,558,1448,1201,1444
1303,1423,1444,130,724,1371,653,1278,673,1592
1701,1635,1079,1566,979,1643,989,978,736,1357
1677,293,977,155,995,711,673,987,1088,756
818,853,1682,423,163,191,310,1473,129,437
1693,1583,650,1449,932,566,1037,187,34,332
430,795,67,1577,731,462,1004,558,161,1058
708,423,1615,1122,7,158,754,407,330,1194
1355,198,1170,1522,782,400,1574,1599,1256,1712
1308,1501,1555,1206,1679,1726,1275,372,445,1585
1723,184,81,1594,333,1156,226,1175,15,308
130,1416,232,1727,529,1052,1444,388,1367,533
1299,1207,671,767,885,1501,1590,389,228,999
691,621,1631,1511,1627,783,1082,212,1284,460
727,1562,623,1076,1314,308,153,179,299,1448
180,1487,1595,527,943,1116,880,992,1487,90
1683,197,944,1272,1458,1132,1089,1231,658,744
1166,1040,731,1551,1179,579,413,895,1085,861
535,434,1661,99,805,1193,875,563,1084,1383
1578,1635,371,255,451,1409,751,343,798,828
1003,94,723,1225,193,288,1236,503,571,438
200,237,329,224,385,1027,1057,130,344,1559
792,1403,709,1225,1209,1094,600,1550,1143,435
1516,773,1213,935,1694,1505,804,986,30,339
960,593,66,68,978,429,1556,1161,426,323
1025,177,86,1727,1398,1304,832,1568,1490,1476
89,1224,767,1634,461,147,1401,1343,508,138
1083,658,863,716,47,505,357,118,723,340
1011,1517,1697,825,549,574,1413,1532,286,493
912,1509,112,1651,1456,651,813,745,439,105
321,387,1512,148,76,263,1542,496,1321,475
878,747,77,361,843,1052,1348,971,463,925
1120,911,343,1490,1447,353,191,836,243,510
212,155,1404,1398,15,280,1360,1241,971,1297
798,4,1697,1492,13,15,201,1238,1622,629
1005,390,953,654,1473,658,1461,36,124,1428
61,151,777,1535,1509,1192,194,1558,77,1306
1341,1423,1488,487,369,560,79,1622,58,1645
886,804,1482,417,171,239,211,91,427,699
662,1493,711,76,1722,359,621,794,745,1356
449,1549,1170,944,842,1638,919,1685,166,404
1057,181,509,52,946,1310,901,606,1024,1446
730,603,366,387,1367,149,284,1009,1135,312
336,52,974,841,8,792,85,95,827,191
1505,302,204,1456,708,1378,1579,1147,1592,307
729,667,306,135,1302,1257,659,85,61,187
1035,199,230,1089,849,416,1459,1386,727,101
1266,461,694,643,946,514,1304,1351,1478,1297
970,864,1164,1035,1271,374,401,370,1444,345
279,125,1485,241,336,1622,473,481,1446,798
731,311,18,1406,86,800,205,1286,1440,1523
1473,1205,755,940,127,176,935,879,1549,711
1178,398,541,1467,457,215,1520,235,851,1402
884,1526,1667,376,320,1030,22,814,1129,90
937,1117,1247,874,720,178,394,2,939,875
1561,1106,1727,1444,427,1212,1015,96,49,842
68,1553,757,544,55,1027,1704,1287,879,1561
228,415,1091,1135,153,894,830,950,1303,937
1000,1004,1604,1671,1588,1425,684,1648,1577,186
114,419,1482,399,806,1134,978,517,1108,981
972,981,701,492,225,304,1125,1140,473,826
426,639,61,984,1492,388,1303,590,1435,134
422,829,690,1078,296,276,28,998,584,974
977,1374,469,515,732,1562,568,227,486,1033
287,1277,1115,573,134,211,818,1492,635,28
745,122,321,592,345,1307,1575,1159,263,1164
116,260,712,1119,698,974,734,229,1128,559
365,1597,1722,813,1378,1236,1170,1201,1722,433
95,242,1314,137,660,737,1378,203,581,1010
1367,1658,1499,1032,795,776,825,166,215,1135
1707,1691,688,860,1040,1399,1074,96,542,1062
1656,872,1582,1178,1227,1244,530,1142,1706,1652
793,718,91,1112,1115,48,713,1177,881,721
1108,1130,257,520,578,1038,1407,1371,578,726
406,606,1337,613,667,291,1568,555,744,1332
443,1552,478,233,969,978,551,155,1375,1377
529,77,1061,1664,257,708,1579,1420,37,1488
1713,508,59,1311,368,1050,1382,40,1454,160
39,258,399,198,1163,779,791,279,1397,1393
218,1504,839,1716,144,1584,1639,1669,196,299
1223,1082,1295,1047,1217,121,1,835,1379,640
1133,877,1045,28,772,174,1211,1015,1313,1316
1182,899,1301,1519,734,1571,910,653,1278,316
1265,1308,1523,1009,1421,207,317,1027,503,887
2,410,581,1579,612,1511,929,1144,1424,1672
1270,1350,131,439,474,1557,1571,1317,460,108
702,582,563,1412,182,857,440,1063,636,1472
853,1351,423,1395,406,1087,1089,73,1506,1326
1437,413,352,1643,1492,1261,1201,901,1114,229
1724,1050,1681,615,953,832,1210,1573,544,804
357,697,1564,561,1501,155,17,120,956,734
523,29,1526,150,1359,292,1294,1016,1166,508
908,1650,1604,59,484,63,686,163,416,455
123,1029,273,1549,465,370,363,460,817,581
78,161,1453,1363,1166,934,291,1424,880,957
1256,110,1613,284,919,1656,606,326,181,395
502,370,32,54,489,1273,1558,868,515,1189
1618,1423,104,275,659,473,215,1102,460,955
996,802,985,1320,796,216,494,503,970,30
1119,284,987,384,557,1163,1589,1710,804,1592
1684,869,423,1030,854,1406,1259,651,981,46
1216,130,174,742,517,60,812,940,554,759
930,1470,174,1232,739,997,321,957,1017,164
377,1183,540,1408,1185,192,1574,174,1633,1324
521,913,1186,287,114,455,703,218,520,51
748,1619,243,632,905,1306,434,857,1069,1006
1374,1170,1596,359,1085,392,560,266,1682,1121
948,340,1435,463,1599,863,1158,675,231,1093
202,332,658,1057,620,398,1620,1636,431,1564
1656,256,561,620,709,540,372,290,493,732
125,461,1192,1464,329,431,1349,1302,1642,934
44,518,613,1337,677,936,1026,204,235,1605
341,1032,1251,1425,984,631,1206,808,563,205
988,515,629,905,473,1534,959,1460,1664,1113
1230,1353,863,585,479,730,29,767,1189,1132
431,543,960,365,1039,430,1607,1281,1665,239
1493,913,204,1348,1037,477,1082,36,1280,1145
368,1624,869,955,1591,769,229,942,1537,1725
689,815,1661,978,305,571,1424,1540,1481,1050
1296,94,1484,206,638,792,1004,112,23,959
115,351,1196,833,965,1379,1274,769,1296,1660
141,1728,514,1389,946,358,1507,1178,63,1129
246,1193,310,726,857,1207,723,456,1291,1603
1458,1441,87,540,334,15,774,27,1426,371
112,1428,44,913,285,331,872,5,1665,1477
656,862,1089,823,311,581,288,947,53,972
496,995,1442,553,1668,1498,873,1013,1449,1252
206,453,1515,423,1453,1608,1304,1422,1260,1431
433,116,44,1610,31,651,319,1316,1307,571
1446,1210,992,1566,878,1420,456,481,1509,1165
965,1282,443,142,103,1235,1076,1667,1532,798
1108,58,92,647,1463,1189,919,1330,856,1107
506,1490,1120,35,933,58,1016,23,771,3
885,853,546,1478,1091,1575,647,1464,1625,725
1246,1113,459,716,1000,1663,72,561,1374,1570
1687,1334,1196,1046,711,1203,756,257,1508,154
1,303,1224,1306,425,283,317,1241,862,245
1704,881,1314,613,1038,350,35,1439,506,393
1665,1302,1645,1360,431,1590,1062,1011,839,307
1561,951,685,1524,487,1586,366,471,331,284
1412,1542,1013,503,1455,1204,1015,1592,248,676
1272,271,870,731,142,1099,1069,1582,1128,285
497,1396,1028,448,997,439,804,769,6,868
643,1073,1329,1556,1212,254,1452,754,1314,1167
54,1187,1638,1037,591,1389,1671,1294,1433,481
495,981,1358,584,431,1322,1617,472,1452,887
134,918,1281,1021,574,996,98,1211,1404,894
800,398,115,530,157,709,1681,931,226,1595
1658,65,957,687,1645,956,901,1597,677,385
703,735,14,16,1449,955,1114,1682,1131,438
1351,890,961,597,185,810,1399,1172,840,903
1281,173,2,497,1109,38,293,1107,1444,24
1172,969,102,943,196,565,542,1365,1295,888
1583,1158,138,419,1313,24,1550,952,1552,548
1097,802,396,1478,1141,1535,1452,1710,1487,1697
1089,869,1115,1188,675,228,1357,596,456,884
849,1202,1205,1285,1551,1110,421,802,1661,1118
870,653,6,580,1385,1470,603,766,1461,740
1143,1200,388,1388,124,707,21,1590,321,1543
1235,730,455,1197,802,1558,556,1690,671,230
917,1300,689,1638,1352,1534,896,1118,239,1016
226,818,965,307,288,1346,705,325,796,4
739,603,559,556,1317,1126,315,1286,400,789
542,1044,896,836,325,1045,422,1069,935,993
1134,1336,332,100,1418,1167,77,1032,448,1332
1155,907,1626,283,559,250,498,414,788,1424
777,1615,1566,1107,342,1687,1153,1318,812,777
447,346,1230,110,272,908,315,1356,1086,1120
1284,892,755,1554,1329,1520,705,246,1687,102
715,661,610,95,831,742,1537,460,595,576
348,1470,1202,645,652,10,1429,308,317,151
639,1663,740,538,693,645,141,1558,880,1491
188,353,1684,811,995,721,1503,237,488,1643
1110,1519,23,948,1065,197,98,922,1388,791
911,890,1076,1529,1175,698,123,1199,417,154
578,4,854,421,351,1500,1109,370,143,1704
951,244,615,1467,1331,1560,807,539,28,1091
358,804,432,1197,1269,571,461,68,411,505
1201,761,1489,477,335,98,133,1210,1582,1201
230,865,1318,1500,1670,691,1195,1248,1044,846
139,1057,274,1138,3,667,1210,685,1242,1118
322,1710,371,437,739,702,385,587,661,526
1405,1126,1269,304,888,1385,1250,1321,966,365
1068,392,1679,811,1692,1399,568,861,507,510
954,1488,1002,87,22,574,326,1555,489,937
819,1258,908,1564,1488,583,141,17,213,1428
490,601,1710,518,1658,995,395,296,634,1369
656,1175,356,610,1055,735,1303,1089,819,20
346,609,1618,886,1348,44,1239,1725,1588,1650
460,1285,1679,242,1618,592,264,289,230,1458
598,1055,1533,280,654,1321,943,197,1287,93
524,1395,1125,1616,592,1480,111,1466,1274,739
223,746,173,1206,638,379,548,596,1363,439
1019,1547,1452,949,1668,1079,184,1124,170,1449
520,609,1087,911,723,1381,48,334,133,1678
1572,1326,797,234,748,1377,662,684,1168,527
1543,742,869,1099,623,1520,43,995,1592,1231
104,724,68,1580,612,408,1536,299,311,1552
160,200,831,1055,402,666,885,684,218,1123
1136,1622,798,1168,211,1252,485,1264,253,64
1669,1543,833,604,577,792,127,185,202,1683
1135,1002,357,1228,961,995,1340,1356,338,866
1240,1404,1108,614,1604,142,1225,128,481,1312
399,414,1603,695,701,184,1382,639,1010,1260
1643,1676,929,404,138,904,1386,563,777,191
1513,545,581,1296,952,19,1693,901,1254,1543
701,139,913,704,103,948,756,495,1049,1619
992,608,1438,1179,53,1369,1684,37,932,561
1697,1474,461,4,836,15,1657,1137,1420,1013
269,832,698,1091,934,93,930,846,128,880
18,394,620,142,1107,1574,1220,1122,77,1023
743,1607,56,124,1696,1449,1390,1421,158,1210
690,78,1697,1545,1674,626,1579,1322,1176,31
1107,212,932,520,224,399,1073,821,42,963
593,230,1400,1673,1712,1112,352,1038,1625,522
1392,1,356,827,1617,59,769,132,1052,408
1209,1006,989,580,1147,748,1451,683,54,405
55,636,1130,1185,1546,1411,455,798,1537,880
711,786,371,493,483,1618,1247,1669,161,1104
1199,1493,2,496,1667,1152,999,106,1276,161
185,627,856,671,1581,523,774,1470,95,1137
570,1367,504,221,1461,1508,542,198,709,1326
959,1225,1346,1477,1558,1611,649,1391,1700,791
759,1680,111,1153,922,769,362,1719,1098,91
84,432,562,1022,1707,1013,296,732,1063,437
1442,162,1225,53,1156,154,1126,1033,371,191
314,377,94,689,1355,1304,685,228,420,4
1363,528,1410,372,1358,321,1221,1120,21,1246
1346,984,700,428,1076,1154,381,863,1274,158
4,1625,666,128,1502,966,222,467,1371,553
179,788,141,718,1423,1579,1564,1536,546,846
963,209,710,1611,1093,1335,957,649,1591,1152
1588,439,755,85,1480,967,1044,705,520,362
1259,1248,858,828,380,1309,1378,970,1207,1513
921,996,1645,23,656,1639,411,613,1167,477
416,88,107,85,564,907,232,994,117,142
1706,240,59,1055,1213,27,1160,1663,816,1674
572,591,254,254,627,747,1148,1031,1694,1403
821,1397,692,1681,508,1486,1506,798,98,427
187,719,22,1254,1355,1727,510,1253,1020,1716
776,417,1505,1027,1029,1560,177,1064,920,197
774,1141,325,1260,1727,1623,1536,387,317,170
699,1540,1157,726,821,1645,593,1075,1680,678
195,830,1022,886,1510,1060,62,188,1209,1382
1475,1242,1046,751,1270,252,1081,1136,98,629
